osmid,oneway,lanes,ref,name,highway,maxspeed,junction,reversed,length,geometry,width,bridge
834297205,True,1,A286,Northgate,primary,20 mph,roundabout,False,70.56700000000001,"LINESTRING (-0.778726 50.8413717, -0.778664 50.8413535, -0.7786173 50.8413321, -0.7785757 50.8413077, -0.7785433 50.8412806, -0.7785004 50.8412213, -0.778436 50.8411405, -0.7783421 50.8409931, -0.7783126 50.8409406, -0.7782735 50.8408588, -0.7782633 50.84083)",,
44637363,True,1,A286,St. Paul's Road,primary,30 mph,roundabout,False,64.439,"LINESTRING (-0.7799085 50.8403901, -0.7799675 50.8404342, -0.7800051 50.840468, -0.7801003 50.8405747, -0.7802706 50.8407695, -0.7803431 50.8408525, -0.78037 50.8408895)",,
44637360,True,1,A286,Northgate,primary,20 mph,roundabout,False,30.349,"LINESTRING (-0.7783661 50.8404325, -0.7784333 50.8403766, -0.7784789 50.8403512, -0.7785326 50.8403309, -0.7785835 50.8403139, -0.778715 50.8402834)",,
87606150,False,2,B2178,St. Paul's Road,secondary,30 mph,,False,21.037,"LINESTRING (-0.7867304 50.8454872, -0.7868983 50.8456439)",,
87606150,False,2,B2178,St. Paul's Road,secondary,30 mph,,True,33.691,"LINESTRING (-0.7867304 50.8454872, -0.7864457 50.8452433)",,
144986053,False,,,Sherborne Road,tertiary,20 mph,,True,53.423,"LINESTRING (-0.7867304 50.8454872, -0.7868537 50.8454263, -0.7869943 50.8453421, -0.7871112 50.8452552, -0.7872533 50.845141)",6.6,
144986053,False,,,Sherborne Road,tertiary,20 mph,,True,23.819,"LINESTRING (-0.7872533 50.845141, -0.7874278 50.8449573)",6.6,
4487719,False,,,Duncan Road,residential,20 mph,,False,213.54999999999998,"LINESTRING (-0.7872533 50.845141, -0.7871883 50.8451005, -0.7865427 50.8448271, -0.7860356 50.8445516, -0.7857836 50.8443897, -0.7856226 50.8442267, -0.785499 50.8439695, -0.7855066 50.8438431, -0.7855328 50.8437089)",,
144986053,False,,,Sherborne Road,tertiary,20 mph,,False,53.423,"LINESTRING (-0.7872533 50.845141, -0.7871112 50.8452552, -0.7869943 50.8453421, -0.7868537 50.8454263, -0.7867304 50.8454872)",6.6,
4487719,False,,,Duncan Road,residential,20 mph,,False,31.508000000000003,"LINESTRING (-0.7855328 50.8437089, -0.7855352 50.8436926, -0.785547 50.8436462, -0.7855599 50.8436262, -0.785581 50.843605, -0.785605 50.8435891, -0.7856286 50.8435762, -0.7856606 50.8435673, -0.7856926 50.843563, -0.7857275 50.8435621, -0.7858331 50.8435675)",,
254496091,False,,,Duncan Road,residential,20 mph,,True,31.041,"LINESTRING (-0.7855328 50.8437089, -0.7855838 50.8437131, -0.7856243 50.8437151, -0.785666 50.8437121, -0.7857058 50.8437045, -0.7857439 50.843689, -0.7857805 50.8436692, -0.7858097 50.843643, -0.7858228 50.8436169, -0.7858331 50.8435675)",,
