osmid,lanes,name,highway,maxspeed,oneway,reversed,length,ref,geometry,junction,tunnel
72024873,2,Academy Street,residential,30 mph,False,False,72.703,,"LINESTRING (-3.6350406 55.9004509, -3.6360551 55.9001284)",,
93454033,2,Marjoribanks Street,secondary,30 mph,False,False,48.1,B792,"LINESTRING (-3.6350406 55.9004509, -3.6354453 55.9008192)",,
93454033,2,Marjoribanks Street,secondary,30 mph,False,True,71.658,B792,"LINESTRING (-3.6350406 55.9004509, -3.6346996 55.9000979, -3.6344891 55.8998855)",,
72024268,,Church Park,unclassified,,False,False,110.50899999999999,,"LINESTRING (-3.6373067 55.902727, -3.6367166 55.9029135, -3.6365771 55.9030278, -3.6358583 55.9032804)",,
93454033,2,Marjoribanks Street,secondary,30 mph,False,False,110.96499999999999,B792,"LINESTRING (-3.6373067 55.902727, -3.6373605 55.9027792, -3.6376715 55.9030859, -3.637713 55.9031288, -3.6378914 55.9032986, -3.6380983 55.903497, -3.6381897 55.9035934)",,
93454033,2,Marjoribanks Street,secondary,30 mph,False,True,241.85700000000003,B792,"LINESTRING (-3.6373067 55.902727, -3.6368983 55.9022914, -3.6366454 55.9020217, -3.6365913 55.901964, -3.6361578 55.9015017, -3.6356492 55.9010145, -3.6354453 55.9008192)",,
93454042,2,Hopetoun Street,tertiary,30 mph,False,True,6.358,,"LINESTRING (-3.6381897 55.9035934, -3.6382809 55.9035678)",,
72021586,2,Drumcross Road,secondary,30 mph,False,False,87.766,B792,"LINESTRING (-3.6381897 55.9035934, -3.6380274 55.903634, -3.6378352 55.9036653, -3.6376427 55.9036906, -3.6373646 55.9037213, -3.6370538 55.9037531, -3.6368219 55.9037659)",,
93454033,2,Marjoribanks Street,secondary,30 mph,False,True,110.96499999999999,B792,"LINESTRING (-3.6381897 55.9035934, -3.6380983 55.903497, -3.6378914 55.9032986, -3.637713 55.9031288, -3.6376715 55.9030859, -3.6373605 55.9027792, -3.6373067 55.902727)",,
96952219,2,Mill Road,primary,30 mph,False,True,26.672,A800,"LINESTRING (-3.6479101 55.9048457, -3.6475533 55.9049781)",,
96952234,2,,primary,30 mph,False,False,148.307,A800,"LINESTRING (-3.6479101 55.9048457, -3.6481166 55.9045135, -3.6481863 55.9042458, -3.6481944 55.9041225, -3.6481069 55.903972, -3.6477255 55.9035992)",,
72017107,,South Loch Park,residential,,False,False,48.957,,"LINESTRING (-3.6473361 55.9027091, -3.6481214 55.902703)",,
96952234,2,,primary,30 mph,False,True,26.42,A800,"LINESTRING (-3.6473361 55.9027091, -3.647269 55.9029437)",,
"[96952234, 172362130]",2,,primary,30 mph,False,False,81.10500000000002,A800,"LINESTRING (-3.6473361 55.9027091, -3.6473334 55.9025753, -3.6472797 55.9024355, -3.6471872 55.9023212, -3.6469412 55.9020617, -3.6469111 55.9020331)",,
23744908,2,North Bridge Street,tertiary,30 mph,False,False,34.452,,"LINESTRING (-3.6446878 55.9017983, -3.6446431 55.9018971, -3.6445922 55.9019377, -3.644526 55.9019631, -3.6443969 55.9019883, -3.6443344 55.9019991)",,
