osmid,oneway,name,highway,maxspeed,reversed,length,geometry,lanes,width,bridge,access
31665380,True,The Greenmarket,residential,30 mph,False,61.319,"LINESTRING (-5.5371712 50.1185456, -5.5369192 50.1180981, -5.5368393 50.1180424)",,,,
156454588,False,The Greenmarket,tertiary,,True,35.495,"LINESTRING (-5.5371712 50.1185456, -5.5372168 50.1185968, -5.5372784 50.1186368, -5.537349 50.1186624, -5.5374383 50.1186685, -5.5375854 50.1186636)",2,,,
77058914,False,Windsor Place,residential,,True,8.958,"LINESTRING (-5.5410645 50.1216506, -5.5411361 50.1215844)",,,,
149864135,False,St Clare Street,tertiary,30 mph,False,58.754000000000005,"LINESTRING (-5.5410645 50.1216506, -5.5412676 50.1217433, -5.541623 50.121891, -5.5417549 50.1219385)",2,,,
149864135,False,St Clare Street,tertiary,30 mph,True,101.047,"LINESTRING (-5.5410645 50.1216506, -5.540789 50.1215275, -5.5406643 50.1214651, -5.5404181 50.1213417, -5.5402121 50.1212257, -5.539963 50.1210805)",2,,,
156454587,False,The Greenmarket,tertiary,,True,39.038000000000004,"LINESTRING (-5.5375854 50.1186636, -5.5378716 50.1186275, -5.5379758 50.118611, -5.5381194 50.1185867)",2,,,
156454588,False,The Greenmarket,tertiary,,False,35.495000000000005,"LINESTRING (-5.5375854 50.1186636, -5.5374383 50.1186685, -5.537349 50.1186624, -5.5372784 50.1186368, -5.5372168 50.1185968, -5.5371712 50.1185456)",2,,,
156454585,False,Taroveor Road,tertiary,30 mph,True,15.027,"LINESTRING (-5.5379809 50.1210935, -5.5381846 50.1210588)",,,,
43581114,False,Belgravia Street,residential,,False,222.843,"LINESTRING (-5.5379809 50.1210935, -5.537629 50.1206487, -5.537302 50.1201977, -5.536951 50.1197006, -5.5369258 50.1196049, -5.5367442 50.1193581, -5.5366519 50.1192872)",,,,
156454585,False,Taroveor Road,tertiary,30 mph,False,43.608000000000004,"LINESTRING (-5.5379809 50.1210935, -5.5377459 50.1211491, -5.537676 50.1211656, -5.5374064 50.1212281)",,,,
156454585,False,Taroveor Road,tertiary,30 mph,False,16.035,"LINESTRING (-5.5387119 50.1209764, -5.5384936 50.1210111)",,,,
7998236,False,High Street,residential,,False,238.406,"LINESTRING (-5.5387119 50.1209764, -5.5387021 50.1208994, -5.5385412 50.1206752, -5.5379019 50.1197419, -5.5376657 50.1194134, -5.5373382 50.119028)",,,,
"[62069698, 156454590]",False,"['Tolver Road', 'Tolver Place']",residential,30 mph,"[False, True]",248.51700000000005,"LINESTRING (-5.5387119 50.1209764, -5.5391479 50.1221814, -5.5391711 50.1222246, -5.5392292 50.1222751, -5.5393453 50.1223403, -5.5394516 50.122447, -5.5395972 50.1227669, -5.5397416 50.1230844)",,,,
858633390,False,Taroveor Road,tertiary,30 mph,True,66.86,"LINESTRING (-5.5387119 50.1209764, -5.5390491 50.1209241, -5.5391892 50.1208991, -5.5392629 50.1208776, -5.5393396 50.1208449, -5.5394336 50.1208134, -5.5395284 50.1207907, -5.5395935 50.1207904)",2,,,
"[65168435, 8010748]",True,Station Road,tertiary,,False,68.215,"LINESTRING (-5.533092 50.1216621, -5.5327684 50.1215069, -5.5327317 50.1214893, -5.5326594 50.1214523, -5.5326327 50.1214387, -5.5325757 50.1213833, -5.5325548 50.1213279, -5.5325765 50.1212713, -5.5326248 50.1212174)",2,,,
8010750,True,,tertiary,,False,41.833,"LINESTRING (-5.5326248 50.1212174, -5.5328047 50.121048, -5.5328468 50.1209898, -5.5329153 50.1208921)",,,,
65168433,True,Albert Street,tertiary,,False,40.477000000000004,"LINESTRING (-5.5326248 50.1212174, -5.5327727 50.1211463, -5.5329316 50.121116, -5.5331466 50.1210966)",,,,
946951327,True,Albert Street,tertiary,,False,29.392000000000003,"LINESTRING (-5.5331466 50.1210966, -5.5333172 50.1210892, -5.5335515 50.1210523)",2,,,
8010749,True,,tertiary,,False,30.393,"LINESTRING (-5.5335515 50.1210523, -5.5338283 50.1210085, -5.5339596 50.1209752)",,,,
