osmid,lanes,name,highway,maxspeed,oneway,reversed,length,geometry,ref,width,bridge,junction
1023961696,2,Town Street,unclassified,30 mph,False,False,9.167,"LINESTRING (-1.7048403 53.8783209, -1.7048907 53.878244)",,,,
906942165,,Carlton Lane,unclassified,30 mph,False,True,147.497,"LINESTRING (-1.7048403 53.8783209, -1.7047872 53.8783167, -1.7047034 53.87831, -1.7046424 53.8783111, -1.7045981 53.8783175, -1.7045639 53.8783246, -1.7044432 53.8783613, -1.7042783 53.8784155, -1.7042139 53.8784416, -1.7041576 53.8784712, -1.7040074 53.878557, -1.7036004 53.8788653, -1.7034763 53.8789535, -1.7031658 53.8791243)",,,,
906942166,2,Moor Lane,unclassified,30 mph,False,True,75.587,"LINESTRING (-1.7048403 53.8783209, -1.7047993 53.878425, -1.7047859 53.8785286, -1.7047644 53.8787981, -1.7047675 53.8789973)",,,,
4594633,3,Otley Road,primary,30 mph,False,True,12.667,"LINESTRING (-1.7131234 53.8739887, -1.7129571 53.8739307)",A65,,,
909774259,3,Otley Road,primary,30 mph,False,False,12.63,"LINESTRING (-1.7131234 53.8739887, -1.7132928 53.8740428)",A65,,,
"[4594809, 909774255]",1,Oxford Road,tertiary,30 mph,True,False,24.672,"LINESTRING (-1.7131234 53.8739887, -1.7130937 53.8740341, -1.7130418 53.8741137, -1.7129557 53.8741855)",,6.3,,
"[973136537, 23198565, 910271070]",2,Victoria Road,unclassified,"['20 mph', '30 mph']",False,False,158.99599999999998,"LINESTRING (-1.7131234 53.8739887, -1.7131783 53.8738935, -1.7132079 53.8738423, -1.713227 53.8737989, -1.7132864 53.8736723, -1.7133251 53.8735897, -1.713745 53.8727159, -1.7137671 53.8726736, -1.7137957 53.8726151)",,,,
"[4596794, 920553291]",1,Leeds Road,primary,30 mph,True,False,27.14,"LINESTRING (-1.7076856 53.8716202, -1.7075462 53.8715517, -1.7074711 53.8715142, -1.7073826 53.8714548)",A65,,,
384879830,1,Otley Road,primary,30 mph,True,False,20.863,"LINESTRING (-1.7076856 53.8716202, -1.7077621 53.8715954, -1.7078691 53.8715636, -1.7079768 53.8715475)",A65,,,
4594812,1,Station Road,unclassified,,True,False,41.368,"LINESTRING (-1.7134587 53.8746871, -1.7132812 53.8746784, -1.7131031 53.8746696, -1.712892 53.8746573, -1.7128304 53.8746527)",,,,
313261755,2,Oxford Road,tertiary,30 mph,False,True,37.128,"LINESTRING (-1.7128304 53.8746527, -1.7128762 53.8745309, -1.7129163 53.8743934, -1.7129203 53.8743693, -1.7129277 53.8743241)",,,,
"[23310616, 906576667, 966536223]",2,Oxford Road,tertiary,30 mph,False,False,38.207,"LINESTRING (-1.7128304 53.8746527, -1.7127861 53.8747066, -1.7127541 53.8747395, -1.712593 53.8748525, -1.7124773 53.8749231)",,,yes,
909774257,3,Oxford Road,tertiary,30 mph,False,True,15.521,"LINESTRING (-1.7129277 53.8743241, -1.7129557 53.8741855)",,,,
"[827383564, 827012357, 827012356, 4594813]",1,Station Road,unclassified,,True,False,53.339999999999996,"LINESTRING (-1.7129277 53.8743241, -1.7130557 53.8744093, -1.7131662 53.8744781, -1.7133144 53.874589, -1.7133977 53.8746418, -1.7134587 53.8746871)",,9.5,,
313261755,2,Oxford Road,tertiary,30 mph,False,False,37.128,"LINESTRING (-1.7129277 53.8743241, -1.7129203 53.8743693, -1.7129163 53.8743934, -1.7128762 53.8745309, -1.7128304 53.8746527)",,,,
906576667,2,Oxford Road,tertiary,30 mph,False,False,28.039,"LINESTRING (-1.7124773 53.8749231, -1.7122988 53.8750179, -1.7122458 53.8750436, -1.7122347 53.875049, -1.712154 53.8750881)",,,,
"[23310616, 906576667, 966536223]",2,Oxford Road,tertiary,30 mph,False,True,38.207,"LINESTRING (-1.7124773 53.8749231, -1.712593 53.8748525, -1.7127541 53.8747395, -1.7127861 53.8747066, -1.7128304 53.8746527)",,,yes,
1011215614,2,Netherfield Road,unclassified,30 mph,False,True,182.025,"LINESTRING (-1.7124773 53.8749231, -1.7125241 53.8749404, -1.7125961 53.8749737, -1.7128622 53.8750877, -1.7130704 53.8752367, -1.7134191 53.8755381, -1.7135176 53.8756262, -1.7135902 53.8756918, -1.7136615 53.8757538, -1.7139686 53.8760206, -1.7140838 53.8761233, -1.7141692 53.8762031)",,,,
4594954,,South View,residential,20 mph,False,False,97.03699999999999,"LINESTRING (-1.7093129 53.8757714, -1.7091882 53.8755311, -1.7081687 53.8756888)",,,,
1076948234,2,Oxford Road,tertiary,20 mph,False,False,85.751,"LINESTRING (-1.7093129 53.8757714, -1.7087726 53.8758537, -1.7081085 53.8759504, -1.7080429 53.8759547)",,,,
1076948234,2,Oxford Road,tertiary,20 mph,False,True,65.74,"LINESTRING (-1.7093129 53.8757714, -1.7095335 53.8757345, -1.7096417 53.8757117, -1.7097262 53.8756938, -1.7102566 53.8755726)",,,,
4594947,,Butts Lane,residential,20 mph,False,False,28.198,"LINESTRING (-1.7080429 53.8759547, -1.7081564 53.8757101)",,,,
4594949,2,Oxford Street,tertiary,20 mph,False,False,1.678,"LINESTRING (-1.7080429 53.8759547, -1.7080173 53.8759548)",,,,
1076948234,2,Oxford Road,tertiary,20 mph,False,True,85.751,"LINESTRING (-1.7080429 53.8759547, -1.7081085 53.8759504, -1.7087726 53.8758537, -1.7093129 53.8757714)",,,,
4594947,,Butts Lane,residential,20 mph,False,True,2.502,"LINESTRING (-1.7081687 53.8756888, -1.7081564 53.8757101)",,,,
4594947,,Butts Lane,residential,20 mph,False,False,28.211000000000002,"LINESTRING (-1.7081687 53.8756888, -1.7082891 53.8754788, -1.7082956 53.875447)",,,,
4594954,,South View,residential,20 mph,False,True,97.03699999999999,"LINESTRING (-1.7081687 53.8756888, -1.7091882 53.8755311, -1.7093129 53.8757714)",,,,
4594947,,Butts Lane,residential,20 mph,False,True,33.721,"LINESTRING (-1.708191 53.8751515, -1.7082465 53.8752498, -1.7082876 53.875376, -1.7082956 53.875447)",,,,
"[1182712586, 929545909]",,Well Lane,unclassified,20 mph,False,False,51.666,"LINESTRING (-1.708191 53.8751515, -1.7080904 53.8751748, -1.7079362 53.8751906, -1.7076813 53.8752143, -1.7075392 53.875225, -1.7074171 53.8752285)",,,,
"[969489077, 1024908446]",,"['Well Lane', 'Springfield Road']",unclassified,20 mph,False,True,54.481,"LINESTRING (-1.708191 53.8751515, -1.7082701 53.8751076, -1.708376 53.8750257, -1.7085376 53.874906, -1.7085939 53.8748637, -1.7086644 53.8748107, -1.7087033 53.8747676)",,,,
"[906576665, 1182712586, 972531567]",2,Well Lane,unclassified,"['20 mph', '30 mph']",False,False,37.794,"LINESTRING (-1.7074171 53.8752285, -1.7072358 53.8752288, -1.7071415 53.8752289, -1.7070383 53.8752309, -1.7069002 53.8752368, -1.7068411 53.8752388)",,,,
"[1182712586, 929545909]",,Well Lane,unclassified,20 mph,False,True,51.666,"LINESTRING (-1.7074171 53.8752285, -1.7075392 53.875225, -1.7076813 53.8752143, -1.7079362 53.8751906, -1.7080904 53.8751748, -1.708191 53.8751515)",,,,
"[1207508824, 4596783]",,Cambridge Street,residential,20 mph,False,True,98.493,"LINESTRING (-1.7074171 53.8752285, -1.7074131 53.8754033, -1.7073689 53.8755278, -1.7073655 53.8755373, -1.7073407 53.8755875, -1.7073481 53.8756243, -1.7074111 53.8756371, -1.7081564 53.8757101)",,,,
965126988,3,Oxford Street,tertiary,30 mph,False,True,17.41,"LINESTRING (-1.7068659 53.8758615, -1.7071302 53.8758769)",,,,
4596787,2,Queensway,tertiary,30 mph,False,False,30.881999999999998,"LINESTRING (-1.7068659 53.8758615, -1.7066528 53.8758946, -1.7065911 53.875897, -1.7064022 53.8758976)",,,,
"[1076934322, 306098988]",2,Town Gate,unclassified,30 mph,False,False,66.44,"LINESTRING (-1.7068659 53.8758615, -1.7068375 53.8757837, -1.7068344 53.8756745, -1.7068438 53.8756013, -1.7068499 53.8755151, -1.7068505 53.875391, -1.7068478 53.8753203, -1.7068452 53.8752661)",,,,
965126988,3,Oxford Street,tertiary,30 mph,False,False,17.41,"LINESTRING (-1.7071302 53.8758769, -1.7068659 53.8758615)",,,,
"[906576668, 4594949]",2,Oxford Street,tertiary,"['20 mph', '30 mph']",False,True,58.819,"LINESTRING (-1.7071302 53.8758769, -1.7073172 53.8758923, -1.7073518 53.8758954, -1.7079328 53.8759516, -1.7080173 53.8759548)",,,,
"[42680057, 1076934321, 906576669]",,Lands Lane,residential,20 mph,False,False,59.88399999999999,"LINESTRING (-1.7071302 53.8758769, -1.7071349 53.8759152, -1.7071422 53.8759698, -1.7071508 53.876011, -1.7071574 53.8760374, -1.7071826 53.8761385, -1.7072242 53.8762394, -1.7072356 53.8762563, -1.7072628 53.8762863, -1.7073729 53.876386)",,"['6.8', '6.9']",,
4596789,,Town Gate Close,residential,,False,True,91.784,"LINESTRING (-1.7053465 53.8758203, -1.7053619 53.8757124, -1.7053941 53.8756345, -1.7054893 53.8755808, -1.7056049 53.8755705, -1.7063 53.8756073, -1.7063103 53.8755286)",,,,
"[1076934324, 1076934980]",2,Queensway,tertiary,30 mph,False,False,133.374,"LINESTRING (-1.7053465 53.8758203, -1.7053321 53.8758192, -1.7046565 53.8757689, -1.7044607 53.8757496, -1.704258 53.8757228, -1.7041643 53.8757069, -1.704053 53.8756847, -1.7039216 53.8756563, -1.7037566 53.8756116, -1.7036319 53.8755744, -1.7035373 53.875544, -1.7034093 53.8754993)",,,,
"[4596787, 1076934324]",2,Queensway,tertiary,30 mph,False,True,69.741,"LINESTRING (-1.7053465 53.8758203, -1.7055924 53.8758371, -1.7058618 53.8758594, -1.7058994 53.8758625, -1.7062398 53.8758862, -1.7064022 53.8758976)",,,,
4596789,,Town Gate Close,residential,,False,False,91.78399999999999,"LINESTRING (-1.7063103 53.8755286, -1.7063 53.8756073, -1.7056049 53.8755705, -1.7054893 53.8755808, -1.7053941 53.8756345, -1.7053619 53.8757124, -1.7053465 53.8758203)",,,,
969489076,,Springfield Road,unclassified,20 mph,False,True,22.32,"LINESTRING (-1.7087033 53.8747676, -1.7088354 53.8745826)",,6.4,,
184572683,,Wells Road,residential,20 mph,False,False,35.861999999999995,"LINESTRING (-1.7087033 53.8747676, -1.7088977 53.8747913, -1.7089701 53.8747976, -1.7090285 53.8747976, -1.7092437 53.8747814)",,8.7,,
"[969489077, 1024908446]",,"['Well Lane', 'Springfield Road']",unclassified,20 mph,False,False,54.481,"LINESTRING (-1.7087033 53.8747676, -1.7086644 53.8748107, -1.7085939 53.8748637, -1.7085376 53.874906, -1.708376 53.8750257, -1.7082701 53.8751076, -1.708191 53.8751515)",,,,
906576663,2,The Green,unclassified,30 mph,False,False,3.048,"LINESTRING (-1.7068452 53.8752661, -1.7068411 53.8752388)",,,,
"[1206413959, 1176006952, 1076936461, 4596786, 1076936467, 906578459]",2,Church Street,unclassified,"['20 mph', '30 mph']",False,False,273.351,"LINESTRING (-1.7068452 53.8752661, -1.7067613 53.8752772, -1.7067325 53.8752796, -1.7066963 53.8752847, -1.7064196 53.8753094, -1.7059349 53.8753207, -1.7058904 53.8753217, -1.7058318 53.8753244, -1.7054822 53.8752897, -1.7053897 53.8752784, -1.705195 53.8752546, -1.7047732 53.8751437, -1.7044295 53.8750533, -1.7039072 53.8747984, -1.703765 53.8747555, -1.7033712 53.8746205, -1.703188 53.8745589, -1.7030975 53.8745455, -1.7030318 53.874545)",,"['5.6', '3.9', '4.2', '8']",,
"[1076934322, 306098988]",2,Town Gate,unclassified,30 mph,False,True,66.44,"LINESTRING (-1.7068452 53.8752661, -1.7068478 53.8753203, -1.7068505 53.875391, -1.7068499 53.8755151, -1.7068438 53.8756013, -1.7068344 53.8756745, -1.7068375 53.8757837, -1.7068659 53.8758615)",,,,
188949331,,Greencroft Mews,residential,20 mph,False,False,50.338,"LINESTRING (-1.7063764 53.8740319, -1.7071356 53.8739641)",,,,
"[906576662, 1073350310, 4594950]",2,The Green,unclassified,"['20 mph', '30 mph']",False,False,258.967,"LINESTRING (-1.7063764 53.8740319, -1.7063617 53.8738935, -1.7063557 53.8737646, -1.7064006 53.8734156, -1.7064179 53.8733017, -1.7064425 53.8731936, -1.7064575 53.8731468, -1.7065179 53.8730388, -1.7065347 53.8730167, -1.7065857 53.8729498, -1.7068362 53.8726385, -1.7068888 53.8725731, -1.7069772 53.8724651, -1.7070188 53.8724114, -1.7070236 53.8724054, -1.7070577 53.8723632, -1.7071318 53.8722595, -1.7071737 53.8721967, -1.7072769 53.8720548, -1.7073107 53.872006, -1.7073743 53.8719159, -1.7074394 53.871829)",,,,
"[1073350310, 906576663]",2,The Green,unclassified,"['20 mph', '30 mph']",False,True,138.427,"LINESTRING (-1.7063764 53.8740319, -1.7064006 53.8741398, -1.7064422 53.8742746, -1.706477 53.8743509, -1.7065461 53.8744727, -1.7067419 53.8748024, -1.7067942 53.8749087, -1.7068163 53.8749866, -1.7068257 53.8750945, -1.706827 53.8751069, -1.7068411 53.8752388)",,,,
183934314,,St Oswalds Garth,residential,20 mph,False,True,20.83,"LINESTRING (-1.7030318 53.874545, -1.7030566 53.8744893, -1.7030961 53.8744365, -1.703131 53.8744016, -1.7031622 53.874376)",,,,
"[905955970, 1023963965]",,Church Street,unclassified,20 mph,False,False,81.20200000000001,"LINESTRING (-1.7030318 53.874545, -1.702962 53.8745459, -1.7028575 53.874562, -1.7026685 53.874596, -1.7025643 53.8746023, -1.7024648 53.8745818, -1.7023922 53.8745398, -1.7023426 53.8744985, -1.7022727 53.8744247, -1.7021912 53.8743608, -1.7021291 53.8743298, -1.7020424 53.8742947)",,4.8,,
"[1206413959, 1176006952, 1076936461, 4596786, 1076936467, 906578459]",2,Church Street,unclassified,"['20 mph', '30 mph']",False,True,273.351,"LINESTRING (-1.7030318 53.874545, -1.7030975 53.8745455, -1.703188 53.8745589, -1.7033712 53.8746205, -1.703765 53.8747555, -1.7039072 53.8747984, -1.7044295 53.8750533, -1.7047732 53.8751437, -1.705195 53.8752546, -1.7053897 53.8752784, -1.7054822 53.8752897, -1.7058318 53.8753244, -1.7058904 53.8753217, -1.7059349 53.8753207, -1.7064196 53.8753094, -1.7066963 53.8752847, -1.7067325 53.8752796, -1.7067613 53.8752772, -1.7068452 53.8752661)",,"['8', '3.9', '5.6', '4.2']",,
4596790,,Ruskin Crescent,residential,20 mph,False,True,88.94999999999999,"LINESTRING (-1.7020424 53.8742947, -1.7022009 53.8741043, -1.702245 53.8740269, -1.7024095 53.8735967, -1.7024353 53.8735333)",,4.8,,
"[905955970, 1023963965]",,Church Street,unclassified,20 mph,False,True,81.202,"LINESTRING (-1.7020424 53.8742947, -1.7021291 53.8743298, -1.7021912 53.8743608, -1.7022727 53.8744247, -1.7023426 53.8744985, -1.7023922 53.8745398, -1.7024648 53.8745818, -1.7025643 53.8746023, -1.7026685 53.874596, -1.7028575 53.874562, -1.702962 53.8745459, -1.7030318 53.874545)",,4.8,,
"[1076935848, 906578458, 905955971]",2,Ruskin Crescent,residential,"['20 mph', '30 mph']",False,False,51.358,"LINESTRING (-1.7020424 53.8742947, -1.701797 53.8745543, -1.701742 53.8746125, -1.7017089 53.8746479, -1.7016894 53.8746682, -1.7016618 53.8746984)",,,,
"[1025370979, 1076934980]",2,Queensway,tertiary,30 mph,False,False,75.837,"LINESTRING (-1.7026079 53.8750839, -1.7023813 53.8749597, -1.7022293 53.8748884, -1.7022009 53.8748751, -1.7020997 53.8748401, -1.7019964 53.8748044, -1.7016618 53.8746984)",,,,
