osmid,lanes,ref,name,highway,oneway,reversed,length,geometry,bridge,maxspeed,width
502492802,3,A9,Sir George's Street,trunk,False,False,33.296,"LINESTRING (-3.517347 58.591583, -3.517764 58.591789)",,,
"[1100786182, 36868127]",,A836,Castletown Road,primary,False,True,276.216,"LINESTRING (-3.517347 58.591583, -3.5171968 58.591625, -3.5169929 58.5916662, -3.5158545 58.5918023, -3.51496 58.5919367, -3.5141021 58.5922258, -3.5131797 58.5926708)",,,
36868127,,A836,Castletown Road,primary,False,True,44.615,"LINESTRING (-3.5131797 58.5926708, -3.512649 58.5929615)",,,
"[1100786182, 36868127]",,A836,Castletown Road,primary,False,False,276.21599999999995,"LINESTRING (-3.5131797 58.5926708, -3.5141021 58.5922258, -3.51496 58.5919367, -3.5158545 58.5918023, -3.5169929 58.5916662, -3.5171968 58.591625, -3.517347 58.591583)",,,
1091137366,3,A9,Sir George's Street,trunk,False,False,40.696,"LINESTRING (-3.5204805 58.5928746, -3.5210406 58.5930954)",,,
4839616,,,Janet Street,tertiary,False,False,251.812,"LINESTRING (-3.5204805 58.5928746, -3.5205444 58.5928133, -3.5232273 58.5911214)",,,
"[4839608, 61349139, 1100786181, 61349118]",3,A9,"[""Sir George's Street"", 'Thurso Bridge']",trunk,False,True,198.461,"LINESTRING (-3.5204805 58.5928746, -3.5202842 58.5927856, -3.5202348 58.5927623, -3.5187135 58.5921627, -3.518374 58.5920257, -3.5180527 58.591912, -3.517764 58.591789)",yes,,
"[4839614, 1091138038]",,,Riverside Road,unclassified,False,False,124.97899999999998,"LINESTRING (-3.5204805 58.5928746, -3.5201202 58.5930968, -3.5199398 58.5931362, -3.5198469 58.593142, -3.5196108 58.5931569, -3.5193975 58.5931611, -3.5191726 58.5931609, -3.5190475 58.5931779, -3.518916 58.5932052, -3.5186033 58.5933007)",,,
4839614,,,Riverside Road,unclassified,False,False,80.109,"LINESTRING (-3.5186033 58.5933007, -3.5175269 58.5937528)",,,
303994713,,,Mansons Lane,unclassified,False,True,23.003,"LINESTRING (-3.5186033 58.5933007, -3.5189138 58.5934296)",,,
"[1091138038, 4839614]",,,Riverside Road,unclassified,False,True,124.97900000000001,"LINESTRING (-3.5186033 58.5933007, -3.518916 58.5932052, -3.5190475 58.5931779, -3.5191726 58.5931609, -3.5193975 58.5931611, -3.5196108 58.5931569, -3.5198469 58.593142, -3.5199398 58.5931362, -3.5201202 58.5930968, -3.5204805 58.5928746)",,,
4839614,,,Riverside Road,unclassified,False,False,41.0,"LINESTRING (-3.5159054 58.5947414, -3.5156567 58.5950866)",,,
42954109,,,,residential,False,False,62.308,"LINESTRING (-3.5159054 58.5947414, -3.516853 58.5950063)",,,
4839614,,,Riverside Road,unclassified,False,True,147.13,"LINESTRING (-3.5159054 58.5947414, -3.5160235 58.5946101, -3.5161831 58.5944327, -3.516508 58.5941983, -3.5175269 58.5937528)",,,
303994713,,,Mansons Lane,unclassified,False,False,23.003,"LINESTRING (-3.5189138 58.5934296, -3.5186033 58.5933007)",,,
4839607,,,Riverside Place,unclassified,False,False,94.55699999999999,"LINESTRING (-3.5189138 58.5934296, -3.5185764 58.593763, -3.5185588 58.5937804, -3.518071 58.5941563)",,,
303994713,,,Mansons Lane,unclassified,False,True,94.78399999999999,"LINESTRING (-3.5189138 58.5934296, -3.5194393 58.5935774, -3.519614 58.5936351, -3.5197831 58.5936971, -3.5199433 58.5937591, -3.520091 58.5938196, -3.5202822 58.5938931)",,,
4839611,,,Cowie Lane,unclassified,False,True,59.845,"LINESTRING (-3.5210059 58.5941688, -3.5218342 58.5944903)",,20 mph,
303994713,,,Mansons Lane,unclassified,False,False,51.945,"LINESTRING (-3.5210059 58.5941688, -3.5202822 58.5938931)",,,
502492804,3,A9,Traill Street,trunk,False,True,76.266,"LINESTRING (-3.5210059 58.5941688, -3.5218075 58.5936248)",,,
"[41860248, 41696898]","['2', '3']",A9,"['Olrig Street', 'Traill Street']",trunk,False,False,126.93499999999999,"LINESTRING (-3.5210059 58.5941688, -3.5205663 58.5944567, -3.5203443 58.5946402, -3.5203443 58.5946885, -3.5204069 58.5947409, -3.521094 58.595008)",,,
36868121,,,Sir John's Square,unclassified,False,False,14.729,"LINESTRING (-3.5220069 58.593481, -3.5221679 58.5933785)",,,
39383313,,A9,Sir Georges Street,trunk,False,True,19.727,"LINESTRING (-3.5220069 58.593481, -3.5218075 58.5936248)",,,
1091137366,3,A9,Sir George's Street,trunk,False,True,70.523,"LINESTRING (-3.5220069 58.593481, -3.5216183 58.5933259, -3.5210406 58.5930954)",,,
39380982,,,Davidson's Lane,residential,False,False,43.087,"LINESTRING (-3.5232273 58.5911214, -3.5238106 58.5913617)",,,
4839616,,,Janet Street,tertiary,False,True,251.812,"LINESTRING (-3.5232273 58.5911214, -3.5205444 58.5928133, -3.5204805 58.5928746)",,,
39380982,,,Davidson's Lane,residential,False,False,56.312,"LINESTRING (-3.525393 58.5920148, -3.5261613 58.5923249)",,,
41067503,,B874,Princes Street,secondary,False,False,81.972,"LINESTRING (-3.525393 58.5920148, -3.5262365 58.591423)",,,
41067503,,B874,Princes Street,secondary,False,True,76.039,"LINESTRING (-3.525393 58.5920148, -3.5245931 58.5925569)",,,
39380982,,,Davidson's Lane,residential,False,True,59.857,"LINESTRING (-3.525393 58.5920148, -3.5253043 58.591953, -3.5250115 58.5918399, -3.5245988 58.5916747)",,,
42948926,,B874,Ormlie Road,secondary,False,False,21.433,"LINESTRING (-3.5277999 58.5905831, -3.5281229 58.5904892)",,,
41067503,,B874,Princes Street,secondary,False,True,131.67000000000002,"LINESTRING (-3.5277999 58.5905831, -3.5273455 58.5907245, -3.5272476 58.5907638, -3.5269606 58.5909526, -3.5262365 58.591423)",,,
143061712,,A9,Olrig Street,trunk,False,False,31.193,"LINESTRING (-3.5257344 58.5965185, -3.5261854 58.5966717)",,,
