osmid,oneway,highway,reversed,length,geometry,name,lanes,junction,access,ref,maxspeed,width
4287481,True,unclassified,False,28.592,"LINESTRING (-2.6338027 50.9429011, -2.6337342 50.942973, -2.6337523 50.9431459)",,,,,,,
56431359,True,unclassified,False,155.46200000000002,"LINESTRING (-2.6338027 50.9429011, -2.6337429 50.9428248, -2.6337133 50.9425108, -2.6337472 50.942168, -2.6338733 50.9417573, -2.6338912 50.9415209)",Princes Street,,,,,,
56432182,True,unclassified,False,167.853,"LINESTRING (-2.6337523 50.9431459, -2.633388 50.9431462, -2.6330004 50.9430352, -2.632761 50.9429582, -2.6321413 50.9427588, -2.6318345 50.9426818, -2.6315901 50.9426521, -2.6315282 50.942653)",North Lane,,,,,,
195450056,True,unclassified,False,115.385,"LINESTRING (-2.6337523 50.9431459, -2.6337574 50.9431694, -2.6338416 50.9433845, -2.6338821 50.943488, -2.6338821 50.9435572, -2.6338164 50.943602, -2.6336876 50.9436198, -2.6335669 50.9436105, -2.6333537 50.9435936, -2.6331284 50.9435564, -2.6329688 50.9435032)",Court Ash,,,,,,
8375696,False,unclassified,False,37.188,"LINESTRING (-2.6297242 50.9433431, -2.6295513 50.9436593)",Market Street,2,,,,,
323661475,True,unclassified,False,14.520000000000001,"LINESTRING (-2.6297242 50.9433431, -2.6296849 50.9433321, -2.6296537 50.9433136, -2.6296349 50.943291, -2.6296283 50.9432659, -2.6296348 50.9432407)",,,roundabout,,,,
93233828,False,unclassified,False,90.219,"LINESTRING (-2.62849 50.9428496, -2.6283781 50.9429832, -2.6289807 50.9431617, -2.6290887 50.9431678, -2.6293604 50.9431474)",Vincent Place,,,,,,
"[323661473, 719439519]",False,unclassified,False,69.549,"LINESTRING (-2.62849 50.9428496, -2.6289352 50.9429781, -2.6293604 50.9431474)",Central Road,"['2', '3']",,,,,
323661473,False,unclassified,True,87.589,"LINESTRING (-2.62849 50.9428496, -2.6275257 50.9425899, -2.627393 50.9424944)",Central Road,2,,,,,
56435210,False,unclassified,True,43.188,"LINESTRING (-2.6283942 50.941174, -2.6288309 50.9414481)",Vicarage Street,,,,,,
57038916,True,unclassified,False,33.406,"LINESTRING (-2.6283942 50.941174, -2.6283593 50.9411456, -2.6282629 50.9410672, -2.6282241 50.9409938, -2.6282582 50.9409085)",Middle Street,,,permissive,,,
218966339,True,trunk,False,34.485,"LINESTRING (-2.6372887 50.9464993, -2.6371668 50.9464887, -2.6370541 50.9464576, -2.636959 50.9464084, -2.6368888 50.9463447)",Fiveways roundabout,2,roundabout,,A37,30 mph,
218966330,True,trunk,False,35.815000000000005,"LINESTRING (-2.6368972 50.9460741, -2.6369957 50.9460031, -2.6370967 50.9459617, -2.6372116 50.9459387, -2.637332 50.9459358)",Fiveways roundabout,2,roundabout,,A37,30 mph,
1101005887,True,trunk,False,105.888,"LINESTRING (-2.6368972 50.9460741, -2.6369281 50.9459441, -2.6369238 50.9457961, -2.6368573 50.9456566, -2.6367384 50.9454999, -2.6366138 50.9453603, -2.636499 50.9452428, -2.6364456 50.9451989)",Kingston,2,,,A37,,
218967433,True,trunk,False,23.784,"LINESTRING (-2.6347757 50.9437741, -2.6347357 50.9437395, -2.6347097 50.9437, -2.6346992 50.9436578, -2.6347047 50.9436151, -2.634726 50.9435745)",Kingston Roundabout,3,roundabout,,A30;A3088,30 mph,
1101011861,True,primary,False,49.326,"LINESTRING (-2.6347757 50.9437741, -2.6344224 50.9437818, -2.6340741 50.9438066)",Reckleford,2,,,A30,30 mph,
218967434,True,trunk,False,8.572,"LINESTRING (-2.634726 50.9435745, -2.6347578 50.9435416, -2.6347999 50.9435136)",Kingston Roundabout,3,roundabout,,A30;A3088,30 mph,
61386799,False,residential,False,17.492,"LINESTRING (-2.6314687 50.9440825, -2.6314831 50.9441746, -2.6314921 50.9441921, -2.6315148 50.9442362)",Higher Kingston,,,,,,
218967441,True,primary,False,89.027,"LINESTRING (-2.6314687 50.9440825, -2.6311605 50.9440986, -2.6308263 50.9440987, -2.6304977 50.9440859, -2.6302022 50.9440616)",Reckleford,,,,A30,,
218967434,True,trunk,False,30.993000000000002,"LINESTRING (-2.6351888 50.943524, -2.6352335 50.943561, -2.6352618 50.9436038, -2.6352718 50.9436499, -2.6352628 50.943696, -2.6352354 50.9437391, -2.6351915 50.9437764)",Kingston Roundabout,3,roundabout,,A30;A3088,30 mph,
