osmid,lanes,ref,highway,maxspeed,oneway,reversed,length,bridge,name,geometry,junction
"[33333323, 33333322, 251256475, 119191966]",2,B721,secondary,"['40 mph', '30 mph']",False,False,329.4320000000001,yes,High Street,"LINESTRING (-3.2685479 54.9890455, -3.2670811 54.988034, -3.2663654 54.9876218, -3.2661132 54.9874766, -3.2653737 54.9871014, -3.2652174 54.9870611, -3.265102 54.9870314, -3.2648898 54.9870159)",
130470578,2,B721,secondary,30 mph,False,True,19.921,,High Street,"LINESTRING (-3.2645804 54.9869918, -3.2648898 54.9870159)",
42163294,,C36a,tertiary,,False,False,23.445,,Port Street,"LINESTRING (-3.2645804 54.9869918, -3.2645587 54.9869394, -3.2645625 54.9868272, -3.2645979 54.9867873)",
42163298,2,B721,secondary,30 mph,False,False,43.422,,High Street,"LINESTRING (-3.2645804 54.9869918, -3.2642066 54.9870268, -3.2641824 54.9870321, -3.2639247 54.9870887)",
42163298,2,B721,secondary,30 mph,False,True,12.282,,High Street,"LINESTRING (-3.2618293 54.987316, -3.2620218 54.9873169)",
31723025,2,B722,secondary,30 mph,False,False,159.154,,Lady Street,"LINESTRING (-3.2618293 54.987316, -3.2618416 54.9879748, -3.2618435 54.9880753, -3.2618865 54.9887468)",
33333313,2,B721,secondary,30 mph,False,False,29.441,,Church Street,"LINESTRING (-3.2618293 54.987316, -3.2616758 54.9873174, -3.261368 54.987323)",
42163294,,C36a,tertiary,,False,True,64.04599999999999,,Port Street,"LINESTRING (-3.2681516 54.9853828, -3.2680162 54.9854173, -3.2678808 54.9854812, -3.2674957 54.9855865, -3.2672578 54.9856372)",
119147958,,,residential,,False,False,98.799,,Wallace Crescent,"LINESTRING (-3.2616149 54.9922907, -3.2614248 54.9925383, -3.2611556 54.9926064, -3.2608429 54.9926087, -3.2603752 54.9926368)",
119148160,,,residential,30 mph,False,True,74.021,,Greenlea Road,"LINESTRING (-3.2560823 54.9887503, -3.2572423 54.988736)",
119148160,,,residential,30 mph,False,False,73.99199999999999,,Greenlea Road,"LINESTRING (-3.2560823 54.9887503, -3.2558444 54.9887532, -3.2550922 54.9887645, -3.2549237 54.9887745)",
119148234,,,residential,30 mph,False,True,85.45,,Douglas Gardens,"LINESTRING (-3.2560823 54.9887503, -3.256094 54.9882036, -3.2559792 54.9881241, -3.2557773 54.9880992)",
119148229,,,residential,20 mph,False,True,106.098,,Seaforth Avenue,"LINESTRING (-3.2563507 54.9861934, -3.2580124 54.9862306)",
119191926,,,residential,20 mph,False,False,77.119,,Solway Street,"LINESTRING (-3.2563507 54.9861934, -3.2563447 54.9863811, -3.2563463 54.9864151, -3.2563596 54.9866934, -3.2563355 54.9868863)",
119191926,,,residential,20 mph,False,True,148.841,,Solway Street,"LINESTRING (-3.2563507 54.9861934, -3.2563546 54.9860716, -3.2563299 54.9858586, -3.2561418 54.9855633, -3.2560529 54.9854414, -3.2556599 54.9849324)",
