osmid,lanes,ref,name,highway,maxspeed,oneway,reversed,length,geometry,bridge,width,junction
122126493,2,B6529,Stagshaw Road,secondary,30 mph,False,False,15.381,"LINESTRING (-2.0204374 54.9767606, -2.0204841 54.9766249)",,,
"[1210998410, 122126493]",2,B6529,Stagshaw Road,secondary,30 mph,False,True,36.002,"LINESTRING (-2.0204374 54.9767606, -2.0203956 54.9769085, -2.0203719 54.9769926, -2.0203548 54.9770808)",,,
"[1211261936, 1211261937]",,,Manor Cottages,residential,30 mph,False,False,51.965,"LINESTRING (-2.0204374 54.9767606, -2.0201611 54.9767241, -2.0200466 54.9767061, -2.019932 54.9766664, -2.019824 54.9766074, -2.0197765 54.9765385)",,,
69618605,,,,residential,,False,True,147.613,"LINESTRING (-2.020677 54.9757266, -2.0208788 54.9757068, -2.0214904 54.9758192, -2.0219111 54.9759075, -2.0222253 54.9760255, -2.0226357 54.9760625, -2.022751 54.9759501)",,,
122126493,2,B6529,Stagshaw Road,secondary,30 mph,False,False,22.59,"LINESTRING (-2.020677 54.9757266, -2.0205867 54.9756747, -2.0203733 54.9756317)",,,
122126493,2,B6529,Stagshaw Road,secondary,30 mph,False,True,30.962000000000003,"LINESTRING (-2.020677 54.9757266, -2.0207468 54.9758199, -2.0207525 54.9759107, -2.0207241 54.9759952)",,,
"[27892225, 27892226, 32245314]",2,B6321,,secondary,30 mph,False,True,272.84900000000005,"LINESTRING (-2.0194855 54.9711083, -2.019454 54.9711645, -2.0192722 54.9714832, -2.018532 54.972719, -2.0185076 54.972746, -2.0183854 54.9728812, -2.0180733 54.9734222)",yes,3.8,
392516267,,B6321,,secondary,,True,False,39.231,"LINESTRING (-2.0194855 54.9711083, -2.0195312 54.9709295, -2.0195349 54.970849, -2.0195227 54.9707577)",,,
24531591,,,Corchester Lane,tertiary,,False,True,101.422,"LINESTRING (-2.0203884 54.9773285, -2.0208397 54.9773308, -2.0211287 54.9773421, -2.0213742 54.9773536, -2.0219665 54.9774154)",,,
1111831880,2,B6529,Stagshaw Road,secondary,30 mph,False,True,21.246000000000002,"LINESTRING (-2.0203884 54.9773285, -2.020447 54.9774621, -2.0204792 54.9775121)",,,
1210998410,2,B6529,Stagshaw Road,secondary,30 mph,False,False,27.695999999999998,"LINESTRING (-2.0203884 54.9773285, -2.0203584 54.9772203, -2.0203548 54.9770808)",,,
27892227,,,,secondary,30 mph,True,False,43.369,"LINESTRING (-2.0195263 54.9704782, -2.0195593 54.9704548, -2.0196113 54.9704376, -2.019678 54.9704262, -2.0197611 54.9704206, -2.0199633 54.9704182, -2.0201017 54.9704252, -2.0201433 54.9704352, -2.0201656 54.9704444)",,,roundabout
