osmid,name,highway,oneway,reversed,length,geometry,ref,maxspeed,lanes,bridge,access,width,junction
"[24485098, 759765028, 759765029]",Sutton Lane North,residential,False,False,66.116,"LINESTRING (-0.2701806 51.4881295, -0.270165 51.4881667, -0.2701464 51.4882111, -0.2701018 51.488367, -0.2700472 51.4885691, -0.2700334 51.4886343, -0.2699574 51.4887003)",,,,,,,
68280289,Wellesley Road,primary,False,False,107.698,"LINESTRING (-0.2693187 51.4909137, -0.2708627 51.4907959)",A3000,20 mph,,,,,
24485099,Sutton Road North,residential,False,False,131.772,"LINESTRING (-0.2693187 51.4909137, -0.2693152 51.4908363, -0.2693772 51.490682, -0.269644 51.4899992, -0.2697289 51.4897591)",,,,,,,
1081039488,Wellesley Road,primary,False,True,18.408,"LINESTRING (-0.2693187 51.4909137, -0.2691691 51.4909232, -0.2690566 51.4909395)",A3000,20 mph,,,,,
"[47046952, 887541004, 1205473438]",Chiswick High Road,primary,False,False,104.549,"LINESTRING (-0.2627098 51.4924597, -0.2625274 51.4924563, -0.2624549 51.4924557, -0.2624288 51.4924544, -0.2618762 51.4924448, -0.2612001 51.4924412)",A315,20 mph,2,,,,
47046971,Chiswick High Road,primary,False,False,21.708999999999996,"LINESTRING (-0.2627098 51.4924597, -0.2628911 51.4924622, -0.2629508 51.492464, -0.2630054 51.4924661, -0.2630231 51.4924669)",A315,20 mph,2,,,,
"[1205473426, 842000677]",Heathfield Terrace,primary,False,True,29.92,"LINESTRING (-0.2627098 51.4924597, -0.2627728 51.4923554, -0.2627863 51.4923352, -0.262793 51.4923251, -0.2628249 51.4922755, -0.2628675 51.4922092)",A3000,20 mph,2,,,,
887052722,Chiswick High Road,primary,False,False,17.169,"LINESTRING (-0.2600323 51.4924741, -0.2597856 51.4924898)",A315,20 mph,2,,,,
"[887541000, 1265866136]",Chiswick High Road,primary,False,True,58.174,"LINESTRING (-0.2600323 51.4924741, -0.2604898 51.4924462, -0.260621 51.4924416, -0.2606829 51.4924382, -0.260744 51.4924371, -0.2608699 51.4924382)",A315,20 mph,2,,,,
"[1071541957, 1071541956, 887541005]",Chiswick High Road,primary,False,True,103.382,"LINESTRING (-0.2570611 51.492607, -0.257201 51.4925994, -0.2572754 51.492596, -0.2576929 51.4925754, -0.2582081 51.4925503, -0.2585502 51.4925381)",A315,20 mph,2,,,,
"[24264488, 1176353621]",Windmill Road,residential,False,True,119.09100000000001,"LINESTRING (-0.2570611 51.492607, -0.2570713 51.4926533, -0.2570737 51.4927026, -0.2570749 51.4927275, -0.2570376 51.4928839, -0.257019 51.4930064, -0.2569604 51.4933919, -0.2569376 51.4936732)",,20 mph,,,,,
1080858998,Chiswick High Road,primary,False,True,7.356,"LINESTRING (-0.2667793 51.4926783, -0.2668841 51.4926892)",A315,20 mph,2,,,,
22696983,Sutton Lane North,tertiary,False,False,136.811,"LINESTRING (-0.2667793 51.4926783, -0.2668008 51.4925888, -0.2668082 51.4925558, -0.2668465 51.492498, -0.2672024 51.4921553, -0.2675124 51.4918681, -0.2677254 51.4917545, -0.267776 51.491739, -0.2678915 51.4917036)",,30 mph,2,,,,
47046970,Chiswick High Road,primary,False,False,91.507,"LINESTRING (-0.2667793 51.4926783, -0.2666188 51.4926624, -0.2665829 51.4926599, -0.2655151 51.4925854, -0.2654674 51.4925795)",A315,20 mph,3,,,,
9182831,Bollo Lane,tertiary,False,False,248.337,"LINESTRING (-0.2676373 51.4941303, -0.2676866 51.4941396, -0.267738 51.4941511, -0.2679561 51.4942073, -0.2682723 51.4943095, -0.2684495 51.4943824, -0.2684963 51.4943948, -0.2685354 51.4944051, -0.2693589 51.4945471, -0.2694945 51.4946407, -0.2697538 51.4948196, -0.2700713 51.4953326, -0.2701323 51.4954874)",,20 mph,,,,,
23267724,Acton Lane,secondary,False,False,97.116,"LINESTRING (-0.2676373 51.4941303, -0.2673958 51.4942528, -0.2670984 51.494397, -0.2667617 51.4945664, -0.2666553 51.4946326, -0.2665703 51.4946947)",B490,20 mph,,,,,
"[672721679, 24310878, 24310879]",Acton Lane,secondary,False,True,64.994,"LINESTRING (-0.2676373 51.4941303, -0.2676267 51.4940913, -0.267612 51.49401, -0.2675881 51.4939295, -0.2675567 51.4938441, -0.2675515 51.49383, -0.2674938 51.4936991, -0.2673755 51.493576)",B490,,,yes,,,
26276189,Cunnington Street,residential,False,True,38.873,"LINESTRING (-0.2656171 51.4958246, -0.2661205 51.4959795)",,20 mph,,,,,
23267724,Acton Lane,secondary,False,True,128.94,"LINESTRING (-0.2656171 51.4958246, -0.2656915 51.4957366, -0.266485 51.4947986)",B490,20 mph,,,,,
23267725,Acton Lane,secondary,False,False,42.681,"LINESTRING (-0.2656171 51.4958246, -0.2655531 51.4958864, -0.265451 51.4959899, -0.2653452 51.4960662, -0.2652252 51.4961128)",B490,,,,,,
631698820,St. Albans Avenue,residential,False,True,42.914,"LINESTRING (-0.2628037 51.4959371, -0.2625432 51.4962873)",,20 mph,,,,,
"[8298020, 631700717]",South Parade,secondary,False,False,71.42,"LINESTRING (-0.2628037 51.4959371, -0.2623192 51.4957469, -0.2620608 51.4956688, -0.2620239 51.4956576, -0.2619102 51.4956176)",B409,20 mph,,,,,
8298020,South Parade,secondary,False,True,87.884,"LINESTRING (-0.2628037 51.4959371, -0.2631928 51.49608, -0.2633683 51.496089, -0.2637438 51.4961326, -0.2638676 51.4961455, -0.2639999 51.4961594)",B409,20 mph,,,,,
"[8298020, 631700717]",South Parade,secondary,False,True,71.42,"LINESTRING (-0.2619102 51.4956176, -0.2620239 51.4956576, -0.2620608 51.4956688, -0.2623192 51.4957469, -0.2628037 51.4959371)",B409,20 mph,,,,,
631700726,South Parade,secondary,False,False,72.772,"LINESTRING (-0.2619102 51.4956176, -0.2615342 51.4955298, -0.2609052 51.4954287)",B409,20 mph,2,,,,
631700726,South Parade,secondary,False,False,51.07,"LINESTRING (-0.2609052 51.4954287, -0.2604317 51.4953679, -0.2601836 51.4953333)",B409,20 mph,2,,,,
631700726,South Parade,secondary,False,True,72.772,"LINESTRING (-0.2609052 51.4954287, -0.2615342 51.4955298, -0.2619102 51.4956176)",B409,20 mph,2,,,,
47047272,South Parade,secondary,False,True,28.044,"LINESTRING (-0.2597982 51.495411, -0.2601836 51.4953333)",B409,20 mph,2,,,,
47047272,South Parade,secondary,False,False,95.847,"LINESTRING (-0.2597982 51.495411, -0.2587778 51.4955926, -0.2585297 51.4956367, -0.258467 51.4956479)",B409,20 mph,2,,,,
47047272,South Parade,secondary,False,False,115.604,"LINESTRING (-0.258467 51.4956479, -0.2573691 51.495858, -0.2569779 51.4959329, -0.2568712 51.4959542)",B409,20 mph,2,,,,
47047272,South Parade,secondary,False,True,95.847,"LINESTRING (-0.258467 51.4956479, -0.2585297 51.4956367, -0.2587778 51.4955926, -0.2597982 51.495411)",B409,20 mph,2,,,,
47047272,South Parade,secondary,False,True,115.60399999999998,"LINESTRING (-0.2568712 51.4959542, -0.2569779 51.4959329, -0.2573691 51.495858, -0.258467 51.4956479)",B409,20 mph,2,,,,
22696871,Acton Lane,residential,False,False,53.861999999999995,"LINESTRING (-0.2652252 51.4961128, -0.2652703 51.4962285, -0.2652742 51.496314, -0.2651599 51.4965846)",,20 mph,,,,,
23267725,Acton Lane,secondary,False,True,42.681000000000004,"LINESTRING (-0.2652252 51.4961128, -0.2653452 51.4960662, -0.265451 51.4959899, -0.2655531 51.4958864, -0.2656171 51.4958246)",B490,,,,,,
"[226284168, 625347666, 23268751]","['Acton Lane', 'South Parade']",secondary,False,False,67.979,"LINESTRING (-0.2652252 51.4961128, -0.2650937 51.4961353, -0.2647061 51.4961461, -0.2644513 51.4961548, -0.2642494 51.496164)",B490,20 mph,,,,,
9182831,Bollo Lane,tertiary,False,True,41.155,"LINESTRING (-0.2703206 51.4962018, -0.270225 51.4958365)",,20 mph,,,,,
9182831,Bollo Lane,tertiary,False,False,74.54899999999999,"LINESTRING (-0.2703206 51.4962018, -0.2703892 51.4963068, -0.270478 51.4964216, -0.270655 51.496615, -0.2708636 51.4967763)",,20 mph,,,,,
631698820,St. Albans Avenue,residential,False,False,42.914,"LINESTRING (-0.2625432 51.4962873, -0.2628037 51.4959371)",,20 mph,,,,,
47047272,South Parade,secondary,False,False,28.044,"LINESTRING (-0.2601836 51.4953333, -0.2597982 51.495411)",B409,20 mph,2,,,,
631700726,South Parade,secondary,False,True,51.07,"LINESTRING (-0.2601836 51.4953333, -0.2604317 51.4953679, -0.2609052 51.4954287)",B409,20 mph,2,,,,
"[862880152, 23268762, 862878742]",Fisher's Lane,unclassified,False,True,134.962,"LINESTRING (-0.2601836 51.4953333, -0.2602304 51.4952284, -0.2602222 51.4951677, -0.2601636 51.4946878, -0.260163 51.4946476, -0.2601632 51.4945653, -0.2601777 51.4943235, -0.2601877 51.4941254)",,,,,no,,
887052722,Chiswick High Road,primary,False,True,17.169,"LINESTRING (-0.2597856 51.4924898, -0.2600323 51.4924741)",A315,20 mph,2,,,,
1071541958,Chiswick High Road,primary,False,False,35.573,"LINESTRING (-0.2597856 51.4924898, -0.2592725 51.4925068)",A315,20 mph,2,,,,
9185353,Chiswick Common Road,residential,False,True,168.90999999999997,"LINESTRING (-0.2601877 51.4941254, -0.2600475 51.4940789, -0.2600462 51.4940783, -0.2591681 51.4937103, -0.2583473 51.4933718, -0.258139 51.4933023)",,20 mph,,,,,
"[862880152, 23268762, 862878742]",Fisher's Lane,unclassified,False,False,134.962,"LINESTRING (-0.2601877 51.4941254, -0.2601777 51.4943235, -0.2601632 51.4945653, -0.260163 51.4946476, -0.2601636 51.4946878, -0.2602222 51.4951677, -0.2602304 51.4952284, -0.2601836 51.4953333)",,,,,no,,
24264484,Chiswick Common Road,unclassified,False,False,50.687000000000005,"LINESTRING (-0.2601877 51.4941254, -0.2602753 51.4941577, -0.2608227 51.4943523)",,20 mph,,,,,
572106804,Fisher's Lane,unclassified,False,True,85.05,"LINESTRING (-0.2601877 51.4941254, -0.2601735 51.4940026, -0.2600097 51.493369)",,20 mph,,,,,
9185353,Chiswick Common Road,residential,False,False,168.90999999999997,"LINESTRING (-0.258139 51.4933023, -0.2583473 51.4933718, -0.2591681 51.4937103, -0.2600462 51.4940783, -0.2600475 51.4940789, -0.2601877 51.4941254)",,20 mph,,,,,
9185353,Chiswick Common Road,residential,False,True,99.557,"LINESTRING (-0.258139 51.4933023, -0.2580534 51.4933484, -0.2578957 51.4934983, -0.2577562 51.4935922, -0.257142 51.4936344, -0.2569376 51.4936732)",,20 mph,,,,,
24264485,Windmill Passage,unclassified,False,False,52.771,"LINESTRING (-0.258139 51.4933023, -0.2578715 51.493147, -0.2575763 51.4929822)",,20 mph,,,,,
1157051057,Chiswick Common Road,residential,False,True,10.752,"LINESTRING (-0.2569376 51.4936732, -0.2569587 51.493769)",,20 mph,,,,,
9185353,Chiswick Common Road,residential,False,False,99.557,"LINESTRING (-0.2569376 51.4936732, -0.257142 51.4936344, -0.2577562 51.4935922, -0.2578957 51.4934983, -0.2580534 51.4933484, -0.258139 51.4933023)",,20 mph,,,,,
"[24264488, 1176353621]",Windmill Road,residential,False,False,119.09100000000001,"LINESTRING (-0.2569376 51.4936732, -0.2569604 51.4933919, -0.257019 51.4930064, -0.2570376 51.4928839, -0.2570749 51.4927275, -0.2570737 51.4927026, -0.2570713 51.4926533, -0.2570611 51.492607)",,20 mph,,,,,
9185541,Bridge Street,residential,False,False,7.656000000000001,"LINESTRING (-0.2634718 51.4934186, -0.2635034 51.4934511, -0.2635277 51.493478)",,20 mph,,,,,
23268759,Belmont Road,unclassified,False,False,44.564,"LINESTRING (-0.2634718 51.4934186, -0.2635439 51.4933414, -0.2637486 51.4930572)",,20 mph,2,,,,
"[24384625, 23268759]","['Belmont Terrace', 'Belmont Road']","['unclassified', 'residential']",False,True,71.019,"LINESTRING (-0.2634718 51.4934186, -0.2633867 51.4934668, -0.263182 51.4935623, -0.2630058 51.493663, -0.262882 51.493749, -0.2627488 51.493866)",,20 mph,2,,,,
"[9185500, 1266716557]",Essex Place,unclassified,False,True,44.03999999999999,"LINESTRING (-0.2637486 51.4930572, -0.2640634 51.4930874, -0.2641049 51.493088, -0.2643634 51.4931484)",,20 mph,,,,,
23268759,Belmont Road,unclassified,False,True,44.564,"LINESTRING (-0.2637486 51.4930572, -0.2635439 51.4933414, -0.2634718 51.4934186)",,20 mph,2,,,,
"[1076724880, 1071541962]",Dolman Road,unclassified,True,False,152.68800000000002,"LINESTRING (-0.2637486 51.4930572, -0.2617031 51.4929407, -0.2615523 51.4929321)",,20 mph,,,,,
"[1071541963, 1071541964, 47046950]",Belmont Road,unclassified,False,False,63.643,"LINESTRING (-0.2637486 51.4930572, -0.2637902 51.4929786, -0.2638647 51.4927616, -0.2639168 51.492585, -0.2639385 51.4924979)",,20 mph,2,,,,
"[675640505, 47046955, 675640503]",Chiswick High Road,primary,False,True,106.256,"LINESTRING (-0.2639385 51.4924979, -0.2643246 51.4925162, -0.2646251 51.4925304, -0.2646537 51.4925321, -0.2647551 51.4925359, -0.2653295 51.4925746, -0.2654674 51.4925795)",A315,20 mph,2,,,,
"[1071541963, 1071541964, 47046950]",Belmont Road,unclassified,False,True,63.643,"LINESTRING (-0.2639385 51.4924979, -0.2639168 51.492585, -0.2638647 51.4927616, -0.2637902 51.4929786, -0.2637486 51.4930572)",,20 mph,2,,,,
"[842000679, 1193316175]",Chiswick High Road,primary,False,True,63.467999999999996,"LINESTRING (-0.2639385 51.4924979, -0.263484 51.4924825, -0.2630353 51.4924673, -0.2630231 51.4924669)",A315,20 mph,3,,,,
9185541,Bridge Street,residential,False,False,75.055,"LINESTRING (-0.2635277 51.493478, -0.263592 51.4938037, -0.263632 51.4939091, -0.2637058 51.4940499, -0.2637535 51.4941353)",,20 mph,,,,,
