osmid,oneway,lanes,ref,name,highway,maxspeed,junction,reversed,length,geometry,bridge,access
35984518,True,3,A4,Bridge Roundabout,primary,30 mph,circular,False,5.826,"LINESTRING (-2.1196273 51.4583966, -2.1197102 51.4584054)",,
32668071,True,,A420,Ivy Lane,primary,30 mph,,False,56.841,"LINESTRING (-2.1200781 51.4591181, -2.1200977 51.4592684, -2.1200929 51.4594008, -2.1200888 51.4595131, -2.120082 51.4595551, -2.1200676 51.4596001, -2.120059 51.4596271)",,
292293475,True,3,A4,Bridge Roundabout,primary,30 mph,circular,False,42.589,"LINESTRING (-2.1200781 51.4591181, -2.1200578 51.4591669, -2.1200267 51.4592089, -2.1200054 51.4592338, -2.1199774 51.4592578, -2.1199211 51.459291, -2.1198817 51.4593082, -2.1198383 51.4593229, -2.1197933 51.4593358, -2.1197482 51.4593437, -2.1196531 51.4593472)",,
"[1210134339, 292293475]",True,3,A4,Bridge Roundabout,primary,30 mph,circular,False,40.540000000000006,"LINESTRING (-2.1196531 51.4593472, -2.1196257 51.4593438, -2.1195683 51.4593311, -2.1195189 51.459315, -2.1194714 51.4592974, -2.1194245 51.4592761, -2.1193854 51.4592512, -2.119358 51.4592257, -2.1193357 51.4592027, -2.1193205 51.4591797, -2.1192897 51.4591184, -2.1192802 51.4590968)",,
35584274,True,2,A4,Avenue La Fleche,primary,30 mph,,False,79.19799999999998,"LINESTRING (-2.1191263 51.4585653, -2.1191362 51.4584762, -2.1191371 51.458385, -2.1191329 51.4583, -2.1190919 51.4581772, -2.1190378 51.4580838, -2.1189819 51.4580048, -2.1188912 51.4578815)",,
42491163,True,3,A4,Bridge Roundabout,primary,30 mph,circular,False,41.039,"LINESTRING (-2.1191263 51.4585653, -2.1191779 51.4585221, -2.1192308 51.4584919, -2.1192909 51.4584632, -2.1193826 51.4584299, -2.1194494 51.4584133, -2.1195283 51.4584018, -2.1196273 51.4583966)",,
35130759,True,1,A4,Bath Road,primary,30 mph,,False,43.392,"LINESTRING (-2.1197102 51.4584054, -2.1203364 51.4583988)",,
972308998,True,3,A4,Bridge Roundabout,primary,30 mph,circular,False,38.325,"LINESTRING (-2.1197102 51.4584054, -2.1197654 51.4584218, -2.1198082 51.4584365, -2.1198448 51.4584523, -2.1198832 51.4584702, -2.1199181 51.4584893, -2.1199411 51.4585036, -2.1199658 51.45852, -2.1199889 51.4585377, -2.1200076 51.4585582, -2.1200259 51.4585878, -2.1200415 51.4586558)",,
35313554,False,,,Ivy Road,residential,,,False,158.075,"LINESTRING (-2.1200636 51.4589208, -2.120157 51.4589187, -2.1202785 51.4589159, -2.120369 51.4589121, -2.1204809 51.4589051, -2.1209919 51.458864, -2.1212601 51.458841, -2.1214237 51.458826, -2.1215528 51.4588102, -2.1216617 51.4587945, -2.1217405 51.4587794, -2.1218105 51.4587622, -2.1218666 51.4587462, -2.1219107 51.4587286, -2.1219918 51.4586959, -2.1220568 51.4586654, -2.1221167 51.4586343, -2.1221704 51.4586045, -2.1222201 51.4585746)",,
972309002,True,3,A4,Bridge Roundabout,primary,30 mph,circular,False,21.962999999999997,"LINESTRING (-2.1200636 51.4589208, -2.1200675 51.458957, -2.1200781 51.4591181)",,
32927791,False,,A4,Rowden Hill,primary,30 mph,,True,52.117000000000004,"LINESTRING (-2.122004 51.458006, -2.1220905 51.4579119, -2.122185 51.4578028, -2.1223619 51.4575938)",,
57017598,False,,A4,Bath Road,primary,30 mph,,False,128.685,"LINESTRING (-2.122004 51.458006, -2.1219299 51.4580757, -2.1218999 51.4580989, -2.1218714 51.4581187, -2.1218412 51.4581358, -2.1218114 51.4581503, -2.1217358 51.4581862, -2.1216513 51.4582209, -2.1215671 51.4582527, -2.1214695 51.4582812, -2.1213789 51.458302, -2.121298 51.4583155, -2.1211533 51.4583338, -2.1210327 51.4583455, -2.1207169 51.4583703, -2.1203902 51.4583948, -2.1203364 51.4583988)",,
35130765,True,,A420,Ivy Lane,primary,30 mph,,False,68.523,"LINESTRING (-2.1198531 51.4599033, -2.1198801 51.4598494, -2.1198943 51.4598097, -2.119911 51.4597465, -2.1199161 51.4596771, -2.119912 51.4596219, -2.119895 51.4595615, -2.1198642 51.4595017, -2.119827 51.4594509, -2.1197949 51.4594262, -2.1197462 51.4593969, -2.1196531 51.4593472)",,
"[373215320, 34998406]",False,,A420,Ivy Lane,primary,30 mph,,True,150.351,"LINESTRING (-2.1198531 51.4599033, -2.1198087 51.4599586, -2.1197292 51.4600518, -2.1196905 51.4600967, -2.119312 51.4604912, -2.1192648 51.4605519, -2.1192268 51.4606327, -2.119221 51.4607079, -2.1192366 51.4607628, -2.1192707 51.4608176, -2.1193179 51.46087, -2.1195333 51.4611073)",,
32668084,True,,A420,Ivy Lane,primary,30 mph,,False,83.929,"LINESTRING (-2.1195333 51.4611073, -2.1196143 51.4612228, -2.1196268 51.4612485, -2.1196352 51.4612758, -2.1196414 51.4613157, -2.1196489 51.4613863, -2.1196564 51.4614627, -2.1196633 51.4614969, -2.11967 51.4615173, -2.1196915 51.4615609, -2.119728 51.4616188, -2.119783 51.4616899, -2.1199063 51.4618125)",,
"[373215320, 34998406]",False,,A420,Ivy Lane,primary,30 mph,,False,150.351,"LINESTRING (-2.1195333 51.4611073, -2.1193179 51.46087, -2.1192707 51.4608176, -2.1192366 51.4607628, -2.119221 51.4607079, -2.1192268 51.4606327, -2.1192648 51.4605519, -2.119312 51.4604912, -2.1196905 51.4600967, -2.1197292 51.4600518, -2.1198087 51.4599586, -2.1198531 51.4599033)",,
42491160,True,,A420,New Road,primary,30 mph,,False,11.945,"LINESTRING (-2.1188901 51.4615228, -2.1189437 51.4615019, -2.119042 51.4614723)",,
548230755,True,,A420,New Road,primary,30 mph,,False,22.453,"LINESTRING (-2.1188901 51.4615228, -2.1189363 51.4615121, -2.1189686 51.4615083, -2.1189986 51.4615063, -2.119032 51.4615062, -2.1190578 51.4615065, -2.1190864 51.4615089, -2.1191142 51.461512, -2.1191462 51.4615175, -2.1192053 51.4615297)",,
42491157,True,,A420,New Road,primary,30 mph,,False,68.66,"LINESTRING (-2.1177043 51.4631156, -2.1177165 51.4630929, -2.1177588 51.4630235, -2.1178763 51.4628455, -2.1180788 51.462544)",,
14010726,True,,,Bath Road,tertiary,30 mph,,False,42.708999999999996,"LINESTRING (-2.1186139 51.4588168, -2.1187798 51.4587469, -2.1188859 51.4586999, -2.1189187 51.4586843, -2.1190323 51.4586302, -2.1191119 51.4585907)",,
35584322,False,,,Bath Road,tertiary,30 mph,,False,106.703,"LINESTRING (-2.1186139 51.4588168, -2.1184269 51.4589023, -2.1178675 51.4591643, -2.1177663 51.4592119, -2.117603 51.4592815, -2.1175467 51.4593057, -2.1173694 51.4593818)",,
42491159,False,,,New Road,tertiary,30 mph,,False,51.671,"LINESTRING (-2.1178104 51.4600466, -2.1181575 51.4604579)",,
32786474,False,,,Foghamshire,unclassified,,,False,114.689,"LINESTRING (-2.1178104 51.4600466, -2.117898 51.4600206, -2.1179798 51.4600026, -2.1181232 51.4599831, -2.1182724 51.4599735, -2.1184731 51.4599776, -2.118693 51.4599884, -2.1188608 51.4599989, -2.1190287 51.4600181, -2.1192555 51.4600558, -2.1194287 51.4600849)",,
32786485,False,,,Monkton Hill,unclassified,,,False,141.985,"LINESTRING (-2.1178104 51.4600466, -2.117528 51.4601587, -2.1171694 51.4603266, -2.116699 51.4605469, -2.1163268 51.4606978, -2.1162307 51.4607368, -2.1161331 51.460779)",,
34962807,False,,,The Bridge,tertiary,,,True,76.28999999999999,"LINESTRING (-2.1178104 51.4600466, -2.1177278 51.4599439, -2.1176663 51.4598674, -2.1173611 51.459504, -2.1173513 51.45949, -2.1173453 51.4594764, -2.1173425 51.4594638, -2.1173378 51.4594305)",,
27083733,False,,,The Causeway,tertiary,30 mph,,False,59.699,"LINESTRING (-2.1115089 51.4554697, -2.1113324 51.4553296, -2.1110593 51.4551398, -2.1109489 51.455062)",,
27083733,False,,,The Causeway,tertiary,30 mph,,True,87.648,"LINESTRING (-2.1115089 51.4554697, -2.1120211 51.4559466, -2.1121808 51.4561365)",,
32931204,False,,,Burlands Road,residential,,,True,108.669,"LINESTRING (-2.1115089 51.4554697, -2.1124872 51.4548177, -2.1125063 51.4548064, -2.1125277 51.4547961, -2.1125518 51.4547879, -2.1125792 51.4547824, -2.1126051 51.4547797)",,
27083733,False,,,The Causeway,tertiary,30 mph,,False,26.607,"LINESTRING (-2.1109489 51.455062, -2.1107797 51.4548472)",,
27083733,False,,,The Causeway,tertiary,30 mph,,True,59.699,"LINESTRING (-2.1109489 51.455062, -2.1110593 51.4551398, -2.1113324 51.4553296, -2.1115089 51.4554697)",,
34992522,False,,,The Butts,residential,,,False,14.746000000000002,"LINESTRING (-2.1109489 51.455062, -2.1108685 51.4550985, -2.1108162 51.4551242, -2.1107865 51.4551467)",,
27083733,False,,,The Causeway,tertiary,30 mph,,True,26.607,"LINESTRING (-2.1107797 51.4548472, -2.1109489 51.455062)",,
27083730,True,,,,tertiary,,roundabout,False,14.368000000000002,"LINESTRING (-2.1107797 51.4548472, -2.110739 51.4548521, -2.1106979 51.4548487, -2.1106606 51.4548373, -2.110631 51.4548192, -2.1106122 51.4547962)",,
27083730,True,,,,tertiary,,roundabout,False,18.035,"LINESTRING (-2.1106131 51.4547453, -2.1106339 51.4547216, -2.1106661 51.4547035, -2.1107062 51.4546931, -2.1107495 51.4546915, -2.1107912 51.454699, -2.1108266 51.4547146)",,
27083730,True,,,,tertiary,,roundabout,False,17.873,"LINESTRING (-2.1108266 51.4547146, -2.1108515 51.4547365, -2.1108636 51.4547622, -2.1108615 51.4547889, -2.1108453 51.4548138, -2.110817 51.4548339, -2.1107797 51.4548472)",,
27676617,False,,,The Butts,residential,,,False,9.532,"LINESTRING (-2.1108424 51.4560977, -2.110946 51.4561541)",,
27676539,False,,,Baydons Lane,residential,,,False,24.417,"LINESTRING (-2.1107033 51.4560129, -2.1104524 51.4558587)",,
