osmid,lanes,ref,highway,maxspeed,oneway,reversed,length,name,geometry,bridge,width
73386690,2,A99,primary,30 mph,False,True,22.033,,"LINESTRING (-3.0957794 58.4445776, -3.0955452 58.4444219)",,
73386675,2,,residential,,False,False,84.078,The Glebe,"LINESTRING (-3.0957794 58.4445776, -3.0961379 58.4445536, -3.0972126 58.4444817)",,
125240243,2,A99,primary,30 mph,False,False,123.66000000000001,George Street,"LINESTRING (-3.0957794 58.4445776, -3.0959315 58.4447302, -3.0960382 58.4448996, -3.0960888 58.445046, -3.0961357 58.4451925, -3.0961405 58.4452338, -3.0961511 58.4453249, -3.0961608 58.4454033, -3.0961542 58.4454977, -3.0961109 58.4456547)",,
125240243,2,A99,primary,30 mph,False,False,103.927,George Street,"LINESTRING (-3.0961109 58.4456547, -3.0960894 58.4457076, -3.0960291 58.4458237, -3.0957768 58.4463093, -3.0956479 58.4465573)",,
125240243,2,A99,primary,30 mph,False,True,123.66,George Street,"LINESTRING (-3.0961109 58.4456547, -3.0961542 58.4454977, -3.0961608 58.4454033, -3.0961511 58.4453249, -3.0961405 58.4452338, -3.0961357 58.4451925, -3.0960888 58.445046, -3.0960382 58.4448996, -3.0959315 58.4447302, -3.0957794 58.4445776)",,
"[506467488, 4839636]",,,"['residential', 'unclassified']",,False,False,316.39200000000005,"['Market Street', 'Victoria Place']","LINESTRING (-3.093407 58.441865, -3.0926985 58.4415029, -3.0925788 58.4414688, -3.0924813 58.4414522, -3.0923637 58.4414477, -3.0922583 58.441454, -3.0921483 58.4414874, -3.0915172 58.4417133, -3.0910445 58.4418865, -3.0905742 58.4420589, -3.0902426 58.4421742, -3.090117 58.4422084, -3.0899595 58.4422548, -3.0897792 58.4422932, -3.0894658 58.4423544, -3.0890067 58.4424497, -3.088816 58.4424759)",,
"[73386690, 39234031]",2,A99,primary,30 mph,False,False,202.999,Bridge Street,"LINESTRING (-3.093407 58.441865, -3.0929084 58.4421395, -3.092416 58.4424089, -3.0922104 58.4425212, -3.0920701 58.4426026, -3.092024 58.4426335, -3.0919941 58.4426672, -3.0923319 58.4428464, -3.092634 58.4429868, -3.0927082 58.4430213, -3.0928107 58.4430689, -3.0930188 58.4431657)",,
"[39234036, 112789590, 39234031]",2,A99,primary,30 mph,False,True,87.58999999999999,Bridge Street,"LINESTRING (-3.093407 58.441865, -3.0936301 58.4417405, -3.0936494 58.4417298, -3.0943093 58.4413671, -3.0943878 58.4413121, -3.0944261 58.4412861)",yes,
4839637,,,tertiary,,False,False,46.487,Church Street,"LINESTRING (-3.0948971 58.4441305, -3.0946699 58.4441993, -3.0942852 58.4443949)",,
73386690,2,A99,primary,30 mph,False,False,49.765,,"LINESTRING (-3.0948971 58.4441305, -3.0951667 58.4442397, -3.0955452 58.4444219)",,
73386690,2,A99,primary,30 mph,False,True,153.819,,"LINESTRING (-3.0948971 58.4441305, -3.0945928 58.4439329, -3.0943615 58.4437996, -3.0943256 58.4437827, -3.0941577 58.4437035, -3.0939324 58.4436325, -3.0936466 58.4434874, -3.093522 58.4434242, -3.0932196 58.4432643, -3.0930188 58.4431657)",,
4839637,,,tertiary,,False,True,46.487,Church Street,"LINESTRING (-3.0942852 58.4443949, -3.0946699 58.4441993, -3.0948971 58.4441305)",,
73350663,,,tertiary,,False,False,72.359,Louisburgh Street,"LINESTRING (-3.0942852 58.4443949, -3.0938185 58.4442245, -3.0932844 58.444009)",,
73350665,,,residential,,False,False,209.31900000000002,Green Road,"LINESTRING (-3.0942852 58.4443949, -3.0942101 58.4444787, -3.0941547 58.4445565, -3.0939049 58.4450031, -3.0938397 58.4451149, -3.0938171 58.4451601, -3.0936534 58.4454527, -3.0936463 58.4454654, -3.0935537 58.4456309, -3.0932383 58.4461946)",,
446893950,,,residential,,False,True,128.575,Kirk Hill,"LINESTRING (-3.0942852 58.4443949, -3.0955073 58.4448566, -3.0957705 58.4449848, -3.0958969 58.4451515)",,
301686298,,,residential,,False,False,18.227,Ashley Court,"LINESTRING (-3.0932844 58.444009, -3.0934158 58.4438602)",,
73350663,,,tertiary,,False,False,76.542,Louisburgh Street,"LINESTRING (-3.0932844 58.444009, -3.0931113 58.4439745, -3.0920178 58.4438252)",,
73350663,,,tertiary,,False,True,72.359,Louisburgh Street,"LINESTRING (-3.0932844 58.444009, -3.0938185 58.4442245, -3.0942852 58.4443949)",,
"[34857818, 73351566]",,,residential,,False,False,131.274,"['High Street', 'Shore Lane']","LINESTRING (-3.0895297 58.4434888, -3.0895103 58.4430858, -3.0895316 58.4426764, -3.08883 58.4426536)",,
73350663,,,tertiary,,False,False,63.376000000000005,Louisburgh Street,"LINESTRING (-3.0895297 58.4434888, -3.0893792 58.4437659, -3.0892271 58.4440363)",,
73350663,,,tertiary,,False,True,91.975,Louisburgh Street,"LINESTRING (-3.0895297 58.4434888, -3.089613 58.4434798, -3.0897405 58.4434808, -3.0901161 58.443526, -3.0910513 58.4436837)",,
73351570,2,,residential,,False,False,231.01300000000003,Whitehouse Park,"LINESTRING (-3.0895297 58.4434888, -3.0893826 58.4434912, -3.0892031 58.4434768, -3.0888483 58.4434496, -3.0883855 58.4434402, -3.0873803 58.4434792, -3.0863685 58.4435076, -3.0862613 58.4435402, -3.086171 58.4435875, -3.0860538 58.4436316, -3.085853 58.4436337, -3.0856522 58.4436275)",,
73350648,,,residential,,False,True,168.562,Girnigoe Street,"LINESTRING (-3.0892271 58.4440363, -3.0889081 58.4445851, -3.0884241 58.4454927)",,
73350663,,,tertiary,,False,True,63.376000000000005,Louisburgh Street,"LINESTRING (-3.0892271 58.4440363, -3.0893792 58.4437659, -3.0895297 58.4434888)",,
73386690,2,A99,primary,30 mph,False,False,22.033,,"LINESTRING (-3.0955452 58.4444219, -3.0957794 58.4445776)",,
73386690,2,A99,primary,30 mph,False,True,49.765,,"LINESTRING (-3.0955452 58.4444219, -3.0951667 58.4442397, -3.0948971 58.4441305)",,
297438197,,,residential,20 mph,False,True,241.608,St. Fergus Road,"LINESTRING (-3.0955452 58.4444219, -3.0956481 58.4443479, -3.095764 58.4442232, -3.0958827 58.4440556, -3.0959862 58.4438575, -3.0960308 58.443794, -3.0960308 58.4437621, -3.0960308 58.443731, -3.0959172 58.4436367, -3.0950925 58.4431801, -3.094619 58.442918, -3.0945179 58.4428754, -3.094382 58.4428517, -3.094274 58.4428316, -3.0940499 58.4427898)",,
4846423,,,residential,,True,False,68.095,Whitechapel Road,"LINESTRING (-3.0930188 58.4431657, -3.0935311 58.4428194, -3.0937882 58.4427084)",,
73386690,2,A99,primary,30 mph,False,False,153.819,,"LINESTRING (-3.0930188 58.4431657, -3.0932196 58.4432643, -3.093522 58.4434242, -3.0936466 58.4434874, -3.0939324 58.4436325, -3.0941577 58.4437035, -3.0943256 58.4437827, -3.0943615 58.4437996, -3.0945928 58.4439329, -3.0948971 58.4441305)",,
"[73386690, 39234031]",2,A99,primary,30 mph,False,True,202.999,Bridge Street,"LINESTRING (-3.0930188 58.4431657, -3.0928107 58.4430689, -3.0927082 58.4430213, -3.092634 58.4429868, -3.0923319 58.4428464, -3.0919941 58.4426672, -3.092024 58.4426335, -3.0920701 58.4426026, -3.0922104 58.4425212, -3.092416 58.4424089, -3.0929084 58.4421395, -3.093407 58.441865)",,
73350711,,,residential,,False,True,46.754,Miller Street,"LINESTRING (-3.0899791 58.4399877, -3.0901205 58.4404016)",,
73350713,,U3805,residential,,False,False,109.357,Bank Row,"LINESTRING (-3.0899791 58.4399877, -3.0897229 58.4399859, -3.0895418 58.4399687, -3.0889548 58.4398969, -3.0881561 58.4397678)",,
34857752,,,residential,,False,False,145.894,Henrietta Street,"LINESTRING (-3.0956479 58.4465573, -3.0945306 58.4463885, -3.0932383 58.4461946)",,
125240243,2,A99,primary,30 mph,False,True,103.92699999999999,George Street,"LINESTRING (-3.0956479 58.4465573, -3.0957768 58.4463093, -3.0960291 58.4458237, -3.0960894 58.4457076, -3.0961109 58.4456547)",,
34857752,,,residential,,False,True,69.548,Henrietta Street,"LINESTRING (-3.0884241 58.4454927, -3.0895777 58.4456563)",,
73352719,,,residential,,False,True,76.571,Girnigoe Street,"LINESTRING (-3.0884241 58.4454927, -3.0880227 58.4461485)",,
34857752,,,residential,,False,False,146.508,Henrietta Street,"LINESTRING (-3.0884241 58.4454927, -3.0879565 58.4454179, -3.0871446 58.4452929, -3.0860102 58.4451182)",,
73350648,,,residential,,False,False,168.562,Girnigoe Street,"LINESTRING (-3.0884241 58.4454927, -3.0889081 58.4445851, -3.0892271 58.4440363)",,
146342772,,,unclassified,,False,True,19.776,,"LINESTRING (-3.08883 58.4426536, -3.088816 58.4424759)",,
"[34857818, 73351566]",,,residential,,False,True,131.274,"['High Street', 'Shore Lane']","LINESTRING (-3.08883 58.4426536, -3.0895316 58.4426764, -3.0895103 58.4430858, -3.0895297 58.4434888)",,
"[73350704, 73350687]",,B9159,secondary,,False,"[False, True]",130.371,"['Harbour Quay', 'Martha Terrace']","LINESTRING (-3.0887054 58.4414166, -3.0872778 58.4415384, -3.0871283 58.4411304)",,
73350708,,,residential,,False,False,47.458,Williamson Street,"LINESTRING (-3.0887054 58.4414166, -3.088692 58.441337, -3.0885724 58.4409958)",,
"[146342772, 146342773, 146342774]",,,unclassified,,False,"[False, True]",118.11000000000001,Harbour Bridge,"LINESTRING (-3.0887054 58.4414166, -3.0887439 58.4415497, -3.0887596 58.4416035, -3.0887675 58.4416571, -3.0887751 58.4417261, -3.0887947 58.4423092, -3.088816 58.4424759)",yes,
"[301356056, 145703562]",,B9159,secondary,,False,True,143.044,Martha Terrace,"LINESTRING (-3.0887054 58.4414166, -3.0889465 58.4413796, -3.0899053 58.4412818, -3.09008 58.4412526, -3.0902001 58.4412219, -3.0905263 58.4411275, -3.0907527 58.4410574, -3.0909939 58.4409861)",,
145703555,,,residential,,False,False,140.72299999999998,Station Road,"LINESTRING (-3.0964779 58.4416746, -3.0963244 58.4417468, -3.0961956 58.4417804, -3.0960132 58.4417973, -3.095936 58.4417971, -3.0958572 58.4417897, -3.095745 58.441758, -3.0946907 58.4413823, -3.0945773 58.4413406, -3.0944944 58.4413088, -3.0944261 58.4412861)",,
145703557,2,,unclassified,,False,False,87.557,Creamery Road,"LINESTRING (-3.0964779 58.4416746, -3.0966066 58.4417131, -3.0966882 58.441735, -3.0967468 58.4417413, -3.0968813 58.4417558, -3.0974376 58.4418111, -3.09793 58.44186)",,
145703558,,,residential,,False,True,176.90600000000003,Bankhead,"LINESTRING (-3.0964779 58.4416746, -3.0965333 58.4415938, -3.0967645 58.4409781, -3.0969413 58.4405525, -3.0970269 58.4403254, -3.0971088 58.4401192)",,
4839627,,,unclassified,,False,False,107.607,Newton Road,"LINESTRING (-3.0971088 58.4401192, -3.0971993 58.4399857, -3.0973248 58.4398387, -3.0975147 58.439636, -3.0977224 58.4395026, -3.0980843 58.4393141)",,
41745780,,A882,primary,,False,True,124.036,Thurso Road,"LINESTRING (-3.0971088 58.4401192, -3.0974371 58.44016, -3.0983784 58.4402435, -3.0985236 58.4402566, -3.0992034 58.4403237)",,
73350659,,A882,primary,,False,False,96.76400000000001,Thurso Street,"LINESTRING (-3.0971088 58.4401192, -3.0968521 58.4400629, -3.0963506 58.4399317, -3.0956141 58.4397387)",,
145703558,,,residential,,False,False,176.906,Bankhead,"LINESTRING (-3.0971088 58.4401192, -3.0970269 58.4403254, -3.0969413 58.4405525, -3.0967645 58.4409781, -3.0965333 58.4415938, -3.0964779 58.4416746)",,
73356282,,,residential,,False,False,65.519,Dempster Street,"LINESTRING (-3.0941048 58.4393458, -3.0930925 58.439088)",,
73386682,,A99,trunk,30 mph,False,True,90.77,Francis Street,"LINESTRING (-3.0941048 58.4393458, -3.0940165 58.4385308)",,
145703550,2,A99,primary,30 mph,False,False,86.346,Cliff Road,"LINESTRING (-3.0941048 58.4393458, -3.0941915 58.440121)",,
73350659,,A882,primary,,False,True,98.108,Thurso Street,"LINESTRING (-3.0941048 58.4393458, -3.0948407 58.4395413, -3.0956141 58.4397387)",,
34857752,,,residential,,False,False,68.452,Henrietta Street,"LINESTRING (-3.0907916 58.4458381, -3.0896613 58.4456675)",,
34857752,,,residential,,False,True,147.786,Henrietta Street,"LINESTRING (-3.0907916 58.4458381, -3.0932383 58.4461946)",,
73350652,,,residential,,False,False,170.355,Coach Road,"LINESTRING (-3.0907916 58.4458381, -3.0916156 58.444368)",,
73350654,,,residential,,False,False,80.019,Ackergill Street,"LINESTRING (-3.0907916 58.4458381, -3.0904272 58.446532)",,
73350652,,,residential,,False,True,64.376,Coach Road,"LINESTRING (-3.0919534 58.4438167, -3.0916156 58.444368)",,
73350663,,,tertiary,,False,False,12.513,Louisburgh Street,"LINESTRING (-3.0919534 58.4438167, -3.0917447 58.4437896)",,
73350663,,,tertiary,,False,True,3.865,Louisburgh Street,"LINESTRING (-3.0919534 58.4438167, -3.0920178 58.4438252)",,
73350654,,,residential,,False,True,80.019,Ackergill Street,"LINESTRING (-3.0904272 58.446532, -3.0907916 58.4458381)",,
34857752,,,residential,,False,False,147.786,Henrietta Street,"LINESTRING (-3.0932383 58.4461946, -3.0907916 58.4458381)",,
34857752,,,residential,,False,True,145.894,Henrietta Street,"LINESTRING (-3.0932383 58.4461946, -3.0945306 58.4463885, -3.0956479 58.4465573)",,
73350665,,,residential,,False,True,209.319,Green Road,"LINESTRING (-3.0932383 58.4461946, -3.0935537 58.4456309, -3.0936463 58.4454654, -3.0936534 58.4454527, -3.0938171 58.4451601, -3.0938397 58.4451149, -3.0939049 58.4450031, -3.0941547 58.4445565, -3.0942101 58.4444787, -3.0942852 58.4443949)",,
