osmid,lanes,name,highway,maxspeed,oneway,reversed,length,ref,geometry,bridge,junction,access
38715973,2,Parkfield Road,tertiary,30 mph,False,True,14.753,,"LINESTRING (-1.3122976 54.5597021, -1.3121393 54.5597979)",,,
564435152,3,Bridge Road,primary,30 mph,True,False,27.282,A1305,"LINESTRING (-1.3122976 54.5597021, -1.3126323 54.5598522)",,,
38715973,2,Parkfield Road,tertiary,30 mph,False,False,14.753,,"LINESTRING (-1.3121393 54.5597979, -1.3122976 54.5597021)",,,
"[231548833, 364254413, 306324052, 303861978, 964257276]","['1', '2']",,primary_link,30 mph,True,False,72.75399999999999,A1305,"LINESTRING (-1.3121393 54.5597979, -1.3120301 54.5598388, -1.3119311 54.5598328, -1.3118784 54.5598113, -1.3117978 54.5597747, -1.3116049 54.5597049, -1.3114813 54.5596714, -1.3113735 54.5596791, -1.3112998 54.5597083, -1.3111781 54.5597774)",,,
31794695,2,Prince Regent Street,primary,30 mph,True,False,13.402,A1305,"LINESTRING (-1.3149537 54.5616568, -1.3148949 54.5615412)",,,
113716929,3,Prince Regent Street,primary,30 mph,False,True,88.547,A1305,"LINESTRING (-1.3149537 54.5616568, -1.3149551 54.5616672, -1.3149576 54.5616849, -1.314962 54.5617234, -1.3149838 54.561914, -1.3150322 54.5624518)",,,
"[31987145, 113716908]","['4', '3']",Prince Regent Street,primary,30 mph,False,False,120.128,A1305,"LINESTRING (-1.3151435 54.56426, -1.3151364 54.5640978, -1.315111 54.563519, -1.3151004 54.5632764, -1.3150927 54.5631801)",,,
35429044,2,Dovecot Street,residential,30 mph,False,False,27.843,,"LINESTRING (-1.3151435 54.56426, -1.3154663 54.564209, -1.3155602 54.5641942)",,,
513097812,4,Nelson Terrace,primary,30 mph,False,True,78.79400000000001,A1305,"LINESTRING (-1.3151435 54.56426, -1.3151194 54.5643699, -1.3151078 54.5644433, -1.3150983 54.5644941, -1.3150755 54.5646089, -1.3150162 54.5649647)",,,
31987143,4,Nelson Terrace,primary,30 mph,False,True,167.98399999999998,A1305,"LINESTRING (-1.3150162 54.5649647, -1.3149802 54.5652412, -1.3150173 54.5653832, -1.3150817 54.5654842, -1.3151736 54.565586, -1.3153505 54.5656873, -1.3156259 54.5658027, -1.3158089 54.5659284, -1.3159861 54.5661318, -1.3160642 54.5662576)",,,
38346373,2,Cobden Street,unclassified,30 mph,False,False,31.173000000000002,,"LINESTRING (-1.3150162 54.5649647, -1.315156 54.5649667, -1.3154997 54.5649666)",,,
513097812,4,Nelson Terrace,primary,30 mph,False,False,78.79400000000001,A1305,"LINESTRING (-1.3150162 54.5649647, -1.3150755 54.5646089, -1.3150983 54.5644941, -1.3151078 54.5644433, -1.3151194 54.5643699, -1.3151435 54.56426)",,,
37765853,2,Leeds Street,primary,30 mph,True,False,61.268,A1305,"LINESTRING (-1.3161841 54.5676574, -1.3161425 54.5677507, -1.3160889 54.56783, -1.3160393 54.5678945, -1.315987 54.5679458, -1.3159494 54.5679847, -1.3158461 54.568057, -1.3157161 54.5681239)",,,
"[513097825, 31987146]",1,Leeds Street,primary_link,30 mph,True,False,63.623999999999995,A1305,"LINESTRING (-1.3161841 54.5676574, -1.3162056 54.5677795, -1.316172 54.5678487, -1.3161439 54.5679171, -1.3161305 54.5679777, -1.3161479 54.5680438, -1.3162029 54.5681169, -1.3162863 54.5682039)",,,
48733906,,Inkerman Street,residential,30 mph,False,False,10.016,,"LINESTRING (-1.3167224 54.5682839, -1.3166855 54.5683714)",,,
"[115871411, 513097821]","['2', '3']",Bishopton Lane,tertiary,30 mph,False,False,29.488999999999997,,"LINESTRING (-1.3167224 54.5682839, -1.3166273 54.5682681, -1.3163672 54.5682195, -1.3162863 54.5682039)",,,
