osmid,highway,oneway,reversed,length,name,geometry,lanes
231072972,residential,False,False,114.617,,"LINESTRING (45.3143849 34.6340044, 45.3134643 34.6347035)",
231072988,residential,False,False,47.885,,"LINESTRING (45.3143849 34.6340044, 45.3140191 34.6336964)",
231072988,residential,False,True,59.841,,"LINESTRING (45.3143849 34.6340044, 45.3148461 34.634386)",
231072968,residential,False,False,54.535,,"LINESTRING (45.3178849 34.6340464, 45.318316 34.6337077)",
231072968,residential,False,True,46.253,,"LINESTRING (45.3178849 34.6340464, 45.317517 34.6343317)",
231072978,residential,False,False,76.016,,"LINESTRING (45.3178849 34.6340464, 45.3173179 34.6335467)",
230945752,residential,False,False,16.941,,"LINESTRING (45.3130348 34.634428, 45.3131808 34.6345217)",
230945752,residential,False,True,34.199,,"LINESTRING (45.3130348 34.634428, 45.31274 34.6342389)",
231072971,residential,False,True,87.404,,"LINESTRING (45.3130348 34.634428, 45.3137434 34.6339008)",
231069985,tertiary,False,False,113.499,,"LINESTRING (45.318776 34.6333485, 45.317928 34.6326035)",
231069985,tertiary,False,True,51.093,,"LINESTRING (45.318776 34.6333485, 45.3191577 34.6336839)",
231072968,residential,False,True,58.022,,"LINESTRING (45.318776 34.6333485, 45.318316 34.6337077)",
231069984,residential,False,False,31.107,,"LINESTRING (45.3183048 34.6350032, 45.3185409 34.6352045)",
231069984,residential,False,True,35.039,,"LINESTRING (45.3183048 34.6350032, 45.3180388 34.6347765)",
231072989,residential,False,False,46.43,,"LINESTRING (45.3183048 34.6350032, 45.3186805 34.6347225)",
231072969,residential,False,True,94.4,,"LINESTRING (45.3173839 34.6352666, 45.316673 34.6346513)",
231072980,residential,False,False,51.29,,"LINESTRING (45.3173839 34.6352666, 45.3169691 34.6355769)",
231072980,residential,False,True,80.993,,"LINESTRING (45.3173839 34.6352666, 45.3180388 34.6347765)",
230945752,residential,False,False,17.301,,"LINESTRING (45.3125909 34.6341432, 45.31274 34.6342389)",
230945752,residential,False,True,32.433,,"LINESTRING (45.3125909 34.6341432, 45.3123113 34.6339639)",
231072981,residential,False,True,91.637,,"LINESTRING (45.3125909 34.6341432, 45.3133255 34.633583)",
231072984,residential,False,False,32.543,,"LINESTRING (45.318934 34.6349278, 45.3186805 34.6347225)",
231072984,residential,False,True,94.914,,"LINESTRING (45.318934 34.6349278, 45.3196732 34.6355267)",
231072986,residential,False,True,49.756,,"LINESTRING (45.318934 34.6349278, 45.3193464 34.6346361)",
230945754,secondary,False,False,48.984,شەقامی سەرسەنگ,"LINESTRING (45.3156244 34.6337711, 45.3160106 34.633466)",2
230945754,secondary,False,True,49.565,شەقامی سەرسەنگ,"LINESTRING (45.3156244 34.6337711, 45.3152336 34.6340798)",2
231072987,residential,False,False,86.333,,"LINESTRING (45.3156244 34.6337711, 45.3162702 34.6343372)",
231069999,residential,False,False,15.663,,"LINESTRING (45.3163775 34.6350709, 45.3162588 34.6349694)",
231069999,residential,False,True,78.072,,"LINESTRING (45.3163775 34.6350709, 45.3169691 34.6355769)",
231075215,residential,False,False,52.703,,"LINESTRING (45.3163775 34.6350709, 45.3159619 34.6353991)",
231075215,residential,False,True,50.656,,"LINESTRING (45.3155625 34.6357146, 45.3159619 34.6353991)",
231072966,residential,False,True,88.882,,"LINESTRING (45.3125214 34.633579, 45.3132316 34.6330336)",
231075215,residential,False,False,50.656,,"LINESTRING (45.3159619 34.6353991, 45.3155625 34.6357146)",
