osmid,name,highway,oneway,reversed,length,lanes,maxspeed,geometry,junction,access
24671302,Namoli Avenue,residential,False,True,108.322,,,"LINESTRING (177.457175 -17.6079632, 177.4569106 -17.6070222)",,
241114894,Drasa Avenue,primary,False,True,30.757,2,50,"LINESTRING (177.457175 -17.6079632, 177.4574442 -17.6078599)",,
241114894,Drasa Avenue,primary,False,False,114.404,2,50,"LINESTRING (177.457175 -17.6079632, 177.4568654 -17.6081055, 177.4561897 -17.6083829)",,
182623705,Yasawa Street,residential,False,False,173.286,,,"LINESTRING (177.4547313 -17.6028647, 177.4551302 -17.604376)",,
182787419,,residential,False,False,89.956,,,"LINESTRING (177.4547313 -17.6028647, 177.4544442 -17.6021034)",,
24671706,Tukani Street,residential,False,False,100.474,2,,"LINESTRING (177.4547313 -17.6028647, 177.4541252 -17.6030689, 177.4538371 -17.6031647)",,
24671706,Tukani Street,residential,False,True,112.084,2,,"LINESTRING (177.4547313 -17.6028647, 177.4552338 -17.6027021, 177.4557354 -17.6025485)",,
182627043,Tui Street,residential,False,True,132.772,2,,"LINESTRING (177.4493521 -17.6025471, 177.4496151 -17.6031201, 177.4496612 -17.603687)",,
"[182624120, 841994759]",Nede Street,residential,False,False,269.806,,,"LINESTRING (177.4493521 -17.6025471, 177.4505873 -17.6020332, 177.4511129 -17.6030592)",,
24671302,Namoli Avenue,residential,False,True,52.672,,,"LINESTRING (177.4566746 -17.6060596, 177.4565547 -17.6055999)",,
45472543,Vitogo Parade,secondary,False,True,124.93,2,,"LINESTRING (177.4566746 -17.6060596, 177.4555146 -17.6058601)",,
24671302,Namoli Avenue,residential,False,False,63.199,,,"LINESTRING (177.4566746 -17.6060596, 177.4566992 -17.6061569, 177.4568123 -17.6066126)",,
24671695,Saqa Street,residential,False,True,43.519,,,"LINESTRING (177.4511129 -17.6030592, 177.4514871 -17.6028981)",,
24671695,Saqa Street,residential,False,False,169.006,,,"LINESTRING (177.4511129 -17.6030592, 177.4504106 -17.6033826, 177.4496612 -17.603687)",,
182624120,Nede Street,residential,False,False,129.57,,,"LINESTRING (177.4511129 -17.6030592, 177.4511376 -17.6032083, 177.4510655 -17.6035852, 177.450956 -17.6042077)",,
"[182624120, 841994759]",Nede Street,residential,False,True,269.806,,,"LINESTRING (177.4511129 -17.6030592, 177.4505873 -17.6020332, 177.4493521 -17.6025471)",,
24671695,Saqa Street,residential,False,False,43.519,,,"LINESTRING (177.4514871 -17.6028981, 177.4511129 -17.6030592)",,
182627043,Tui Street,residential,False,False,6.848,2,,"LINESTRING (177.4496662 -17.6037484, 177.4496612 -17.603687)",,
182786195,,residential,True,False,28.774,,,"LINESTRING (177.4496662 -17.6037484, 177.4497423 -17.6039968)",,
24671700,Naviti Street,secondary,True,False,15.29,2,,"LINESTRING (177.450956 -17.6042077, 177.4510995 -17.6042218)",,
182624120,Nede Street,residential,False,False,49.572,,,"LINESTRING (177.450956 -17.6042077, 177.4508728 -17.6046464)",,
182624120,Nede Street,residential,False,True,129.57,,,"LINESTRING (177.450956 -17.6042077, 177.4510655 -17.6035852, 177.4511376 -17.6032083, 177.4511129 -17.6030592)",,
24671700,Naviti Street,secondary,True,False,140.727,2,,"LINESTRING (177.4522534 -17.6043975, 177.4535584 -17.6046309)",,
182623083,Vidilo Street,residential,True,False,53.637,,,"LINESTRING (177.4522534 -17.6043975, 177.4521683 -17.604873)",,
182623100,Vidilo Street,residential,False,True,85.699,,,"LINESTRING (177.4522534 -17.6043975, 177.4524047 -17.6036404)",,
24671700,Naviti Street,secondary,True,False,170.323,2,,"LINESTRING (177.4535584 -17.6046309, 177.45513 -17.6049507)",,
24671710,Vakabale Street,residential,True,False,90.708,,,"LINESTRING (177.4535584 -17.6046309, 177.453721 -17.60383)",,
24671700,Naviti Street,secondary,True,False,15.636,2,,"LINESTRING (177.4495951 -17.6039875, 177.4497423 -17.6039968)",,
1047781969,Tui Street,residential,True,False,27.634,2,,"LINESTRING (177.4495951 -17.6039875, 177.4496662 -17.6037484)",,
24671706,Tukani Street,residential,False,True,110.416,2,,"LINESTRING (177.4514368 -17.6039948, 177.4514819 -17.6039592, 177.4515258 -17.6039324, 177.4515659 -17.6039146, 177.4516007 -17.6039004, 177.4524047 -17.6036404)",,
182794109,Tukani Street,residential,True,False,33.534,,,"LINESTRING (177.4514368 -17.6039948, 177.4513608 -17.6041132, 177.4513688 -17.6042758)",,
24671706,Tukani Street,residential,False,False,130.817,2,,"LINESTRING (177.4538371 -17.6031647, 177.4536372 -17.6032283, 177.4526698 -17.6035469)",,
24671706,Tukani Street,residential,False,True,100.474,2,,"LINESTRING (177.4538371 -17.6031647, 177.4541252 -17.6030689, 177.4547313 -17.6028647)",,
24671710,Vakabale Street,residential,True,False,74.995,,,"LINESTRING (177.453721 -17.60383, 177.4538371 -17.6031647)",,
35979223,Bila Street,residential,True,False,121.13900000000001,,,"LINESTRING (177.453721 -17.60383, 177.4528544 -17.603688, 177.4527325 -17.6036657, 177.4526698 -17.6035469)",,
24671715,,residential,False,False,145.422,,,"LINESTRING (177.4572259 -17.6031599, 177.4572029 -17.6032659, 177.4571218 -17.6033545, 177.4569957 -17.6034309, 177.4560527 -17.6037045)",,
24671715,,residential,False,True,283.19899999999996,,,"LINESTRING (177.4572259 -17.6031599, 177.4571789 -17.6013727, 177.4571657 -17.6013344, 177.4571425 -17.6012894, 177.4571051 -17.6012403, 177.4569614 -17.6011229, 177.456923 -17.6011085, 177.4568648 -17.6010991, 177.4567997 -17.6011044, 177.4565248 -17.6011682)",,
