osmid,ref,highway,oneway,reversed,length,geometry,bridge,maxspeed
1197646512,IR6,primary,False,False,26.259,"LINESTRING (-1.6894189 6.2116314, -1.6895678 6.2114474)",,
1197646512,IR6,primary,False,True,35.907,"LINESTRING (-1.6894189 6.2116314, -1.6892418 6.2119021)",,
446897365,IR3,primary,False,True,27.206000000000003,"LINESTRING (-1.6894189 6.2116314, -1.6892794 6.2115061, -1.6892393 6.2114643)",,
446897365,IR3,primary,False,False,17.354,"LINESTRING (-1.6884063 6.2111875, -1.6885632 6.2111928)",,
446897365,IR3,primary,False,True,273.04,"LINESTRING (-1.6884063 6.2111875, -1.6876221 6.2112359, -1.6875641 6.2112395, -1.6873495 6.2112701, -1.6871108 6.2113355, -1.6864255 6.2116048, -1.6863088 6.2116248, -1.6862069 6.2116154, -1.6861224 6.2115848, -1.6860272 6.2115221)",,
"[720891769, 720891770, 590610541]",,residential,False,False,192.30400000000003,"LINESTRING (-1.6884063 6.2111875, -1.6884318 6.2109742, -1.6884385 6.2108702, -1.6884291 6.2108208, -1.6883942 6.2107822, -1.6882789 6.2107462, -1.6882387 6.2107475, -1.6882052 6.2107582, -1.6880751 6.2108315, -1.6880308 6.2108462, -1.6878927 6.2108542, -1.6878431 6.2108608, -1.687664 6.2109115, -1.6876432 6.2109095, -1.6876271 6.2109008, -1.6874794 6.2104159)",yes,
446897365,IR3,primary,False,False,6.299,"LINESTRING (-1.6891949 6.2114288, -1.6892393 6.2114643)",,
446897365,IR3,primary,False,True,75.515,"LINESTRING (-1.6891949 6.2114288, -1.6890393 6.2113288, -1.6888757 6.2112595, -1.6887 6.2112141, -1.6885632 6.2111928)",,
620812076,,primary_link,True,False,55.195,"LINESTRING (-1.6891949 6.2114288, -1.689266 6.2115728, -1.6892834 6.2116341, -1.6892847 6.2116888, -1.6892713 6.2117661, -1.6892418 6.2119021)",,
205757684,,residential,False,False,499.1820000000001,"LINESTRING (-1.685181 6.2073131, -1.6857523 6.2071984, -1.6864255 6.2071024, -1.6869298 6.2070331, -1.6874176 6.2070235, -1.6877643 6.2070804, -1.6878176 6.2070891, -1.687902 6.2071242, -1.6880389 6.2071811, -1.6881889 6.2072318, -1.6883848 6.2072793, -1.688454 6.2072961, -1.6885 6.2073073, -1.6888113 6.2073957, -1.6889106 6.2074464, -1.6889414 6.2074811, -1.6889468 6.2075144, -1.6889253 6.207837, -1.6889086 6.2078864, -1.688871 6.2079503, -1.6888254 6.2080204, -1.6887806 6.2080862)",,
205757690,,residential,False,False,115.35700000000001,"LINESTRING (-1.685181 6.2073131, -1.6852547 6.2077704, -1.6853084 6.208105, -1.6853231 6.2082272, -1.6853226 6.2083396)",,30
205757690,,residential,False,False,195.217,"LINESTRING (-1.6862507 6.2080852, -1.6866362 6.2079221, -1.6868443 6.2078724, -1.6870409 6.2078282, -1.6873951 6.2078104, -1.6876365 6.207833, -1.6878444 6.2078797, -1.6879574 6.2079232)",,30
205757690,,residential,False,True,106.93400000000001,"LINESTRING (-1.6862507 6.2080852, -1.6857748 6.2082292, -1.6856048 6.2082971, -1.6855175 6.2083222, -1.6854224 6.2083343, -1.6853226 6.2083396)",,30
633190164,,residential,False,False,93.521,"LINESTRING (-1.6862507 6.2080852, -1.6863526 6.2083612, -1.6864011 6.2084552, -1.6864389 6.2084975, -1.6867762 6.2086863)",,
205757690,,residential,False,False,39.546,"LINESTRING (-1.6879574 6.2079232, -1.6879517 6.2082788)",,30
205757684,,residential,False,True,92.834,"LINESTRING (-1.6879574 6.2079232, -1.6881166 6.207945, -1.6883446 6.2079971, -1.6885096 6.2080331, -1.6886819 6.208067, -1.6887806 6.2080862)",,
