osmid,highway,oneway,reversed,length,name,ref,geometry
201742528,residential,False,False,31.791,,,"LINESTRING (-1.9331642 7.5805795, -1.9332059 7.5808624)"
201742644,residential,False,False,58.604,,,"LINESTRING (-1.9331642 7.5805795, -1.9336903 7.5805033)"
201742644,residential,False,True,82.17,,,"LINESTRING (-1.9331642 7.5805795, -1.932427 7.5806894)"
201742644,residential,False,False,32.754,,,"LINESTRING (-1.9321319 7.580724, -1.932427 7.5806894)"
1233327732,unclassified,False,False,31.216,,,"LINESTRING (-1.9321319 7.580724, -1.9321584 7.5810035)"
201742506,tertiary,False,False,9.923,Magazine Avenue,,"LINESTRING (-1.9402859 7.5807917, -1.940302 7.5808795)"
447971197,primary,True,False,197.486,,R71,"LINESTRING (-1.9402859 7.5807917, -1.9389201 7.5810083, -1.9385152 7.5810621)"
201742528,residential,False,False,31.51,,,"LINESTRING (-1.9332535 7.5811856, -1.9332994 7.5814653)"
201742528,residential,False,True,36.319,,,"LINESTRING (-1.9332535 7.5811856, -1.9332059 7.5808624)"
628038307,residential,False,False,54.546,,,"LINESTRING (-1.9332535 7.5811856, -1.9337432 7.5811149)"
628038307,residential,False,True,83.35,,,"LINESTRING (-1.9332535 7.5811856, -1.9325053 7.5812943)"
201742506,tertiary,False,False,20.371,Magazine Avenue,,"LINESTRING (-1.940419 7.581905, -1.9404351 7.5820875)"
201742506,tertiary,False,True,114.757,Magazine Avenue,,"LINESTRING (-1.940419 7.581905, -1.940302 7.5808795)"
201742627,residential,False,False,70.506,Kaako Street,,"LINESTRING (-1.940419 7.581905, -1.9397845 7.5819854)"
201742506,tertiary,False,False,84.369,Magazine Avenue,,"LINESTRING (-1.9404351 7.5820875, -1.9405058 7.582843)"
201742506,tertiary,False,True,20.371,Magazine Avenue,,"LINESTRING (-1.9404351 7.5820875, -1.940419 7.581905)"
201742479,residential,False,False,29.233,Aduana Gyaase Link,,"LINESTRING (-1.9381738 7.5822071, -1.9382131 7.5824671)"
201742479,residential,False,True,38.476,Aduana Gyaase Link,,"LINESTRING (-1.9381738 7.5822071, -1.9381234 7.5818647)"
201742627,residential,False,False,54.185,Kaako Street,,"LINESTRING (-1.9381738 7.5822071, -1.9376878 7.5822804)"
201742627,residential,False,True,27.378,Kaako Street,,"LINESTRING (-1.9381738 7.5822071, -1.9384195 7.582171)"
201742506,tertiary,False,False,92.073,Magazine Avenue,,"LINESTRING (-1.940565 7.5835307, -1.9407003 7.5843478)"
201742506,tertiary,False,True,76.747,Magazine Avenue,,"LINESTRING (-1.940565 7.5835307, -1.9405455 7.5833043, -1.9405058 7.582843)"
201742683,residential,False,False,237.119,,,"LINESTRING (-1.940565 7.5835307, -1.9397642 7.5834664, -1.939319 7.5834624, -1.9391379 7.5834691, -1.9389528 7.583493, -1.9385063 7.5836113, -1.938466 7.5836313, -1.9384459 7.5836499)"
201742515,residential,False,True,21.912,Ohene Ameyaw Avenue,,"LINESTRING (-1.9347382 7.5846765, -1.9348127 7.5848592)"
