osmid,name,highway,oneway,reversed,length,lanes,ref,geometry,junction,bridge
134956639,Rivera,residential,False,True,23.137,,,"LINESTRING (-55.150113 -33.469746, -55.1503587 -33.4697101)",,
134956660,Rivera,residential,False,False,82.204,,,"LINESTRING (-55.150113 -33.469746, -55.1496692 -33.4703859)",,
203163552,Ruta 7 General Aparicio Saravia,secondary,False,True,106.128,2,7,"LINESTRING (-55.150113 -33.469746, -55.1503095 -33.4704904, -55.1503647 -33.470677)",,
203163552,Ruta 7 General Aparicio Saravia,secondary,False,False,16.318,2,7,"LINESTRING (-55.1504151 -33.4708176, -55.1503647 -33.470677)",,
203163552,Ruta 7 General Aparicio Saravia,secondary,False,True,53.642,2,7,"LINESTRING (-55.1504151 -33.4708176, -55.1505525 -33.4712862)",,
426364029,19 de Abril,residential,False,True,21.951,,,"LINESTRING (-55.1504151 -33.4708176, -55.1506453 -33.4707718)",,
426364031,19 de Abril,residential,True,False,83.721,,,"LINESTRING (-55.1504151 -33.4708176, -55.1500419 -33.4706815, -55.1496055 -33.4704861)",,
"[189287513, 681494620, 681494621]",,secondary,True,False,35.094,2,7,"LINESTRING (-55.1523035 -33.4761039, -55.1522394 -33.4761186, -55.1521719 -33.4761203, -55.152106 -33.4761087, -55.1520451 -33.4760844, -55.1519658 -33.4760214)",roundabout,yes
681494614,Ruta 7 General Aparicio Saravia,secondary,True,False,50.563,1,7,"LINESTRING (-55.1519146 -33.4758448, -55.1518299 -33.4756296, -55.1517567 -33.4754097)",,
681494619,,secondary,True,False,30.677999999999997,2,7,"LINESTRING (-55.1519146 -33.4758448, -55.1519218 -33.4758292, -55.1519482 -33.475772, -55.1519914 -33.4757224, -55.1520484 -33.4756838, -55.1521323 -33.4756559)",roundabout,
134955517,Joaquín Suárez,tertiary,False,False,125.191,2,,"LINESTRING (-55.1514928 -33.4745346, -55.1508692 -33.4755331)",,
203163552,Ruta 7 General Aparicio Saravia,secondary,False,False,131.00799999999998,2,7,"LINESTRING (-55.1514928 -33.4745346, -55.1513814 -33.4740599, -55.1511822 -33.4733856)",,
203163552,Ruta 7 General Aparicio Saravia,secondary,False,True,100.352,2,7,"LINESTRING (-55.1514928 -33.4745346, -55.1516063 -33.4749411, -55.1517567 -33.4754097)",,
134956654,Francisco De León,residential,False,True,182.696,,,"LINESTRING (-55.1505525 -33.4712862, -55.1495997 -33.4727242)",,
203163552,Ruta 7 General Aparicio Saravia,secondary,False,False,53.642,2,7,"LINESTRING (-55.1505525 -33.4712862, -55.1504151 -33.4708176)",,
203163552,Ruta 7 General Aparicio Saravia,secondary,False,True,183.91,2,7,"LINESTRING (-55.1505525 -33.4712862, -55.151037 -33.47289)",,
134955540,18 de Julio,tertiary,True,False,9.246,,,"LINESTRING (-55.1519658 -33.4760214, -55.1518675 -33.4760352)",,
681494620,,secondary,True,False,13.963999999999999,2,7,"LINESTRING (-55.1519658 -33.4760214, -55.1519281 -33.475959, -55.1519168 -33.4759041)",roundabout,
203163552,Ruta 7 General Aparicio Saravia,secondary,False,False,100.352,2,7,"LINESTRING (-55.1517567 -33.4754097, -55.1516063 -33.4749411, -55.1514928 -33.4745346)",,
681494615,Ruta 7 General Aparicio Saravia,secondary,True,False,44.811,1,7,"LINESTRING (-55.1517567 -33.4754097, -55.1518833 -33.4755234, -55.1519981 -33.4756004, -55.1521323 -33.4756559)",,
134955519,Doctor Gianarelli,residential,False,False,129.814,,,"LINESTRING (-55.1424767 -33.4695063, -55.143706 -33.4700643)",,
134955519,Doctor Gianarelli,residential,False,False,116.896,,,"LINESTRING (-55.143706 -33.4700643, -55.1448106 -33.4705704)",,
134955519,Doctor Gianarelli,residential,False,True,129.814,,,"LINESTRING (-55.143706 -33.4700643, -55.1424767 -33.4695063)",,
134955519,Doctor Gianarelli,residential,False,False,120.672,,,"LINESTRING (-55.1448106 -33.4705704, -55.1459589 -33.4710805)",,
134955519,Doctor Gianarelli,residential,False,True,116.896,,,"LINESTRING (-55.1448106 -33.4705704, -55.143706 -33.4700643)",,
134955539,Colón,residential,False,True,223.71,,,"LINESTRING (-55.1448106 -33.4705704, -55.1436614 -33.4723392)",,
134955519,Doctor Gianarelli,residential,False,False,30.219,,,"LINESTRING (-55.1470439 -33.4715697, -55.1473304 -33.4716991)",,
134955519,Doctor Gianarelli,residential,False,True,114.399,,,"LINESTRING (-55.1470439 -33.4715697, -55.1459589 -33.4710805)",,
189287506,Bulevar General José Artigas,tertiary,True,False,90.306,,,"LINESTRING (-55.1470439 -33.4715697, -55.1474989 -33.4708517)",,
134955519,Doctor Gianarelli,residential,False,False,121.834,,,"LINESTRING (-55.1473304 -33.4716991, -55.1484854 -33.4722209)",,
134955519,Doctor Gianarelli,residential,False,True,30.219,,,"LINESTRING (-55.1473304 -33.4716991, -55.1470439 -33.4715697)",,
134956657,Bulevar General José Artigas,tertiary,True,False,118.805,,,"LINESTRING (-55.1473304 -33.4716991, -55.1469651 -33.472275, -55.1467314 -33.4726435)",,
134955539,Colón,residential,False,False,223.71,,,"LINESTRING (-55.1436614 -33.4723392, -55.1448106 -33.4705704)",,
747165045,18 de Julio,residential,False,True,102.882,,,"LINESTRING (-55.1436614 -33.4723392, -55.1446352 -33.4727822)",,
134955539,Colón,residential,False,True,225.983,,,"LINESTRING (-55.1436614 -33.4723392, -55.14299 -33.473345, -55.1425033 -33.474127)",,
134955539,Colón,residential,False,True,98.355,,,"LINESTRING (-55.1425033 -33.474127, -55.141977 -33.4748949)",,
189287518,Sarandí,residential,False,True,117.259,,,"LINESTRING (-55.1425033 -33.474127, -55.1436158 -33.4746279)",,
134955539,Colón,residential,False,False,225.983,,,"LINESTRING (-55.1425033 -33.474127, -55.14299 -33.473345, -55.1436614 -33.4723392)",,
134955540,18 de Julio,tertiary,True,False,123.258,,,"LINESTRING (-55.1496274 -33.4750848, -55.1484661 -33.4745459)",,
177004719,Castelar,residential,False,False,219.746,,,"LINESTRING (-55.1496274 -33.4750848, -55.1484828 -33.4768151)",,
177004719,Castelar,residential,False,True,10.338,,,"LINESTRING (-55.1496274 -33.4750848, -55.1496797 -33.4750027)",,
134955517,Joaquín Suárez,tertiary,False,False,225.469,2,,"LINESTRING (-55.1508241 -33.4756053, -55.1496351 -33.4773739)",,
134955517,Joaquín Suárez,tertiary,False,True,9.053,2,,"LINESTRING (-55.1508241 -33.4756053, -55.1508692 -33.4755331)",,
134955540,18 de Julio,tertiary,True,False,125.178,,,"LINESTRING (-55.1508241 -33.4756053, -55.1496274 -33.4750848)",,
134956664,Camino de las Tropas,residential,False,False,229.86,,,"LINESTRING (-55.1518675 -33.4760352, -55.1506256 -33.4778241)",,
134955540,18 de Julio,tertiary,True,False,109.432,,,"LINESTRING (-55.1518675 -33.4760352, -55.1517422 -33.4760314, -55.1516166 -33.4760012, -55.1508241 -33.4756053)",,
177004719,Castelar,residential,False,True,77.005,,,"LINESTRING (-55.1481025 -33.4774307, -55.1484828 -33.4768151)",,
134956649,Mevir Oficial 1,residential,False,False,117.938,,,"LINESTRING (-55.1481025 -33.4774307, -55.1474903 -33.477167, -55.1470129 -33.4768885)",,
134956663,Lavalleja,residential,False,False,225.088,,,"LINESTRING (-55.1471009 -33.4692944, -55.1459589 -33.4710805)",,
426364034,19 de Abril,residential,True,False,114.943,,,"LINESTRING (-55.1471009 -33.4692944, -55.1472882 -33.4693286, -55.1482099 -33.4697437)",,
134956639,Rivera,residential,False,False,23.137,,,"LINESTRING (-55.1503587 -33.4697101, -55.150113 -33.469746)",,
134956662,Ruta 7 General Aparicio Saravia,residential,False,True,121.012,,,"LINESTRING (-55.1503587 -33.4697101, -55.1506453 -33.4707718)",,
189287506,Bulevar General José Artigas,tertiary,True,False,10.408,,,"LINESTRING (-55.1481578 -33.4698266, -55.1482099 -33.4697437)",,
426364031,19 de Abril,residential,True,False,115.122,,,"LINESTRING (-55.1481578 -33.4698266, -55.1472523 -33.4694172, -55.1471009 -33.4692944)",,
134956657,Bulevar General José Artigas,tertiary,True,False,130.264,,,"LINESTRING (-55.1484323 -33.4699523, -55.1477801 -33.4709898)",,
426364031,19 de Abril,residential,True,False,29.046,,,"LINESTRING (-55.1484323 -33.4699523, -55.1481578 -33.4698266)",,
134956660,Rivera,residential,False,False,219.1,,,"LINESTRING (-55.1496055 -33.4704861, -55.1484854 -33.4722209)",,
134956660,Rivera,residential,False,True,12.611,,,"LINESTRING (-55.1496055 -33.4704861, -55.1496692 -33.4703859)",,
426364031,19 de Abril,residential,True,False,123.956,,,"LINESTRING (-55.1496055 -33.4704861, -55.1484323 -33.4699523)",,
134955519,Doctor Gianarelli,residential,False,False,114.399,,,"LINESTRING (-55.1459589 -33.4710805, -55.1470439 -33.4715697)",,
134955519,Doctor Gianarelli,residential,False,True,120.672,,,"LINESTRING (-55.1459589 -33.4710805, -55.1448106 -33.4705704)",,
134956663,Lavalleja,residential,False,False,118.874,,,"LINESTRING (-55.1459589 -33.4710805, -55.1453434 -33.4720182)",,
134956663,Lavalleja,residential,False,True,225.088,,,"LINESTRING (-55.1459589 -33.4710805, -55.1471009 -33.4692944)",,
134956642,José María Dubra,residential,False,True,116.113,,,"LINESTRING (-55.1453434 -33.4720182, -55.1464481 -33.4725094)",,
134956663,Lavalleja,residential,False,False,100.446,,,"LINESTRING (-55.1453434 -33.4720182, -55.1448193 -33.4728087)",,
