osmid,ref,name,highway,maxspeed,oneway,reversed,length,geometry,lanes,junction
"[229917035, 229917030]",155,Třeboňská,secondary,50,False,False,118.496,"LINESTRING (14.6461379 48.9015907, 14.6471146 48.9021106, 14.6474045 48.9022557)",,
"[229917033, 229925397]",15517,Krčínova,tertiary,50,False,False,204.261,"LINESTRING (14.6461379 48.9015907, 14.6462507 48.9015109, 14.6467114 48.9009967, 14.6473226 48.9003431, 14.6476519 48.9000504)",,
"[525665905, 229917029]",155,Třeboňská,secondary,50,False,True,80.96199999999999,"LINESTRING (14.6461379 48.9015907, 14.6457216 48.9013224, 14.6453358 48.9010887)",2,
229925403,155;157,Budějovická,secondary,50,False,True,80.501,"LINESTRING (14.6417696 48.9018571, 14.6419706 48.9011453)",2,
25754354,,Budějovická,residential,50,False,False,53.510999999999996,"LINESTRING (14.6417696 48.9018571, 14.641937 48.9018642, 14.6425013 48.9018683)",,
"[524947203, 229925403]",155;157,Budějovická,secondary,50,False,False,98.785,"LINESTRING (14.6417696 48.9018571, 14.6416185 48.902535, 14.6415803 48.9027367)",2,
115893761,,Třeboňská,residential,50,False,True,54.181,"LINESTRING (14.6447246 48.9008216, 14.6449953 48.900368)",,
229917029,155,Třeboňská,secondary,50,False,False,54.102000000000004,"LINESTRING (14.6447246 48.9008216, 14.644845 48.9008531, 14.6450298 48.9009202, 14.6451656 48.9009886, 14.6453358 48.9010887)",,
1159206941,155,Třeboňská,secondary,50,False,True,154.86599999999999,"LINESTRING (14.6447246 48.9008216, 14.6438679 48.9005834, 14.6427734 48.9002789)",,
524944924,,Žižkovo náměstí,residential,50,False,True,60.687,"LINESTRING (14.6422487 48.9004854, 14.6421091 48.9004537, 14.6414619 48.9003112)",,
525665900,155;157,Žižkovo náměstí,secondary,50,False,False,76.142,"LINESTRING (14.6422487 48.9004854, 14.6421179 48.9007941, 14.6419706 48.9011453)",2,
"[525665900, 182778894]",155;157,Žižkovo náměstí,secondary,50,False,True,34.782,"LINESTRING (14.6422487 48.9004854, 14.6422882 48.9003736, 14.642329 48.9001774)",2,
"[524724907, 9577301]",157,Nádražní,secondary,50,False,True,165.215,"LINESTRING (14.6436964 48.8953792, 14.6435151 48.8960676, 14.6433319 48.8968455)",,
77640005,155;157,Budějovická,secondary,50,False,False,24.063,"LINESTRING (14.6415803 48.9027367, 14.6413362 48.9028819)",2,
"[229925403, 524947203]",155;157,Budějovická,secondary,50,False,True,98.785,"LINESTRING (14.6415803 48.9027367, 14.6416185 48.902535, 14.6417696 48.9018571)",2,
524947353,,Vodárenská,residential,50,False,True,33.742000000000004,"LINESTRING (14.6415803 48.9027367, 14.6415721 48.9028297, 14.6415584 48.9030398)",,
9577386,157,Žižkovo náměstí,secondary,50,False,False,122.786,"LINESTRING (14.6425073 48.8987956, 14.6424614 48.8989811, 14.6424518 48.8990775, 14.6424263 48.8992564, 14.6423994 48.8995121, 14.6423666 48.8998952)",,
25535650,,Žižkovo náměstí,residential,50,False,False,43.88,"LINESTRING (14.6425073 48.8987956, 14.6424087 48.898785, 14.6419801 48.8987388, 14.6419149 48.8987318)",,
"[227578549, 524724911]",157,Nádražní,secondary,50,False,False,232.59699999999998,"LINESTRING (14.6425073 48.8987956, 14.6426723 48.8985301, 14.6427175 48.8984509, 14.6427621 48.898406, 14.6428499 48.8983496, 14.6429471 48.8982528, 14.6429873 48.8981782, 14.6430132 48.8980869, 14.6430136 48.898003, 14.6429737 48.8978068, 14.6429283 48.8976277, 14.6429219 48.8975172, 14.6429926 48.8973782, 14.6433319 48.8968455)",,
25535650,,Žižkovo náměstí,residential,50,False,True,43.879999999999995,"LINESTRING (14.6419149 48.8987318, 14.6419801 48.8987388, 14.6424087 48.898785, 14.6425073 48.8987956)",,
"[229916344, 524940705, 524940706]",,Petra z Lindy,residential,"['50', '30']",False,False,276.493,"LINESTRING (14.6419149 48.8987318, 14.6418695 48.898686, 14.6418297 48.8986457, 14.6416941 48.8985745, 14.6415771 48.8985442, 14.6414003 48.8984983, 14.6407407 48.8983273, 14.6405171 48.8982406, 14.6400111 48.8980284, 14.6399162 48.8979876, 14.6398259 48.8979488, 14.6394559 48.8978233, 14.6390832 48.8977242, 14.6385976 48.8975874)",,
229916346,,Žižkovo náměstí,residential,50,True,False,116.58500000000001,"LINESTRING (14.6419149 48.8987318, 14.6418741 48.8988749, 14.6418507 48.8990549, 14.6418428 48.8992343, 14.6418254 48.8994983, 14.6418233 48.8997768)",,
442189654,14618,Trocnovská,tertiary,50,False,False,52.854,"LINESTRING (14.6397212 48.8962718, 14.6390725 48.8960619)",,
524940706,,Petra z Lindy,residential,50,False,True,167.79,"LINESTRING (14.6397212 48.8962718, 14.639432 48.8965967, 14.6391829 48.8968814, 14.6391006 48.8969746, 14.6385976 48.8975874)",,
"[525655768, 525655770, 227578546]",14618,Trocnovská,tertiary,50,False,True,217.882,"LINESTRING (14.6397212 48.8962718, 14.6399628 48.8963494, 14.6403206 48.8964556, 14.640551 48.8965209, 14.6407995 48.8965807, 14.6411267 48.8966365, 14.6414639 48.8966668, 14.6418524 48.8966774, 14.6420905 48.8966835, 14.6425882 48.8966957)",,
442189654,14618,Trocnovská,tertiary,50,False,True,52.854,"LINESTRING (14.6390725 48.8960619, 14.6397212 48.8962718)",,
25535734,,Okružní,residential,50,False,True,85.815,"LINESTRING (14.6390725 48.8960619, 14.6391133 48.8960163, 14.6391302 48.8959975, 14.6396819 48.8954023)",,
525655764,14618,Trocnovská,tertiary,50,False,False,99.697,"LINESTRING (14.6390725 48.8960619, 14.638204 48.8957336, 14.6378902 48.895615)",,
524724915,,Na Výsluní,residential,50,False,True,37.387,"LINESTRING (14.6396819 48.8954023, 14.640193 48.8953904)",,
25535734,,Okružní,residential,50,False,False,85.815,"LINESTRING (14.6396819 48.8954023, 14.6391302 48.8959975, 14.6391133 48.8960163, 14.6390725 48.8960619)",,
25535811,14618,Trocnovská,tertiary,50,False,True,57.018,"LINESTRING (14.6425882 48.8966957, 14.6430792 48.8967783, 14.6432008 48.8968044, 14.6433319 48.8968455)",,
"[525655768, 525655770, 227578546]",14618,Trocnovská,tertiary,50,False,False,217.88200000000003,"LINESTRING (14.6425882 48.8966957, 14.6420905 48.8966835, 14.6418524 48.8966774, 14.6414639 48.8966668, 14.6411267 48.8966365, 14.6407995 48.8965807, 14.640551 48.8965209, 14.6403206 48.8964556, 14.6399628 48.8963494, 14.6397212 48.8962718)",,
524724918,,Nová,residential,50,False,True,43.392,"LINESTRING (14.6425882 48.8966957, 14.6425712 48.8966164, 14.6425257 48.8963077)",,
