osmid,oneway,name,highway,reversed,length,geometry,ref,maxspeed,lanes,bridge,tunnel,junction
"[955799768, 27782859]",True,Fibichova,residential,False,178.386,"LINESTRING (15.7908941 49.9480379, 15.7908374 49.9480137, 15.7907116 49.9479597, 15.7905537 49.9478919, 15.7905017 49.9478689, 15.7903838 49.9478192, 15.7901063 49.9476999, 15.7899391 49.9476282, 15.7893339 49.9473685, 15.789203 49.9473123, 15.7888927 49.9471792, 15.7888205 49.9471473)",,,,,,
955799767,True,Palackého třída,primary,False,67.92399999999999,"LINESTRING (15.7908941 49.9480379, 15.7909468 49.9479897, 15.7912903 49.9476856, 15.7914562 49.9475457)",17,50,,,,
955799771,True,Palackého třída,primary,False,72.839,"LINESTRING (15.7909013 49.9481446, 15.7903117 49.9486786)",17,50,,,,
27858654,True,Fibichova,residential,False,69.695,"LINESTRING (15.7909013 49.9481446, 15.7909622 49.9481714, 15.7917086 49.9484953)",,,,,,
955197489,False,Husova,residential,True,6.697,"LINESTRING (15.7886658 49.9525092, 15.7887151 49.952458)",,,,,,
"[691320385, 955197487]",True,Masarykovo náměstí,secondary,False,73.786,"LINESTRING (15.7886658 49.9525092, 15.7885214 49.9524405, 15.7882315 49.9523103, 15.788168 49.9522825, 15.7881065 49.952257, 15.7880611 49.9522409, 15.788035 49.9522327, 15.7879943 49.952222, 15.787955 49.9522139, 15.7879326 49.9522107, 15.787905 49.9522084, 15.7878613 49.952208, 15.7878228 49.95221, 15.7877741 49.9522134)",324,50,1,,,
955799778,True,Palackého třída,primary,False,121.707,"LINESTRING (15.788447 49.9506163, 15.7888386 49.9500249, 15.7890099 49.9498093, 15.7890771 49.9497314, 15.789168 49.9496261)",17,50,,,,
27388701,True,Škroupova,tertiary,False,3.277,"LINESTRING (15.7922625 49.9469146, 15.7922984 49.9469329)",34019,,,,,
950058153,False,Poděbradova,tertiary,True,40.495,"LINESTRING (15.7944197 49.9552607, 15.794526 49.9552844, 15.7945831 49.9552944, 15.7949651 49.9553574)",34026,,,,,
"[1016675540, 691320431]",False,Poděbradova,tertiary,False,92.783,"LINESTRING (15.7944197 49.9552607, 15.7943272 49.9552356, 15.7941443 49.9551851, 15.7940233 49.9551482, 15.7937235 49.9550486, 15.7935847 49.9549992, 15.7932609 49.9548873)",34026,,,,,
955754008,False,Rubešova,residential,False,5.738,"LINESTRING (15.8010736 49.9523113, 15.8010307 49.9522677)",,,,,,
"[27690208, 27793601, 27793600, 27401405, 27690207]",True,Rubešova,tertiary,False,254.05999999999997,"LINESTRING (15.8010736 49.9523113, 15.8009367 49.952369, 15.8008304 49.9524197, 15.8007459 49.9524638, 15.800676 49.9525051, 15.800593 49.9525597, 15.8005095 49.9526172, 15.800445 49.9526728, 15.8003866 49.9527346, 15.8003142 49.9528224, 15.8002662 49.9528866, 15.8002186 49.9529661, 15.8001729 49.9530545, 15.8001241 49.9531588, 15.800078 49.9532724, 15.800041 49.9533983, 15.8000015 49.9535486, 15.7999469 49.9537561, 15.7999068 49.9538955, 15.7998734 49.953989, 15.7998367 49.954083, 15.7997985 49.9541651, 15.799757 49.9542436, 15.7997301 49.9542881, 15.7996985 49.9543329)",,,,yes,,
27782822,False,Resselovo náměstí,residential,True,118.291,"LINESTRING (15.7953873 49.9512433, 15.795349 49.9512531, 15.7951824 49.9512991, 15.7945117 49.9515118, 15.7939078 49.9517172)",,30,,,,
946009294,True,Školní náměstí,residential,False,43.336,"LINESTRING (15.7953873 49.9512433, 15.7955059 49.9511961, 15.7955285 49.9511882, 15.7955541 49.9511816, 15.7958404 49.9511168, 15.7958717 49.9511118, 15.795899 49.9511089, 15.7959483 49.9511057)",,30,,,,
27793660,False,Opletalova,residential,True,30.51,"LINESTRING (15.8002664 49.9509843, 15.8001114 49.95099, 15.7998411 49.951004)",,,,,,
27858628,False,Sladkovského,residential,False,43.185,"LINESTRING (15.8002664 49.9509843, 15.8002762 49.9510249, 15.8002891 49.9510779, 15.8003733 49.9513665)",,,,,,
27388689,False,Soukenická,residential,False,89.14200000000001,"LINESTRING (15.7918117 49.9510049, 15.7920076 49.9509173, 15.7925003 49.950697, 15.7925477 49.9506734, 15.7925933 49.9506449, 15.7926405 49.9506079, 15.792675 49.9505707, 15.7926936 49.950541, 15.7927074 49.9505124, 15.792711 49.950483)",,30,,,,
27782815,False,Čs. partyzánů,residential,False,51.447,"LINESTRING (15.7918117 49.9510049, 15.7917943 49.9509787, 15.7917765 49.9509574, 15.7917622 49.9509449, 15.7917159 49.9509044, 15.7915106 49.9507248, 15.7914881 49.9507002, 15.7914706 49.9506742, 15.7914475 49.9506278, 15.7914401 49.9506129)",,30,,,,
27782815,False,Čs. partyzánů,residential,True,92.538,"LINESTRING (15.7918117 49.9510049, 15.7918162 49.9510221, 15.791815 49.9510441, 15.7918091 49.9510588, 15.7918053 49.9510682, 15.7917885 49.9510972, 15.7915759 49.9513679, 15.7915272 49.95143, 15.7914648 49.9515094, 15.7914368 49.9515468, 15.7914305 49.9515573, 15.7914234 49.9515689, 15.7914148 49.9515897, 15.7914095 49.951617, 15.7914058 49.951657, 15.7914036 49.951716, 15.7914008 49.9517777)",,30,,,,
27388704,True,Rooseveltova,residential,False,119.24600000000001,"LINESTRING (15.7910533 49.9501607, 15.7910372 49.950104, 15.7910237 49.9500817, 15.7909784 49.9500464, 15.7909324 49.9500227, 15.7908846 49.9500088, 15.7908306 49.9499988, 15.7907769 49.9499946, 15.7907262 49.9499917, 15.7906672 49.9499898, 15.7897473 49.9499597, 15.789682 49.9499543, 15.7896289 49.9499453, 15.7895912 49.9499362, 15.7895414 49.9499212)",,,,,,
27782856,False,Husova,residential,False,307.98999999999995,"LINESTRING (15.7910533 49.9501607, 15.7909875 49.9502003, 15.7909575 49.9502138, 15.7908994 49.9502334, 15.7908393 49.9502579, 15.7905679 49.9504712, 15.7905192 49.9505016, 15.7904369 49.9505485, 15.7903853 49.9505849, 15.7903511 49.9506165, 15.7901453 49.950828, 15.7900659 49.9508976, 15.7898113 49.9511842, 15.7895083 49.9515253, 15.7894673 49.9515798, 15.7894041 49.9516637, 15.7890612 49.952071, 15.7888178 49.9523513, 15.7887151 49.952458)",,,,,,
27782856,False,Husova,residential,True,139.799,"LINESTRING (15.7910533 49.9501607, 15.7911971 49.9500743, 15.7912163 49.9500631, 15.7912353 49.9500476, 15.7912636 49.9500223, 15.7912817 49.9500022, 15.7916156 49.9495988, 15.7919999 49.949142, 15.7920468 49.9490863)",,,,,,
"[27388705, 27388706, 217693333, 27782815]",False,Čs. partyzánů,residential,True,57.973,"LINESTRING (15.7910533 49.9501607, 15.7910608 49.950197, 15.7910678 49.9502225, 15.7910816 49.9502461, 15.7911134 49.9502821, 15.7912877 49.9504491, 15.7913147 49.9504766, 15.7914135 49.9505784, 15.7914401 49.9506129)",,30,,yes,,
27782822,False,Resselovo náměstí,residential,False,118.29100000000001,"LINESTRING (15.7939078 49.9517172, 15.7945117 49.9515118, 15.7951824 49.9512991, 15.795349 49.9512531, 15.7953873 49.9512433)",,30,,,,
"[27782822, 217693335]",False,"['Resselovo náměstí', 'Široká']",residential,True,103.14,"LINESTRING (15.7939078 49.9517172, 15.7938715 49.9517288, 15.793762 49.9517651, 15.7935656 49.9518243, 15.7934021 49.9518683, 15.7933076 49.9518916, 15.7932039 49.9519129, 15.7930973 49.9519317, 15.7929948 49.951948, 15.7929047 49.9519598, 15.7928025 49.951971, 15.7927071 49.9519782, 15.7926309 49.9519827, 15.7925417 49.9519866)",,30,,,,
27793660,False,Opletalova,residential,False,83.90599999999999,"LINESTRING (15.7986753 49.9510678, 15.7987562 49.9510738, 15.7988082 49.9510756, 15.7988698 49.9510751, 15.7989253 49.9510713, 15.7997755 49.9510075, 15.7998411 49.951004)",,,,,,
