osmid,ref,name,highway,maxspeed,oneway,reversed,length,geometry,width,bridge
27296449,4173,Brněnská,tertiary,50,False,False,31.715,"LINESTRING (16.722432 49.1657929, 16.7220439 49.1659231)",,
27296449,4173,Brněnská,tertiary,50,False,True,114.22400000000002,"LINESTRING (16.722432 49.1657929, 16.7224576 49.1657868, 16.7226573 49.1657477, 16.7228043 49.1657362, 16.7229373 49.1657372, 16.72339 49.165765, 16.7236767 49.1657978, 16.7239773 49.1658431)",,
27470875,,Komenského,residential,,True,False,146.02,"LINESTRING (16.722432 49.1657929, 16.7224792 49.1658282, 16.7227629 49.1661047, 16.723131 49.1665241, 16.7234734 49.1669142)",,
50560783,4171,Brněnská,tertiary,50,False,True,7.976,"LINESTRING (16.7258978 49.1664972, 16.7259671 49.1665528)",,
27296449,4173,Brněnská,tertiary,50,False,False,157.927,"LINESTRING (16.7258978 49.1664972, 16.725703 49.1664076, 16.7251702 49.1661997, 16.7246072 49.1660162, 16.724299 49.1659176, 16.7239773 49.1658431)",,
1195053209,4171,Nádražní,tertiary,,False,False,112.26799999999999,"LINESTRING (16.7258978 49.1664972, 16.725949 49.1663796, 16.7260746 49.1660499, 16.7262786 49.1656259, 16.7263096 49.1655248)",7,
32245919,15286,Čechova,tertiary,,False,True,54.829,"LINESTRING (16.7263096 49.1655248, 16.7264875 49.1655345, 16.7266333 49.165536, 16.7270628 49.1655261)",8,
1195053209,4171,Nádražní,tertiary,,False,True,112.268,"LINESTRING (16.7263096 49.1655248, 16.7262786 49.1656259, 16.7260746 49.1660499, 16.725949 49.1663796, 16.7258978 49.1664972)",7,
90454581,15286,Svatojánské nám.,tertiary,,False,True,20.108,"LINESTRING (16.7301649 49.1667501, 16.7302316 49.1665746)",6,
34316993,,Janská,living_street,,False,False,124.766,"LINESTRING (16.7301649 49.1667501, 16.7300259 49.1667681, 16.7295972 49.166841, 16.7294216 49.1668341, 16.7285355 49.1666004)",4,
90454581,15286,Svatojánské nám.,tertiary,,False,False,19.318,"LINESTRING (16.7301649 49.1667501, 16.7301865 49.1668163, 16.7301996 49.1668563, 16.7302507 49.1669122)",6,
90454581,15286,Svatojánské nám.,tertiary,,False,True,14.035,"LINESTRING (16.7302541 49.1670384, 16.7302529 49.1669936, 16.7302507 49.1669122)",6,
