osmid,name,highway,oneway,reversed,length,geometry,lanes,maxspeed,junction,ref,tunnel
8878392,U Kapličky,residential,False,False,99.973,"LINESTRING (14.7460764 50.1643957, 14.7464474 50.1652628)",,,,,
"[1043766088, 8878393, 8087367]","['Na Stráni', 'Na Nábřeží']",residential,False,True,824.028,"LINESTRING (14.7460764 50.1643957, 14.7440414 50.1647353, 14.7424991 50.1649782, 14.7423354 50.1650382, 14.742186 50.1651311, 14.7410463 50.1659298, 14.7410131 50.1659651, 14.7410151 50.1659961, 14.7410393 50.1660195, 14.7412123 50.1661148, 14.7412726 50.1661211, 14.7413373 50.1661139, 14.7442506 50.1656278, 14.7464474 50.1652628)",,,,,
8087369,U Kapličky,residential,False,False,69.325,"LINESTRING (14.7460764 50.1643957, 14.7460431 50.1642958, 14.7458746 50.1637858)",2,,,,
8089447,Na Stráni,residential,False,False,230.174,"LINESTRING (14.7460764 50.1643957, 14.7462227 50.1643767, 14.7465308 50.1643368, 14.7467444 50.1643103, 14.7469847 50.1642805, 14.7471021 50.1642659, 14.7475463 50.1642107, 14.7476433 50.1641987, 14.7476697 50.1641954, 14.7481886 50.164131, 14.7489886 50.1640316, 14.7491644 50.1640098, 14.7492479 50.163999)",,30,,,
914086174,U Kapličky,residential,True,False,12.003,"LINESTRING (14.7457476 50.1634102, 14.7456326 50.1633313)",,,,,
8087369,U Kapličky,residential,False,True,42.734,"LINESTRING (14.7457476 50.1634102, 14.7458491 50.1637144, 14.7458746 50.1637858)",2,,,,
8087392,Rumunská,residential,False,True,17.411,"LINESTRING (14.7435222 50.1600824, 14.7433789 50.1600996, 14.7433416 50.1601029, 14.7432812 50.1601082)",,,,,
202282667,Sokolovská,tertiary,False,True,132.375,"LINESTRING (14.7435222 50.1600824, 14.7436587 50.1601948, 14.7436761 50.1602089, 14.7440143 50.1605079, 14.7441326 50.1606155, 14.7444129 50.1608633, 14.7445985 50.1610522)",2,30,,,
561218965,Rumunská,residential,False,False,74.88900000000001,"LINESTRING (14.7435222 50.1600824, 14.7436842 50.1600617, 14.7437009 50.1600597, 14.7437131 50.1600582, 14.7441057 50.1600101, 14.7444017 50.1599738, 14.7445533 50.1599514)",,30,,,
914086175,U Kapličky,residential,True,False,11.35,"LINESTRING (14.7457417 50.1633082, 14.7457476 50.1634102)",,,,,
