osmid,ref,name,highway,maxspeed,oneway,reversed,length,geometry,bridge,access,lanes
207896185,118;605,Politických vězňů,secondary,50,False,True,68.84,"LINESTRING (14.0707951 49.9649585, 14.0706466 49.9648973, 14.0706004 49.964875, 14.0702638 49.9647245, 14.0701671 49.9646774, 14.0701003 49.9646316, 14.0700665 49.9645998, 14.0700492 49.9645769)",,,
338332226,118;605,Politických vězňů,secondary,50,False,False,183.045,"LINESTRING (14.0707951 49.9649585, 14.0709875 49.9650177, 14.0712303 49.9650982, 14.0715227 49.9651958, 14.0719486 49.9653339, 14.0723833 49.9654854, 14.072889 49.9656602, 14.0729489 49.9656836, 14.073054 49.9657303)",,,
338332229,1166,Wagnerovo nám.,tertiary,,False,False,55.863,"LINESTRING (14.0707951 49.9649585, 14.0707455 49.9650721, 14.0705915 49.9654435)",,,
39869397,,Náměstí M. Poštové,residential,,False,True,91.434,"LINESTRING (14.0702795 49.9630232, 14.0703837 49.9629737, 14.0704568 49.9629016, 14.0706914 49.9622664)",,,
207896185,118;605,Politických vězňů,secondary,50,False,False,159.633,"LINESTRING (14.0702795 49.9630232, 14.0703372 49.9631191, 14.0703694 49.9631939, 14.0703906 49.9632848, 14.070386 49.9633898, 14.0702834 49.9636726, 14.070205 49.9638886, 14.0701074 49.9641578, 14.070035 49.9643572, 14.0700164 49.9644209)",,,
"[338332226, 13142280, 30960599, 158874011, 158874014]",118;605,"['Pražská', 'Politických vězňů']",secondary,50,False,False,474.055,"LINESTRING (14.073054 49.9657303, 14.0730925 49.9657482, 14.0736418 49.9660031, 14.0739609 49.9661648, 14.0743941 49.9663797, 14.0764326 49.9673696, 14.0783509 49.9682926)",yes,,
338332226,118;605,Politických vězňů,secondary,50,False,True,183.04500000000002,"LINESTRING (14.073054 49.9657303, 14.0729489 49.9656836, 14.072889 49.9656602, 14.0723833 49.9654854, 14.0719486 49.9653339, 14.0715227 49.9651958, 14.0712303 49.9650982, 14.0709875 49.9650177, 14.0707951 49.9649585)",,,
"[338332226, 13142280, 30960599, 158874011, 158874014]",118;605,"['Pražská', 'Politických vězňů']",secondary,50,False,True,474.05500000000006,"LINESTRING (14.0783509 49.9682926, 14.0764326 49.9673696, 14.0743941 49.9663797, 14.0739609 49.9661648, 14.0736418 49.9660031, 14.0730925 49.9657482, 14.073054 49.9657303)",yes,,
207896185,118;605,Politických vězňů,secondary,50,False,False,17.891000000000002,"LINESTRING (14.0700164 49.9644209, 14.0700068 49.9644665, 14.0700122 49.9645075, 14.0700283 49.9645489, 14.0700492 49.9645769)",,,
207896185,118;605,Politických vězňů,secondary,50,False,True,159.63299999999998,"LINESTRING (14.0700164 49.9644209, 14.070035 49.9643572, 14.0701074 49.9641578, 14.070205 49.9638886, 14.0702834 49.9636726, 14.070386 49.9633898, 14.0703906 49.9632848, 14.0703694 49.9631939, 14.0703372 49.9631191, 14.0702795 49.9630232)",,,
