osmid,lanes,ref,name,highway,oneway,reversed,length,geometry,maxspeed,bridge,access,width,junction
9624183,2,22,Strakonická,primary,False,False,90.273,"LINESTRING (13.7027295 49.321863, 13.7029385 49.3218301, 13.7030659 49.3217999, 13.7031927 49.3217607, 13.703324 49.3217033, 13.7035743 49.321556, 13.7037667 49.3214427)",,,,,
19791388,,,Loretská,residential,False,False,237.87000000000003,"LINESTRING (13.7027295 49.321863, 13.7027671 49.3219695, 13.7027755 49.3219931, 13.7030962 49.3225088, 13.7032886 49.3228089, 13.7034223 49.3230175, 13.7035551 49.3232248, 13.7036737 49.3234097, 13.7038915 49.3237495, 13.7039629 49.3238432)",,,,,
"[544545320, 512660243, 512660244]","['2', '3']",22,Strakonická,primary,False,True,143.214,"LINESTRING (13.7027295 49.321863, 13.7026004 49.3218814, 13.7020993 49.3219589, 13.7010194 49.3221193, 13.7008026 49.322148)",,,,,
"[9624800, 199510779]",,139,Blatenská,secondary,False,False,160.429,"LINESTRING (13.7045548 49.3210219, 13.7046799 49.3210893, 13.7050122 49.3212754, 13.705102 49.3213266, 13.7051779 49.3213751, 13.7052086 49.3214024, 13.7052348 49.3214301, 13.70528 49.3214852, 13.705504 49.3217759, 13.7058062 49.3221807)",,,,,
"[154144465, 544545319]",3,22,Strakonická,primary,False,True,68.148,"LINESTRING (13.7045548 49.3210219, 13.7044972 49.321058, 13.7044345 49.3210934, 13.7041399 49.3212427, 13.7038275 49.3214099)",,,,,
"[397891201, 544545318]","['2', '3']",22,Strakonická,primary,False,False,67.72,"LINESTRING (13.7045548 49.3210219, 13.7045909 49.320994, 13.7046192 49.32097, 13.7046568 49.3209311, 13.7047562 49.3208164, 13.704917 49.320645, 13.7049894 49.3205805, 13.7050349 49.3205478, 13.7050804 49.3205216)",,,,,
512660241,3,22,Strakonická,primary,False,True,8.479,"LINESTRING (13.7008026 49.322148, 13.700687 49.3221597)",,,,,
"[544545320, 512660243, 512660244]","['2', '3']",22,Strakonická,primary,False,False,143.214,"LINESTRING (13.7008026 49.322148, 13.7010194 49.3221193, 13.7020993 49.3219589, 13.7026004 49.3218814, 13.7027295 49.321863)",,,,,
866302719,,188,Plzeňská,secondary,True,False,43.721000000000004,"LINESTRING (13.7008026 49.322148, 13.7008348 49.3223209, 13.7008508 49.3224019, 13.7008627 49.3224522, 13.7008678 49.3225386)",,,,,
"[32277531, 777222215]",,,Nábřežní,residential,False,False,69.035,"LINESTRING (13.6986837 49.3224667, 13.6985831 49.3223926, 13.6984837 49.3223192, 13.6984025 49.3222587, 13.6983152 49.3222091, 13.698118 49.3221354, 13.6979514 49.3220844)",,,,,
