osmid,name,highway,oneway,reversed,length,geometry,ref,bridge,width
10388534,náměstí Míru,tertiary,False,False,77.928,"LINESTRING (12.8020348 49.5103098, 12.8018649 49.5104244, 12.8017759 49.5104924, 12.8015731 49.5106591, 12.8015836 49.510857, 12.8015572 49.5108954)",,,
10388534,náměstí Míru,tertiary,False,True,44.481,"LINESTRING (12.8020348 49.5103098, 12.8022491 49.5102249, 12.802584 49.5101306)",,,
258840179,Spojenecké náměstí,residential,False,True,107.263,"LINESTRING (12.8020348 49.5103098, 12.8012721 49.510405, 12.8011089 49.510312, 12.8007393 49.5101013)",,,
668749359,náměstí Míru,tertiary,False,False,27.683,"LINESTRING (12.8015572 49.5108954, 12.8011872 49.5109607)",,,
10388534,náměstí Míru,tertiary,False,True,77.928,"LINESTRING (12.8015572 49.5108954, 12.8015836 49.510857, 12.8015731 49.5106591, 12.8017759 49.5104924, 12.8018649 49.5104244, 12.8020348 49.5103098)",,,
32004534,náměstí Míru,residential,False,False,78.768,"LINESTRING (12.8015572 49.5108954, 12.8022009 49.5108433, 12.8026388 49.5108029)",,,
32235771,Spojenecké náměstí,residential,False,True,100.973,"LINESTRING (12.8005693 49.5110024, 12.8006275 49.5106096, 12.8007393 49.5101013)",,,
258840127,Mariánská,tertiary,False,False,94.033,"LINESTRING (12.8005693 49.5110024, 12.8005556 49.5112441, 12.8005918 49.511347, 12.8006512 49.5115159, 12.8006869 49.5115753, 12.8007275 49.5116191, 12.8009403 49.5117774)",,,
258840195,Vranovská,tertiary,False,True,73.17,"LINESTRING (12.8005693 49.5110024, 12.8002871 49.5109463, 12.7997561 49.5108226, 12.799649 49.5107506)",19514,,
668749359,náměstí Míru,tertiary,False,True,44.852,"LINESTRING (12.8005693 49.5110024, 12.8007028 49.5109934, 12.8011872 49.5109607)",,,
32004532,Mnichovská,residential,False,False,217.071,"LINESTRING (12.7970438 49.5097472, 12.7969376 49.5101513, 12.7968401 49.5110661, 12.7967966 49.5116907)",,,
258840195,Vranovská,tertiary,False,False,114.847,"LINESTRING (12.7970438 49.5097472, 12.7974997 49.5098971, 12.7978624 49.5100764, 12.7980213 49.510155, 12.7982122 49.5102157, 12.7984022 49.510276)",19514,,
