osmid,lanes,ref,name,highway,oneway,reversed,length,geometry,maxspeed,width,bridge,tunnel,junction
"[372154160, 8440092]","['2', '3']",173,Radomyšlská,tertiary,False,False,119.457,"LINESTRING (13.9059692 49.2648011, 13.9059975 49.2647449, 13.9060287 49.264674, 13.906245 49.2641984, 13.90636 49.2640353, 13.9064373 49.2639527, 13.9065903 49.2638164)",,,,,
9624515,2,173,Radomyšlská,tertiary,False,False,67.943,"LINESTRING (13.9059692 49.2648011, 13.9059353 49.2648964, 13.9057523 49.2653955)",50,,,,
"[8440082, 549688150]",3,1737,Husova,tertiary,False,True,117.161,"LINESTRING (13.9059692 49.2648011, 13.9058116 49.2647714, 13.9051343 49.2646558, 13.9044082 49.2645319)",,,,,
36851338,,,Spojařů,living_street,False,False,91.26099999999998,"LINESTRING (13.8978962 49.2609364, 13.8978647 49.2608816, 13.8978053 49.2608057, 13.8975837 49.2605337, 13.8975022 49.2604569, 13.8974302 49.2604089, 13.8973503 49.2603684, 13.8972499 49.260343, 13.8971923 49.2603373, 13.8971402 49.2603372)",,,,,
"[876481056, 907695650, 858952784, 944824423]","['1', '2', '3']",,Katovická,secondary,True,False,296.00199999999995,"LINESTRING (13.8978962 49.2609364, 13.898032 49.2608565, 13.8982869 49.2607524, 13.8983331 49.2607364, 13.8985677 49.2606548, 13.8987445 49.2605976, 13.8996081 49.2603054, 13.8997263 49.2602591, 13.8998113 49.2602239, 13.9000485 49.2601437, 13.9001754 49.2601006, 13.9002321 49.2600823, 13.9002879 49.2600653, 13.9005143 49.2600033, 13.9006284 49.2599725, 13.9007408 49.2599408, 13.900847 49.2599086, 13.9009546 49.2598745, 13.9012253 49.2597856, 13.9014037 49.2597262, 13.9014947 49.2596959)",,"['4.5', '10.8']",,,
261847683,,,Komenského,secondary,True,False,30.761,"LINESTRING (13.9043191 49.2576146, 13.9043958 49.2575197, 13.904458 49.2574497, 13.9044827 49.2574144, 13.9045201 49.2573712)",,,,,
648803878,,,Bezděkovská,tertiary,False,True,13.982,"LINESTRING (13.9043191 49.2576146, 13.9043898 49.2575678, 13.904428 49.2575486, 13.9044706 49.2575421)",,,,,
876481063,,1726,Pod Hradem,tertiary,False,True,7.081,"LINESTRING (13.9037281 49.2582727, 13.9038106 49.2583067)",,,yes,,
"[393618816, 261840873, 944839010, 944839007]",2,,,secondary,True,False,84.822,"LINESTRING (13.9037281 49.2582727, 13.9038132 49.258177, 13.9040377 49.2579298, 13.9041682 49.2577861, 13.9042948 49.2576423, 13.9043191 49.2576146)",,,yes,,
"[393823784, 107064699, 393921908, 261847687]",2,1726,Pod Hradem,tertiary,False,"[False, True]",286.13499999999993,"LINESTRING (13.9037281 49.2582727, 13.9035157 49.2581863, 13.9034815 49.258172, 13.9033135 49.2581018, 13.9031908 49.2580534, 13.9031353 49.2580379, 13.9030662 49.2580186, 13.9028758 49.2580455, 13.9027056 49.2580535, 13.9025625 49.2580144, 13.9023775 49.2579527, 13.9022705 49.257917, 13.9022014 49.2578933, 13.9017437 49.257736, 13.9014269 49.2576561, 13.9009061 49.2576254, 13.9008059 49.2576148, 13.9004889 49.2575742, 13.9000741 49.2574736)",,,,,
185956612,2,1726,Pod Hradem,tertiary,False,False,99.35600000000001,"LINESTRING (13.8987886 49.2571703, 13.8990741 49.2572159, 13.9000741 49.2574736)",,,,,
36851314,2,,Lidická,residential,False,False,152.856,"LINESTRING (13.9065903 49.2638164, 13.9064462 49.2636778, 13.905226 49.2630958, 13.9049456 49.2629721)",30,,,,
161768516,3,,Ellerova,tertiary,False,True,78.666,"LINESTRING (13.9065903 49.2638164, 13.9067287 49.2637027, 13.9071601 49.26329, 13.9072142 49.2632382)",,,,,
"[372154160, 8440092]","['2', '3']",173,Radomyšlská,tertiary,False,True,119.457,"LINESTRING (13.9065903 49.2638164, 13.9064373 49.2639527, 13.90636 49.2640353, 13.906245 49.2641984, 13.9060287 49.264674, 13.9059975 49.2647449, 13.9059692 49.2648011)",,,,,
"[549688152, 261847685]","['2', '3']",173,Lidická,tertiary,False,False,245.05499999999998,"LINESTRING (13.9065903 49.2638164, 13.9067759 49.263937, 13.9069616 49.2640476, 13.9073232 49.2642564, 13.9086207 49.2650056, 13.9088565 49.2651417, 13.9091064 49.265286)",,,,,
36851314,2,,Lidická,residential,False,True,109.57900000000001,"LINESTRING (13.9037429 49.2623853, 13.9041184 49.2626303, 13.9048825 49.2629449, 13.9049456 49.2629721)",30,,,,
43350874,,,Hrnčířská,residential,False,False,51.650000000000006,"LINESTRING (13.9037429 49.2623853, 13.9037042 49.2624537, 13.9034966 49.2628211)",,,,,
148227272,,,Velké náměstí,living_street,False,False,135.941,"LINESTRING (13.9037429 49.2623853, 13.9033251 49.2619763, 13.9028605 49.2615215, 13.9026804 49.2614184, 13.9026485 49.2613996)",20,,,,
8440082,,1737,Husova,tertiary,False,False,132.543,"LINESTRING (13.8960358 49.2630841, 13.8962071 49.2631198, 13.8967178 49.2632058, 13.8976354 49.2633604, 13.897801 49.2633898)",,,,,
"[709599675, 709161917]",,,Mírová,residential,False,True,161.018,"LINESTRING (13.8960358 49.2630841, 13.896085 49.2629944, 13.8961189 49.2629457, 13.8961677 49.2629009, 13.896231 49.2628623, 13.896946 49.2624375, 13.8975713 49.2620587)",,,,,
