osmid,name,highway,maxspeed,oneway,reversed,length,geometry,ref,bridge,lanes,junction
36891129,Bezručova,residential,50,False,False,81.87299999999999,"LINESTRING (17.2067113 50.2327565, 17.207229 50.2329395, 17.2076738 50.2331567)",,,,
"[90581425, 90581427, 35564509]",Bezručova,primary,50,False,True,227.079,"LINESTRING (17.2067113 50.2327565, 17.2067395 50.2326508, 17.2066922 50.2325355, 17.2066212 50.2324433, 17.2065505 50.2323299, 17.206543 50.2322436, 17.2065855 50.2321342, 17.2066951 50.2320031, 17.2070815 50.2317655, 17.2071981 50.2316848, 17.2075612 50.2314446, 17.2077898 50.2312953, 17.2079818 50.2310808)",44,yes,2,
7713911,Čechova,residential,,False,False,64.85,"LINESTRING (17.2016365 50.2253684, 17.2023516 50.2257301)",,,,
28781095,,residential,,False,False,75.634,"LINESTRING (17.2016365 50.2253684, 17.2009571 50.2258916)",,,,
7713911,Čechova,residential,,False,True,64.85,"LINESTRING (17.2023516 50.2257301, 17.2016365 50.2253684)",,,,
7713911,Čechova,residential,,False,False,108.154,"LINESTRING (17.2023516 50.2257301, 17.2024063 50.2259524, 17.2024063 50.2260757, 17.2022169 50.226282, 17.2018661 50.2265949)",,,,
90577090,Fučíkova,residential,,False,False,270.4320000000001,"LINESTRING (17.2002538 50.2278366, 17.200267 50.2277604, 17.200267 50.2277015, 17.2002268 50.2275777, 17.2001902 50.2274992, 17.2000893 50.2272824, 17.2000139 50.2271452, 17.1999078 50.226907, 17.1998442 50.2267291, 17.1997806 50.2265513, 17.1997193 50.2263085, 17.1996917 50.2261608, 17.1996812 50.2260863, 17.1996768 50.2260183, 17.199676 50.2257515, 17.1996826 50.2256224, 17.1996912 50.2254521)",,,,
90581415,Lipovská,tertiary,,False,False,185.657,"LINESTRING (17.2002538 50.2278366, 17.200556 50.2280483, 17.200712 50.2281534, 17.2008731 50.2282367, 17.2010126 50.2282922, 17.2011889 50.2283496, 17.2013008 50.228386, 17.2015676 50.2284673, 17.2016838 50.2285027, 17.2019257 50.2285764, 17.202009 50.2285967, 17.2021238 50.2286233, 17.2022137 50.2286404, 17.2023448 50.2286586, 17.2024536 50.2286639)",45319,,,
"[90581440, 445953735, 445953736, 90581415, 788613099]",Lipovská,tertiary,,False,True,156.17999999999998,"LINESTRING (17.2002538 50.2278366, 17.2001732 50.2278009, 17.2000376 50.2277487, 17.2000172 50.2277425, 17.1999914 50.2277346, 17.199926 50.2277163, 17.1998433 50.2276929, 17.1997351 50.2276699, 17.1986934 50.2275036, 17.1983679 50.2274527, 17.1982407 50.2274347, 17.19817 50.2274226)",45319,yes,2,
25337024,Gogolova,residential,,False,False,138.05,"LINESTRING (17.2024536 50.2286639, 17.2024401 50.2287041, 17.2024226 50.2287388, 17.2023822 50.2287822, 17.2015042 50.2294064, 17.2013195 50.2296533)",,,,
90581415,Lipovská,tertiary,,False,True,185.657,"LINESTRING (17.2024536 50.2286639, 17.2023448 50.2286586, 17.2022137 50.2286404, 17.2021238 50.2286233, 17.202009 50.2285967, 17.2019257 50.2285764, 17.2016838 50.2285027, 17.2015676 50.2284673, 17.2013008 50.228386, 17.2011889 50.2283496, 17.2010126 50.2282922, 17.2008731 50.2282367, 17.200712 50.2281534, 17.200556 50.2280483, 17.2002538 50.2278366)",45319,,,
"[210560891, 327040964]",Lipovská,tertiary,,False,False,63.87299999999999,"LINESTRING (17.2024536 50.2286639, 17.2026224 50.228665, 17.202717 50.2286612, 17.2028457 50.2286521, 17.2030476 50.2286268, 17.2031221 50.2286128, 17.2032087 50.2285944, 17.2032823 50.2285754, 17.2033278 50.2285609)",45319,,2,
90581426,Lipovská,residential,,False,True,40.636,"LINESTRING (17.2033278 50.2285609, 17.2034908 50.2286183, 17.203574 50.2286324, 17.203856 50.2286962)",,,,
