osmid,oneway,ref,name,highway,maxspeed,reversed,length,geometry,junction,lanes,tunnel,access,width
"[240411236, 240411237]",False,437,Osecká,secondary,50,False,290.758,"LINESTRING (17.5793356 49.526169, 17.5794459 49.5261676, 17.5803371 49.5261564, 17.580949 49.5261609, 17.5810251 49.5261604, 17.5823964 49.526152, 17.5827907 49.5261311, 17.5830656 49.5261254, 17.5832353 49.5261354, 17.5833575 49.526156)",,,,,
"[240411236, 240411237]",False,437,Osecká,secondary,50,True,290.75800000000004,"LINESTRING (17.5833575 49.526156, 17.5832353 49.5261354, 17.5830656 49.5261254, 17.5827907 49.5261311, 17.5823964 49.526152, 17.5810251 49.5261604, 17.580949 49.5261609, 17.5803371 49.5261564, 17.5794459 49.5261676, 17.5793356 49.526169)",,,,,
776750525,True,,,secondary,50,False,32.36,"LINESTRING (17.5833575 49.526156, 17.5833704 49.5261353, 17.5833878 49.5261159, 17.5834092 49.5260984, 17.5834342 49.526083, 17.5834624 49.52607, 17.5834931 49.5260598, 17.5835257 49.5260526, 17.5835596 49.5260484, 17.5835941 49.5260474, 17.5836284 49.5260496, 17.5836619 49.526055, 17.5836939 49.5260634, 17.5837237 49.5260746)",roundabout,,,,
"[4407941, 165438254]",False,,Piaristická,secondary,50,False,107.96199999999999,"LINESTRING (17.5837237 49.5260746, 17.583804 49.5259985, 17.5838778 49.525915, 17.5839309 49.5258279, 17.5839659 49.5257371, 17.5839933 49.525646, 17.5840594 49.5255337, 17.5842014 49.5252984, 17.5843202 49.5251945)",,2,,,
776750525,True,,,secondary,50,False,29.879,"LINESTRING (17.5837237 49.5260746, 17.5837508 49.5260885, 17.5837745 49.5261048, 17.5837944 49.5261231, 17.5838101 49.526143, 17.5838213 49.5261642, 17.5838277 49.5261862, 17.5838292 49.5262085, 17.5838259 49.5262308, 17.5838176 49.5262526, 17.5838047 49.5262733, 17.5837874 49.5262927, 17.5837659 49.5263102)",roundabout,,,,
"[165438253, 159752990]",True,,Neffova,secondary,50,False,128.40200000000002,"LINESTRING (17.5833912 49.5274963, 17.5834443 49.5273302, 17.5835527 49.5269911, 17.5836021 49.5267761, 17.583633 49.5264549, 17.583581 49.5263612)",,2,,,
159752988,True,,Komenského sady,secondary,50,False,80.481,"LINESTRING (17.5854394 49.5289386, 17.5844159 49.5286513)",,,,,
36916442,False,,Bohuslávská,residential,,False,55.693,"LINESTRING (17.5854394 49.5289386, 17.5854019 49.5289909, 17.585147 49.5293458, 17.5851286 49.529396)",,,,,
4407940,False,,Komenského sady,secondary,50,True,69.384,"LINESTRING (17.5882321 49.5290509, 17.5883207 49.5289989, 17.5884068 49.5289355, 17.5884723 49.528864, 17.5885495 49.5287705, 17.5886627 49.528585, 17.5886978 49.5285155)",,,,,
30625053,False,4371,Loučská,tertiary,,False,328.25300000000004,"LINESTRING (17.5882321 49.5290509, 17.5884198 49.5292638, 17.5886018 49.5294518, 17.5888118 49.5296064, 17.5893654 49.5300137, 17.5896629 49.5301837, 17.5901601 49.5304055, 17.5909991 49.5308666, 17.5913579 49.5311581)",,,,,
223326354,True,,Komenského sady,secondary,50,False,124.46799999999999,"LINESTRING (17.5882321 49.5290509, 17.588131 49.5290968, 17.5880429 49.5291255, 17.587881 49.5291567, 17.5874508 49.5291843, 17.5871659 49.529193, 17.5866776 49.529191, 17.5865497 49.5291894)",,,,,
4407940,False,,Komenského sady,secondary,50,False,60.159000000000006,"LINESTRING (17.5890475 49.5280255, 17.5889601 49.5281274, 17.5888311 49.5282906, 17.5886978 49.5285155)",,,,,
306731923,True,,Komenského sady,secondary,50,False,50.282000000000004,"LINESTRING (17.5890475 49.5280255, 17.5891308 49.5279239, 17.5891659 49.5278858, 17.5892166 49.5278462, 17.589285 49.5278086, 17.5893869 49.5277523, 17.5894412 49.5277145, 17.5894793 49.5276775)",,1,,,
306734753,True,,Novosady,secondary,50,False,16.866,"LINESTRING (17.5894752 49.527091, 17.5895841 49.5272252)",,2,,,
4407952,True,,Smetanova,secondary,50,False,31.86,"LINESTRING (17.5894752 49.527091, 17.5895978 49.5270508, 17.5897004 49.5270171, 17.5898601 49.5269514)",,,,,
4407955,False,437,Smetanova,secondary,,False,153.37400000000002,"LINESTRING (17.5898601 49.5269514, 17.5906438 49.5264618, 17.5913288 49.5259562)",,,,,
"[8144318, 1190389351]",True,,Smetanova,secondary,50,False,36.789,"LINESTRING (17.5898601 49.5269514, 17.5896631 49.5271119, 17.5896416 49.5271294, 17.5896049 49.5271774, 17.5895841 49.5272252)",,,,,
"[776750528, 168208125]",True,434,,secondary,50,False,179.803,"LINESTRING (17.5920396 49.528399, 17.5917506 49.5283655, 17.5914656 49.5283079, 17.5911898 49.5282383, 17.5909666 49.528176, 17.5907943 49.528116, 17.5906576 49.5280601, 17.5901724 49.5278484, 17.5899571 49.5277544, 17.5898044 49.5277254)",,"['1', '2']",,,
165438254,False,,Piaristická,secondary,50,False,8.364,"LINESTRING (17.5843202 49.5251945, 17.5844231 49.5251599)",,2,,,
34612405,False,,Bratrská,residential,,False,257.124,"LINESTRING (17.5843202 49.5251945, 17.5841582 49.5251263, 17.5841229 49.5251114, 17.5839782 49.5250815, 17.5830654 49.5251167, 17.5814966 49.5251851, 17.5812679 49.525195, 17.58105 49.5252045, 17.5809184 49.5252103, 17.5808096 49.525215)",,,,,
"[4407941, 165438254]",False,,Piaristická,secondary,50,True,107.96200000000002,"LINESTRING (17.5843202 49.5251945, 17.5842014 49.5252984, 17.5840594 49.5255337, 17.5839933 49.525646, 17.5839659 49.5257371, 17.5839309 49.5258279, 17.5838778 49.525915, 17.583804 49.5259985, 17.5837237 49.5260746)",,2,,,
34612400,False,,Souhradní,residential,30,False,235.18599999999998,"LINESTRING (17.5851248 49.5251685, 17.5851712 49.5250665, 17.585535 49.5242668, 17.5856946 49.5239158, 17.5858351 49.523607, 17.5860475 49.52314)",,,,,
36916423,True,,Perštýnská,residential,,False,105.702,"LINESTRING (17.5851248 49.5251685, 17.5850927 49.525219, 17.5847854 49.5257021, 17.5846261 49.5260608)",,,,,
478408316,False,,Piaristická,secondary,50,True,52.762,"LINESTRING (17.5851248 49.5251685, 17.5849632 49.5251308, 17.5848663 49.5251096, 17.5847679 49.5251034, 17.5845931 49.5251178, 17.5844231 49.5251599)",,2,,,
478408317,True,,Novosady,secondary,50,False,194.652,"LINESTRING (17.5851248 49.5251685, 17.5861397 49.52551, 17.5864036 49.5255988, 17.5875191 49.5259741)",,2,,,
330356266,False,,J. V. Sládka,living_street,,False,95.52,"LINESTRING (17.5875191 49.5259741, 17.5875678 49.5259187, 17.5876371 49.5257722, 17.5879093 49.525155)",,,,,
