osmid,oneway,lanes,name,highway,reversed,length,ref,geometry,junction,bridge,maxspeed,access,width
30167644,True,1,Mostní,secondary,False,8.88,,"LINESTRING (14.3090311 50.2401208, 14.3089784 50.2400484)",,,,,
"[323043472, 133724534]",False,2,Mostní,secondary,True,64.282,101,"LINESTRING (14.3090311 50.2401208, 14.3091308 50.2403138, 14.3092347 50.2405295, 14.309338 50.2406632)",,,,,
48767499,True,1,S. K. Neumanna,secondary,False,18.405,,"LINESTRING (14.3087269 50.2398746, 14.3085803 50.240011)",,,,,
625762523,True,1,S. K. Neumanna,secondary,False,8.14,101,"LINESTRING (14.3087269 50.2398746, 14.3086789 50.2398548, 14.3086442 50.2398256)",roundabout,,,,
"[27673936, 30167643, 48767341]",False,2,"['Podřipská', 'S. K. Neumanna']",secondary,False,29.203,10148,"LINESTRING (14.3083834 50.2402817, 14.3084365 50.2401894, 14.3085173 50.2400713, 14.3085415 50.2400395)",,yes,,,
27673936,False,2,Podřipská,secondary,True,135.05599999999998,10148,"LINESTRING (14.3083834 50.2402817, 14.307553 50.2409965, 14.307305 50.2411445, 14.3071828 50.2412178)",,,,,
313935929,False,,Tyršova,residential,True,95.942,,"LINESTRING (14.3083834 50.2402817, 14.30844 50.2403291, 14.3086785 50.2405288, 14.3086919 50.2405674, 14.308669 50.240624, 14.3082264 50.2409788)",,,,,
420145647,False,,Palackého nám.,residential,False,8.969,,"LINESTRING (14.311454 50.2413573, 14.3114092 50.2412819)",,,,,
"[1016964691, 34255719]",False,2,Jodlova,residential,False,91.78699999999999,,"LINESTRING (14.311454 50.2413573, 14.3119656 50.2413721, 14.3124638 50.2413171, 14.3127328 50.2412874)",,,,,
"[360388079, 390511095]",False,2,Jodlova,residential,True,67.306,,"LINESTRING (14.311454 50.2413573, 14.311386 50.2413796, 14.3113441 50.2413933, 14.3110687 50.2415294, 14.3109764 50.241575, 14.3106691 50.2416928)",,,,,
4871406,False,,Komenského nám.,residential,False,121.923,,"LINESTRING (14.3127328 50.2412874, 14.312977 50.2423727)",,,,,
30743721,False,2,Komenského náměstí,residential,True,26.902,,"LINESTRING (14.3127328 50.2412874, 14.3129917 50.241111)",,,,,
"[1016964691, 34255719]",False,2,Jodlova,residential,True,91.787,,"LINESTRING (14.3127328 50.2412874, 14.3124638 50.2413171, 14.3119656 50.2413721, 14.311454 50.2413573)",,,,,
30743717,False,,Rybova,residential,True,40.0,,"LINESTRING (14.3134794 50.2412245, 14.3140291 50.2413007)",,,,,
4871406,False,,Komenského nám.,residential,True,121.923,,"LINESTRING (14.312977 50.2423727, 14.3127328 50.2412874)",,,,,
625762521,True,1,S. K. Neumanna,secondary,False,11.601,101,"LINESTRING (14.3089306 50.2397228, 14.3089515 50.2397568, 14.3089529 50.2397932, 14.3089385 50.2398232)",roundabout,,,,
30414629,False,,Nerudova,residential,True,161.084,,"LINESTRING (14.3088163 50.2392407, 14.3084333 50.2391755, 14.3080157 50.239112, 14.3076776 50.2390613, 14.3072687 50.2390076, 14.3065962 50.2389725)",,,,,
30747278,True,,Jiráskova,residential,False,37.092,,"LINESTRING (14.3088163 50.2392407, 14.3088465 50.2393745, 14.3088568 50.2394198, 14.3089263 50.2395658)",,,,,
48767337,False,,S. K. Neumanna,secondary,True,53.318,101,"LINESTRING (14.3088163 50.2392407, 14.3088644 50.2389059, 14.3088212 50.2387653)",,,,,
243379144,False,2,S. K. Neumanna,secondary,False,20.212,101,"LINESTRING (14.3088163 50.2392407, 14.3087968 50.2393756, 14.3087902 50.2394217)",,,,,
1035963508,False,,Prokopova,residential,False,23.945,,"LINESTRING (14.3088212 50.2387653, 14.3091141 50.2386591)",,,,,
30760607,False,,Gen. Klapálka,secondary,False,91.196,101,"LINESTRING (14.3088212 50.2387653, 14.308547 50.238628, 14.3080344 50.2384386, 14.3079167 50.2384016, 14.3077075 50.2383844)",,,,,
48767337,False,,S. K. Neumanna,secondary,False,53.318,101,"LINESTRING (14.3088212 50.2387653, 14.3088644 50.2389059, 14.3088163 50.2392407)",,,,,
"[274215933, 30785701]",False,,Kaplířova,residential,True,132.166,,"LINESTRING (14.3088212 50.2387653, 14.3090107 50.23879, 14.3096977 50.2390137, 14.3101015 50.239104, 14.3105561 50.2391704)",,,,,
625762526,False,,Gen. Klapálka,secondary,False,33.946,101,"LINESTRING (14.3065667 50.2384496, 14.3061059 50.2385292)",,,,,
30167647,False,,Hennigsdorfská,residential,True,58.519999999999996,,"LINESTRING (14.3065667 50.2384496, 14.306578 50.2384875, 14.3066181 50.2386223, 14.3065962 50.2389725)",,,,,
30760607,False,,Gen. Klapálka,secondary,True,81.46000000000001,101,"LINESTRING (14.3065667 50.2384496, 14.3073226 50.2384092, 14.3077075 50.2383844)",,,,,
132057032,False,,Ke Hřbitovu,tertiary,True,65.289,24017;24017;10147,"LINESTRING (14.3065667 50.2384496, 14.3065021 50.2381212, 14.3064905 50.237981, 14.3065051 50.2378656)",,,,,
30716188,False,,V Luhu,residential,False,71.756,,"LINESTRING (14.3096436 50.2422526, 14.3096044 50.2423107, 14.3093775 50.2427116, 14.3092947 50.242858)",,,,,
30746991,False,,Erbenova,residential,False,60.818,,"LINESTRING (14.3096436 50.2422526, 14.3094582 50.2422636, 14.3089054 50.2425046)",,,,,
"[30167640, 618561172, 30746991]",False,,Erbenova,residential,"[False, True]",74.929,,"LINESTRING (14.3096436 50.2422526, 14.3097541 50.2421675, 14.3098054 50.2421417, 14.3102873 50.2418981, 14.3104148 50.2418354, 14.3104468 50.2418197)",,yes,,,
30746992,False,,Chmelova,residential,True,119.388,,"LINESTRING (14.3096436 50.2422526, 14.3095361 50.242172, 14.3086562 50.2413847)",,,,,
25741117,False,,sídl. U Cukrovaru,residential,True,99.63199999999999,,"LINESTRING (14.3092947 50.242858, 14.3094144 50.2429798, 14.3100713 50.2436037)",,,,,
30716188,False,,V Luhu,residential,False,99.87899999999999,,"LINESTRING (14.3092947 50.242858, 14.3092015 50.2429939, 14.3090902 50.2431228, 14.3088018 50.2433995, 14.3085543 50.2436183)",,,,,
30716188,False,,V Luhu,residential,True,71.756,,"LINESTRING (14.3092947 50.242858, 14.3093775 50.2427116, 14.3096044 50.2423107, 14.3096436 50.2422526)",,,,,
48203258,False,,U Cukrovaru,residential,False,48.069,,"LINESTRING (14.3092947 50.242858, 14.309102 50.2426831, 14.3089054 50.2425046)",,,,,
30716188,False,,V Luhu,residential,False,120.303,,"LINESTRING (14.3085543 50.2436183, 14.3082762 50.2438133, 14.307708 50.2441555, 14.3073685 50.244389)",,,,,
30716188,False,,V Luhu,residential,True,99.879,,"LINESTRING (14.3085543 50.2436183, 14.3088018 50.2433995, 14.3090902 50.2431228, 14.3092015 50.2429939, 14.3092947 50.242858)",,,,,
33044972,False,,U Cukrovaru,residential,True,235.995,,"LINESTRING (14.3085543 50.2436183, 14.3082995 50.2433938, 14.3082482 50.2433486, 14.3080609 50.2431835, 14.3080233 50.2431215, 14.308029 50.2430718, 14.3082518 50.2428924, 14.3082501 50.2428655, 14.308019 50.2426378, 14.3078175 50.2424393, 14.3077255 50.2423496, 14.3076897 50.2422982, 14.3076913 50.2422528, 14.3077228 50.2422107, 14.3082511 50.2419727, 14.3082956 50.2419511)",,,,,
25741117,False,,sídl. U Cukrovaru,residential,False,54.07,,"LINESTRING (14.3104907 50.2440093, 14.3100713 50.2436037)",,,,,
