osmid,oneway,highway,reversed,length,geometry,lanes,ref,name,maxspeed,junction,tunnel,bridge,width
881700487,True,residential,False,16.905,"LINESTRING (16.0475275 48.8599298, 16.0474554 48.859879, 16.0474065 48.859803)",,,,,,,,
91330468,False,primary,True,15.095,"LINESTRING (16.0536206 48.8588638, 16.053494 48.858971)",2,38,Sokolská,50,,,,
33968598,False,residential,True,99.54899999999999,"LINESTRING (16.0536206 48.8588638, 16.0538842 48.858833, 16.0547142 48.8584945, 16.0548132 48.8584541)",,,Tyršova,,,,,
91330468,False,primary,False,117.46199999999999,"LINESTRING (16.0536206 48.8588638, 16.053715 48.85872, 16.0540264 48.8580189, 16.0540915 48.8578551)",2,38,Sokolská,50,,,,
91330468,False,primary,False,15.095,"LINESTRING (16.053494 48.858971, 16.0536206 48.8588638)",2,38,Sokolská,50,,,,
33968628,True,residential,False,119.67699999999999,"LINESTRING (16.053494 48.858971, 16.0535536 48.8590413, 16.0536022 48.8590986, 16.0541995 48.8598026, 16.0542874 48.8599122)",,,Žižkovo náměstí,,,,,
91330468,False,primary,True,62.875,"LINESTRING (16.053494 48.858971, 16.05326 48.859115, 16.0528489 48.8593444)",2,38,Sokolská,50,,,,
91330468,False,primary,False,62.875,"LINESTRING (16.0528489 48.8593444, 16.05326 48.859115, 16.053494 48.858971)",2,38,Sokolská,50,,,,
27426685,False,tertiary,False,85.10000000000001,"LINESTRING (16.0540915 48.8578551, 16.0541984 48.857967, 16.0547379 48.8583949, 16.054765 48.8584162, 16.0548132 48.8584541)",,4121,Coufalova,,,,,
51182289,False,primary,False,185.46200000000002,"LINESTRING (16.0540915 48.8578551, 16.0541622 48.8576013, 16.0544674 48.8564604, 16.0544771 48.8564241, 16.0545012 48.8562101)",,38,Havlíčkova,50,,,,
91330468,False,primary,True,117.46199999999999,"LINESTRING (16.0540915 48.8578551, 16.0540264 48.8580189, 16.053715 48.85872, 16.0536206 48.8588638)",2,38,Sokolská,50,,,,
"[33968624, 817786499]",False,residential,True,151.395,"LINESTRING (16.0540915 48.8578551, 16.0539227 48.8577418, 16.0538826 48.8577216, 16.0526783 48.8571298, 16.052601 48.8570658, 16.0525085 48.8569878)",,,Jana Palacha,30,,,,
65201775,False,primary,False,8.611,"LINESTRING (16.0524623 48.8524418, 16.052423 48.8525148)",,38,náměstí Republiky,50,,,,
51182283,False,primary,True,179.701,"LINESTRING (16.0524623 48.8524418, 16.0524893 48.8524036, 16.0533071 48.8515611, 16.0533905 48.851475, 16.0537708 48.8510746)",,38,Vídeňská třída,50,,,,
"[33968677, 1063331775]",False,residential,False,182.00799999999998,"LINESTRING (16.0524623 48.8524418, 16.0523474 48.8523862, 16.0512258 48.8520562, 16.0509188 48.8516957, 16.0509798 48.8513769)",,,Dyjská,,,,,
65201775,False,primary,True,8.611,"LINESTRING (16.052423 48.8525148, 16.0524623 48.8524418)",,38,náměstí Republiky,50,,,,
65201775,False,primary,False,7.411,"LINESTRING (16.052423 48.8525148, 16.0524168 48.8525504, 16.0524183 48.8525812)",,38,náměstí Republiky,50,,,,
65789123,True,residential,False,94.44,"LINESTRING (16.052423 48.8525148, 16.0526088 48.8526104, 16.0526253 48.8526151, 16.0534264 48.8528455, 16.0535873 48.8528611)",,,náměstí Republiky,,,,,
65201775,False,primary,True,7.411,"LINESTRING (16.0524183 48.8525812, 16.0524168 48.8525504, 16.052423 48.8525148)",,38,náměstí Republiky,50,,,,
75487371,False,primary,False,91.52,"LINESTRING (16.0524183 48.8525812, 16.0524389 48.8526206, 16.0524691 48.8526572, 16.0525213 48.8526993, 16.0525954 48.8527355, 16.0526863 48.8527737, 16.0528007 48.8528114, 16.0531279 48.8529211, 16.0532174 48.8529629, 16.0532885 48.8530189, 16.0533605 48.8530867)",2,38,náměstí Republiky,50,,,,
33968590,False,residential,False,30.824,"LINESTRING (16.0533605 48.8530867, 16.0534447 48.8530406, 16.0535292 48.8529691, 16.0535873 48.8528611)",,,náměstí Republiky,,,,,
65789150,False,primary,False,82.19200000000001,"LINESTRING (16.0533605 48.8530867, 16.0534204 48.8531557, 16.0534337 48.8531744, 16.0535478 48.8533347, 16.0538454 48.8537532)",2,38,náměstí Republiky,50,,,,
75487371,False,primary,True,91.52000000000001,"LINESTRING (16.0533605 48.8530867, 16.0532885 48.8530189, 16.0532174 48.8529629, 16.0531279 48.8529211, 16.0528007 48.8528114, 16.0526863 48.8527737, 16.0525954 48.8527355, 16.0525213 48.8526993, 16.0524691 48.8526572, 16.0524389 48.8526206, 16.0524183 48.8525812)",2,38,náměstí Republiky,50,,,,
671900286,False,primary,True,44.428,"LINESTRING (16.0541107 48.8541126, 16.0538454 48.8537532)",,38,Čermákova,50,,,,
502801080,True,primary,False,45.374,"LINESTRING (16.0541107 48.8541126, 16.0542659 48.8542683, 16.0543051 48.8544038, 16.0542957 48.8544875)",,38,Čermákova,50,,,,
65788973,False,primary,False,147.361,"LINESTRING (16.0542957 48.8544875, 16.0543103 48.8545589, 16.0543561 48.8550993, 16.0543772 48.8553485, 16.054397 48.8555818, 16.0544012 48.8556317, 16.0544063 48.8557081, 16.0544359 48.8558085)",2,38,Čermákova,50,,,,
82898387,True,primary,False,43.914,"LINESTRING (16.0542957 48.8544875, 16.0541729 48.8542779, 16.0541107 48.8541126)",,38,,50,,,,
25114829,True,primary,False,18.773,"LINESTRING (16.0547439 48.8558585, 16.0547775 48.855884, 16.0548042 48.8559128, 16.0548235 48.8559441, 16.0548347 48.8559771, 16.0548376 48.8560108)",,,Mariánské náměstí,50,roundabout,,,
25114831,False,residential,True,239.86499999999998,"LINESTRING (16.0511015 48.8553279, 16.051195 48.8553448, 16.0523162 48.8555424, 16.0524933 48.8555744, 16.0525663 48.8555876, 16.0526585 48.8556029, 16.053956 48.8558109, 16.0539785 48.8558145, 16.0541153 48.855852, 16.0542567 48.8559007)",,,Pontassievská,30,,,,
33968694,True,residential,False,139.06900000000002,"LINESTRING (16.0511015 48.8553279, 16.0510895 48.8553435, 16.0510372 48.8553907, 16.0508593 48.8556158, 16.0507494 48.8557621, 16.0506613 48.8559708, 16.0504865 48.8564566, 16.0504548 48.8564931)",,,Dolní Česká,30,,,,
"[50302870, 73055471]",False,residential,"[False, True]",158.654,"LINESTRING (16.0511015 48.8553279, 16.0510292 48.8553076, 16.0497176 48.8549389, 16.049623 48.8549058, 16.0495905 48.8548924, 16.0495507 48.854876, 16.0491489 48.8547141)",,,Zámečnická,30,,,,
350583345,True,residential,False,187.79000000000005,"LINESTRING (16.0511015 48.8553279, 16.0511146 48.8552939, 16.051332 48.8547294, 16.0514366 48.8545343, 16.051475 48.8543782, 16.051473 48.8543281, 16.0514671 48.8541769, 16.0514619 48.8539947, 16.0513355 48.8538502, 16.0512503 48.8537685, 16.0512244 48.8537141)",,,Dolní Česká,30,,,,
33968684,False,residential,False,46.975,"LINESTRING (16.0491489 48.8547141, 16.0491025 48.8546919, 16.04908 48.8546811, 16.0486082 48.8544865)",,,Velká Mikulášská,30,,,,
33968690,False,residential,False,94.86699999999999,"LINESTRING (16.0491489 48.8547141, 16.049123 48.8547349, 16.0491083 48.8547468, 16.0488262 48.8549698, 16.0487153 48.8550405, 16.0485194 48.8551376, 16.0483737 48.8552045, 16.0482063 48.8552924)",,,Zelenářská,30,,,,
"[50302870, 73055471]",False,residential,"[False, True]",158.654,"LINESTRING (16.0491489 48.8547141, 16.0495507 48.854876, 16.0495905 48.8548924, 16.049623 48.8549058, 16.0497176 48.8549389, 16.0510292 48.8553076, 16.0511015 48.8553279)",,,Zámečnická,30,,,,
50302878,False,residential,False,132.51399999999998,"LINESTRING (16.0491489 48.8547141, 16.0498576 48.8537302, 16.0499246 48.8536372)",,,Masarykovo náměstí,30,,,,
33968679,False,residential,True,35.277,"LINESTRING (16.0499246 48.8536372, 16.0498857 48.85361, 16.0498591 48.8535915, 16.0497141 48.8534904, 16.0496234 48.8533916)",,,Lazebnická,30,,,,
50302878,False,residential,True,132.51399999999998,"LINESTRING (16.0499246 48.8536372, 16.0498576 48.8537302, 16.0491489 48.8547141)",,,Masarykovo náměstí,30,,,,
"[73064746, 73055467]",False,residential,False,123.05799999999999,"LINESTRING (16.0499246 48.8536372, 16.0505107 48.8539439, 16.0505679 48.8539724, 16.0506298 48.8539349, 16.0506415 48.8539289, 16.0511046 48.8536903, 16.0511615 48.8536612, 16.051206 48.8536999, 16.0512244 48.8537141)",,,"['Kollárova', 'Masarykovo náměstí']",30,,,,
