osmid,name,highway,oneway,reversed,length,geometry,lanes,maxspeed,ref,access,junction,bridge
"[77882129, 8323154, 77882132]","['Gorazdovo nám.', 'Kofránkova']",residential,False,False,414.69100000000003,"LINESTRING (15.8781436 49.2129413, 15.878029 49.2129551, 15.8769771 49.2130648, 15.8768976 49.213078, 15.8767925 49.2131077, 15.8767145 49.2131551, 15.8766592 49.2131934, 15.8765445 49.2133086, 15.8765125 49.2133606, 15.8764767 49.2134413, 15.8764784 49.2134693, 15.8764849 49.2134997, 15.8765109 49.2135372, 15.8765388 49.213563, 15.876588 49.2135878, 15.8766588 49.2135929, 15.8769443 49.213564, 15.8777888 49.2134717, 15.8779487 49.2134558, 15.8780951 49.2134902, 15.8781408 49.2136859, 15.8781952 49.2139185, 15.8782338 49.2140836, 15.878261 49.2141282, 15.8783039 49.2141682, 15.8783998 49.214191, 15.878565 49.2141986, 15.8787037 49.2141947, 15.8791414 49.2141321)",,,,,,
1004123360,Ruská,residential,False,False,88.09299999999999,"LINESTRING (15.8781436 49.2129413, 15.8780834 49.2128702, 15.8779864 49.2127438, 15.8779634 49.212718, 15.8779324 49.2126584, 15.8779135 49.2125774, 15.877939 49.2121829)",2,50,,,,
1118136926,Gorazdovo nám.,residential,False,True,149.789,"LINESTRING (15.8781436 49.2129413, 15.8797418 49.2127812, 15.8800953 49.2127306, 15.8801786 49.2127289)",,,,,,
1004123360,Ruská,residential,False,False,62.211,"LINESTRING (15.877939 49.2121829, 15.8779535 49.2116235)",2,50,,,,
"[4077202, 8134294]","['Fügnerova', 'Máchalova']",residential,False,True,141.896,"LINESTRING (15.877939 49.2121829, 15.8778649 49.2121895, 15.8776779 49.212208, 15.876935 49.2123905, 15.8768724 49.2123839, 15.8768148 49.2123603, 15.8766523 49.2122241, 15.8765409 49.2121181, 15.8764715 49.2120308, 15.8764555 49.2119316)",,50,,,,
1004123360,Ruská,residential,False,True,88.09299999999999,"LINESTRING (15.877939 49.2121829, 15.8779135 49.2125774, 15.8779324 49.2126584, 15.8779634 49.212718, 15.8779864 49.2127438, 15.8780834 49.2128702, 15.8781436 49.2129413)",2,50,,,,
4073111,Sokolská,residential,True,False,30.296999999999997,"LINESTRING (15.8801786 49.2127289, 15.8802502 49.2126673, 15.8803719 49.2124891)",,50,,,,
1118136926,Gorazdovo nám.,residential,False,False,149.789,"LINESTRING (15.8801786 49.2127289, 15.8800953 49.2127306, 15.8797418 49.2127812, 15.8781436 49.2129413)",,,,,,
335934403,Jungmannova,residential,True,False,92.982,"LINESTRING (15.8835499 49.2136289, 15.8830565 49.2142574, 15.8829758 49.2143761)",,50,,,,
1012078626,Nádražní,tertiary,False,False,14.429,"LINESTRING (15.8825815 49.2122073, 15.8827037 49.212105)",,50,36075,,,
143596852,Nádražní,tertiary,False,False,22.377,"LINESTRING (15.8825815 49.2122073, 15.882545 49.2122415, 15.8825142 49.2122853, 15.8825006 49.2123313, 15.8825001 49.2123958)",,50,36075,,,
