osmid,oneway,ref,name,highway,maxspeed,reversed,length,geometry,lanes,bridge
77410216,False,495,nám. sv. Ondřeje,secondary,40,False,46.533,"LINESTRING (17.3878288 48.9842829, 17.3883305 48.9845412)",,
643863064,False,495,Nerudova,secondary,40,True,43.724,"LINESTRING (17.3878288 48.9842829, 17.3873523 48.9840445)",,
38088697,False,,Bartákova,residential,,False,89.229,"LINESTRING (17.3878288 48.9842829, 17.3878452 48.9842554, 17.3878735 48.9842171, 17.3879104 48.9841778, 17.3881521 48.9839591, 17.3882039 48.9839219, 17.3882503 48.983892, 17.3882949 48.9838675, 17.3883436 48.9838489, 17.3886616 48.983719)",,
1176908338,False,,Bartákova,residential,,True,104.77699999999999,"LINESTRING (17.3878288 48.9842829, 17.3877629 48.9844074, 17.3876166 48.9846744, 17.3875861 48.9847431, 17.3875584 48.984809, 17.3875401 48.984869, 17.3875244 48.9849321, 17.3875156 48.9849835, 17.3875104 48.9850346, 17.3875162 48.9850793, 17.3875293 48.985127, 17.387532 48.9851709, 17.3875333 48.9851924)",,
117934541,False,495,nám. sv. Ondřeje,secondary,40,False,24.867,"LINESTRING (17.3898422 48.9855594, 17.3901622 48.9856363)",,
77410228,True,,Zámecká,residential,,False,59.364999999999995,"LINESTRING (17.3898422 48.9855594, 17.3897286 48.9856109, 17.389173 48.985863)",,
117934541,False,495,nám. sv. Ondřeje,secondary,40,True,57.304,"LINESTRING (17.3898422 48.9855594, 17.3897694 48.9855422, 17.3897266 48.9855302, 17.3896818 48.9855122, 17.3896419 48.9854922, 17.389592 48.985464, 17.3895362 48.9854268, 17.3894529 48.9853631, 17.3892716 48.9852185)",,
77410218,False,495,Sv. Čecha,secondary,50,False,96.72,"LINESTRING (17.3857438 48.9828957, 17.3858349 48.9829512, 17.385915 48.983005, 17.3860821 48.9831278, 17.386615 48.9835502)",2,
36887449,False,,Rybáře,residential,,True,3.282,"LINESTRING (17.3932478 48.9870165, 17.3932629 48.9870443)",,
"[9627857, 1174213637, 364658525]",False,495,Sokolovská,secondary,50,False,89.183,"LINESTRING (17.3932478 48.9870165, 17.393302 48.9870044, 17.3933434 48.9869909, 17.3933533 48.9869869, 17.3933909 48.9869715, 17.3935369 48.9869023, 17.3939591 48.9866973, 17.3941942 48.9865746, 17.3942396 48.9865519)",2,yes
"[38088704, 684238521, 38088703]",False,495,Komenského,secondary,"['50', '30']",True,107.06500000000001,"LINESTRING (17.3932478 48.9870165, 17.3931903 48.9870243, 17.3931312 48.9870248, 17.3930804 48.9870212, 17.3929718 48.9870022, 17.3921665 48.9868262, 17.3921294 48.9868173, 17.3920674 48.9867984, 17.3920063 48.9867762, 17.3919329 48.9867456, 17.3918788 48.9867139)",,yes
105137248,False,,,residential,,False,531.143,"LINESTRING (17.3963844 48.9820705, 17.3963848 48.9821166, 17.396437 48.9823575, 17.396514 48.9826402, 17.3966107 48.9829588, 17.396727 48.9834668, 17.3968331 48.9839319, 17.3968445 48.983961, 17.3968587 48.9839884, 17.3968725 48.9840121, 17.3968846 48.9840472, 17.3968895 48.9840873, 17.3968908 48.9841228, 17.3968886 48.9841505, 17.3968854 48.9841803, 17.3968785 48.9842111, 17.3968659 48.9842436, 17.3968411 48.9842913, 17.3968213 48.9843267, 17.3967632 48.9844094, 17.3967303 48.9844488, 17.3966786 48.9845037, 17.3966324 48.9845471, 17.3965968 48.9845763, 17.3965502 48.9846122, 17.3964987 48.9846481, 17.3963512 48.9847381, 17.3962661 48.9847805, 17.3961767 48.9848174, 17.3960896 48.9848508, 17.3959559 48.9848975, 17.3953849 48.9850861, 17.3953519 48.9850986, 17.3953315 48.9851088, 17.3953161 48.9851188, 17.3952763 48.9851457, 17.3950759 48.9852881, 17.3950583 48.9853055, 17.3950451 48.9853241, 17.3950378 48.9853392, 17.3949458 48.9856711, 17.394846 48.9860625, 17.3948406 48.9860885, 17.3948416 48.9861065, 17.3948468 48.9861216, 17.3948529 48.9861357, 17.3948727 48.9861619, 17.3949183 48.9862119)",,
36887446,False,495,Sokolovská,secondary,50,False,62.334999999999994,"LINESTRING (17.3942396 48.9865519, 17.3947344 48.9862948, 17.3948374 48.9862469, 17.3948772 48.9862297, 17.3949183 48.9862119)",2,
"[9627857, 364658525, 1174213637]",False,495,Sokolovská,secondary,50,True,89.18299999999999,"LINESTRING (17.3942396 48.9865519, 17.3941942 48.9865746, 17.3939591 48.9866973, 17.3935369 48.9869023, 17.3933909 48.9869715, 17.3933533 48.9869869, 17.3933434 48.9869909, 17.393302 48.9870044, 17.3932478 48.9870165)",2,yes
33700833,False,,Třebízského,residential,,False,29.186,"LINESTRING (17.3862971 48.9837263, 17.3862117 48.983854, 17.3861572 48.9839717)",,
33700833,False,,Třebízského,residential,,True,30.36,"LINESTRING (17.3862971 48.9837263, 17.3865607 48.9835786, 17.386615 48.9835502)",,
"[395155661, 38088695]",False,,"['V zahradách', 'Třebízského']",residential,,False,206.43400000000003,"LINESTRING (17.3862971 48.9837263, 17.3860446 48.9836793, 17.3858551 48.9836489, 17.3857263 48.983625, 17.385596 48.9836113, 17.3855379 48.9836099, 17.3854607 48.9836115, 17.3850482 48.9836254, 17.3849977 48.9836291, 17.3849565 48.9836323, 17.3849153 48.983638, 17.3844751 48.9837085, 17.3840959 48.9837822, 17.3840059 48.9838045, 17.3839433 48.9838266, 17.3838798 48.9838525, 17.3836689 48.9839449, 17.3836036 48.9839734)",,
33700833,False,,Třebízského,residential,,False,47.289,"LINESTRING (17.3853487 48.9850651, 17.3852488 48.9854853)",,
38088692,False,,Mašovy,residential,,False,167.827,"LINESTRING (17.3853487 48.9850651, 17.3870628 48.9860714)",,
33700833,False,,Třebízského,residential,,True,136.18499999999997,"LINESTRING (17.3853487 48.9850651, 17.3853742 48.9849712, 17.3854263 48.9848785, 17.3855068 48.9847628, 17.3856151 48.9846504, 17.3858706 48.9843969, 17.3859658 48.9842867, 17.3860004 48.9842396, 17.3860528 48.9841669, 17.3860772 48.9841305, 17.3861011 48.984087, 17.3861572 48.9839717)",,
38088702,True,,Šance,residential,30,False,225.85500000000002,"LINESTRING (17.3918788 48.9867139, 17.3919357 48.9866891, 17.3919842 48.9866504, 17.3919929 48.9866284, 17.391992 48.9866028, 17.3919793 48.9865655, 17.3919351 48.9864902, 17.3919142 48.9864493, 17.3919047 48.9864175, 17.3919064 48.9863887, 17.3919185 48.9863488, 17.3920363 48.9860877, 17.3920473 48.9860509, 17.3920545 48.9860015, 17.3920576 48.9859737, 17.3920549 48.9859467, 17.3920453 48.985922, 17.3920248 48.9858903, 17.3919657 48.9858314, 17.3917373 48.9856283, 17.3917064 48.9856072, 17.3916641 48.9855853, 17.391612 48.9855616, 17.3915611 48.9855402, 17.3915017 48.9855213, 17.3914163 48.9855034, 17.3912675 48.9854747, 17.3912054 48.9854629, 17.3911589 48.9854493, 17.3911198 48.9854304, 17.3910836 48.9854039, 17.3909754 48.9853212, 17.390891 48.9852434, 17.3907803 48.9851367)",,
"[77410224, 117934541]",False,495,"['nám. sv. Ondřeje', 'Komenského']",secondary,40,True,178.12099999999998,"LINESTRING (17.3918788 48.9867139, 17.3917908 48.9866483, 17.3915906 48.9864319, 17.391349 48.9861896, 17.3912837 48.9861322, 17.3912324 48.986091, 17.3911633 48.9860413, 17.3910812 48.9859878, 17.3908787 48.9858782, 17.390845 48.9858614, 17.3907561 48.9858186, 17.3906502 48.9857759, 17.3905727 48.9857491, 17.3904934 48.9857235, 17.3903546 48.9856836, 17.3901622 48.9856363)",,
"[38088704, 684238521, 38088703]",False,495,Komenského,secondary,"['50', '30']",False,107.06500000000001,"LINESTRING (17.3918788 48.9867139, 17.3919329 48.9867456, 17.3920063 48.9867762, 17.3920674 48.9867984, 17.3921294 48.9868173, 17.3921665 48.9868262, 17.3929718 48.9870022, 17.3930804 48.9870212, 17.3931312 48.9870248, 17.3931903 48.9870243, 17.3932478 48.9870165)",,yes
36887446,False,495,Sokolovská,secondary,50,True,62.334999999999994,"LINESTRING (17.3949183 48.9862119, 17.3948772 48.9862297, 17.3948374 48.9862469, 17.3947344 48.9862948, 17.3942396 48.9865519)",2,
105137248,False,,,residential,,True,531.1429999999999,"LINESTRING (17.3949183 48.9862119, 17.3948727 48.9861619, 17.3948529 48.9861357, 17.3948468 48.9861216, 17.3948416 48.9861065, 17.3948406 48.9860885, 17.394846 48.9860625, 17.3949458 48.9856711, 17.3950378 48.9853392, 17.3950451 48.9853241, 17.3950583 48.9853055, 17.3950759 48.9852881, 17.3952763 48.9851457, 17.3953161 48.9851188, 17.3953315 48.9851088, 17.3953519 48.9850986, 17.3953849 48.9850861, 17.3959559 48.9848975, 17.3960896 48.9848508, 17.3961767 48.9848174, 17.3962661 48.9847805, 17.3963512 48.9847381, 17.3964987 48.9846481, 17.3965502 48.9846122, 17.3965968 48.9845763, 17.3966324 48.9845471, 17.3966786 48.9845037, 17.3967303 48.9844488, 17.3967632 48.9844094, 17.3968213 48.9843267, 17.3968411 48.9842913, 17.3968659 48.9842436, 17.3968785 48.9842111, 17.3968854 48.9841803, 17.3968886 48.9841505, 17.3968908 48.9841228, 17.3968895 48.9840873, 17.3968846 48.9840472, 17.3968725 48.9840121, 17.3968587 48.9839884, 17.3968445 48.983961, 17.3968331 48.9839319, 17.396727 48.9834668, 17.3966107 48.9829588, 17.396514 48.9826402, 17.396437 48.9823575, 17.3963848 48.9821166, 17.3963844 48.9820705)",,
38088694,False,,Mašovy,residential,,False,25.476,"LINESTRING (17.3879622 48.9868926, 17.3881918 48.98672)",,
38088692,False,,Mašovy,residential,,True,109.492,"LINESTRING (17.3881918 48.98672, 17.3870628 48.9860714)",,
