osmid,name,highway,oneway,reversed,length,width,geometry,ref,maxspeed,lanes,bridge,access
"[14391832, 68662752, 39659599]","['Tyršova', 'U Hráze', 'Smetanova']",residential,False,"[False, True]",331.43300000000005,2.5,"LINESTRING (15.0772629 50.9201328, 15.0772525 50.9200963, 15.0772442 50.9200673, 15.0770956 50.9195442, 15.0769837 50.9191575, 15.0768882 50.9191707, 15.0762097 50.9192646, 15.0754774 50.919357, 15.0754365 50.9193758, 15.0754364 50.9194157, 15.0757343 50.9203038, 15.0757457 50.9203428)",,,,,
18494729,Komenského,primary,False,True,108.88799999999999,,"LINESTRING (15.0772629 50.9201328, 15.0771809 50.9201456, 15.0757457 50.9203428)",13,50,,,
"[70108435, 18494729, 551199395]",Komenského,primary,False,False,249.854,,"LINESTRING (15.0772629 50.9201328, 15.0775754 50.9200983, 15.0779569 50.9200609, 15.0784813 50.9200042, 15.0789952 50.919931, 15.0793499 50.9198517, 15.0794376 50.9198303, 15.0796135 50.9197597, 15.0798335 50.9196664, 15.0800629 50.9195348, 15.080094 50.919517, 15.0802089 50.9194268, 15.0803455 50.9193196, 15.0803923 50.9192802, 15.080408 50.919267)",13,50,,,
9521150,Fügnerova,primary,False,False,44.329,,"LINESTRING (15.086206 50.9226291, 15.0863119 50.922789, 15.0864192 50.923004)",13,50,,,
"[620964961, 620966661, 620966662, 9521519]",Fügnerova,primary,False,False,310.45699999999994,,"LINESTRING (15.086206 50.9226291, 15.0861405 50.9225346, 15.0857257 50.922048, 15.0857066 50.9220256, 15.0855561 50.9218402, 15.0853206 50.9215581, 15.0852372 50.921443, 15.0849232 50.9210635, 15.0846994 50.9207909, 15.0846246 50.9207032, 15.0845623 50.9206374, 15.0844946 50.9205923, 15.0843677 50.9205337, 15.0842383 50.9204882, 15.0840583 50.9204248, 15.083818 50.9203684)",13,"['50', '30']",,,
14392244,Husova,residential,True,False,114.86,,"LINESTRING (15.086206 50.9226291, 15.0857677 50.9227244, 15.0853983 50.9228457, 15.0847334 50.9230758)",,,,,
23075676,Fügnerova,primary,False,False,9.869,,"LINESTRING (15.080408 50.919267, 15.0804617 50.9192349, 15.080516 50.9192104)",13,50,2,,
"[954426462, 18372077, 23081622, 70108407]",Nádražní,residential,False,True,623.928,,"LINESTRING (15.080408 50.919267, 15.0803127 50.9191967, 15.0798395 50.9188475, 15.0796896 50.9187564, 15.0794637 50.9186599, 15.0791234 50.9185768, 15.0787748 50.918564, 15.0784962 50.9186005, 15.0776778 50.9188082, 15.0772161 50.918901, 15.0757366 50.9190599, 15.0748463 50.9191555, 15.0745267 50.9192, 15.0744157 50.9192154, 15.074273 50.9192353, 15.0743349 50.9194091, 15.074358 50.9195245, 15.0743464 50.9196018, 15.074317 50.9196955, 15.0742384 50.9198699, 15.0741401 50.9199939, 15.0740385 50.9200792, 15.0737242 50.9202414, 15.0736147 50.9202852, 15.0734241 50.9203702)",,,,,
"[18494729, 70108435, 551199395]",Komenského,primary,False,True,249.85399999999998,,"LINESTRING (15.080408 50.919267, 15.0803923 50.9192802, 15.0803455 50.9193196, 15.0802089 50.9194268, 15.080094 50.919517, 15.0800629 50.9195348, 15.0798335 50.9196664, 15.0796135 50.9197597, 15.0794376 50.9198303, 15.0793499 50.9198517, 15.0789952 50.919931, 15.0784813 50.9200042, 15.0779569 50.9200609, 15.0775754 50.9200983, 15.0772629 50.9201328)",13,50,,,
9521150,Fügnerova,primary,False,True,41.942,,"LINESTRING (15.0865835 50.9233667, 15.0864192 50.923004)",13,50,,,
"[22924480, 22924490]",Sídlištní,residential,False,False,136.06,,"LINESTRING (15.0865835 50.9233667, 15.0864987 50.9234249, 15.0864464 50.9235171, 15.0864035 50.9240311, 15.0863707 50.9241313, 15.0863289 50.9241552, 15.086249 50.9241772, 15.08615 50.9241722, 15.0860089 50.9241651, 15.0858376 50.9241621, 15.0857122 50.9241682)",,,,,
18494729,Komenského,primary,False,False,28.912,,"LINESTRING (15.0731707 50.9204883, 15.0732702 50.920503, 15.0733442 50.9205114, 15.0734672 50.9205195, 15.0735785 50.9205222)",13,50,,,
"[22817205, 22817206, 22817207]",Míru,tertiary,False,False,160.341,,"LINESTRING (15.0731707 50.9204883, 15.0732289 50.9205852, 15.0732628 50.9206416, 15.0734635 50.9208559, 15.0736515 50.9210618, 15.0737983 50.92115, 15.0739559 50.9212177, 15.0747018 50.9214904)",03510,50,,yes,
69731148,Žitavská,primary,False,True,29.417,,"LINESTRING (15.0731707 50.9204883, 15.0730247 50.9204381, 15.072884 50.9203742, 15.0728243 50.9203407)",13,50,2,,
954426462,Nádražní,residential,False,False,22.093,,"LINESTRING (15.0731707 50.9204883, 15.0733411 50.9204106, 15.0734241 50.9203702)",,,,,
9521150,Fügnerova,primary,False,False,41.942,,"LINESTRING (15.0864192 50.923004, 15.0865835 50.9233667)",13,50,,,
9521150,Fügnerova,primary,False,True,44.329,,"LINESTRING (15.0864192 50.923004, 15.0863119 50.922789, 15.086206 50.9226291)",13,50,,,
23075676,Fügnerova,primary,False,False,10.956,,"LINESTRING (15.080516 50.9192104, 15.080623 50.9191912, 15.0806679 50.9191934)",13,50,2,,
23075676,Fügnerova,primary,False,True,9.869,,"LINESTRING (15.080516 50.9192104, 15.0804617 50.9192349, 15.080408 50.919267)",13,50,2,,
"[29259690, 29259698, 29259728]",Vrchlického,residential,False,True,228.594,,"LINESTRING (15.080516 50.9192104, 15.0802911 50.9189945, 15.0799399 50.9186969, 15.0797829 50.9185917, 15.0792851 50.9183334, 15.0790307 50.9181908, 15.0787759 50.9179776, 15.0783817 50.9176717)",,,,yes,
9520803,Hejnická,secondary,False,False,132.153,,"LINESTRING (15.08136 50.9195285, 15.0814042 50.9194742, 15.0814834 50.9193771, 15.0817079 50.9191447, 15.0823193 50.9185058)",290,50,,,
18494256,Hejnická,residential,False,True,23.416,,"LINESTRING (15.08136 50.9195285, 15.0812784 50.9195972, 15.0811989 50.9196395, 15.0811144 50.9196653)",,,,,
"[69731134, 69901719]",Fügnerova,primary,False,True,196.64,,"LINESTRING (15.08136 50.9195285, 15.0815097 50.9196118, 15.0816616 50.9196818, 15.081834 50.919747, 15.082038 50.9198249, 15.0824699 50.9199584, 15.0831135 50.9201524, 15.0833619 50.9202288, 15.083818 50.9203684)",13,50,,,
