osmid,oneway,name,highway,maxspeed,reversed,length,geometry,ref,bridge,access,lanes,junction
31895648,True,Pražská,residential,50,False,50.357,"LINESTRING (13.7744262 50.5441906, 13.7742573 50.5443569, 13.7740778 50.5445849)",,,,,
331280182,False,Pražská,secondary,50,False,29.881999999999998,"LINESTRING (13.7744262 50.5441906, 13.7741688 50.5442478, 13.7740224 50.5442691)",257,,,,
31979515,False,Důlní,residential,50,False,15.429,"LINESTRING (13.7714989 50.5493222, 13.771472 50.5494599)",,,,,
31895643,False,Mostecká,tertiary,50,False,6.427,"LINESTRING (13.7714989 50.5493222, 13.7714525 50.5493081, 13.7714243 50.5492905)",2538,,,,
186840455,False,Břežánská,tertiary,50,True,130.444,"LINESTRING (13.7714989 50.5493222, 13.7715384 50.5493215, 13.7715733 50.5493162, 13.7716088 50.549307, 13.7717755 50.5492654, 13.7718487 50.5492472, 13.7721361 50.549186, 13.7726652 50.5490688, 13.7732115 50.5489542, 13.7732449 50.5489456)",2538,,,,
"[251527586, 31895643, 251527588]",False,Mostecká,tertiary,"['50', '30']",False,66.232,"LINESTRING (13.7714958 50.5485202, 13.7714947 50.5484788, 13.7714867 50.5484045, 13.771477 50.5483466, 13.7714593 50.548295, 13.7714139 50.5482223, 13.7712557 50.5481137, 13.7710521 50.5480539)",2538,,,,
31895643,False,Mostecká,tertiary,50,True,86.869,"LINESTRING (13.7714958 50.5485202, 13.7714544 50.5486495, 13.7713995 50.5488212, 13.7713889 50.5490545, 13.7713887 50.5492162, 13.7713926 50.549243, 13.7714046 50.5492699, 13.7714243 50.5492905)",2538,,,,
31980109,False,Školní,residential,,False,61.217,"LINESTRING (13.7714958 50.5485202, 13.7715829 50.5485096, 13.7716356 50.5484977, 13.7723156 50.5483439)",,,,,
31980111,False,Kyselská,residential,,False,106.53899999999999,"LINESTRING (13.7710521 50.5480539, 13.7709531 50.547924, 13.7703948 50.5475051, 13.7701254 50.547303)",,,,,
251527586,False,Mostecká,tertiary,50,False,42.05199999999999,"LINESTRING (13.7710521 50.5480539, 13.7709028 50.5480579, 13.7707465 50.5480738, 13.7704723 50.5481286)",2538,,,,
"[251527586, 31895643, 251527588]",False,Mostecká,tertiary,"['50', '30']",True,66.232,"LINESTRING (13.7710521 50.5480539, 13.7712557 50.5481137, 13.7714139 50.5482223, 13.7714593 50.548295, 13.771477 50.5483466, 13.7714867 50.5484045, 13.7714947 50.5484788, 13.7714958 50.5485202)",2538,,,,
31980112,True,Lidická,residential,50,False,150.13299999999998,"LINESTRING (13.7704723 50.5481286, 13.7704821 50.5484143, 13.7704832 50.5484449, 13.7705229 50.5494784)",,,,,
"[251527586, 31980116, 31980114]",False,Mostecká,tertiary,50,False,127.274,"LINESTRING (13.7704723 50.5481286, 13.7702944 50.5481312, 13.7700126 50.5481, 13.7699583 50.5480939, 13.7696385 50.5480585, 13.7688798 50.5479844, 13.768694 50.5479593)",2538,yes,,,
