osmid,ref,name,highway,oneway,reversed,length,geometry,bridge,maxspeed,access
26956720,44618,Horní,tertiary,False,True,60.359,"LINESTRING (17.2176532 49.684759, 17.2183813 49.6844893)",,,
26956719,44618,Horní,tertiary,False,False,679.661,"LINESTRING (17.2176532 49.684759, 17.2173364 49.6848905, 17.2160643 49.6854221, 17.2157182 49.6855666, 17.2143683 49.6861462, 17.2132688 49.6866743, 17.2118914 49.6873797, 17.2107299 49.6879604, 17.2099985 49.6883329)",,,
"[26402008, 4366427, 59449980]",44613,U Parku,tertiary,False,True,40.99099999999999,"LINESTRING (17.2196163 49.6855228, 17.219816 49.6855698, 17.2200927 49.6856611, 17.2201318 49.6856776)",yes,50,
29547890,44613 A,U Parku,tertiary,True,False,167.039,"LINESTRING (17.2196163 49.6855228, 17.219266 49.6854723, 17.2188415 49.6853474, 17.2180112 49.6849468, 17.2176532 49.684759)",,,
26956720,44618,Horní,tertiary,False,False,24.588,"LINESTRING (17.2202941 49.6840333, 17.2199636 49.6840896)",,,
31351038,44613,U Parku,tertiary,True,False,145.23000000000002,"LINESTRING (17.2202941 49.6840333, 17.2199867 49.6846834, 17.2196783 49.685277)",,30,
26956720,44618,Horní,tertiary,False,False,58.079,"LINESTRING (17.2190885 49.6842374, 17.2183813 49.6844893)",,,
26956720,44618,Horní,tertiary,False,True,65.067,"LINESTRING (17.2190885 49.6842374, 17.2199636 49.6840896)",,,
28727884,,Sokolská,residential,False,False,90.912,"LINESTRING (17.2190885 49.6842374, 17.2184483 49.6835325)",,,
26956720,44618,Horní,tertiary,False,False,60.359,"LINESTRING (17.2183813 49.6844893, 17.2176532 49.684759)",,,
26956720,44618,Horní,tertiary,False,True,58.079,"LINESTRING (17.2183813 49.6844893, 17.2190885 49.6842374)",,,
26956721,,U Parku,residential,False,False,129.166,"LINESTRING (17.2183813 49.6844893, 17.2185312 49.6846212, 17.2186757 49.6847493, 17.2188667 49.6848883, 17.2193004 49.6850943, 17.2196783 49.685277)",,,destination
31351038,44613,U Parku,tertiary,True,False,27.693,"LINESTRING (17.2196783 49.685277, 17.2196163 49.6855228)",,30,
26956721,,U Parku,residential,False,True,129.166,"LINESTRING (17.2196783 49.685277, 17.2193004 49.6850943, 17.2188667 49.6848883, 17.2186757 49.6847493, 17.2185312 49.6846212, 17.2183813 49.6844893)",,,destination
96786044,,,living_street,False,True,100.386,"LINESTRING (17.2236022 49.6870339, 17.2236605 49.6861319)",,,
59449980,44613,,tertiary,False,False,291.721,"LINESTRING (17.2236022 49.6870339, 17.2235288 49.6870057, 17.2227452 49.6866948, 17.2212668 49.6861048, 17.2208658 49.6859433, 17.2201318 49.6856776)",,50,
96786044,,,living_street,False,False,100.386,"LINESTRING (17.2236605 49.6861319, 17.2236022 49.6870339)",,,
96786044,,,living_street,False,True,2.565,"LINESTRING (17.2236605 49.6861319, 17.2236633 49.6861089)",,,
28727837,,,residential,False,False,241.687,"LINESTRING (17.2201318 49.6856776, 17.2190314 49.6865988, 17.2189569 49.6866847, 17.2189134 49.6867644, 17.2188189 49.6875884)",,,
"[26402008, 4366427, 59449980]",44613,U Parku,tertiary,False,False,40.991,"LINESTRING (17.2201318 49.6856776, 17.2200927 49.6856611, 17.219816 49.6855698, 17.2196163 49.6855228)",yes,50,
