osmid,name,highway,oneway,reversed,length,geometry,ref,lanes,bridge,junction
36944392,Dukelská,residential,False,False,65.979,"LINESTRING (13.4149311 50.2278687, 13.4149438 50.2280203, 13.414781 50.2283111, 13.4146597 50.2284187)",,,,
151793529,Dukelská,secondary,False,False,103.625,"LINESTRING (13.4149311 50.2278687, 13.4148671 50.2278869, 13.4147993 50.2278983, 13.4147296 50.2279024, 13.4136789 50.2278618, 13.413485 50.2278583)",221,,,
151793529,Dukelská,secondary,False,True,27.230000000000004,"LINESTRING (13.4149311 50.2278687, 13.4149934 50.2278421, 13.4150476 50.227809, 13.4150826 50.2277791, 13.4151089 50.2277452, 13.4151432 50.2276747)",221,,,
"[36944376, 36944377]",Masarykovo náměstí,residential,False,True,176.618,"LINESTRING (13.4094324 50.2285173, 13.4098488 50.2282218, 13.4098779 50.2281522, 13.4098745 50.2280857, 13.409852 50.2280361, 13.4098077 50.227986, 13.4086413 50.2278174, 13.4084793 50.2279618)",,,,
151793519,Masarykovo náměstí,secondary,False,False,91.719,"LINESTRING (13.4094324 50.2285173, 13.4089294 50.2282268, 13.4084793 50.2279618)",221,,,
294360051,Masarykovo náměstí,tertiary,False,True,115.325,"LINESTRING (13.4094324 50.2285173, 13.4092099 50.2286565, 13.4087495 50.2286129, 13.407914 50.2285338)",22112,,,
294360069,Revoluční,secondary,False,True,80.531,"LINESTRING (13.4094324 50.2285173, 13.4095869 50.2286132, 13.4100099 50.2288688, 13.4101063 50.228927, 13.410145 50.228972, 13.4101776 50.2290473)",221,,,
151793529,Dukelská,secondary,False,True,24.929,"LINESTRING (13.4118809 50.2282892, 13.412188 50.2281812)",221,,,
151793529,Dukelská,secondary,False,False,114.034,"LINESTRING (13.4118809 50.2282892, 13.411558 50.2284334, 13.4113307 50.2285591, 13.4111188 50.2286903, 13.4106878 50.22897)",221,,,
294360047,Kpt. Nálepky,residential,False,True,130.923,"LINESTRING (13.4118809 50.2282892, 13.4117545 50.2281906, 13.4116753 50.2281287, 13.4114169 50.2280249, 13.4102132 50.22794)",,,,
294360068,Přátelství,secondary,False,True,41.995,"LINESTRING (13.4076452 50.2266474, 13.4078619 50.2269987)",221,,,
36944364,Husova,residential,False,False,39.387,"LINESTRING (13.4076452 50.2266474, 13.4078351 50.2265977, 13.4078843 50.226584, 13.4079225 50.2265636, 13.4079439 50.2265219, 13.4079685 50.2264101)",,,,
163868409,Přátelství,secondary,False,False,112.142,"LINESTRING (13.4076452 50.2266474, 13.4075278 50.2265171, 13.4074065 50.2264145, 13.4072518 50.2263046, 13.4065774 50.2259146)",221,,,
9571343,Žatecká,secondary,False,False,154.21,"LINESTRING (13.4096495 50.2310903, 13.4110871 50.2321284)",226,,,
294360044,Kadaňská,secondary,False,False,158.121,"LINESTRING (13.4096495 50.2310903, 13.4090832 50.2324654)",224,2,,
36944409,Politických vězňů,residential,False,True,243.60999999999996,"LINESTRING (13.4096495 50.2310903, 13.4083331 50.2310854, 13.4081292 50.2311044, 13.4077062 50.2311959, 13.4074646 50.231271, 13.4072976 50.2313465, 13.4072364 50.2313868, 13.4071253 50.2314756, 13.4069924 50.2315888, 13.4067544 50.2318123, 13.406704 50.2318461)",,,,
"[294360040, 224677850, 224677852]",Dukelská,secondary,False,True,62.761,"LINESTRING (13.4096495 50.2310903, 13.4095954 50.2307747, 13.4095859 50.2306827, 13.4095813 50.230528)",224,2,yes,
163868409,Přátelství,secondary,False,True,112.14200000000001,"LINESTRING (13.4065774 50.2259146, 13.4072518 50.2263046, 13.4074065 50.2264145, 13.4075278 50.2265171, 13.4076452 50.2266474)",221,,,
"[446825320, 735123535]","['Přátelství', 'Vroutecká']",secondary,False,False,22.943,"LINESTRING (13.4065774 50.2259146, 13.4064241 50.2258359, 13.4063168 50.2257937)",221,,,
151793525,5. května,secondary,False,False,150.49599999999998,"LINESTRING (13.4179185 50.2251927, 13.4170672 50.2256339, 13.4167922 50.2258047, 13.4165138 50.2259857, 13.4163971 50.2260626, 13.4163491 50.2260971)",221,,,
163868320,Mírová,residential,False,True,104.453,"LINESTRING (13.4179185 50.2251927, 13.4176949 50.225066, 13.4175928 50.2250469, 13.4172534 50.225062, 13.4165356 50.2251173)",,,,
151793529,Dukelská,secondary,False,False,24.929,"LINESTRING (13.412188 50.2281812, 13.4118809 50.2282892)",221,,,
36944393,Partyzánská,residential,False,False,139.838,"LINESTRING (13.412188 50.2281812, 13.412362 50.2282901, 13.4125629 50.2284047, 13.4133746 50.228744, 13.4134349 50.2287989, 13.413447 50.2288418, 13.4134415 50.2289132, 13.4134639 50.2290396)",,,,
151793529,Dukelská,secondary,False,True,100.06799999999998,"LINESTRING (13.412188 50.2281812, 13.4127201 50.2279984, 13.4131114 50.2278939, 13.4132028 50.2278792, 13.4132954 50.2278684, 13.4133899 50.2278614, 13.413485 50.2278583)",221,,,
28124446,Valovská,tertiary,False,False,34.671,"LINESTRING (13.4153104 50.2272699, 13.4151463 50.2269763)",2219,,,
151793520,5. května,secondary,False,False,46.557,"LINESTRING (13.4153104 50.2272699, 13.4151432 50.2276747)",221,,,
151793525,5. května,secondary,False,True,151.095,"LINESTRING (13.4153104 50.2272699, 13.4153757 50.2271566, 13.4154187 50.2270799, 13.4155056 50.226937, 13.4155522 50.2268655, 13.4156027 50.2267944, 13.415672 50.2267046, 13.4157677 50.2265988, 13.4158062 50.2265583, 13.4159438 50.2264284, 13.4160702 50.2263162, 13.4161441 50.2262529, 13.4163099 50.2261252, 13.4163491 50.2260971)",221,,,
36944378,Masarykovo náměstí,residential,False,False,84.619,"LINESTRING (13.4082063 50.2278025, 13.4081061 50.2279096, 13.407914 50.2285338)",,,,
151793519,Masarykovo náměstí,secondary,False,True,26.285,"LINESTRING (13.4082063 50.2278025, 13.4084246 50.2279296, 13.4084793 50.2279618)",221,,,
294360068,Přátelství,secondary,False,False,84.012,"LINESTRING (13.4082063 50.2278025, 13.4080892 50.227649, 13.407886 50.2270789)",221,,,
163868410,Vroutecká,secondary,False,True,123.419,"LINESTRING (13.4049876 50.2250804, 13.4063168 50.2257937)",221,,,
36944381,Kpt. Jaroše,residential,False,True,35.934,"LINESTRING (13.4049876 50.2250804, 13.4047096 50.2252833, 13.4046658 50.2253287)",,,,
294360068,Přátelství,secondary,False,False,41.995,"LINESTRING (13.4078619 50.2269987, 13.4076452 50.2266474)",221,,,
294360068,Přátelství,secondary,False,True,9.081,"LINESTRING (13.4078619 50.2269987, 13.407886 50.2270789)",221,,,
