osmid,oneway,name,highway,reversed,length,geometry,ref,lanes,maxspeed,access
22996895,True,Tuchoraz,residential,False,285.75600000000003,"LINESTRING (14.1032536 50.1494086, 14.1031582 50.1494616, 14.1031069 50.1495118, 14.1030856 50.1495393, 14.1027069 50.1499841, 14.1026922 50.1500161, 14.102687 50.1500493, 14.1026917 50.1500825, 14.1027059 50.1501177, 14.1027316 50.1501501, 14.1031582 50.150395, 14.103336 50.150602, 14.103481 50.1507547, 14.1035027 50.1507686, 14.1035296 50.1507783, 14.1035594 50.1507831, 14.1035901 50.1507826, 14.103608 50.1507801, 14.103625 50.1507757, 14.1043531 50.1505183, 14.1043692 50.1505135, 14.104387 50.1505141, 14.1044033 50.1505192, 14.1044138 50.1505283, 14.1045302 50.1507731)",,,,
39725752,False,Pod Zámkem,secondary,True,545.181,"LINESTRING (14.1032536 50.1494086, 14.102546 50.149108, 14.10177 50.148744, 14.100167 50.147971, 14.0976557 50.1467149, 14.0973284 50.1465545, 14.0971374 50.1464651)",238,,,
218090786,False,Pod Zámkem,tertiary,True,46.556,"LINESTRING (14.1032536 50.1494086, 14.103709 50.149582, 14.103817 50.1496206)",,2,,
219200245,False,Pod Zámkem,secondary,False,53.226,"LINESTRING (14.1032536 50.1494086, 14.1035623 50.1491843, 14.1037847 50.149075)",238,,,
22996892,False,Slánská,secondary,False,30.086,"LINESTRING (14.1049128 50.1494514, 14.1049768 50.1492688, 14.1050053 50.1491874)",118,3,50,
"[781308226, 51852511]",True,Pod Zámkem,secondary_link,False,55.039,"LINESTRING (14.1049128 50.1494514, 14.1048733 50.1493197, 14.1047948 50.1492544, 14.1047245 50.149196, 14.1044735 50.1490694)",,,,
30975674,False,Ocelárenská,residential,True,114.306,"LINESTRING (14.1073772 50.1452428, 14.108814 50.1456999)",,,,
707439745,False,gen. Klapálka,tertiary,True,55.014,"LINESTRING (14.1073772 50.1452428, 14.1066827 50.1450267)",2385,2,50,
729938531,False,gen. Klapálka,secondary,False,128.19799999999998,"LINESTRING (14.1073772 50.1452428, 14.1075383 50.1452469, 14.107703 50.1452243, 14.1090639 50.1448692)",118,2,50,yes
"[218090784, 859267881, 363096883]",False,Dukelských hrdinů,secondary,True,284.282,"LINESTRING (14.1073772 50.1452428, 14.1069532 50.1459141, 14.1065842 50.1464983, 14.106038 50.147392, 14.1059963 50.1474651, 14.1059724 50.1475087, 14.1059064 50.1476192)",118,4,50,yes
387794929,False,Slánská,residential,False,27.121,"LINESTRING (14.1050053 50.1491874, 14.1053458 50.1492964)",,,,
22996892,False,Slánská,secondary,True,30.086,"LINESTRING (14.1050053 50.1491874, 14.1049768 50.1492688, 14.1049128 50.1494514)",118,3,50,
722972139,False,Pod Zámkem,secondary,True,40.1,"LINESTRING (14.1050053 50.1491874, 14.1048792 50.1491594, 14.1044735 50.1490694)",238,,,
"[792442833, 781308228]",False,Dukelských hrdinů,secondary,False,44.436,"LINESTRING (14.1050053 50.1491874, 14.1050425 50.1491013, 14.1051719 50.1488023)",118,3,50,yes
221007039,False,Divadelní,residential,True,71.816,"LINESTRING (14.1090639 50.1448692, 14.1082167 50.1445194)",,,50,
729938531,False,gen. Klapálka,secondary,True,128.19799999999998,"LINESTRING (14.1090639 50.1448692, 14.107703 50.1452243, 14.1075383 50.1452469, 14.1073772 50.1452428)",118,2,50,yes
"[218090784, 859267881, 363096883]",False,Dukelských hrdinů,secondary,False,284.28200000000004,"LINESTRING (14.1059064 50.1476192, 14.1059724 50.1475087, 14.1059963 50.1474651, 14.106038 50.147392, 14.1065842 50.1464983, 14.1069532 50.1459141, 14.1073772 50.1452428)",118,4,50,yes
"[792442832, 859267882, 219200235]",False,Dukelských hrdinů,secondary,False,141.72,"LINESTRING (14.1059064 50.1476192, 14.1058576 50.1476941, 14.1058438 50.1477147, 14.1056545 50.1479971, 14.105329 50.1484828, 14.1051719 50.1488023)",118,3,50,yes
1213317284,False,Huťská,residential,True,38.816,"LINESTRING (14.1059064 50.1476192, 14.1061274 50.1476924, 14.1061873 50.1477122, 14.1063903 50.1477795)",,3,,
314236043,False,Petra Bezruče,tertiary,False,171.862,"LINESTRING (14.1030278 50.1433922, 14.104652 50.1443257, 14.1048233 50.1444241)",2385,,,
13993662,False,J. Hory,residential,False,98.663,"LINESTRING (14.1048233 50.1444241, 14.1049598 50.1442927, 14.1055903 50.1436854)",,,,
219200237,False,gen. Klapálka,tertiary,False,83.149,"LINESTRING (14.1048233 50.1444241, 14.1049339 50.1444835, 14.1049964 50.1445065, 14.1050482 50.1445256, 14.1056611 50.1447211, 14.1058486 50.1447759)",2385,2,50,
223992885,False,Ivana Olbrachta,residential,True,100.009,"LINESTRING (14.1048233 50.1444241, 14.1046248 50.1444959, 14.1041584 50.1447827, 14.1038867 50.1449438, 14.1037733 50.1450152)",,,,
314236043,False,Petra Bezruče,tertiary,True,171.862,"LINESTRING (14.1048233 50.1444241, 14.104652 50.1443257, 14.1030278 50.1433922)",2385,,,
295958731,False,J. Hory,residential,False,4.404,"LINESTRING (14.1055903 50.1436854, 14.1056337 50.1436572)",,,,
13993662,False,J. Hory,residential,True,98.663,"LINESTRING (14.1055903 50.1436854, 14.1049598 50.1442927, 14.1048233 50.1444241)",,,,
314095070,True,Vašatova,residential,False,90.765,"LINESTRING (14.0960716 50.1443585, 14.0961926 50.1443984, 14.0970624 50.1446827, 14.097206 50.1447297)",,,,
30975694,False,Poděbradova,residential,False,69.428,"LINESTRING (14.098267 50.1456455, 14.0983134 50.1455495, 14.0985579 50.1450496)",,,,
30975689,False,Žižkova,residential,False,105.44,"LINESTRING (14.1000716 50.1456019, 14.1001084 50.1455478, 14.1006705 50.1447348)",,,,
163313794,False,Pod Zámkem,tertiary,False,70.71900000000001,"LINESTRING (14.1037847 50.149075, 14.1036256 50.1491967, 14.1035811 50.1492885, 14.1035782 50.1493827, 14.1036176 50.1494593, 14.1036879 50.1495269, 14.103817 50.1496206)",,,,
"[781308227, 219200245]",False,Pod Zámkem,secondary,False,51.80799999999999,"LINESTRING (14.1037847 50.149075, 14.1038995 50.1490309, 14.1039966 50.1490119, 14.1041019 50.1490087, 14.1042467 50.1490174, 14.1044735 50.1490694)",238,,,
219200245,False,Pod Zámkem,secondary,True,53.226,"LINESTRING (14.1037847 50.149075, 14.1035623 50.1491843, 14.1032536 50.1494086)",238,,,
22996893,False,Lesík,residential,False,54.233999999999995,"LINESTRING (14.1045302 50.1507731, 14.1045428 50.150806, 14.1045462 50.1508245, 14.1045416 50.1508428, 14.1045295 50.1508597, 14.1045122 50.1508741, 14.1044896 50.150885, 14.1044634 50.1508917, 14.103939 50.1509641)",,,,
22996893,False,Lesík,residential,True,54.233999999999995,"LINESTRING (14.103939 50.1509641, 14.1044634 50.1508917, 14.1044896 50.150885, 14.1045122 50.1508741, 14.1045295 50.1508597, 14.1045416 50.1508428, 14.1045462 50.1508245, 14.1045428 50.150806, 14.1045302 50.1507731)",,,,
