osmid,oneway,name,highway,maxspeed,reversed,length,ref,geometry,lanes,access,junction
28054706,True,Husova,living_street,20,False,179.058,,"LINESTRING (15.5542823 50.0385158, 15.5542332 50.0369058)",,,
234155960,False,Pražská,primary,50,False,21.902,2,"LINESTRING (15.5542823 50.0385158, 15.5545765 50.0385714)",,,
28054050,False,Sportovní,residential,,True,153.695,,"LINESTRING (15.5669275 50.0395796, 15.5667878 50.0396347, 15.5667237 50.0396531, 15.5665034 50.0397743, 15.5662743 50.0399313, 15.565949 50.0401541, 15.565622 50.040364, 15.5654323 50.0405567)",,,
28477199,False,Sladkovského,secondary,50,True,98.257,333,"LINESTRING (15.5669275 50.0395796, 15.5667656 50.0393069, 15.5666944 50.0391643, 15.5666227 50.0390353, 15.5665624 50.0389049, 15.5665161 50.0387385)",,,
28092927,False,Pardubická,primary,50,False,132.822,2,"LINESTRING (15.5571533 50.0386673, 15.5571803 50.0386576, 15.5572502 50.0386324, 15.557326 50.0386035, 15.5573897 50.038572, 15.5575377 50.0384766, 15.5577853 50.0382911, 15.5582625 50.0379291, 15.558419 50.0378026)",,,
1014182427,True,Pardubická,primary,50,False,28.329,2,"LINESTRING (15.5571533 50.0386673, 15.5570729 50.0387057, 15.5569843 50.0387362, 15.5568611 50.0387842, 15.5568236 50.0388072)",,,
28092927,False,Pardubická,primary,50,False,122.43,2,"LINESTRING (15.5610641 50.0374838, 15.5611021 50.0374864, 15.5616081 50.0375208, 15.562127 50.037556, 15.5627713 50.0375805)",,,
28092927,False,Pardubická,primary,50,True,114.258,2,"LINESTRING (15.5610641 50.0374838, 15.5610186 50.0374808, 15.5609445 50.037476, 15.5605593 50.0374647, 15.560132 50.037474, 15.559468 50.0375108)",,,
161662566,True,Československé armády,residential,,False,108.369,,"LINESTRING (15.5610641 50.0374838, 15.5610502 50.0375724, 15.5611695 50.0383649, 15.5612088 50.0384506)",,,
161662568,True,Československé armády,residential,,False,110.14200000000001,,"LINESTRING (15.5610641 50.0374838, 15.5610591 50.0374517, 15.560912 50.0364981)",,,
234155960,False,Pražská,primary,50,True,21.902,2,"LINESTRING (15.5545765 50.0385714, 15.5542823 50.0385158)",,,
161662565,False,Nerudova,residential,,True,186.34199999999998,,"LINESTRING (15.5545765 50.0385714, 15.5545472 50.0388749, 15.5550254 50.0402118)",,,
234155960,False,Pražská,primary,50,False,133.57399999999998,2,"LINESTRING (15.5545765 50.0385714, 15.555042 50.038653, 15.5560925 50.0388022, 15.55615 50.0388103, 15.5562254 50.038819, 15.5563104 50.0388212, 15.5564011 50.038814)",,,
"[9580868, 28054015]",False,Sladkovského,secondary,50,False,99.007,333,"LINESTRING (15.5661402 50.0376613, 15.5661979 50.0378176, 15.5664399 50.0383297, 15.5664797 50.0385226)",,,
28092927,False,Pardubická,primary,50,True,241.085,2,"LINESTRING (15.5661402 50.0376613, 15.5658995 50.03768, 15.5652526 50.0376808, 15.5651164 50.0376753, 15.5648612 50.0376667, 15.564058 50.0376395, 15.5633626 50.0376081, 15.5632446 50.0376028, 15.563008 50.0375916, 15.5628059 50.0375821, 15.5627713 50.0375805)",,,
240771218,False,Pardubická,primary,50,True,110.721,2,"LINESTRING (15.5661402 50.0376613, 15.5664252 50.0376348, 15.566815 50.0375986, 15.5676479 50.0374406)",,,
258258632,False,Račanská,tertiary,50,True,219.163,32211,"LINESTRING (15.5661402 50.0376613, 15.5661362 50.0376388, 15.5661127 50.0375051, 15.5660301 50.0370359, 15.565995 50.0366063, 15.5659589 50.0361634, 15.5659026 50.0356969)",,,
28054020,False,Přemyslova,residential,,True,81.42500000000001,,"LINESTRING (15.5676479 50.0374406, 15.5676421 50.0374172, 15.56747 50.0367173)",,,
240771218,False,Pardubická,primary,50,False,110.721,2,"LINESTRING (15.5676479 50.0374406, 15.566815 50.0375986, 15.5664252 50.0376348, 15.5661402 50.0376613)",,,
28092927,False,Pardubická,primary,50,False,114.258,2,"LINESTRING (15.559468 50.0375108, 15.560132 50.037474, 15.5605593 50.0374647, 15.5609445 50.037476, 15.5610186 50.0374808, 15.5610641 50.0374838)",,,
28092927,False,Pardubická,primary,50,True,84.76700000000001,2,"LINESTRING (15.559468 50.0375108, 15.5591441 50.0375353, 15.558995 50.037555, 15.558879 50.037574, 15.5587996 50.0375961, 15.5587222 50.0376222, 15.558616 50.0376708, 15.5585241 50.0377312, 15.558419 50.0378026)",,,
28054034,False,K. Čapka,residential,,False,116.58500000000001,,"LINESTRING (15.5627713 50.0375805, 15.5627744 50.037529, 15.5627763 50.0374968, 15.5627852 50.0373471, 15.5627968 50.0371523, 15.5628337 50.0365328)",,,
"[28054052, 194353980]",False,28. října,residential,,False,117.674,,"LINESTRING (15.5627713 50.0375805, 15.5627668 50.0376792, 15.5627856 50.037724, 15.5628512 50.0377774, 15.5633288 50.0379773, 15.563341 50.0379823, 15.5633667 50.0379931, 15.5633017 50.0382186, 15.563301 50.0384392)",,,
28092927,False,Pardubická,primary,50,False,241.085,2,"LINESTRING (15.5627713 50.0375805, 15.5628059 50.0375821, 15.563008 50.0375916, 15.5632446 50.0376028, 15.5633626 50.0376081, 15.564058 50.0376395, 15.5648612 50.0376667, 15.5651164 50.0376753, 15.5652526 50.0376808, 15.5658995 50.03768, 15.5661402 50.0376613)",,,
28092927,False,Pardubická,primary,50,True,122.42999999999999,2,"LINESTRING (15.5627713 50.0375805, 15.562127 50.037556, 15.5616081 50.0375208, 15.5611021 50.0374864, 15.5610641 50.0374838)",,,
28092927,False,Pardubická,primary,50,False,84.76700000000001,2,"LINESTRING (15.558419 50.0378026, 15.5585241 50.0377312, 15.558616 50.0376708, 15.5587222 50.0376222, 15.5587996 50.0375961, 15.558879 50.037574, 15.558995 50.037555, 15.5591441 50.0375353, 15.559468 50.0375108)",,,
28092927,False,Pardubická,primary,50,True,132.822,2,"LINESTRING (15.558419 50.0378026, 15.5582625 50.0379291, 15.5577853 50.0382911, 15.5575377 50.0384766, 15.5573897 50.038572, 15.557326 50.0386035, 15.5572502 50.0386324, 15.5571803 50.0386576, 15.5571533 50.0386673)",,,
314230366,False,Kladenská,tertiary,,True,32.571,32214,"LINESTRING (15.558419 50.0378026, 15.5583752 50.0377698, 15.5581371 50.0375724)",,,
28054042,False,Smetanova,residential,,False,104.781,,"LINESTRING (15.5581138 50.0353416, 15.5595805 50.0353627)",,,
28054042,False,Smetanova,residential,,True,62.387,,"LINESTRING (15.5581138 50.0353416, 15.5572408 50.0353227)",,,
314230365,False,Kladenská,tertiary,,False,120.552,32214,"LINESTRING (15.5581138 50.0353416, 15.5581304 50.0364257)",,,
28054703,False,Za Fontánou,residential,30,True,131.961,,"LINESTRING (15.5581371 50.0375724, 15.5562894 50.0375687)",,,
314230366,False,Kladenská,tertiary,,False,32.571,32214,"LINESTRING (15.5581371 50.0375724, 15.5583752 50.0377698, 15.558419 50.0378026)",,,
314230366,False,Kladenská,tertiary,,True,127.508,32214,"LINESTRING (15.5581371 50.0375724, 15.5581369 50.0375298, 15.5581306 50.036456, 15.5581304 50.0364257)",,,
28054024,False,Libušina,residential,,False,94.321,,"LINESTRING (15.5659026 50.0356969, 15.5668088 50.0356278, 15.5672146 50.0356003)",,,
258258632,False,Račanská,tertiary,50,False,219.163,32211,"LINESTRING (15.5659026 50.0356969, 15.5659589 50.0361634, 15.565995 50.0366063, 15.5660301 50.0370359, 15.5661127 50.0375051, 15.5661362 50.0376388, 15.5661402 50.0376613)",,,
28054020,False,Přemyslova,residential,,False,125.542,,"LINESTRING (15.5672146 50.0356003, 15.5674468 50.0366337, 15.56747 50.0367173)",,,
28054024,False,Libušina,residential,,True,94.321,,"LINESTRING (15.5672146 50.0356003, 15.5668088 50.0356278, 15.5659026 50.0356969)",,,
28054020,False,Přemyslova,residential,,False,81.42500000000001,,"LINESTRING (15.56747 50.0367173, 15.5676421 50.0374172, 15.5676479 50.0374406)",,,
28054020,False,Přemyslova,residential,,True,125.542,,"LINESTRING (15.56747 50.0367173, 15.5674468 50.0366337, 15.5672146 50.0356003)",,,
