osmid,ref,highway,maxspeed,oneway,reversed,length,bridge,geometry
"[507984105, 507984106, 384148006]",112,secondary,50,False,True,258.047,yes,"LINESTRING (15.1789389 49.509006, 15.1789698 49.509277, 15.1789967 49.5095401, 15.1790022 49.5095976, 15.1790239 49.509925, 15.1790296 49.510028, 15.1790268 49.510128, 15.179011 49.510221, 15.1789782 49.5103221, 15.1789089 49.510475, 15.1787973 49.510709, 15.1786949 49.5109523, 15.1786105 49.5112913)"
43570249,,residential,,False,False,106.113,,"LINESTRING (15.1786105 49.5112913, 15.1790443 49.5113274, 15.1800683 49.5114127)"
"[507984105, 507984106, 384148006]",112,secondary,50,False,False,258.047,yes,"LINESTRING (15.1786105 49.5112913, 15.1786949 49.5109523, 15.1787973 49.510709, 15.1789089 49.510475, 15.1789782 49.5103221, 15.179011 49.510221, 15.1790268 49.510128, 15.1790296 49.510028, 15.1790239 49.509925, 15.1790022 49.5095976, 15.1789967 49.5095401, 15.1789698 49.509277, 15.1789389 49.509006)"
436827534,112,secondary,,False,True,60.80499999999999,,"LINESTRING (15.1786105 49.5112913, 15.1785613 49.5114876, 15.178451 49.5118281)"
621978387,11235,tertiary,,False,True,60.607,,"LINESTRING (15.1786105 49.5112913, 15.178362 49.5112837, 15.1777754 49.5113287)"
43570236,,residential,,False,True,16.404,,"LINESTRING (15.1780501 49.5128128, 15.1782767 49.5128236)"
436827534,112,secondary,,False,True,12.735,,"LINESTRING (15.1780501 49.5128128, 15.1779568 49.51291)"
436827534,112,secondary,,False,False,113.827,,"LINESTRING (15.1780501 49.5128128, 15.1781431 49.5126934, 15.1782136 49.5125746, 15.1782764 49.5124181, 15.1783222 49.5122768, 15.1783875 49.5120499, 15.178451 49.5118281)"
436358995,112,secondary,50,False,True,5.688,,"LINESTRING (15.1779568 49.51291, 15.1779151 49.5129534)"
436827534,112,secondary,,False,False,12.735,,"LINESTRING (15.1779568 49.51291, 15.1780501 49.5128128)"
43570251,,residential,,False,True,252.20800000000003,,"LINESTRING (15.1779568 49.51291, 15.1777163 49.5128721, 15.1769257 49.5127921, 15.1764632 49.5127395, 15.1751975 49.5125972, 15.1745062 49.5126115)"
43570252,,residential,,False,False,174.313,,"LINESTRING (15.1779568 49.51291, 15.1779257 49.5128093, 15.1777555 49.5123942, 15.1776313 49.5121906, 15.1775781 49.5119808, 15.1775743 49.5119658, 15.177515 49.5113785)"
436358995,112,secondary,50,False,False,115.431,,"LINESTRING (15.1763897 49.5152352, 15.1770074 49.5142777)"
43570250,,residential,,False,False,53.126000000000005,,"LINESTRING (15.1763897 49.5152352, 15.1762631 49.5152362, 15.1761181 49.5152447, 15.1756681 49.5153173)"
43570235,,residential,,False,False,151.471,,"LINESTRING (15.178451 49.5118281, 15.1785747 49.5118404, 15.1790148 49.5118775, 15.1795339 49.5119213, 15.1796776 49.5118996, 15.179795 49.5118311, 15.1800245 49.511469, 15.1800683 49.5114127)"
436827534,112,secondary,,False,False,60.80499999999999,,"LINESTRING (15.178451 49.5118281, 15.1785613 49.5114876, 15.1786105 49.5112913)"
436827534,112,secondary,,False,True,113.827,,"LINESTRING (15.178451 49.5118281, 15.1783875 49.5120499, 15.1783222 49.5122768, 15.1782764 49.5124181, 15.1782136 49.5125746, 15.1781431 49.5126934, 15.1780501 49.5128128)"
27995166,11235,tertiary,,False,False,115.707,,"LINESTRING (15.1743903 49.5115511, 15.1751574 49.5116824, 15.1759517 49.5115816)"
43570256,,residential,,False,False,48.188,,"LINESTRING (15.1743903 49.5115511, 15.1745817 49.5112666, 15.1745855 49.5111955, 15.174576 49.5111441)"
436358993,11235,tertiary,,False,False,19.599,,"LINESTRING (15.177515 49.5113785, 15.1777754 49.5113287)"
436358993,11235,tertiary,,False,True,115.105,,"LINESTRING (15.177515 49.5113785, 15.1759517 49.5115816)"
43570252,,residential,,False,True,174.31299999999996,,"LINESTRING (15.177515 49.5113785, 15.1775743 49.5119658, 15.1775781 49.5119808, 15.1776313 49.5121906, 15.1777555 49.5123942, 15.1779257 49.5128093, 15.1779568 49.51291)"
436358993,11235,tertiary,,False,True,19.599,,"LINESTRING (15.1777754 49.5113287, 15.177515 49.5113785)"
43570253,,residential,,False,False,84.273,,"LINESTRING (15.1777754 49.5113287, 15.1776058 49.5109505, 15.1772973 49.5106841, 15.1772708 49.5106587)"
621978387,11235,tertiary,,False,False,60.607,,"LINESTRING (15.1777754 49.5113287, 15.178362 49.5112837, 15.1786105 49.5112913)"
43570254,,residential,,False,False,57.283,,"LINESTRING (15.1737865 49.5076918, 15.1741461 49.508151)"
43570254,,residential,,False,True,57.283,,"LINESTRING (15.1741461 49.508151, 15.1737865 49.5076918)"
621978380,,residential,,False,True,174.207,,"LINESTRING (15.1741461 49.508151, 15.1743139 49.5082329, 15.1744105 49.5083374, 15.1744829 49.5085064, 15.1745473 49.5086997, 15.1746706 49.5089261, 15.1747699 49.5091038, 15.1748599 49.5093708, 15.1749228 49.5096)"
621978382,,residential,,False,False,152.009,,"LINESTRING (15.1741461 49.508151, 15.1741743 49.5083267, 15.1740756 49.508817, 15.1740756 49.5090787, 15.1740277 49.5093019, 15.1739235 49.5094995)"
621978382,,residential,,False,False,150.50900000000001,,"LINESTRING (15.1743416 49.5096686, 15.1748064 49.5099517, 15.1748308 49.5100612, 15.174473 49.5108571)"
621978382,,residential,,False,True,37.933,,"LINESTRING (15.1743416 49.5096686, 15.1740137 49.509602, 15.1739235 49.5094995)"
621978384,,residential,,False,True,44.098,,"LINESTRING (15.1743416 49.5096686, 15.1746973 49.5095772, 15.1749228 49.5096)"
43570261,,residential,,False,True,36.551,,"LINESTRING (15.1739235 49.5094995, 15.1734392 49.5094038)"
621978382,,residential,,False,False,37.933,,"LINESTRING (15.1739235 49.5094995, 15.1740137 49.509602, 15.1743416 49.5096686)"
621978382,,residential,,False,True,152.00900000000001,,"LINESTRING (15.1739235 49.5094995, 15.1740277 49.5093019, 15.1740756 49.5090787, 15.1740756 49.508817, 15.1741743 49.5083267, 15.1741461 49.508151)"
43570261,,residential,,False,False,36.551,,"LINESTRING (15.1734392 49.5094038, 15.1739235 49.5094995)"
43570261,,residential,,False,True,68.49,,"LINESTRING (15.1734392 49.5094038, 15.1728449 49.5092551, 15.1725939 49.5091351)"
43570261,,residential,,False,False,68.49,,"LINESTRING (15.1725939 49.5091351, 15.1728449 49.5092551, 15.1734392 49.5094038)"
43570253,,residential,,False,True,198.469,,"LINESTRING (15.1749228 49.5096, 15.1750813 49.509751, 15.1758597 49.5099728, 15.1765893 49.5101647, 15.1767402 49.5102313, 15.1768569 49.5102921, 15.1769586 49.5103593, 15.1771565 49.5105491)"
621978380,,residential,,False,False,174.207,,"LINESTRING (15.1749228 49.5096, 15.1748599 49.5093708, 15.1747699 49.5091038, 15.1746706 49.5089261, 15.1745473 49.5086997, 15.1744829 49.5085064, 15.1744105 49.5083374, 15.1743139 49.5082329, 15.1741461 49.508151)"
621978384,,residential,,False,False,44.098,,"LINESTRING (15.1749228 49.5096, 15.1746973 49.5095772, 15.1743416 49.5096686)"
436358992,,residential,,False,False,6.067,,"LINESTRING (15.174473 49.5108571, 15.1743957 49.5108785)"
43570255,,residential,,False,True,88.587,,"LINESTRING (15.174473 49.5108571, 15.1746758 49.5108626, 15.1750478 49.5109523, 15.1752084 49.5110291, 15.1753718 49.5111828, 15.1754048 49.5112712)"
621978382,,residential,,False,True,150.509,,"LINESTRING (15.174473 49.5108571, 15.1748308 49.5100612, 15.1748064 49.5099517, 15.1743416 49.5096686)"
43570256,,residential,,False,False,38.431,,"LINESTRING (15.174576 49.5111441, 15.1743772 49.5110785, 15.1743975 49.5109723, 15.1743957 49.5108785)"
