osmid,ref,name,highway,maxspeed,oneway,reversed,length,bridge,geometry,width,access,lanes
"[4252889, 4253458, 27685574]",449,Dukelská,secondary,50,False,False,116.975,yes,"LINESTRING (17.0728954 49.7058196, 17.0728736 49.7057541, 17.0727811 49.7054597, 17.0727783 49.7054405, 17.0727313 49.7052988, 17.0725627 49.70479)",,,
4252889,449,Dukelská,secondary,,False,False,51.523,,"LINESTRING (17.0725627 49.70479, 17.0724297 49.7043347)",,,
"[4252889, 4253458, 27685574]",449,Dukelská,secondary,50,False,True,116.97500000000001,yes,"LINESTRING (17.0725627 49.70479, 17.0727313 49.7052988, 17.0727783 49.7054405, 17.0727811 49.7054597, 17.0728736 49.7057541, 17.0728954 49.7058196)",,,
4253120,,Kysucká,residential,,False,True,91.439,,"LINESTRING (17.0725627 49.70479, 17.0726845 49.7047715, 17.0728348 49.7047487, 17.0730996 49.7047052, 17.0734446 49.7046543, 17.073803 49.7046097)",,,
87303339,,,residential,,False,True,55.089999999999996,,"LINESTRING (17.0718498 49.7024492, 17.0719381 49.7024344, 17.0720577 49.7024061, 17.0723249 49.7023243, 17.0723732 49.7023165, 17.072437 49.7023063, 17.0725058 49.7022819, 17.0725525 49.7022598)",,,
"[5205160, 4252889, 1255523818, 5205159]",449,Dukelská,secondary,50,False,True,74.36500000000001,yes,"LINESTRING (17.0718498 49.7024492, 17.0718875 49.7025905, 17.0719127 49.7026729, 17.071934 49.7027268, 17.0719459 49.7027568, 17.0720104 49.7029481, 17.0720631 49.7031034)",,,
"[51099112, 1255523819]",449,Dukelská,secondary,50,False,False,134.148,,"LINESTRING (17.0718498 49.7024492, 17.0717663 49.7021898, 17.0717089 49.7020113, 17.071622 49.7017038, 17.071608 49.7016554, 17.0715626 49.7014985, 17.0714892 49.7012656)",,,
4252889,449,Dukelská,secondary,,False,True,51.523,,"LINESTRING (17.0724297 49.7043347, 17.0725627 49.70479)",,,
4252889,449,Dukelská,secondary,,False,False,109.873,,"LINESTRING (17.0724297 49.7043347, 17.0722491 49.7037403, 17.0721613 49.7034522, 17.072137 49.7033649)",,,
4262213,,Javoříčská,residential,,False,True,99.517,,"LINESTRING (17.0724297 49.7043347, 17.0725103 49.7043127, 17.0730085 49.7041729, 17.0735183 49.7040307, 17.0736714 49.7039494)",,,
4368682,,Javoříčská,residential,,False,False,254.33000000000004,,"LINESTRING (17.0724297 49.7043347, 17.0716918 49.7045344, 17.0715675 49.7045759, 17.0714393 49.7046183, 17.071171 49.7047005, 17.0709983 49.7047379, 17.0706525 49.7047886, 17.0700555 49.7048494, 17.0690439 49.7049024)",,,
4252935,,Čihadlo,residential,,False,True,197.339,,"LINESTRING (17.0750968 49.6992696, 17.0757348 49.6991591, 17.0759963 49.6991168, 17.0761425 49.6990968, 17.076273 49.6990901, 17.076468 49.6991026, 17.0766466 49.6991436, 17.0770406 49.699326, 17.0773326 49.6994792, 17.0776096 49.699529)",,,
"[4632629, 50481525, 50481526]",,Palackého,residential,,False,True,16.273,yes,"LINESTRING (17.0750968 49.6992696, 17.0750922 49.6992391, 17.0750674 49.6991679, 17.0750512 49.6991265)",,,
4253140,,Havlíčkova,residential,,True,False,43.3,,"LINESTRING (17.0753255 49.7003919, 17.0747335 49.7004628)",,,
7974148,,Havlíčkova,residential,,True,False,52.043,,"LINESTRING (17.0753255 49.7003919, 17.0760358 49.7003025)",,,
"[4253139, 297161526]",,1. máje,residential,,True,False,126.39,,"LINESTRING (17.0753255 49.7003919, 17.0752946 49.7001788, 17.0752782 49.7000933, 17.0752545 49.7000024, 17.0752226 49.6998952, 17.0751852 49.6998003, 17.0751495 49.6997299, 17.0751317 49.699682, 17.075115 49.6996276, 17.0751089 49.699586, 17.0751011 49.6992992, 17.0750968 49.6992696)",,,
297161532,,Poděbradova,residential,,False,False,17.944000000000003,,"LINESTRING (17.0761363 49.7010275, 17.0761281 49.7010817, 17.0761171 49.7010975, 17.0760986 49.7011181, 17.076064 49.7011404, 17.076017 49.701156)",,,
4253121,,Vítězná,residential,,False,False,8.681,,"LINESTRING (17.0762052 49.7058191, 17.076226 49.7057422)",,,
50501762,,,residential,,False,False,78.628,,"LINESTRING (17.0762052 49.7058191, 17.0760998 49.7058064, 17.0754364 49.7057264, 17.0753543 49.7057165, 17.0751816 49.7058126)",,,
1265045932,,Vítězná,residential,,False,True,37.778999999999996,,"LINESTRING (17.0763144 49.7054073, 17.0763093 49.7054304, 17.076226 49.7057422)",,,
4253120,,Kysucká,residential,,False,False,205.24099999999999,,"LINESTRING (17.0766469 49.7044671, 17.076537 49.7044705, 17.0761716 49.7044802, 17.0756005 49.7044935, 17.0752625 49.7045149, 17.0747388 49.7045388, 17.073803 49.7046097)",,,
"[5210578, 4253122, 5210577]",,Vítězná,residential,,False,True,166.94900000000004,yes,"LINESTRING (17.0766469 49.7044671, 17.0766482 49.7043744, 17.0764841 49.7038004, 17.076392 49.7034397, 17.0763847 49.7034046, 17.0763673 49.7033424, 17.0763234 49.7032044, 17.0762753 49.7030511, 17.0762584 49.7029886)",,,
"[4253460, 4253767]",,Vítězná,residential,20,True,False,107.499,yes,"LINESTRING (17.0766469 49.7044671, 17.0766435 49.7045523, 17.0765326 49.704894, 17.0765289 49.7049034, 17.0763838 49.7052559, 17.0763144 49.7054073)",6,,
4650802,,Vítězná,residential,,False,True,44.792,,"LINESTRING (17.0766469 49.7044671, 17.0767534 49.7044674, 17.0768635 49.7044603, 17.0771252 49.7044531, 17.0772689 49.7044502)",,,
