osmid,ref,name,highway,maxspeed,oneway,reversed,length,geometry,lanes,junction,access,bridge
110890171,437,Havlíčkova,secondary,50,False,True,123.77100000000003,"LINESTRING (17.6805234 49.3974613, 17.6804608 49.397465, 17.6803903 49.3974731, 17.6803257 49.3974849, 17.6802681 49.3975004, 17.6801994 49.3975234, 17.6801032 49.3975562, 17.6797911 49.397665, 17.6793855 49.3978024, 17.679304 49.3978281, 17.6792378 49.3978451, 17.6791707 49.397858, 17.6791005 49.3978682, 17.679019 49.3978737, 17.6789553 49.3978747)",,,,
9626293,437,Čs. brigády,secondary,50,False,False,204.86700000000002,"LINESTRING (17.6758203 49.3985019, 17.6749009 49.39882, 17.6743596 49.3990071, 17.6742298 49.3990492, 17.6738295 49.3991784, 17.6735624 49.3992616, 17.6732989 49.3993387)",,,,
"[1186667549, 9626293, 545712455]",437,Čs. brigády,secondary,50,False,True,193.723,"LINESTRING (17.6758203 49.3985019, 17.6760917 49.3984011, 17.6773755 49.3979618, 17.6775503 49.3979057, 17.6776655 49.3978714, 17.6778584 49.3978151, 17.6780149 49.3977737, 17.6780565 49.3977637, 17.6781186 49.3977542, 17.6782214 49.3977439)",2,,,
36907674,,Slavkovská,residential,,False,False,105.952,"LINESTRING (17.6758203 49.3985019, 17.6758008 49.3984775, 17.6757781 49.3984473, 17.6757587 49.3984116, 17.6757472 49.3983873, 17.6754133 49.3976422, 17.6753908 49.397592)",,,,
"[9626293, 1186667549, 545712455]",437,Čs. brigády,secondary,50,False,False,193.723,"LINESTRING (17.6782214 49.3977439, 17.6781186 49.3977542, 17.6780565 49.3977637, 17.6780149 49.3977737, 17.6778584 49.3978151, 17.6776655 49.3978714, 17.6775503 49.3979057, 17.6773755 49.3979618, 17.6760917 49.3984011, 17.6758203 49.3985019)",2,,,
1008852099,437,Havlíčkova,secondary,50,True,False,7.533,"LINESTRING (17.6782214 49.3977439, 17.6782214 49.3977189, 17.6782322 49.3976975, 17.6782497 49.3976808)",,roundabout,,
36907682,,U Mlékárny,residential,,False,True,83.158,"LINESTRING (17.6757022 49.4027303, 17.6767591 49.4024366)",,,,
142418959,,Meziříčská,tertiary,50,False,False,228.45400000000004,"LINESTRING (17.6757022 49.4027303, 17.6756416 49.4026612, 17.6755544 49.4025845, 17.6751379 49.4022386, 17.675099 49.4022038, 17.6750718 49.4021794, 17.675019 49.402124, 17.6749792 49.402071, 17.6749451 49.4020155, 17.6748937 49.4019211, 17.674775 49.4016706, 17.6747302 49.4015557, 17.67471 49.4014951, 17.6747048 49.401445, 17.6747039 49.4013959, 17.674703 49.401353, 17.6747062 49.4012597, 17.674701 49.4012072, 17.6746883 49.4011568, 17.6746674 49.4011098, 17.6746335 49.4010654, 17.6744695 49.4008934)",2,,,
36907688,,Táborského,residential,,False,True,114.71900000000001,"LINESTRING (17.6744695 49.4008934, 17.6745591 49.4008097, 17.6746293 49.4007406, 17.6747868 49.4006223, 17.6750404 49.4004491, 17.6752045 49.4003304, 17.6752568 49.4002757, 17.6752973 49.4002167, 17.67531 49.4001242, 17.675309 49.4000547)",,,no,
142418959,,Meziříčská,tertiary,50,False,False,50.39,"LINESTRING (17.6744695 49.4008934, 17.6743415 49.4007678, 17.6742495 49.4006873, 17.6741812 49.4006366, 17.6741082 49.400591, 17.6740241 49.4005492)",2,,,
142418959,,Meziříčská,tertiary,50,False,True,228.454,"LINESTRING (17.6744695 49.4008934, 17.6746335 49.4010654, 17.6746674 49.4011098, 17.6746883 49.4011568, 17.674701 49.4012072, 17.6747062 49.4012597, 17.674703 49.401353, 17.6747039 49.4013959, 17.6747048 49.401445, 17.67471 49.4014951, 17.6747302 49.4015557, 17.674775 49.4016706, 17.6748937 49.4019211, 17.6749451 49.4020155, 17.6749792 49.402071, 17.675019 49.402124, 17.6750718 49.4021794, 17.675099 49.4022038, 17.6751379 49.4022386, 17.6755544 49.4025845, 17.6756416 49.4026612, 17.6757022 49.4027303)",2,,,
36907684,,Kamenec,residential,,False,False,108.81299999999999,"LINESTRING (17.6740241 49.4005492, 17.6740498 49.400526, 17.6740797 49.4005052, 17.6741051 49.4004909, 17.6741377 49.4004751, 17.6742252 49.4004436, 17.6743091 49.4004184, 17.6744374 49.4003823, 17.6745307 49.4003569, 17.6748973 49.4002382, 17.675309 49.4000547)",,,,
142418959,,Meziříčská,tertiary,50,False,True,50.39,"LINESTRING (17.6740241 49.4005492, 17.6741082 49.400591, 17.6741812 49.4006366, 17.6742495 49.4006873, 17.6743415 49.4007678, 17.6744695 49.4008934)",2,,,
187928660,,Pod Platany,tertiary,50,False,False,93.81299999999999,"LINESTRING (17.6740241 49.4005492, 17.673935 49.4005152, 17.673852 49.4004906, 17.6737646 49.4004713, 17.673654 49.4004535, 17.6735441 49.400443, 17.673418 49.4004375, 17.6732893 49.4004348, 17.6730991 49.4004327, 17.6730249 49.4004315, 17.6729527 49.4004318, 17.6728633 49.4004368, 17.6728285 49.4004398, 17.672793 49.4004443, 17.6727623 49.4004498)",2,,,
"[51175768, 51175769, 110890273]",437,,secondary,50,False,True,21.942,"LINESTRING (17.6727623 49.4004498, 17.6727324 49.4003708, 17.672709 49.4002942, 17.6726973 49.4002571)",,,,yes
187928660,,Pod Platany,tertiary,50,False,True,93.813,"LINESTRING (17.6727623 49.4004498, 17.672793 49.4004443, 17.6728285 49.4004398, 17.6728633 49.4004368, 17.6729527 49.4004318, 17.6730249 49.4004315, 17.6730991 49.4004327, 17.6732893 49.4004348, 17.673418 49.4004375, 17.6735441 49.400443, 17.673654 49.4004535, 17.6737646 49.4004713, 17.673852 49.4004906, 17.673935 49.4005152, 17.6740241 49.4005492)",2,,,
1008853527,437,Pod Platany,secondary,50,False,False,106.301,"LINESTRING (17.6727623 49.4004498, 17.6727238 49.400458, 17.6726989 49.4004664, 17.6726722 49.4004774, 17.672635 49.4004939, 17.672189 49.4007151, 17.671867 49.4008475, 17.6715084 49.4009335)",2,,,
"[1186667552, 24825403]",150,Holešovská,secondary,50,False,False,90.864,"LINESTRING (17.6696751 49.4006547, 17.6695445 49.4005986, 17.6691312 49.4003956, 17.6686805 49.4001566)",3,,,
110890120,150,Sušilova,secondary,50,False,True,128.558,"LINESTRING (17.6696751 49.4006547, 17.669669 49.4007041, 17.6696703 49.400762, 17.6696771 49.400819, 17.6696924 49.4008789, 17.6698257 49.4013107, 17.6698836 49.4014743, 17.6699654 49.4016867, 17.6699988 49.4017879)",2,,,
214400128,437,Pod Platany,secondary,50,False,True,138.14000000000001,"LINESTRING (17.6696751 49.4006547, 17.6697779 49.4006871, 17.6701155 49.4007805, 17.6705054 49.4008761, 17.6707199 49.4009061, 17.6708213 49.4009203, 17.67121 49.4009384, 17.6715084 49.4009335)",2,,,
24844741,150,Holešovská,secondary,50,False,False,22.984,"LINESTRING (17.6686805 49.4001566, 17.6684293 49.4000301)",3,,,
"[51175752, 28464114, 439768771, 51175735]",43728,Dolní,tertiary,,False,False,39.229,"LINESTRING (17.6686805 49.4001566, 17.668813 49.4000827, 17.6688613 49.40007, 17.6689248 49.4000533, 17.6690955 49.4000096, 17.669154 49.3999934)",,,,yes
"[1186667552, 24825403]",150,Holešovská,secondary,50,False,True,90.86399999999999,"LINESTRING (17.6686805 49.4001566, 17.6691312 49.4003956, 17.6695445 49.4005986, 17.6696751 49.4006547)",3,,,
