osmid,highway,oneway,reversed,length,ref,name,geometry,lanes,maxspeed,bridge,junction
855350819,residential,False,False,7.859,,,"LINESTRING (13.2147884 49.348491, 13.2146884 49.3484636)",,,,
258949521,tertiary,False,False,31.482999999999997,18510,Rohozenská,"LINESTRING (13.2147884 49.348491, 13.2149139 49.3483506, 13.2150189 49.3482512)",,,,
42841610,residential,False,True,23.481,,Spartakiádní,"LINESTRING (13.2150189 49.3482512, 13.2147088 49.3481897)",,,,
258949521,tertiary,False,False,146.167,18510,Rohozenská,"LINESTRING (13.2150189 49.3482512, 13.2155817 49.3478283, 13.2162135 49.3471956)",,,,
258949521,tertiary,False,True,31.482999999999997,18510,Rohozenská,"LINESTRING (13.2150189 49.3482512, 13.2149139 49.3483506, 13.2147884 49.348491)",,,,
258949510,tertiary,False,False,71.945,1924,,"LINESTRING (13.2118305 49.3466148, 13.2124032 49.3460862)",,,,
42841610,residential,False,False,295.193,,Spartakiádní,"LINESTRING (13.2118305 49.3466148, 13.2121101 49.3467247, 13.2126014 49.3470976, 13.2129941 49.3477166, 13.2130624 49.3478251, 13.2130715 49.3478766, 13.2131773 49.3478964, 13.2141495 49.3480789, 13.2147088 49.3481897)",,,,
42841606,residential,False,False,109.21799999999999,,Podsedky,"LINESTRING (13.2141058 49.345433, 13.2142849 49.3457684, 13.2144422 49.3460066, 13.2148113 49.3462849)",,,,
258949510,tertiary,False,False,44.55799999999999,1924,,"LINESTRING (13.2141058 49.345433, 13.2142514 49.3454132, 13.214407 49.3453783, 13.2144196 49.3453748, 13.2145329 49.3453436, 13.2146426 49.3453135, 13.214685 49.3453018)",,,,
258949510,tertiary,False,True,153.491,1924,,"LINESTRING (13.2141058 49.345433, 13.2135201 49.3454429, 13.2132809 49.3454819, 13.2131191 49.345546, 13.21269 49.3458416, 13.2124032 49.3460862)",,,,
42841607,residential,False,False,20.683,,Podsedky,"LINESTRING (13.214685 49.3453018, 13.2146162 49.3452201, 13.2145288 49.3451468)",,,,
"[29309635, 258949510]",tertiary,False,False,121.85400000000001,1924,,"LINESTRING (13.214685 49.3453018, 13.2147798 49.3452813, 13.2148826 49.3452669, 13.2150142 49.3452672, 13.2151196 49.3453083, 13.2154041 49.3454898, 13.215449 49.3455111, 13.2154992 49.3455243, 13.2155643 49.345532, 13.21562 49.3455208, 13.2161493 49.3453506)",,,,
258949510,tertiary,False,True,44.558,1924,,"LINESTRING (13.214685 49.3453018, 13.2146426 49.3453135, 13.2145329 49.3453436, 13.2144196 49.3453748, 13.214407 49.3453783, 13.2142514 49.3454132, 13.2141058 49.345433)",,,,
816759129,secondary,False,True,134.044,191,Nýrská,"LINESTRING (13.2238652 49.3476889, 13.223543 49.3470408, 13.2232888 49.3465434)",2,90,,
"[29309635, 258949510]",tertiary,False,True,121.85400000000001,1924,,"LINESTRING (13.2161493 49.3453506, 13.21562 49.3455208, 13.2155643 49.345532, 13.2154992 49.3455243, 13.215449 49.3455111, 13.2154041 49.3454898, 13.2151196 49.3453083, 13.2150142 49.3452672, 13.2148826 49.3452669, 13.2147798 49.3452813, 13.214685 49.3453018)",,,,
"[855383748, 29309637]",tertiary,False,False,15.235,1924,Náměstí,"LINESTRING (13.2161493 49.3453506, 13.2161887 49.3453382, 13.2162116 49.3453313, 13.2163401 49.345293)",,,yes,
"[855383762, 42841604]",residential,False,"[False, True]",70.55499999999999,,,"LINESTRING (13.2161493 49.3453506, 13.2161118 49.3453108, 13.2160882 49.34529, 13.216027 49.3452262, 13.2159774 49.3451834, 13.2157395 49.344779)",,,,
29310375,residential,False,False,55.72,,Klenovská,"LINESTRING (13.2188494 49.3433459, 13.2185839 49.3438162)",,,,
29310375,residential,False,True,83.401,,Klenovská,"LINESTRING (13.2188494 49.3433459, 13.2192552 49.342644)",,,,
