osmid,name,highway,oneway,reversed,length,geometry,lanes,ref,bridge,width,maxspeed
38188839,Štefánikova,residential,False,False,121.481,"LINESTRING (16.7619132 49.1051092, 16.7618591 49.1052244, 16.7618541 49.1054075, 16.7618191 49.1054696, 16.7616893 49.1055219, 16.7607383 49.1055026)",,,,,
399369546,Štefánikova,secondary,False,True,200.751,"LINESTRING (16.7619132 49.1051092, 16.7619686 49.1051396, 16.7640265 49.1062691)",2,416,,,
504370270,,secondary,False,False,104.90899999999999,"LINESTRING (16.7619132 49.1051092, 16.7618852 49.1049964, 16.7617142 49.1041748)",2,416,,,
51795084,Komenského,secondary,False,True,95.308,"LINESTRING (16.7617142 49.1041748, 16.7630076 49.104042)",2,418,,,
38188843,Komenského,residential,False,False,335.688,"LINESTRING (16.7617142 49.1041748, 16.7617055 49.1041074, 16.7616882 49.1039738, 16.7615711 49.1038666, 16.7613292 49.1038104, 16.7606893 49.1037593, 16.7602615 49.1036615, 16.7601977 49.1036469, 16.7596126 49.1036359, 16.7594198 49.1036323, 16.7587068 49.103578, 16.7583909 49.1035539, 16.757526 49.10353)",,,,,
51144761,Komenského,secondary,False,False,295.832,"LINESTRING (16.7617142 49.1041748, 16.7603278 49.1043051, 16.7582317 49.1044984, 16.7578906 49.1045316, 16.7576927 49.1045565)",2,416;418,,,
504370270,,secondary,False,True,104.90899999999999,"LINESTRING (16.7617142 49.1041748, 16.7618852 49.1049964, 16.7619132 49.1051092)",2,416,,,
28002590,Nádražní,secondary,False,False,109.421,"LINESTRING (16.7542397 49.1050531, 16.7535381 49.1052984, 16.7528868 49.1054797)",2,418,,,
28002590,Nádražní,secondary,False,True,143.67700000000002,"LINESTRING (16.7542397 49.1050531, 16.7545332 49.1049639, 16.7547194 49.1049356, 16.7554944 49.1048552, 16.7559845 49.1048059, 16.7561603 49.1047859)",2,418,,,
38188832,Sušilova,residential,False,False,160.762,"LINESTRING (16.7542397 49.1050531, 16.754428 49.1051306, 16.7546901 49.1053522, 16.7550796 49.1063397)",,,,,
532819661,Nádražní,residential,False,True,63.14,"LINESTRING (16.7542397 49.1050531, 16.7542865 49.1049875, 16.7544114 49.1048559, 16.7544603 49.1047441, 16.7545191 49.1045896, 16.7545003 49.1045258)",,,,,
715321342,Rychmanovská,secondary,False,False,35.528999999999996,"LINESTRING (16.7636963 49.103579, 16.7636005 49.1036293, 16.7635267 49.1036759, 16.763357 49.1038072)",2,418,,,
"[51795084, 51795085, 715321342]","['Rychmanovská', 'Komenského']",secondary,False,False,36.731,"LINESTRING (16.763357 49.1038072, 16.7633104 49.1038396, 16.7631086 49.1039986, 16.7630076 49.104042)",2,418,yes,,
715321342,Rychmanovská,secondary,False,True,35.528999999999996,"LINESTRING (16.763357 49.1038072, 16.7635267 49.1036759, 16.7636005 49.1036293, 16.7636963 49.103579)",2,418,,,
38188831,Školní,residential,False,False,144.351,"LINESTRING (16.7532187 49.1009262, 16.7533401 49.10147, 16.7534128 49.1016272, 16.7535073 49.1018778, 16.7536002 49.1021163, 16.7536451 49.1021908)",,,,,
506466778,Šternovská,secondary,False,True,85.89599999999999,"LINESTRING (16.7532187 49.1009262, 16.7530135 49.1008578, 16.752907 49.1007548, 16.7527123 49.1006665, 16.7521975 49.100607)",2,416,,,
532819660,Šternovská,secondary,False,False,79.516,"LINESTRING (16.7532187 49.1009262, 16.7533015 49.1009289, 16.7541875 49.1008802, 16.7542274 49.1008778, 16.7542672 49.100881, 16.7543049 49.1008898)",2,416,,,
51144762,Hybešova,secondary,False,True,52.209,"LINESTRING (16.7578007 49.1050206, 16.7577895 49.1049748, 16.7577366 49.1047589, 16.7577073 49.1046393, 16.7576927 49.1045565)",,416,,8.6,
335879197,Štefánikova,secondary,True,False,299.538,"LINESTRING (16.7578007 49.1050206, 16.7592186 49.1050511, 16.7603788 49.1050761, 16.7619132 49.1051092)",,416,,5.8,
393030936,Hybešova,residential,False,False,132.139,"LINESTRING (16.7578007 49.1050206, 16.7578468 49.1053038, 16.7579264 49.1057936, 16.7580463 49.1059964, 16.7582261 49.10615)",,,,,
38188842,U Hřiště,residential,False,True,114.81,"LINESTRING (16.7576927 49.1045565, 16.7576398 49.1041339, 16.7575988 49.1039348, 16.7575939 49.1039076, 16.757526 49.10353)",,,,,
51144761,Komenského,secondary,False,True,295.832,"LINESTRING (16.7576927 49.1045565, 16.7578906 49.1045316, 16.7582317 49.1044984, 16.7603278 49.1043051, 16.7617142 49.1041748)",2,416;418,,,
51144762,Hybešova,secondary,False,False,52.209,"LINESTRING (16.7576927 49.1045565, 16.7577073 49.1046393, 16.7577366 49.1047589, 16.7577895 49.1049748, 16.7578007 49.1050206)",,416,,8.6,
51144763,Komenského,secondary,False,True,114.45299999999999,"LINESTRING (16.7576927 49.1045565, 16.7575144 49.1045868, 16.7573556 49.1046149, 16.7571986 49.1046368, 16.7571142 49.1046482, 16.7570865 49.1046523, 16.7563886 49.1047521, 16.7561603 49.1047859)",2,416;418,,,
28002590,Nádražní,secondary,False,False,143.677,"LINESTRING (16.7561603 49.1047859, 16.7559845 49.1048059, 16.7554944 49.1048552, 16.7547194 49.1049356, 16.7545332 49.1049639, 16.7542397 49.1050531)",2,418,,,
38188876,nám. sv. Jana,residential,False,False,96.97500000000001,"LINESTRING (16.7561603 49.1047859, 16.7561753 49.104856, 16.7561876 49.1049134, 16.7564309 49.1056395)",,,,,
51144763,Komenského,secondary,False,False,114.453,"LINESTRING (16.7561603 49.1047859, 16.7563886 49.1047521, 16.7570865 49.1046523, 16.7571142 49.1046482, 16.7571986 49.1046368, 16.7573556 49.1046149, 16.7575144 49.1045868, 16.7576927 49.1045565)",2,416;418,,,
532819662,Masarykova,secondary,False,True,49.358000000000004,"LINESTRING (16.7561603 49.1047859, 16.7561348 49.1047167, 16.7560663 49.104636, 16.7558833 49.1043825)",2,416,,,
51726231,Masarykova,secondary,False,False,197.435,"LINESTRING (16.75502 49.1019084, 16.7556436 49.1036364)",2,416,,,
38188830,Družstevní,residential,False,False,105.035,"LINESTRING (16.75502 49.1019084, 16.7540588 49.1020846, 16.7538522 49.1021324, 16.7536451 49.1021908)",,,,,
51726231,Masarykova,secondary,False,True,125.55799999999999,"LINESTRING (16.75502 49.1019084, 16.7547968 49.1015076, 16.7545379 49.1011236, 16.7543788 49.1009323, 16.7543463 49.1009078, 16.7543049 49.1008898)",2,416,,,
38188830,Družstevní,residential,False,True,105.035,"LINESTRING (16.7536451 49.1021908, 16.7538522 49.1021324, 16.7540588 49.1020846, 16.75502 49.1019084)",,,,,
38188831,Školní,residential,False,False,156.008,"LINESTRING (16.7536451 49.1021908, 16.7537311 49.1023179, 16.754154 49.1035512)",,,,,
38188831,Školní,residential,False,True,144.351,"LINESTRING (16.7536451 49.1021908, 16.7536002 49.1021163, 16.7535073 49.1018778, 16.7534128 49.1016272, 16.7533401 49.10147, 16.7532187 49.1009262)",,,,,
38188831,Školní,residential,False,True,111.265,"LINESTRING (16.7545003 49.1045258, 16.7544187 49.1042961, 16.7541801 49.1036248, 16.754154 49.1035512)",,,,,
38188878,Nádražní,residential,False,True,101.995,"LINESTRING (16.7545003 49.1045258, 16.755735 49.1043879, 16.7558833 49.1043825)",,,,,
532819661,Nádražní,residential,False,False,63.14,"LINESTRING (16.7545003 49.1045258, 16.7545191 49.1045896, 16.7544603 49.1047441, 16.7544114 49.1048559, 16.7542865 49.1049875, 16.7542397 49.1050531)",,,,,
38188832,Sušilova,residential,False,False,123.043,"LINESTRING (16.7550796 49.1063397, 16.7553393 49.1065457, 16.7557489 49.1067582, 16.7560767 49.1068641, 16.7562094 49.1068869, 16.7564585 49.1069281)",,,,,
38188832,Sušilova,residential,False,True,160.762,"LINESTRING (16.7550796 49.1063397, 16.7546901 49.1053522, 16.754428 49.1051306, 16.7542397 49.1050531)",,,,,
38188874,Legionářská,residential,False,True,172.441,"LINESTRING (16.7550796 49.1063397, 16.7528187 49.1063619, 16.752711 49.106363)",,,,,
38188875,Vinohrádky,residential,False,False,110.773,"LINESTRING (16.7550796 49.1063397, 16.7549313 49.1063952, 16.7548566 49.1064232, 16.7547487 49.1067266, 16.7547405 49.106933, 16.7548186 49.1072388)",,,,,
81641083,Hybešova,residential,False,False,87.06900000000002,"LINESTRING (16.7576318 49.1068236, 16.7578465 49.1066601, 16.7582137 49.1061666, 16.7582261 49.10615)",,,,,
335880688,Nad Sklepy,residential,False,False,78.05499999999999,"LINESTRING (16.7576318 49.1068236, 16.7576923 49.1068694, 16.757673 49.1070049, 16.7575448 49.1073299, 16.7574344 49.1074834)",,,,,
