osmid,highway,oneway,reversed,length,geometry,ref,name,access
104291507,residential,False,False,39.356,"LINESTRING (17.4400733 49.7919622, 17.4400107 49.7920185, 17.4397761 49.7922595)",,,
104291507,residential,False,True,78.608,"LINESTRING (17.4400733 49.7919622, 17.4403931 49.7917335, 17.4408612 49.7914732)",,,
126631393,primary,False,False,99.857,"LINESTRING (17.4400733 49.7919622, 17.4401971 49.792017, 17.4403142 49.7920738, 17.4404018 49.7921221, 17.4404843 49.7921783, 17.4405526 49.7922317, 17.4406399 49.7923095, 17.4409264 49.7925788, 17.4409813 49.7926306)",46,Masarykova,
126631393,primary,False,True,66.485,"LINESTRING (17.4400733 49.7919622, 17.4399032 49.7918979, 17.4395881 49.7917789, 17.4393861 49.7917051, 17.4392694 49.7916654)",46,Masarykova,
126631393,primary,False,True,99.30100000000002,"LINESTRING (17.4420416 49.793628, 17.4420172 49.7936131, 17.441995 49.793597, 17.4419484 49.7935568, 17.4418584 49.7934746, 17.4417191 49.7933344, 17.4415508 49.7931718, 17.4412574 49.7928933)",46,Masarykova,
282113471,secondary,False,True,33.025,"LINESTRING (17.4420416 49.793628, 17.4420014 49.7936538, 17.4419513 49.7936801, 17.4419078 49.7936995, 17.4418699 49.7937147, 17.4416547 49.7937852)",440,Lidická,
1233886326,primary,False,False,9.046,"LINESTRING (17.4420416 49.793628, 17.4420722 49.7936436, 17.4421051 49.7936581, 17.4421484 49.7936702)",46,,
38155538,residential,False,False,63.003,"LINESTRING (17.4438899 49.7949176, 17.443975 49.7949613, 17.4443085 49.7954086)",,Pasterní,
104291504,residential,False,True,61.47,"LINESTRING (17.4438899 49.7949176, 17.4440242 49.7949345, 17.4441782 49.7949217, 17.4444642 49.7948308, 17.4446318 49.794715)",,Křížová,
1233886327,primary,False,False,55.55299999999999,"LINESTRING (17.4438899 49.7949176, 17.4438664 49.7949664, 17.4438373 49.7950017, 17.4437958 49.7950394, 17.4437424 49.7950796, 17.4435088 49.7952455, 17.4434667 49.7952828, 17.4434341 49.7953156)",46,Opavská,
1233886327,primary,False,True,108.998,"LINESTRING (17.4438899 49.7949176, 17.4439006 49.7948667, 17.4438994 49.7948249, 17.4438934 49.7947928, 17.4438782 49.7947535, 17.4438628 49.7947204, 17.4438067 49.7946359, 17.4436014 49.7943434, 17.4434916 49.7941826, 17.4434549 49.7941362, 17.4434145 49.7940912, 17.4433544 49.7940324, 17.4433395 49.7940192)",46,Opavská,
