osmid,ref,name,highway,oneway,reversed,length,geometry,maxspeed,bridge,lanes,junction
9587978,360,Zákrejsova,secondary,False,True,121.962,"LINESTRING (16.26272 49.7107641, 16.2628036 49.7108654, 16.2628611 49.7109352, 16.2632391 49.7113857, 16.2632777 49.711435, 16.2633705 49.7115534, 16.2633898 49.7115896, 16.2634447 49.7117498)",,,,
9587978,360,Zákrejsova,secondary,False,False,121.96199999999999,"LINESTRING (16.2634447 49.7117498, 16.2633898 49.7115896, 16.2633705 49.7115534, 16.2632777 49.711435, 16.2632391 49.7113857, 16.2628611 49.7109352, 16.2628036 49.7108654, 16.26272 49.7107641)",,,,
95068444,34,Vrchlického,primary,False,True,102.54399999999998,"LINESTRING (16.2634447 49.7117498, 16.2633933 49.7117545, 16.2633366 49.7117638, 16.263278 49.7117751, 16.2632219 49.7117893, 16.2631435 49.7118128, 16.2630834 49.7118355, 16.2630231 49.7118649, 16.2629738 49.7118973, 16.2629171 49.7119405, 16.2628718 49.7119844, 16.2628189 49.7120487, 16.2627711 49.7121156, 16.2626378 49.7123176, 16.2625737 49.7124103)",50,,,
95068448,34,nábř. Svobody,primary,False,True,232.65800000000002,"LINESTRING (16.2634447 49.7117498, 16.263498 49.7117473, 16.2635585 49.7117508, 16.2636094 49.7117571, 16.2636674 49.7117674, 16.2637332 49.7117835, 16.2638335 49.7118105, 16.2639527 49.71185, 16.2643145 49.7119857, 16.2644226 49.7120222, 16.2645222 49.7120533, 16.2664299 49.7125312)",50,,,
33291906,,9. května,residential,False,False,136.05599999999998,"LINESTRING (16.2687906 49.7139772, 16.2688781 49.7139831, 16.2691242 49.7139997, 16.2692434 49.7140258, 16.2693484 49.714077, 16.2694093 49.7141299, 16.2695053 49.7142606, 16.2696773 49.7144878, 16.2698727 49.7146255, 16.2699043 49.7146478, 16.2700919 49.7147515)",,,,
95068417,34,Čsl. armády,primary,False,False,97.315,"LINESTRING (16.2687906 49.7139772, 16.2687679 49.7141155, 16.2686969 49.7144681, 16.2686607 49.7146689, 16.2686455 49.7147475, 16.268628 49.714846)",50,,,
"[1119051520, 95068422]",34,Čsl. armády,primary,False,True,25.551,"LINESTRING (16.2687906 49.7139772, 16.2687988 49.7138833, 16.268799 49.7138091, 16.2687878 49.713748)",50,yes,,
237063521,360,T. Novákové,secondary,False,False,19.694,"LINESTRING (16.2661896 49.7183577, 16.2661385 49.7185317)",50,,,
52017226,,Smetanova,residential,False,False,143.70100000000002,"LINESTRING (16.2661896 49.7183577, 16.2659627 49.7183392, 16.2658721 49.7183417, 16.2644044 49.7185036, 16.2642167 49.7185248)",,,,
"[283373704, 264994070]",360,Tyršova,secondary,False,True,163.16700000000003,"LINESTRING (16.2661896 49.7183577, 16.2662997 49.7180127, 16.2663538 49.7178067, 16.2664168 49.7174986, 16.2664668 49.7169731, 16.266513 49.716911)",50,,,
33291786,,E. Beranové,residential,False,False,80.555,"LINESTRING (16.259642 49.714508, 16.2598395 49.7137949)",,,,
118621176,34,Starohradská,primary,False,False,23.339,"LINESTRING (16.259642 49.714508, 16.259963 49.7145392)",50,,,
118621176,34,Starohradská,primary,False,True,71.985,"LINESTRING (16.259642 49.714508, 16.2586525 49.7144093)",50,,,
9587650,362,Čsl. armády,secondary,False,False,73.082,"LINESTRING (16.2690301 49.7120548, 16.2692307 49.7114896, 16.269256 49.711414)",,,,
9587650,362,Čsl. armády,secondary,False,True,19.975,"LINESTRING (16.2690301 49.7120548, 16.268994 49.7121561, 16.268968 49.7122299)",,,,
33291848,,Wolkerova,residential,False,False,113.585,"LINESTRING (16.2690301 49.7120548, 16.2700285 49.7122676, 16.2703163 49.7123289, 16.2705318 49.7123718)",,,,
33291788,,Nerudova,residential,False,False,82.13,"LINESTRING (16.2586525 49.7144093, 16.2588038 49.7136772)",,,,
118621176,34,Starohradská,primary,False,False,71.985,"LINESTRING (16.2586525 49.7144093, 16.259642 49.714508)",50,,,
9587650,362,Čsl. armády,secondary,False,True,45.809,"LINESTRING (16.268968 49.7122299, 16.2688273 49.7126317)",,,,
9587650,362,Čsl. armády,secondary,False,False,19.975,"LINESTRING (16.268968 49.7122299, 16.268994 49.7121561, 16.2690301 49.7120548)",,,,
"[71177795, 303247339]",,Nerudova,residential,False,True,75.793,"LINESTRING (16.2601255 49.7125818, 16.2601191 49.7125896, 16.2601106 49.7125954, 16.2600991 49.7126009, 16.2600877 49.7126051, 16.2600723 49.7126086, 16.2600511 49.7126113, 16.2600068 49.7126139, 16.2599596 49.712616, 16.2599093 49.712616, 16.2598728 49.7126144, 16.2598356 49.7126117, 16.2597601 49.7126015, 16.2596066 49.7125761, 16.2591092 49.7125002)",,,,
118618792,353,Heydukova,secondary,False,True,112.03200000000001,"LINESTRING (16.2601255 49.7125818, 16.2614013 49.712851, 16.261607 49.7128939)",,,,
118621176,34,Starohradská,primary,False,True,23.339,"LINESTRING (16.259963 49.7145392, 16.259642 49.714508)",50,,,
118621176,34,Starohradská,primary,False,False,85.211,"LINESTRING (16.259963 49.7145392, 16.2603866 49.714582, 16.26069 49.7146116, 16.2608023 49.7146178, 16.2608424 49.7146176, 16.2608953 49.7146173, 16.2609677 49.7146143, 16.2610601 49.7146057, 16.2611349 49.7145915)",50,,,
66880348,,,residential,False,False,102.01400000000001,"LINESTRING (16.2625737 49.7124103, 16.2622643 49.7122178, 16.262213 49.7121891, 16.2620546 49.712097, 16.2619553 49.7120508, 16.2616596 49.7119131, 16.2614732 49.7118353)",,,,
95068444,34,Vrchlického,primary,False,False,102.54400000000001,"LINESTRING (16.2625737 49.7124103, 16.2626378 49.7123176, 16.2627711 49.7121156, 16.2628189 49.7120487, 16.2628718 49.7119844, 16.2629171 49.7119405, 16.2629738 49.7118973, 16.2630231 49.7118649, 16.2630834 49.7118355, 16.2631435 49.7118128, 16.2632219 49.7117893, 16.263278 49.7117751, 16.2633366 49.7117638, 16.2633933 49.7117545, 16.2634447 49.7117498)",50,,,
95068444,34,Vrchlického,primary,False,True,75.739,"LINESTRING (16.2625737 49.7124103, 16.2624566 49.7125932, 16.2623563 49.7127145, 16.2622266 49.7128443, 16.2621273 49.7129258, 16.2620328 49.7129882)",50,,,
41179206,34,Hegerova,primary,False,True,129.431,"LINESTRING (16.2716361 49.7168264, 16.2702443 49.7160881)",50,,2,
41179206,34,Hegerova,primary,False,False,35.19,"LINESTRING (16.2716361 49.7168264, 16.2718201 49.7169216, 16.2720116 49.7170293)",50,,2,
9586489,34,nábř. Svobody,primary,False,False,22.592999999999996,"LINESTRING (16.2686282 49.7133725, 16.2685431 49.7132904, 16.2684595 49.7132254, 16.268438 49.7132113)",50,,3,
9586783,34,Čsl. armády,primary,False,False,43.465,"LINESTRING (16.2686282 49.7133725, 16.268659 49.713415, 16.2686997 49.7134865, 16.2687294 49.7135573, 16.2687878 49.713748)",50,,3,
41179206,34,Hegerova,primary,False,False,106.57900000000001,"LINESTRING (16.2690873 49.7154889, 16.2698769 49.7159002, 16.2702443 49.7160881)",50,,2,
41179206,34,Hegerova,primary,False,True,31.064999999999998,"LINESTRING (16.2690873 49.7154889, 16.2688821 49.7153791, 16.2687513 49.7153133)",50,,2,
9586783,34,Čsl. armády,primary,False,True,43.465,"LINESTRING (16.2687878 49.713748, 16.2687294 49.7135573, 16.2686997 49.7134865, 16.268659 49.713415, 16.2686282 49.7133725)",50,,3,
