osmid,ref,name,highway,maxspeed,oneway,reversed,length,geometry,bridge,access
53549077,386,Dlouhá,secondary,50,False,True,221.168,"LINESTRING (16.4387498 49.27535, 16.4391015 49.2753816, 16.4396723 49.2754471, 16.4402043 49.2755446, 16.4404378 49.2755579, 16.4406502 49.2755525, 16.4414479 49.2754613, 16.4416005 49.2754372, 16.441748 49.275442)",,
179958990,386,Dlouhá,secondary,50,False,False,154.043,"LINESTRING (16.4387498 49.27535, 16.4382771 49.2754338, 16.4373062 49.2756584, 16.4367349 49.2757851)",,
6897162,386,náměstí Na Městečku,secondary,50,False,True,77.286,"LINESTRING (16.4373308 49.2752114, 16.4372015 49.2753769, 16.4370789 49.2754899, 16.4369226 49.2756212, 16.4367349 49.2757851)",,
10577274,386,Dlouhá,secondary,50,True,False,104.10499999999999,"LINESTRING (16.4373308 49.2752114, 16.4379086 49.2752603, 16.4387498 49.27535)",,
393477802,386,9. května,secondary,50,False,False,56.024,"LINESTRING (16.4373308 49.2752114, 16.4373538 49.2751124, 16.4374012 49.2749672, 16.4374634 49.2747152)",,
26275406,3866,Hvozdecká,tertiary,50,False,False,177.187,"LINESTRING (16.4374634 49.2747152, 16.4372469 49.2743947, 16.4363009 49.2733155)",,
393477802,386,9. května,secondary,50,False,True,56.024,"LINESTRING (16.4374634 49.2747152, 16.4374012 49.2749672, 16.4373538 49.2751124, 16.4373308 49.2752114)",,
51558118,3865,náměstí Na Městečku,tertiary,50,False,True,49.77,"LINESTRING (16.4367349 49.2757851, 16.4360899 49.2759376)",,
6897162,386,náměstí Na Městečku,secondary,50,False,False,77.286,"LINESTRING (16.4367349 49.2757851, 16.4369226 49.2756212, 16.4370789 49.2754899, 16.4372015 49.2753769, 16.4373308 49.2752114)",,
26267251,38529,Tišnovská,tertiary,50,False,False,49.113,"LINESTRING (16.4367349 49.2757851, 16.4367925 49.2759069, 16.4370373 49.2761775)",,
179958990,386,Dlouhá,secondary,50,False,True,154.043,"LINESTRING (16.4367349 49.2757851, 16.4373062 49.2756584, 16.4382771 49.2754338, 16.4387498 49.27535)",,
38356400,38529,Tišnovská,tertiary,50,False,False,65.561,"LINESTRING (16.4376782 49.2771593, 16.4380407 49.2776994)",,
38356400,38529,Tišnovská,tertiary,50,False,True,75.009,"LINESTRING (16.4376782 49.2771593, 16.4375294 49.2767975, 16.4373253 49.2765287)",,
42506114,,Boční,residential,,False,False,370.00300000000004,"LINESTRING (16.4376782 49.2771593, 16.4374795 49.2772492, 16.4373181 49.2774484, 16.437163 49.2776319, 16.4370514 49.2778004, 16.4368241 49.2778036, 16.4359731 49.2777401, 16.4357856 49.2776978, 16.4355152 49.2775778, 16.435427 49.2775348, 16.4353529 49.2774555, 16.4352664 49.2773402, 16.4352375 49.2771026, 16.4353096 49.2766815, 16.4352808 49.2763263, 16.4351898 49.2761452)",,
42506118,38529,Tišnovská,tertiary,50,False,False,35.36,"LINESTRING (16.4384427 49.2785337, 16.4384794 49.2788508)",,
42506118,38529,Tišnovská,tertiary,50,False,True,7.26,"LINESTRING (16.4384427 49.2785337, 16.4384118 49.2784716)",,
78139206,3865,,tertiary,50,False,False,10.232,"LINESTRING (16.4347368 49.2762374, 16.4348725 49.2762123)",,
26267694,,sady Komenského,residential,,False,True,179.386,"LINESTRING (16.4347368 49.2762374, 16.4348581 49.2763015, 16.4350032 49.2763781, 16.4350392 49.2764863, 16.4349995 49.2771779, 16.4350464 49.2773896, 16.435151 49.2775425, 16.4352548 49.2776306, 16.4353444 49.2777047)",,
