osmid,name,highway,maxspeed,oneway,reversed,length,ref,geometry,lanes,bridge,tunnel,access
40428562,Na Barevně,residential,50,False,False,10.923,,"LINESTRING (14.9968447 50.6591642, 14.9967987 50.6590704)",,,,
9561554,Masarykova,secondary,50,False,True,94.647,278,"LINESTRING (14.9968447 50.6591642, 14.9966378 50.6592219, 14.9964299 50.6592798, 14.9960032 50.6593882, 14.9956125 50.6595019)",,,,
176697574,Řídícího učitele Škody,secondary,50,False,False,243.067,278,"LINESTRING (14.9968447 50.6591642, 14.9969883 50.659207, 14.9971345 50.6592427, 14.9979679 50.6593908, 14.9981658 50.6594569, 14.9982932 50.6595081, 14.998517 50.6596023, 14.998864 50.6597455, 14.9990246 50.6597888, 14.999218 50.659841, 14.9999733 50.6600521)",,,,
"[1075960342, 1075960343]",Masarykova,tertiary,50,False,False,335.74699999999996,2787,"LINESTRING (14.9968447 50.6591642, 14.9971412 50.6590829, 14.9973231 50.6590481, 14.9976459 50.6590151, 14.9981336 50.6590174, 14.998685 50.6590442, 14.9988678 50.6590527, 14.9994578 50.6590831, 15.0008002 50.6592751, 15.0011546 50.6593021, 15.0014408 50.6592854, 15.001527 50.6592804)",,,,
40428534,Hřbitovní,residential,,False,True,79.002,,"LINESTRING (14.997269 50.6618933, 14.9973777 50.6618557, 14.9976705 50.6617075, 14.9981106 50.6614286)",,,,
176751011,Řídícího učitele Havla,secondary,50,False,False,136.805,278,"LINESTRING (14.997269 50.6618933, 14.997241 50.661851, 14.9972012 50.6617954, 14.9971618 50.6617508, 14.9971175 50.6617076, 14.9970749 50.661676, 14.9968475 50.6615297, 14.9965017 50.6613189, 14.9961065 50.6611056, 14.996017 50.6610596, 14.9959839 50.6610284, 14.9959686 50.661)",2,,,
176751012,Řídícího učitele Havla,secondary,50,False,True,238.34300000000002,278,"LINESTRING (14.997269 50.6618933, 14.9973208 50.662005, 14.9974052 50.6622252, 14.997426 50.6622889, 14.9974365 50.6623304, 14.9974433 50.662391, 14.997454 50.6625108, 14.9974503 50.6626151, 14.9974464 50.6627311, 14.9974352 50.6628385, 14.9974184 50.6629245, 14.9973865 50.6630357, 14.997281 50.6633845, 14.9971649 50.6637561, 14.9970791 50.6640011)",,,,
176751012,Řídícího učitele Havla,secondary,50,False,False,238.34299999999996,278,"LINESTRING (14.9970791 50.6640011, 14.9971649 50.6637561, 14.997281 50.6633845, 14.9973865 50.6630357, 14.9974184 50.6629245, 14.9974352 50.6628385, 14.9974464 50.6627311, 14.9974503 50.6626151, 14.997454 50.6625108, 14.9974433 50.662391, 14.9974365 50.6623304, 14.997426 50.6622889, 14.9974052 50.6622252, 14.9973208 50.662005, 14.997269 50.6618933)",,,,
40428531,nám. Bedřicha Smetany,residential,,False,False,29.228,,"LINESTRING (14.9963196 50.6606716, 14.9964238 50.6606965, 14.9966034 50.6606973, 14.9967208 50.6606726)",,,,
"[176697569, 40428530]",17. listopadu,residential,,False,True,146.326,,"LINESTRING (14.9963196 50.6606716, 14.9961528 50.6605281, 14.9959278 50.6603361, 14.9956937 50.660096, 14.9956204 50.6600056, 14.9955654 50.6598811, 14.995552 50.6597633, 14.9955815 50.6595377, 14.9956125 50.6595019)",,,,
176751030,nám. Bedřicha Smetany,secondary,50,False,True,45.01800000000001,278,"LINESTRING (14.9963196 50.6606716, 14.9962681 50.660722, 14.9962164 50.660768, 14.9960011 50.6609283, 14.9959711 50.6609586, 14.9959643 50.6609794, 14.9959686 50.661)",2,,,
