osmid,name,highway,maxspeed,oneway,reversed,length,lanes,ref,geometry,bridge,access
30804806,Osvobození,residential,50,False,False,4.156,,,"LINESTRING (14.4694086 50.7761819, 14.4694345 50.7761483)",,
"[30790083, 975293196]",Kamenická,primary,50,False,False,303.08500000000004,2,13,"LINESTRING (14.4694086 50.7761819, 14.4697008 50.7762035, 14.4698731 50.776205, 14.470042 50.7762018, 14.4703226 50.7761849, 14.4706073 50.7761779, 14.4708234 50.7761659, 14.471047 50.7761736, 14.471296 50.7761941, 14.4715707 50.7762238, 14.4720708 50.7762761, 14.4731899 50.7763946, 14.4734445 50.7764191, 14.4736821 50.7764316)",,
"[30790082, 30790083, 264155775]",Kamenická,primary,50,False,True,173.336,2,13,"LINESTRING (14.4694086 50.7761819, 14.46919 50.7761893, 14.4689147 50.7761898, 14.4687757 50.7761902, 14.4686973 50.776182, 14.4685927 50.7761599, 14.4684982 50.7761253, 14.4683667 50.776053, 14.4682395 50.7759879, 14.4679934 50.7758684, 14.4678106 50.7757983, 14.4676118 50.7757188, 14.4672436 50.7755714)",yes,
1177478389,nám. Míru,residential,,False,False,61.574999999999996,,,"LINESTRING (14.4694086 50.7761819, 14.4693832 50.7762348, 14.4692505 50.7764666, 14.4692304 50.7765086, 14.4691448 50.7766879, 14.4691353 50.7767078)",,
26458900,Nová,residential,,False,True,83.964,,,"LINESTRING (14.4736821 50.7764316, 14.4736401 50.7762505, 14.4734574 50.7760818, 14.4731523 50.7757689)",,
"[30790083, 975293196]",Kamenická,primary,50,False,True,303.085,2,13,"LINESTRING (14.4736821 50.7764316, 14.4734445 50.7764191, 14.4731899 50.7763946, 14.4720708 50.7762761, 14.4715707 50.7762238, 14.471296 50.7761941, 14.471047 50.7761736, 14.4708234 50.7761659, 14.4706073 50.7761779, 14.4703226 50.7761849, 14.470042 50.7762018, 14.4698731 50.776205, 14.4697008 50.7762035, 14.4694086 50.7761819)",,
25387208,Charvátova,residential,,False,False,64.541,,,"LINESTRING (14.4668062 50.7720409, 14.4669178 50.7719413, 14.4673975 50.7715977)",,
25387316,Eliase Palme,residential,,False,True,191.939,,,"LINESTRING (14.4668062 50.7720409, 14.4673027 50.7723708, 14.4677214 50.7726339, 14.4683756 50.7730638, 14.4685481 50.7731729, 14.4687097 50.7732779)",,
264155819,Oldřichovská,tertiary,50,False,False,66.122,,2639,"LINESTRING (14.4683847 50.7707837, 14.4690285 50.7712171)",,
25387208,Charvátova,residential,,False,True,114.291,,,"LINESTRING (14.4683847 50.7707837, 14.468322 50.770865, 14.4673975 50.7715977)",,
294856662,Okružní,residential,,False,False,43.407,,,"LINESTRING (14.4683847 50.7707837, 14.4684275 50.7707125, 14.4685291 50.7705789, 14.4686746 50.7704408)",,
25387300,Lidická,residential,,False,True,85.50999999999999,,,"LINESTRING (14.4672436 50.7755714, 14.4675093 50.7753023, 14.4675189 50.7752795, 14.4675624 50.7751763, 14.4675779 50.7751396, 14.4675949 50.7750517, 14.4676156 50.7749445, 14.4676253 50.7748579)",,
"[30804882, 478618135]",Kopeček,residential,,False,False,146.101,,,"LINESTRING (14.4672436 50.7755714, 14.4671233 50.775771, 14.4670917 50.7757948, 14.4670482 50.7758109, 14.4669872 50.7758168, 14.4667156 50.7757986, 14.4666539 50.7757986, 14.4666177 50.77581, 14.4665916 50.7758322, 14.4665763 50.7758452, 14.4664293 50.7760081, 14.4663756 50.7760831, 14.4663538 50.776156, 14.4663047 50.7765278)",,destination
"[30790082, 30790083, 264155775]",Kamenická,primary,50,False,False,173.33599999999998,2,13,"LINESTRING (14.4672436 50.7755714, 14.4676118 50.7757188, 14.4678106 50.7757983, 14.4679934 50.7758684, 14.4682395 50.7759879, 14.4683667 50.776053, 14.4684982 50.7761253, 14.4685927 50.7761599, 14.4686973 50.776182, 14.4687757 50.7761902, 14.4689147 50.7761898, 14.46919 50.7761893, 14.4694086 50.7761819)",yes,
25387300,Lidická,residential,,False,False,15.206,,,"LINESTRING (14.4687097 50.7732779, 14.4686032 50.773329, 14.4685461 50.7733667)",,
25387300,Lidická,residential,,False,True,72.918,,,"LINESTRING (14.4687097 50.7732779, 14.4688614 50.7732098, 14.4691248 50.7729999, 14.4694319 50.7728121)",,
25387316,Eliase Palme,residential,,False,False,191.939,,,"LINESTRING (14.4687097 50.7732779, 14.4685481 50.7731729, 14.4683756 50.7730638, 14.4677214 50.7726339, 14.4673027 50.7723708, 14.4668062 50.7720409)",,
26127157,9. května,tertiary,50,False,False,98.312,,26211,"LINESTRING (14.4726268 50.772583, 14.472834 50.7725219, 14.4729855 50.77249, 14.4733411 50.7724288, 14.4734613 50.7724129, 14.4739693 50.7723474)",,
26127208,Oldřichovská,tertiary,50,False,False,64.58500000000001,,26211,"LINESTRING (14.4726268 50.772583, 14.4725944 50.7725313, 14.4723974 50.7722709, 14.4723228 50.7721959, 14.4722745 50.7721628, 14.4722025 50.7721374, 14.4721252 50.7721237)",,
30789947,nám. T. G. Masaryka,residential,,False,False,31.298,,,"LINESTRING (14.4726268 50.772583, 14.472447 50.7725995, 14.4721868 50.7726254)",,
30790144,nám. T. G. Masaryka,residential,50,False,True,67.55600000000001,,,"LINESTRING (14.4726268 50.772583, 14.4726658 50.7727333, 14.4727015 50.7728706, 14.472732 50.7731861)",,
353841507,Oldřichovská,tertiary,50,False,False,17.956,,26211,"LINESTRING (14.4714347 50.7720271, 14.4712548 50.7719125)",,
26127208,Oldřichovská,tertiary,50,False,True,50.1,,26211,"LINESTRING (14.4714347 50.7720271, 14.4715074 50.7720534, 14.4715945 50.7720712, 14.4716465 50.7720763, 14.4721252 50.7721237)",,
30789825,Havlíčkova,residential,,False,False,65.8,,,"LINESTRING (14.4714347 50.7720271, 14.471392 50.7720856, 14.4711963 50.7725982)",,
26127157,9. května,tertiary,50,False,True,42.452,,26211,"LINESTRING (14.4791218 50.7717084, 14.4785184 50.7717202)",,
26219041,Marxova,residential,,False,False,19.712,,,"LINESTRING (14.4791218 50.7717084, 14.4791235 50.7716082, 14.4791472 50.7715326)",,
26458869,Trtíkova,residential,,False,True,17.122,,,"LINESTRING (14.4781719 50.7717645, 14.4782634 50.7719072)",,
26127157,9. května,tertiary,50,False,False,24.878,,26211,"LINESTRING (14.4781719 50.7717645, 14.4783559 50.7717365, 14.4785184 50.7717202)",,
26127157,9. května,tertiary,50,False,True,121.054,,26211,"LINESTRING (14.4781719 50.7717645, 14.4780126 50.771788, 14.4771334 50.7719172, 14.476494 50.7720078)",,
26458869,Trtíkova,residential,,False,False,94.108,,,"LINESTRING (14.4727161 50.7734712, 14.4732333 50.7734019, 14.4740123 50.7732624)",,
30804806,Osvobození,residential,50,False,True,91.534,,,"LINESTRING (14.4727161 50.7734712, 14.4726297 50.7739201, 14.4726031 50.7740753, 14.472561 50.7741919, 14.4724969 50.7742781)",,
264155961,nám. T. G. Masaryka,residential,,False,True,44.852999999999994,,,"LINESTRING (14.4727161 50.7734712, 14.4722196 50.7735552, 14.4720999 50.7735754)",,
264155962,nám. T. G. Masaryka,residential,50,False,False,31.722,,,"LINESTRING (14.4727161 50.7734712, 14.4727266 50.7732601, 14.472732 50.7731861)",,
26458900,Nová,residential,,False,False,176.193,,,"LINESTRING (14.4724969 50.7742781, 14.4726111 50.7743803, 14.4726454 50.7744431, 14.4726909 50.7745266, 14.4727392 50.7748948, 14.4727406 50.7752395, 14.472958 50.7755467, 14.4731523 50.7757689)",,
30804806,Osvobození,residential,50,False,False,91.53399999999999,,,"LINESTRING (14.4724969 50.7742781, 14.472561 50.7741919, 14.4726031 50.7740753, 14.4726297 50.7739201, 14.4727161 50.7734712)",,
30804806,Osvobození,residential,50,False,True,87.604,,,"LINESTRING (14.4724969 50.7742781, 14.4724004 50.7743525, 14.4722674 50.7744154, 14.4721063 50.7744633, 14.4718953 50.7744898, 14.4716424 50.7745082, 14.471363 50.7745186)",,
30789803,Školní,residential,,False,False,136.454,,,"LINESTRING (14.4731523 50.7757689, 14.4712395 50.7759759)",,
26458900,Nová,residential,,False,False,83.964,,,"LINESTRING (14.4731523 50.7757689, 14.4734574 50.7760818, 14.4736401 50.7762505, 14.4736821 50.7764316)",,
26458900,Nová,residential,,False,True,176.19299999999998,,,"LINESTRING (14.4731523 50.7757689, 14.472958 50.7755467, 14.4727406 50.7752395, 14.4727392 50.7748948, 14.4726909 50.7745266, 14.4726454 50.7744431, 14.4726111 50.7743803, 14.4724969 50.7742781)",,
30789802,Nová,residential,,False,True,126.322,,,"LINESTRING (14.4731523 50.7757689, 14.4734199 50.7757452, 14.4741072 50.7756938, 14.4749108 50.7755522)",,
26458869,Trtíkova,residential,,False,False,39.098,,,"LINESTRING (14.4761871 50.7727279, 14.4766608 50.7725438)",,
30789800,Růžová,residential,,False,False,24.998,,,"LINESTRING (14.4761871 50.7727279, 14.4760444 50.772522)",,
