osmid,ref,name,highway,maxspeed,oneway,reversed,length,geometry,junction,access,lanes,bridge
65199247,492,Masarykova,secondary,50,False,True,114.09100000000001,"LINESTRING (17.7600743 49.1009961, 17.7593812 49.1007067, 17.7592894 49.1006713, 17.7591027 49.1005944, 17.758776 49.1004237)",,,,
313112116,,,secondary,50,True,False,22.697,"LINESTRING (17.7600743 49.1009961, 17.7602435 49.1010392, 17.7603649 49.10107)",,,,
34345189,492,Masarykova,secondary,50,True,False,10.553,"LINESTRING (17.7602575 49.1011306, 17.7602773 49.1011107, 17.7603024 49.1010936, 17.760332 49.1010799, 17.7603649 49.10107)",roundabout,,,
313112115,492,Masarykova,secondary,50,True,False,20.045,"LINESTRING (17.7602575 49.1011306, 17.7601804 49.1010773, 17.7600743 49.1009961)",,,,
604176954,,,residential,30,False,True,22.405,"LINESTRING (17.7599953 49.1036946, 17.7599399 49.1038928)",,yes,,
313111698,492,Masarykova,secondary,50,False,True,224.744,"LINESTRING (17.7599953 49.1036946, 17.7599793 49.1035516, 17.7599676 49.1033752, 17.7599426 49.1029563, 17.7599304 49.102663, 17.7599421 49.1023997, 17.7599816 49.1022386, 17.7600385 49.1020944, 17.7601745 49.101763, 17.7602029 49.1016956)",,,2,
37006935,,Bezručova,residential,,False,False,389.622,"LINESTRING (17.7561155 49.1013588, 17.756631 49.1019586, 17.7568239 49.1021184, 17.756999 49.1022359, 17.7570917 49.1022982, 17.757133 49.1023259, 17.757196 49.1023955, 17.7573752 49.1032295, 17.7573962 49.1033367, 17.7575268 49.1040028, 17.7574625 49.1040517, 17.7573383 49.1040761, 17.7572544 49.1040663, 17.7571893 49.1040068, 17.7570802 49.1037893, 17.7570002 49.1036902)",,,,
417020704,,Lesní,residential,,False,False,27.323,"LINESTRING (17.7561155 49.1013588, 17.7560488 49.1013913, 17.7557901 49.1014802)",,,,
417020704,,Lesní,residential,,False,True,47.413,"LINESTRING (17.7561155 49.1013588, 17.7561591 49.1013176, 17.7561862 49.1012655, 17.7562105 49.1012116, 17.7562182 49.1011542, 17.7562041 49.1010925, 17.756159 49.1009505)",,,,
27013516,,Kamenná,residential,,False,True,238.68499999999997,"LINESTRING (17.7545577 49.1019213, 17.7553315 49.1027334, 17.7554276 49.1028342, 17.7557228 49.1032567, 17.7558823 49.1035029, 17.7560313 49.1036394, 17.7562071 49.1036853, 17.7562747 49.10367)",,,,
27014343,,Újezda,residential,,False,True,168.247,"LINESTRING (17.7545577 49.1019213, 17.7544887 49.10183, 17.7543559 49.1017637, 17.753982 49.1017422, 17.7537405 49.1016947, 17.7524933 49.1013381)",,,,
27452672,,Slunná,residential,,False,True,259.898,"LINESTRING (17.7545577 49.1019213, 17.7540966 49.1021083, 17.7539799 49.1020957, 17.753786 49.102107, 17.7533797 49.102308, 17.7530686 49.1023228, 17.7527582 49.1022644, 17.7524287 49.1021786, 17.7519529 49.1019125, 17.7515356 49.1016393)",,,,
286670124,,,unclassified,,False,False,100.97299999999998,"LINESTRING (17.7545577 49.1019213, 17.7549622 49.1017458, 17.7551505 49.1016842, 17.7552496 49.1016907, 17.7554082 49.101801, 17.7555717 49.1019048, 17.7557041 49.1019078)",,,,
37006929,,Komenského,residential,,False,True,57.185,"LINESTRING (17.7524933 49.1013381, 17.7528333 49.1008745)",,,,
27014343,,Újezda,residential,,False,False,168.24699999999999,"LINESTRING (17.7524933 49.1013381, 17.7537405 49.1016947, 17.753982 49.1017422, 17.7543559 49.1017637, 17.7544887 49.10183, 17.7545577 49.1019213)",,,,
37006929,,Komenského,residential,,False,False,66.93,"LINESTRING (17.7524933 49.1013381, 17.7521419 49.1014758, 17.7516361 49.1015176)",,,,
27014572,,Nádražní,residential,,False,False,32.579,"LINESTRING (17.7538063 49.0990932, 17.7538349 49.0990817, 17.7538665 49.0990742, 17.753906 49.0990708, 17.7539455 49.0990737, 17.7539832 49.0990827, 17.7540165 49.0990974, 17.754042 49.0991155, 17.7540607 49.0991369, 17.7540718 49.0991612, 17.7540741 49.0991865, 17.7540687 49.0992084, 17.7540567 49.0992291)",,,,
37006928,,Nádražní,residential,,False,True,64.611,"LINESTRING (17.7538063 49.0990932, 17.7537047 49.0990207, 17.7536033 49.0989874, 17.7533611 49.0989481, 17.7531933 49.0988969, 17.753022 49.0988445)",,,,
352507155,,Nádražní,residential,,False,True,6.243,"LINESTRING (17.7538063 49.0990932, 17.7537758 49.0991129, 17.753754 49.0991371)",,,,
