osmid,lanes,name,highway,maxspeed,oneway,reversed,length,geometry,access,width,junction
"[403367713, 128356307, 118174013]",2,Křižovnická,secondary,30,False,True,141.03699999999998,"LINESTRING (14.4143866 50.0860597, 14.4144308 50.0861455, 14.4145135 50.0862932, 14.414549 50.0863592, 14.4146213 50.0864897, 14.4148726 50.0869252, 14.4149776 50.0871088, 14.4150563 50.087253)",,,
"[1207196511, 4086159]",2,náměstí Jana Palacha,tertiary,,False,False,88.68800000000002,"LINESTRING (14.4155853 50.0887026, 14.4155654 50.0887127, 14.4154273 50.0887563, 14.4153037 50.0887827, 14.4148723 50.08886, 14.4148273 50.0888699, 14.4147978 50.0888781, 14.4147671 50.0888881, 14.4147376 50.0889012, 14.4147134 50.088914, 14.4146902 50.0889278, 14.4146684 50.0889431, 14.4146484 50.088959, 14.4146319 50.0889749, 14.4145426 50.0890742)",,,
4323229,3,Křižovnická,secondary,,False,False,97.76599999999999,"LINESTRING (14.4155853 50.0887026, 14.4155409 50.0886014, 14.4155044 50.0885099, 14.4154903 50.0884744, 14.4153561 50.0881511, 14.4153162 50.0880012, 14.4152839 50.0878462)",,,
"[635416702, 4353678]",3,17. listopadu,secondary,,False,False,71.877,"LINESTRING (14.4155853 50.0887026, 14.4156324 50.0888264, 14.4156495 50.0888642, 14.4156662 50.0889058, 14.415804 50.0892483, 14.415838 50.0893283)",,,
8070339,2,Břehová,residential,50,False,False,77.691,"LINESTRING (14.4159551 50.0913253, 14.4160613 50.0912705, 14.4167212 50.0909353, 14.4167899 50.0909044, 14.4168141 50.0908965)",,,
"[172382121, 1225633918, 4353679]","['1', '2']","['Na Rejdišti', 'Dvořákovo nábřeží']",secondary,50,True,False,192.27100000000002,"LINESTRING (14.4159551 50.0913253, 14.4155433 50.0910142, 14.4152205 50.0907146, 14.4151692 50.0906325, 14.4151396 50.0905456, 14.4151726 50.0905006, 14.4152103 50.0904815, 14.4161032 50.090319, 14.4162255 50.090287, 14.4162523 50.0902799)",,,
8070339,2,Břehová,residential,50,False,True,77.691,"LINESTRING (14.4168141 50.0908965, 14.4167899 50.0909044, 14.4167212 50.0909353, 14.4160613 50.0912705, 14.4159551 50.0913253)",,,
119092378,3,17. listopadu,secondary,,False,False,23.277,"LINESTRING (14.4168141 50.0908965, 14.4168808 50.090958, 14.4169431 50.0910033, 14.4170274 50.0910538)",,,
165287756,4,17. listopadu,secondary,,False,True,79.47500000000001,"LINESTRING (14.4168141 50.0908965, 14.4163696 50.0904279, 14.4162971 50.0903439, 14.4162523 50.0902799)",,,
4353658,1,Břehová,residential,,True,False,57.724000000000004,"LINESTRING (14.4170274 50.0910538, 14.4170443 50.0910428, 14.4171055 50.0910081, 14.417646 50.0907193)",,,
"[119092378, 904208892]",3,17. listopadu,secondary,,False,False,88.201,"LINESTRING (14.4170274 50.0910538, 14.4177475 50.0914269, 14.4177856 50.0914463, 14.4179406 50.0915292, 14.4179869 50.091554)",,,
119092378,3,17. listopadu,secondary,,False,True,23.277,"LINESTRING (14.4170274 50.0910538, 14.4169431 50.0910033, 14.4168808 50.090958, 14.4168141 50.0908965)",,,
4353658,1,Břehová,residential,,True,False,45.224000000000004,"LINESTRING (14.417646 50.0907193, 14.4180182 50.0905339, 14.4181809 50.0905351)",,,
4353643,1,Bílkova,residential,,True,False,33.186,"LINESTRING (14.4181809 50.0905351, 14.4184497 50.0906636, 14.4185508 50.090716)",,,
"[1150751896, 4353655]",1,Maiselova,living_street,20,True,False,65.36,"LINESTRING (14.4181809 50.0905351, 14.4182672 50.0904081, 14.4183253 50.0903227, 14.4183531 50.0902556, 14.4183688 50.0901498, 14.4183567 50.0899696)",,,
4353797,1,Pařížská,residential,,True,False,153.86999999999998,"LINESTRING (14.4185508 50.090716, 14.418601 50.0906394, 14.4188447 50.0902506, 14.4188857 50.0901882, 14.4190007 50.0900068, 14.4192953 50.0895225, 14.4193509 50.089431)",,,
4690433,2,Pařížská,residential,,False,True,101.73100000000001,"LINESTRING (14.4185508 50.090716, 14.4184901 50.0908071, 14.4182269 50.0912521, 14.4181461 50.0913774, 14.4181399 50.0913861, 14.4181295 50.0914009, 14.4180532 50.0914885, 14.4179869 50.091554)",,,
41492498,2,Bílkova,residential,,False,False,66.14999999999999,"LINESTRING (14.4185508 50.090716, 14.4186634 50.0907568, 14.4194303 50.0908982)",,,
4353653,1,Pařížská,residential,,True,False,24.208,"LINESTRING (14.4196836 50.088922, 14.4198162 50.0887216)",,,
4643620,1,Kostečná,residential,,True,False,50.032000000000004,"LINESTRING (14.4196836 50.088922, 14.4198002 50.0889657, 14.420296 50.0891412)",,,
