osmid,lanes,ref,name,highway,maxspeed,oneway,reversed,length,geometry,bridge,tunnel,width,access
9578089,2,137,Na Parkánech,secondary,50,False,False,9.565,"LINESTRING (14.6550902 49.4109783, 14.6552211 49.4109662)",,,,
15243016,2,137,Bechyňská,secondary,50,False,True,20.47,"LINESTRING (14.6550902 49.4109783, 14.6549341 49.4109186, 14.6548674 49.4108685)",,,,
9579221,2,603,náměstí F. Křižíka,secondary,50,False,True,25.198999999999998,"LINESTRING (14.6641526 49.4127868, 14.6641076 49.4128266, 14.6640334 49.4129411, 14.6640011 49.4129897)",,,,
"[363732429, 329424426, 15242901]","['1', '3']",137,náměstí F. Křižíka,secondary,50,False,"[False, True]",35.347,"LINESTRING (14.6641526 49.4127868, 14.6640909 49.4127301, 14.6640488 49.4126988, 14.6639991 49.4126722, 14.6639583 49.4126554, 14.6637798 49.4125895)",,,,
361417066,3,137;603,náměstí F. Křižíka,secondary,50,False,False,103.83699999999999,"LINESTRING (14.6641526 49.4127868, 14.6641852 49.4127772, 14.6642331 49.4127671, 14.664383 49.4127587, 14.6649146 49.4127325, 14.6650024 49.412723, 14.6650562 49.4127151, 14.6652286 49.4126764, 14.6655423 49.4125927)",,,,
15243319,,,Příběnická,residential,,True,False,230.983,"LINESTRING (14.6548674 49.4108685, 14.652004 49.4099497)",,,,
15243016,2,137,Bechyňská,secondary,50,False,False,20.47,"LINESTRING (14.6548674 49.4108685, 14.6549341 49.4109186, 14.6550902 49.4109783)",,,,
15243016,2,137,Bechyňská,secondary,50,False,True,99.97999999999999,"LINESTRING (14.6548674 49.4108685, 14.6546965 49.4106696, 14.6541216 49.4101122)",,,,
9578089,2,137,Na Parkánech,secondary,50,False,True,9.565,"LINESTRING (14.6552211 49.4109662, 14.6550902 49.4109783)",,,,
"[9578089, 1187248326, 488033039]",2,137,Na Parkánech,secondary,50,False,False,233.333,"LINESTRING (14.6552211 49.4109662, 14.6553584 49.4109401, 14.6558754 49.410849, 14.6559826 49.4108398, 14.6560145 49.4108411, 14.6561689 49.4108719, 14.6562801 49.410925, 14.656866 49.4114248, 14.6572534 49.411788, 14.6575908 49.4119928)",,,,
15883311,,,K Potoku,residential,,True,False,146.14,"LINESTRING (14.6575926 49.4184124, 14.6574946 49.4183491, 14.6574532 49.4183016, 14.6574301 49.4182571, 14.6574408 49.4181948, 14.6574719 49.4181323, 14.6575516 49.4180663, 14.6576827 49.417999, 14.6578941 49.4179047, 14.6583691 49.4176699, 14.6583928 49.4176312, 14.6583881 49.4175756, 14.6583501 49.4175324, 14.6582883 49.4175138, 14.6582028 49.4175138)",,,,
256490650,,,Bezručova,residential,,True,False,355.29300000000006,"LINESTRING (14.6575926 49.4184124, 14.6583539 49.4180186, 14.6586375 49.4179133, 14.6587184 49.4178858, 14.6590252 49.4177817, 14.659314 49.4177133, 14.6596121 49.4176544, 14.6599391 49.4176249, 14.6602715 49.4176173, 14.6604378 49.4176281, 14.6606002 49.4176407, 14.6608069 49.4176608, 14.661012 49.4176774, 14.6614279 49.4177122, 14.6615812 49.4177101, 14.6617352 49.4176888, 14.6619549 49.4176364, 14.6619859 49.4176273, 14.6620397 49.4176096, 14.6621132 49.4175772)",,,,
133765921,,,Bezručova,residential,,False,True,18.514,"LINESTRING (14.6622971 49.4174614, 14.6621132 49.4175772)",,,,
15092378,,,Bezručova,residential,,False,False,18.296,"LINESTRING (14.6622971 49.4174614, 14.6623356 49.417455, 14.6624215 49.4174396, 14.6625452 49.4174461)",,,,
133765922,,,Bezručova,residential,,True,False,40.562999999999995,"LINESTRING (14.6622971 49.4174614, 14.662325 49.4174345, 14.6626089 49.4171582)",,,,
31820376,,,Bezručova,residential,,False,True,4.528,"LINESTRING (14.6621361 49.4176151, 14.6621132 49.4175772)",,,,
31820376,,,Bezručova,residential,,False,False,4.528,"LINESTRING (14.6621132 49.4175772, 14.6621361 49.4176151)",,,,
133765921,,,Bezručova,residential,,False,False,18.514,"LINESTRING (14.6621132 49.4175772, 14.6622971 49.4174614)",,,,
15092379,,,Politických vězňů,residential,,False,False,65.40599999999999,"LINESTRING (14.6637938 49.4176973, 14.6641289 49.4177582, 14.6643179 49.4177616, 14.6646322 49.417736, 14.6646822 49.4177317)",,,,
15092381,,,Kvapilova,residential,50,False,False,80.556,"LINESTRING (14.6637938 49.4176973, 14.6637534 49.4177808, 14.6634588 49.4183882)",,,,
51949991,,,Politických vězňů,residential,,False,True,94.542,"LINESTRING (14.6637938 49.4176973, 14.6626854 49.4174731, 14.6625452 49.4174461)",,,,
15092379,,,Politických vězňů,residential,,False,True,65.406,"LINESTRING (14.6646822 49.4177317, 14.6646322 49.417736, 14.6643179 49.4177616, 14.6641289 49.4177582, 14.6637938 49.4176973)",,,,
