osmid,lanes,name,highway,maxspeed,oneway,reversed,length,geometry,ref,bridge,access,junction
27826545,2,Nová Pražská,tertiary,50,False,False,80.554,"LINESTRING (14.6886319 49.7861025, 14.6885209 49.7858743, 14.6884458 49.7855902, 14.6884253 49.7853936)",,,,
"[254008384, 1163918747, 27826535]",,Čechova,secondary,"['40', '50']",False,False,229.46300000000002,"LINESTRING (14.6886319 49.7861025, 14.6888467 49.7859596, 14.6889704 49.7858773, 14.6890257 49.7858469, 14.6890621 49.78583, 14.6891314 49.7858041, 14.6891786 49.785788, 14.6892273 49.7857736, 14.6892762 49.785761, 14.6893253 49.7857496, 14.68939 49.7857387, 14.6894584 49.7857297, 14.6895603 49.7857225, 14.6896415 49.7857253, 14.6897408 49.7857332, 14.6898432 49.7857479, 14.6899024 49.785758, 14.6899507 49.7857683, 14.6900128 49.7857844, 14.6900921 49.7858069, 14.6905298 49.7859309, 14.6906719 49.785971, 14.6914751 49.7861978)",112,,,
166895807,,Hráského,secondary,50,False,False,20.643,"LINESTRING (14.6927396 49.7798461, 14.6924914 49.7799398)",110,,,
26803406,,Černoleská,tertiary,50,False,False,154.801,"LINESTRING (14.6927396 49.7798461, 14.6927152 49.7797451, 14.6927038 49.7796884, 14.6927065 49.7796516, 14.6927167 49.7796151, 14.6933076 49.7785209)",1101,,,
512480606,,Hráského,secondary,50,False,True,68.843,"LINESTRING (14.6927396 49.7798461, 14.6933745 49.7796066, 14.6935962 49.7795884)",110,,,
99374634,2,Nádražní,secondary,50,False,True,139.023,"LINESTRING (14.6815702 49.7823835, 14.6815998 49.782375, 14.681647 49.782357, 14.6816954 49.7823237, 14.6817275 49.78229, 14.6817673 49.7822324, 14.6818993 49.7820124, 14.6821578 49.7815621, 14.6822651 49.781373, 14.682369 49.7812639)",110,,,
"[24458465, 24458466, 525711635]",,"['Nádražní', 'Konopišťská']",secondary,50,False,False,40.443,"LINESTRING (14.6815702 49.7823835, 14.6815336 49.7823878, 14.6814466 49.782387, 14.681384 49.7823768, 14.6811917 49.7823412, 14.6811421 49.7823274, 14.681095 49.7823096, 14.6810497 49.7822787)",110,yes,yes,
514412486,2,Táborská,secondary,50,False,False,100.15,"LINESTRING (14.6888315 49.7790235, 14.6878257 49.7783995)",110,,,
24458544,,Husovo náměstí,residential,,True,False,85.75,"LINESTRING (14.6888315 49.7790235, 14.6877835 49.778982, 14.6876395 49.7789763)",,,,
514412486,2,Táborská,secondary,50,False,True,30.195,"LINESTRING (14.6888315 49.7790235, 14.6888819 49.7790596, 14.6890023 49.7791353, 14.6891293 49.7792151)",110,,,
10516357,,Hodějovského,residential,50,False,False,125.821,"LINESTRING (14.6810497 49.7822787, 14.6809638 49.7824487, 14.6809404 49.7826248, 14.6808664 49.7833993)",,,,
"[24458465, 24458466, 525711635]",,"['Nádražní', 'Konopišťská']",secondary,50,False,True,40.443,"LINESTRING (14.6810497 49.7822787, 14.681095 49.7823096, 14.6811421 49.7823274, 14.6811917 49.7823412, 14.681384 49.7823768, 14.6814466 49.782387, 14.6815336 49.7823878, 14.6815702 49.7823835)",110,yes,yes,
283402780,2,Konopišťská,secondary,50,False,False,170.669,"LINESTRING (14.6810497 49.7822787, 14.681011 49.7822428, 14.6809875 49.7822022, 14.6809751 49.7821584, 14.680969 49.7821194, 14.6809764 49.782076, 14.6809964 49.7820318, 14.6810313 49.7819806, 14.6811627 49.781847, 14.681185 49.7818173, 14.681198 49.7817846, 14.6812073 49.781752, 14.6812012 49.7817176, 14.6811832 49.7816906, 14.6810868 49.7816048, 14.6810534 49.781576, 14.680805 49.7814158, 14.6806912 49.7813539, 14.6805286 49.7812767, 14.6802764 49.7812365, 14.6800715 49.7812195)",110,,,
24458404,,Zapova,residential,,False,False,68.767,"LINESTRING (14.6935962 49.7795884, 14.6937482 49.780199)",,,,
512480606,,Hráského,secondary,50,False,False,68.843,"LINESTRING (14.6935962 49.7795884, 14.6933745 49.7796066, 14.6927396 49.7798461)",110,,,
27826667,,Hodějovského,residential,50,False,True,233.915,"LINESTRING (14.6825485 49.7853275, 14.6820618 49.7850172, 14.6817707 49.7848308, 14.6816417 49.7847286, 14.6815203 49.7846234, 14.6813928 49.7845096, 14.6813031 49.7843961, 14.6812239 49.7842723, 14.6810763 49.7840053, 14.6809074 49.7835698)",,,,
1098577295,,Máchova,secondary,50,False,True,49.736000000000004,"LINESTRING (14.6825485 49.7853275, 14.6824242 49.7853833, 14.6822673 49.7854283, 14.6819066 49.7854806)",106,,,
1098577295,,Máchova,secondary,50,False,False,49.736000000000004,"LINESTRING (14.6819066 49.7854806, 14.6822673 49.7854283, 14.6824242 49.7853833, 14.6825485 49.7853275)",106,,,
279488861,,Hodějovského,residential,50,False,True,19.186,"LINESTRING (14.6809074 49.7835698, 14.6808664 49.7833993)",,,,
24458619,,Hodějovského,residential,50,False,True,25.729,"LINESTRING (14.6809074 49.7835698, 14.6807254 49.783524, 14.6806059 49.7834524)",,,,
27826667,,Hodějovského,residential,50,False,False,233.915,"LINESTRING (14.6809074 49.7835698, 14.6810763 49.7840053, 14.6812239 49.7842723, 14.6813031 49.7843961, 14.6813928 49.7845096, 14.6815203 49.7846234, 14.6816417 49.7847286, 14.6817707 49.7848308, 14.6820618 49.7850172, 14.6825485 49.7853275)",,,,
