osmid,oneway,name,highway,reversed,length,geometry,lanes,ref,maxspeed,bridge,junction,access
28676107,True,Smetanova,residential,False,55.05800000000001,"LINESTRING (15.3088682 50.7396952, 15.3089442 50.739664, 15.3089908 50.7396479, 15.3095824 50.7394955)",,,,,,
75392805,False,Krkonošská,primary,False,68.65899999999999,"LINESTRING (15.3088682 50.7396952, 15.3089271 50.7397398, 15.3089693 50.7397833, 15.3090316 50.7398491, 15.3090661 50.7399034, 15.3092453 50.7402588)",2,10,50,,,
"[133727523, 75392805, 123810823, 75392682, 123810831]",False,Krkonošská,primary,True,100.039,"LINESTRING (15.3088682 50.7396952, 15.3086018 50.7395243, 15.3084023 50.7394141, 15.3080309 50.7392744, 15.3079748 50.7392482, 15.3079585 50.7392375, 15.3077684 50.7391326)",2,10,50,yes,,
26578880,True,Krkonošská,primary,False,27.451999999999998,"LINESTRING (15.3078943 50.7354019, 15.3079246 50.7353723, 15.3079663 50.7353489, 15.3080163 50.7353334, 15.3080711 50.7353269, 15.3081266 50.7353298, 15.3081789 50.7353421, 15.3082241 50.7353627)",,10,50,,roundabout,
"[397773786, 727265173]",True,Krkonošská,primary,False,45.248999999999995,"LINESTRING (15.3106986 50.7420533, 15.3106784 50.7420742, 15.3106511 50.7420916, 15.310584 50.7421123, 15.3105154 50.7421134, 15.3104517 50.7420972, 15.3104034 50.7420664, 15.3103785 50.7420259, 15.310381 50.7419825, 15.3104138 50.7419406, 15.3104718 50.7419116)",,10,50,,roundabout,
"[133727522, 266623110, 51969631]",False,"['Hlavní', 'Krkonošská']",primary,False,566.803,"LINESTRING (15.3004286 50.7338203, 15.3007515 50.7339331, 15.3009887 50.7340411, 15.3012285 50.7341651, 15.3018607 50.7345584, 15.3021629 50.7347333, 15.3023673 50.7348515, 15.3026234 50.7349775, 15.302696 50.7350132, 15.3030713 50.7351882, 15.3031104 50.7352064, 15.3032481 50.7352487, 15.3034108 50.7352797, 15.3035859 50.7352966, 15.3037768 50.7353114, 15.3041535 50.7353175, 15.3050367 50.735333, 15.305696 50.7353651, 15.3061122 50.7353829, 15.3065076 50.7353795, 15.3068962 50.7353689, 15.3071388 50.7353644, 15.3073336 50.7353669, 15.3075252 50.7353815, 15.3076573 50.7353928)",,14,50,,,
615324743,False,,tertiary,True,203.01900000000003,"LINESTRING (15.3004286 50.7338203, 15.3005381 50.7337375, 15.3006293 50.733692, 15.3007564 50.7336903, 15.3014035 50.7340274, 15.3017044 50.7341133, 15.3020426 50.7341559, 15.302304 50.7341877, 15.302496 50.7341942, 15.3029909 50.734152)",,28744,50,,,
26578880,True,Krkonošská,primary,False,21.34,"LINESTRING (15.308075 50.7355887, 15.3080251 50.7355838, 15.3079785 50.7355714, 15.3079381 50.7355522, 15.3079062 50.7355273, 15.3078848 50.7354984, 15.3078751 50.735467)",,10,50,,roundabout,
27715976,False,Vítězná,tertiary,False,49.855000000000004,"LINESTRING (15.3101224 50.7415995, 15.3101961 50.7415732, 15.3103213 50.7415358, 15.3107998 50.741484)",,29051,50,,,
44546969,False,Krkonošská,primary,False,43.04,"LINESTRING (15.3101224 50.7415995, 15.3102773 50.7417051, 15.310391 50.7417914, 15.3104718 50.7419116)",2,10,50,,,
75392805,False,Krkonošská,primary,True,163.01,"LINESTRING (15.3101224 50.7415995, 15.309988 50.7415098, 15.3099517 50.7414762, 15.309948 50.7414729, 15.3099185 50.7414464, 15.3098641 50.7413975, 15.3097778 50.7412885, 15.3096482 50.7410505, 15.3095309 50.7408195, 15.3092841 50.7403361, 15.3092453 50.7402588)",2,10,50,,,
