osmid,lanes,ref,name,highway,maxspeed,oneway,reversed,length,geometry,bridge,junction,access
"[1063369756, 9703566]",2,N 31,Route de Dudelange,primary,50,False,False,35.04900000000001,"LINESTRING (6.0937436 49.5170705, 6.0937606 49.5170259, 6.0938125 49.5169186, 6.0938848 49.516769)",,,
27860180,1,N 31,Route de Dudelange,primary,50,True,False,35.491,"LINESTRING (6.0937436 49.5170705, 6.0937789 49.5172198, 6.0938414 49.5172882, 6.0939298 49.5173557)",,,
"[4309858, 1040567093]",2,,Rue Michel Hack,residential,30,False,False,63.427,"LINESTRING (6.0942699 49.5152283, 6.0943124 49.5152206, 6.0943936 49.5152058, 6.0951159 49.5150744)",,,
"[157421048, 157421049, 9703643]",2,N 31,Route de Dudelange,primary,50,False,False,120.666,"LINESTRING (6.0942699 49.5152283, 6.0942094 49.5151193, 6.0941023 49.5149925, 6.0939171 49.5148007, 6.0937159 49.5146033, 6.09351 49.5144111, 6.0934049 49.5143034)",yes,,
1063369756,2,N 31,Route de Dudelange,primary,50,False,True,109.199,"LINESTRING (6.0942699 49.5152283, 6.0943409 49.5154062, 6.0943621 49.5155346, 6.094356 49.5156637, 6.0943249 49.515817, 6.0942939 49.5158874, 6.0941617 49.5161875)",,,
8139848,2,,Rue Michel Hack,residential,30,False,True,138.413,"LINESTRING (6.0951159 49.5150744, 6.0950571 49.5149054, 6.0950451 49.5148131, 6.0950647 49.5147477, 6.0950726 49.5147213, 6.0951573 49.5146261, 6.0953118 49.5144525, 6.0954553 49.5143201, 6.0957039 49.5142084, 6.0960001 49.5141084)",,,
"[4309858, 1040567093]",2,,Rue Michel Hack,residential,30,False,True,63.427,"LINESTRING (6.0951159 49.5150744, 6.0943936 49.5152058, 6.0943124 49.5152206, 6.0942699 49.5152283)",,,
1135687457,2,N 13;N 31,Route d'Esch,primary,50,False,True,50.025,"LINESTRING (6.0949317 49.5176363, 6.0955796 49.5177959)",,,
9703630,1,N 13,Route d'Esch,primary,50,True,False,34.012,"LINESTRING (6.0949317 49.5176363, 6.0947514 49.5176433, 6.0945636 49.5176664, 6.094467 49.5176816)",,,
69158344,1,,Rue Michel Hack,residential,30,True,False,69.65599999999999,"LINESTRING (6.0949317 49.5176363, 6.09497 49.5175558, 6.0952181 49.5170381)",,,
1063369756,2,N 31,Route de Dudelange,primary,50,False,True,67.679,"LINESTRING (6.0941617 49.5161875, 6.0938848 49.516769)",,,
1063369756,2,N 31,Route de Dudelange,primary,50,False,False,109.19899999999998,"LINESTRING (6.0941617 49.5161875, 6.0942939 49.5158874, 6.0943249 49.515817, 6.094356 49.5156637, 6.0943621 49.5155346, 6.0943409 49.5154062, 6.0942699 49.5152283)",,,
4309857,1,,Rue Adolphe,residential,30,True,False,100.193,"LINESTRING (6.095495 49.5164377, 6.0942875 49.5162111, 6.0941617 49.5161875)",,,
69158344,1,,Rue Michel Hack,residential,30,True,False,166.527,"LINESTRING (6.095495 49.5164377, 6.0957606 49.5158245, 6.0951932 49.5151332, 6.0951159 49.5150744)",,,
1063369756,2,N 31,Route de Dudelange,primary,50,False,False,67.679,"LINESTRING (6.0938848 49.516769, 6.0941617 49.5161875)",,,
4309856,1,,Rue Jean,residential,30,True,False,100.79599999999999,"LINESTRING (6.0938848 49.516769, 6.0940067 49.5167936, 6.0947702 49.5169477, 6.0952181 49.5170381)",,,
"[1063369756, 9703566]",2,N 31,Route de Dudelange,primary,50,False,True,35.049,"LINESTRING (6.0938848 49.516769, 6.0938125 49.5169186, 6.0937606 49.5170259, 6.0937436 49.5170705)",,,
69158344,1,,Rue Michel Hack,residential,30,True,False,69.69,"LINESTRING (6.0952181 49.5170381, 6.095495 49.5164377)",,,
4309797,2,,Rue du Château,residential,30,False,True,99.676,"LINESTRING (6.0960001 49.5141084, 6.0961513 49.5140717, 6.0964182 49.514014, 6.0967084 49.5139731, 6.0970638 49.5139529, 6.097348 49.5139538)",,,
8139848,2,,Rue Michel Hack,residential,30,False,False,138.41299999999998,"LINESTRING (6.0960001 49.5141084, 6.0957039 49.5142084, 6.0954553 49.5143201, 6.0953118 49.5144525, 6.0951573 49.5146261, 6.0950726 49.5147213, 6.0950647 49.5147477, 6.0950451 49.5148131, 6.0950571 49.5149054, 6.0951159 49.5150744)",,,
69158336,2,,Rue du Château,residential,30,False,False,436.18899999999996,"LINESTRING (6.0960001 49.5141084, 6.0965699 49.5151836, 6.0967188 49.5154644, 6.0967737 49.515683, 6.0967645 49.5157465, 6.0967389 49.5159241, 6.0966517 49.5161627, 6.0963102 49.5169141, 6.0962795 49.5169838, 6.0961793 49.5172064, 6.095964 49.517706, 6.0959159 49.517815, 6.0958904 49.5178725)",,,
69158336,2,,Rue du Château,residential,30,False,True,436.1890000000001,"LINESTRING (6.0958904 49.5178725, 6.0959159 49.517815, 6.095964 49.517706, 6.0961793 49.5172064, 6.0962795 49.5169838, 6.0963102 49.5169141, 6.0966517 49.5161627, 6.0967389 49.5159241, 6.0967645 49.5157465, 6.0967737 49.515683, 6.0967188 49.5154644, 6.0965699 49.5151836, 6.0960001 49.5141084)",,,
69158343,2,N 13;N 31,Route d'Esch,primary,50,False,False,23.999000000000002,"LINESTRING (6.0958904 49.5178725, 6.095692 49.5178236, 6.0955796 49.5177959)",,,
471511791,2,N 13;N 31,Route d'Esch,primary,50,False,True,121.56099999999999,"LINESTRING (6.0958904 49.5178725, 6.0968827 49.5181208, 6.097449 49.5182854)",,,
440083898,1,N 31,Route de Dudelange,primary,50,True,False,33.761,"LINESTRING (6.094499 49.5175211, 6.0949317 49.5176363)",,,
4309901,1,N 31,Route d'Esch,primary_link,50,True,False,19.146,"LINESTRING (6.094499 49.5175211, 6.0945251 49.5175759, 6.0945137 49.5176328, 6.094467 49.5176816)",,,
69158353,1,N 31,Route de Dudelange,primary,50,True,False,45.018,"LINESTRING (6.0939298 49.5173557, 6.0943606 49.5174809, 6.094499 49.5175211)",,,
4309902,1,N 13A,Route de Dudelange,primary_link,50,True,False,24.883000000000003,"LINESTRING (6.0936282 49.5174075, 6.0937328 49.517343, 6.0938292 49.517339, 6.0939298 49.5173557)",,,
8878427,1,N 13A,Rue Willmar,primary,50,True,False,38.638999999999996,"LINESTRING (6.0936282 49.5174075, 6.0936905 49.5171475, 6.0937436 49.5170705)",,,
517647127,1,N 13A,Rue Willmar,primary,50,True,False,61.971,"LINESTRING (6.093579 49.5179637, 6.0936141 49.5174787, 6.0936282 49.5174075)",,,
517647133,1,N 13,Route d'Esch,primary,50,True,False,34.414,"LINESTRING (6.0938205 49.5180464, 6.0935195 49.5182864)",,,
4309898,1,N 13A,Route d'Esch,primary_link,50,True,False,22.639999999999997,"LINESTRING (6.0938205 49.5180464, 6.0937438 49.518057, 6.0936679 49.5180442, 6.0936088 49.5180108, 6.093579 49.5179637)",,,
440083899,1,N 13,Route d'Esch,primary,50,True,False,62.444,"LINESTRING (6.094467 49.5176816, 6.0942691 49.5177589, 6.0941076 49.5178364, 6.093888 49.5179864, 6.0938205 49.5180464)",,,
8878422,1,N 13A,Rue Willmar,primary,50,True,False,36.139,"LINESTRING (6.0935195 49.5182864, 6.093579 49.5179637)",,,
"[910903555, 910903556, 27860183, 34928539, 34928540]",2,N 13,Route d'Esch,primary,50,False,False,405.54499999999996,"LINESTRING (6.0935195 49.5182864, 6.0934166 49.5183789, 6.0931297 49.5186369, 6.091593 49.5200186, 6.0914071 49.5201857, 6.0913763 49.5202134, 6.0911698 49.5203991, 6.0908967 49.5206446, 6.0907895 49.520741, 6.0906788 49.5208383, 6.0904871 49.5209644, 6.0903273 49.5210435, 6.0900611 49.5211249)",yes,,
"[8879227, 957555876]",2,,Rue des Prés,residential,30,False,False,130.982,"LINESTRING (6.0935195 49.5182864, 6.0936027 49.518301, 6.0936506 49.5183095, 6.0952707 49.5185947)",,,
4309886,2,,Rue du Curé,residential,30,False,False,64.955,"LINESTRING (6.0952707 49.5185947, 6.095041 49.5191595)",,,
926211344,2,,Rue du Curé,residential,30,False,True,22.117,"LINESTRING (6.0952707 49.5185947, 6.0953454 49.5184018)",,,
"[8879227, 957555876]",2,,Rue des Prés,residential,30,False,True,130.982,"LINESTRING (6.0952707 49.5185947, 6.0936506 49.5183095, 6.0936027 49.518301, 6.0935195 49.5182864)",,,
1135687457,2,N 13;N 31,Route d'Esch,primary,50,False,False,50.025,"LINESTRING (6.0955796 49.5177959, 6.0949317 49.5176363)",,,
69158343,2,N 13;N 31,Route d'Esch,primary,50,False,True,23.999000000000002,"LINESTRING (6.0955796 49.5177959, 6.095692 49.5178236, 6.0958904 49.5178725)",,,
926211344,2,,Rue du Curé,residential,30,False,False,69.462,"LINESTRING (6.0955796 49.5177959, 6.0955418 49.5178942, 6.0953454 49.5184018)",,,
4309886,2,,Rue du Curé,residential,30,False,True,64.955,"LINESTRING (6.095041 49.5191595, 6.0952707 49.5185947)",,,
4309886,2,,Rue du Curé,residential,30,False,False,39.799,"LINESTRING (6.095041 49.5191595, 6.0950712 49.519409, 6.0950799 49.5195165)",,,
209362205,,,Rue de l'Eau,residential,30,False,True,168.336,"LINESTRING (6.095041 49.5191595, 6.0949163 49.5192684, 6.0948171 49.5193293, 6.0946682 49.519412, 6.0945515 49.5194965, 6.0941935 49.5197981, 6.0941539 49.5198595, 6.0941868 49.5199004, 6.0942505 49.5199239, 6.0949785 49.5201097)",,,
4309886,2,,Rue du Curé,residential,30,False,True,66.935,"LINESTRING (6.0949785 49.5201097, 6.095037 49.5200032, 6.0950692 49.5199013, 6.0950799 49.5195165)",,,
209362205,,,Rue de l'Eau,residential,30,False,False,168.33599999999998,"LINESTRING (6.0949785 49.5201097, 6.0942505 49.5199239, 6.0941868 49.5199004, 6.0941539 49.5198595, 6.0941935 49.5197981, 6.0945515 49.5194965, 6.0946682 49.519412, 6.0948171 49.5193293, 6.0949163 49.5192684, 6.095041 49.5191595)",,,
"[4309892, 209362205]",2,,"[""Rue de l'Eau"", 'Rue de la Tannerie']",residential,30,False,True,325.6940000000001,"LINESTRING (6.0949785 49.5201097, 6.0963984 49.5204376, 6.0964452 49.5204548, 6.0965566 49.5204967, 6.0966115 49.5205473, 6.096795 49.5208079, 6.0969251 49.5208962, 6.0971611 49.521006, 6.0973658 49.5210799, 6.0974441 49.5211028, 6.0975835 49.5211434, 6.0978983 49.5212353, 6.0982816 49.5213074, 6.098378 49.5213107, 6.0984784 49.5212988, 6.0986772 49.521205, 6.0987585 49.5211894, 6.0988168 49.5211782)",,,
"[964333348, 4309885]",2,,"['Rue de la Rivière', ""Rue de l'École""]",residential,30,False,"[False, True]",127.57199999999999,"LINESTRING (6.0950799 49.5195165, 6.0959235 49.5196445, 6.0965739 49.5197738, 6.0966188 49.5197799, 6.0966647 49.5197826, 6.0967104 49.5197794, 6.0967495 49.5197705, 6.0967845 49.5197562)",,,
4309886,2,,Rue du Curé,residential,30,False,False,66.935,"LINESTRING (6.0950799 49.5195165, 6.0950692 49.5199013, 6.095037 49.5200032, 6.0949785 49.5201097)",,,
4309886,2,,Rue du Curé,residential,30,False,True,39.799,"LINESTRING (6.0950799 49.5195165, 6.0950712 49.519409, 6.095041 49.5191595)",,,
"[471511788, 339695645]",2,N 13;N 31,Route d'Esch,primary,50,False,True,125.431,"LINESTRING (6.0983076 49.5185749, 6.0984911 49.5186415, 6.0995477 49.5190263, 6.0998302 49.519118)",,,
"[471511789, 471511791]",2,N 13;N 31,Route d'Esch,primary,50,False,False,69.87299999999999,"LINESTRING (6.0983076 49.5185749, 6.0981419 49.5185145, 6.0977836 49.5183925, 6.0976844 49.5183564, 6.0975583 49.5183176, 6.097449 49.5182854)",,,
471511790,1,,Rue Auguste Collart,residential,30,True,False,83.16,"LINESTRING (6.0983076 49.5185749, 6.0983271 49.518552, 6.0984199 49.5184465, 6.098546 49.5183028, 6.0985822 49.5182262, 6.0987666 49.518012, 6.0988696 49.5179255)",,,
140034135,1,,Rue de l'École,residential,30,True,False,64.627,"LINESTRING (6.0991515 49.5206727, 6.0985565 49.5203237, 6.0984825 49.5202867)",,,
339695646,2,N 31,Route de Luxembourg,primary,50,False,False,62.604,"LINESTRING (6.0991515 49.5206727, 6.0990147 49.5207963, 6.0989074 49.5209069, 6.0988323 49.5210436, 6.0988168 49.5211782)",,,
339695646,2,N 31,Route de Luxembourg,primary,50,False,True,47.900999999999996,"LINESTRING (6.0991515 49.5206727, 6.0993321 49.5205244, 6.0995677 49.5203372)",,,
4309907,1,,Rue du Nord,residential,30,True,False,159.78199999999998,"LINESTRING (6.0995677 49.5203372, 6.0996635 49.5204089, 6.1000043 49.5206636, 6.1001667 49.520785, 6.1006712 49.521162, 6.1008587 49.5213265, 6.1009547 49.5214517)",,,
339695646,2,N 31,Route de Luxembourg,primary,50,False,False,47.900999999999996,"LINESTRING (6.0995677 49.5203372, 6.0993321 49.5205244, 6.0991515 49.5206727)",,,
339695646,2,N 31,Route de Luxembourg,primary,50,False,True,77.833,"LINESTRING (6.0995677 49.5203372, 6.0997417 49.5201989, 6.0999639 49.5200223, 6.1002498 49.5197951)",,,
5017210,3,N 31,Route de Luxembourg,primary,50,False,True,69.852,"LINESTRING (6.1002498 49.5197951, 6.1003979 49.5196412, 6.1004708 49.5195144, 6.1004817 49.5194588, 6.1004992 49.5193697, 6.1004901 49.5192947, 6.1004725 49.5192686, 6.1004343 49.519212)",,,
339695646,2,N 31,Route de Luxembourg,primary,50,False,False,77.833,"LINESTRING (6.1002498 49.5197951, 6.0999639 49.5200223, 6.0997417 49.5201989, 6.0995677 49.5203372)",,,
4309884,2,,Rue Vieille,residential,30,False,True,41.251999999999995,"LINESTRING (6.0995783 49.519451, 6.0996917 49.519301, 6.0997688 49.519199, 6.0998302 49.519118)",,,
4309895,1,,Rue des Roses,residential,30,True,False,61.754,"LINESTRING (6.0995783 49.519451, 6.1001359 49.5197368, 6.1002498 49.5197951)",,,
140034096,1,,Rue Vieille,residential,30,True,False,123.658,"LINESTRING (6.0984825 49.5202867, 6.0989861 49.5197873, 6.0992333 49.5196483, 6.0994202 49.5195756, 6.0995783 49.519451)",,,
4309884,2,,Rue Vieille,residential,30,False,False,41.251999999999995,"LINESTRING (6.0998302 49.519118, 6.0997688 49.519199, 6.0996917 49.519301, 6.0995783 49.519451)",,,
