osmid,lanes,ref,name,highway,maxspeed,oneway,reversed,length,geometry,junction,bridge,access
33707294,2,CR 139A,Fossé des Tanneurs,secondary,50,False,False,76.52799999999999,"LINESTRING (6.4405614 49.6811364, 6.44061 49.6811662, 6.4407817 49.6812717, 6.4410862 49.6814586, 6.4412646 49.6815549, 6.441329 49.6816109)",,,
150814657,2,CR 139,Rue de Wecker,secondary,50,False,True,113.387,"LINESTRING (6.4405614 49.6811364, 6.4404076 49.6812886, 6.4403099 49.6813365, 6.4401985 49.6813925, 6.4400938 49.6814269, 6.4399412 49.6814577, 6.4396914 49.6815356, 6.4392902 49.6817022)",,,
165402423,2,CR 139,Rue de Wecker,secondary,50,False,False,36.841,"LINESTRING (6.4405614 49.6811364, 6.4406826 49.6809102, 6.4407329 49.6808668, 6.4407763 49.6808417)",,,
26749331,2,N 1,Rue de l'École,primary,50,False,False,11.958,"LINESTRING (6.4407763 49.6808417, 6.440912 49.6809038)",,,
32720049,2,N 1,Rue des Tanneurs,primary,50,False,False,181.78099999999998,"LINESTRING (6.4407763 49.6808417, 6.4405675 49.6807263, 6.4405006 49.6806894, 6.4403908 49.6806304, 6.4392993 49.6799897, 6.4391081 49.6798837, 6.4388613 49.6797782)",,,
165402423,2,CR 139,Rue de Wecker,secondary,50,False,True,36.840999999999994,"LINESTRING (6.4407763 49.6808417, 6.4407329 49.6808668, 6.4406826 49.6809102, 6.4405614 49.6811364)",,,
32720049,2,N 1,Rue des Tanneurs,primary,50,False,True,181.781,"LINESTRING (6.4388613 49.6797782, 6.4391081 49.6798837, 6.4392993 49.6799897, 6.4403908 49.6806304, 6.4405006 49.6806894, 6.4405675 49.6807263, 6.4407763 49.6808417)",,,
33450571,2,,Rue de Luxembourg,residential,30,False,True,58.679,"LINESTRING (6.4388613 49.6797782, 6.4388962 49.6797495, 6.439031 49.679648, 6.4391249 49.6795799, 6.4394072 49.6793864)",,,
"[458962431, 98711399]",2,N 1,Rue de Luxembourg,primary,50,False,False,40.24,"LINESTRING (6.4388613 49.6797782, 6.4387217 49.6797298, 6.4385776 49.6796836, 6.4383474 49.6796395)",,,
24008493,1,,,primary,50,True,False,13.700999999999999,"LINESTRING (6.4378007 49.6795318, 6.4377376 49.6795274, 6.4376814 49.6795083, 6.4376401 49.6794771)",roundabout,,
88714962,1,N 1,Kahlenberg,primary,50,True,False,39.283,"LINESTRING (6.4376401 49.6794771, 6.4374508 49.6794346, 6.4371403 49.6793364)",,,
421769281,1,,,primary,50,True,False,14.126000000000001,"LINESTRING (6.4376401 49.6794771, 6.4376193 49.6794369, 6.4376237 49.6793947, 6.4376526 49.6793567)",roundabout,,
421769282,1,,,primary,50,True,False,16.471,"LINESTRING (6.4376526 49.6793567, 6.4377114 49.6793253, 6.4377857 49.6793138, 6.4378601 49.6793247)",roundabout,,
88714959,1,CR 140,Rue Kummert,secondary,50,True,False,27.910000000000004,"LINESTRING (6.438289 49.6792698, 6.4380723 49.6793402, 6.4379456 49.6793864)",,,
144083630,2,CR 140,Rue Kummert,secondary,50,False,False,15.695,"LINESTRING (6.438289 49.6792698, 6.4383662 49.679228, 6.4384146 49.679173, 6.4384211 49.679161)",,,
87498057,2,,Rue Pietert,residential,30,False,False,97.39099999999999,"LINESTRING (6.438431 49.6788007, 6.4383724 49.6787869, 6.4382962 49.6787689, 6.4382325 49.6787274, 6.4382014 49.6786874, 6.4379401 49.6783729, 6.4376661 49.6781033)",,,
144083630,2,CR 140,Rue Kummert,secondary,50,False,True,40.445,"LINESTRING (6.438431 49.6788007, 6.4384215 49.678913, 6.4384406 49.6790605, 6.4384454 49.6791157, 6.4384211 49.679161)",,,
429052637,2,CR 140,Rue Kummert,secondary,50,False,False,158.79600000000002,"LINESTRING (6.438431 49.6788007, 6.4384416 49.6787542, 6.4384985 49.6786341, 6.4385988 49.6785202, 6.4386262 49.6784994, 6.4387437 49.6784213, 6.4392395 49.6781216, 6.4397615 49.6778068, 6.4398643 49.6777503)",,,
10415190,2,CR 140,Schaffmill,secondary,50,False,False,152.68,"LINESTRING (6.440965 49.6771206, 6.440922 49.6770098, 6.440881 49.6765491, 6.4408569 49.6763, 6.4408401 49.6762032, 6.4408033 49.6761056, 6.4405994 49.6757815)",,,
429052637,2,CR 140,Rue Kummert,secondary,50,False,True,105.94200000000001,"LINESTRING (6.440965 49.6771206, 6.4408575 49.6771593, 6.4399695 49.677684, 6.4398643 49.6777503)",,,
"[548445858, 98711404, 548445855]",2,N 10A,Rue du Pont,primary,50,False,False,190.404,"LINESTRING (6.440965 49.6771206, 6.4410745 49.6771254, 6.4413083 49.6771758, 6.4413399 49.6771752, 6.4413887 49.6771685, 6.4414687 49.6771269, 6.4419977 49.6768128, 6.4424286 49.6765568, 6.4425118 49.6765075, 6.4430202 49.6762055)",,yes,
