osmid,ref,name,highway,oneway,reversed,length,geometry,bridge,junction
353453362,70,Gerðagøta,secondary,False,True,69.405,"LINESTRING (-6.5759806 62.2259887, -6.5772745 62.2258273)",,
44704496,,Kráargøta,residential,False,True,98.964,"LINESTRING (-6.5759806 62.2259887, -6.5762527 62.2260334, -6.5766558 62.2262111, -6.5768108 62.2262733, -6.577407 62.2265634)",,
34444416,70,Gerðagøta,secondary,False,True,35.847,"LINESTRING (-6.5827667 62.2252614, -6.5833614 62.2254261)",,
34444724,,Bøgøta,residential,False,True,241.144,"LINESTRING (-6.5827667 62.2252614, -6.5828746 62.225102, -6.5828544 62.2250698, -6.5827463 62.2250166, -6.5824577 62.224892, -6.5821256 62.2247491, -6.5820223 62.224706, -6.5797858 62.223718)",,
353453362,70,Gerðagøta,secondary,False,False,152.927,"LINESTRING (-6.5827667 62.2252614, -6.5824871 62.2252179, -6.5821969 62.2252021, -6.581912 62.2252161, -6.5812659 62.2253069, -6.5810506 62.2253372, -6.5810181 62.2253417, -6.5799163 62.2254856)",,
689773329,70,Biskupsstøðgøta,secondary,True,False,15.554,"LINESTRING (-6.5838177 62.2257298, -6.5838566 62.2256623, -6.5838955 62.2255947)",,
"[1206744472, 34442196]",70,Biskupsstøðgøta,secondary,False,False,146.378,"LINESTRING (-6.5838177 62.2257298, -6.5837058 62.2264426, -6.5836832 62.2265249, -6.5836409 62.2266416, -6.5836077 62.2268515, -6.5835778 62.2270409)",,
34445788,,Kirkjubrekka,residential,False,False,6.291,"LINESTRING (-6.58425 62.2249894, -6.584149 62.2250208)",,
34445788,,Kirkjubrekka,residential,False,True,138.926,"LINESTRING (-6.58425 62.2249894, -6.5844531 62.2249805, -6.5847729 62.2250011, -6.5858875 62.2251001, -6.586191 62.225127, -6.5865028 62.2251471, -6.5868756 62.225085)",,
44703022,,á Fløttinum,residential,False,False,45.153,"LINESTRING (-6.58425 62.2249894, -6.5842879 62.2249173, -6.5846242 62.2246248)",,
34445788,,Kirkjubrekka,residential,False,True,6.291,"LINESTRING (-6.584149 62.2250208, -6.58425 62.2249894)",,
"[44703021, 44704471]",,"['Uppsalagøta', 'Vágstún']",residential,False,True,107.517,"LINESTRING (-6.584149 62.2250208, -6.5840723 62.2250056, -6.5838036 62.2249587, -6.5836021 62.2249269, -6.5834601 62.2248956, -6.5833353 62.224854, -6.5831996 62.2247803, -6.5829058 62.2246186, -6.5825583 62.2244394)",,
689773335,,Vágstún,residential,False,False,28.998,"LINESTRING (-6.584149 62.2250208, -6.5840966 62.2250915, -6.5839663 62.2252673)",,
44704512,,Fjósabrekka,residential,False,False,53.98,"LINESTRING (-6.5825586 62.2291268, -6.5832991 62.2287853)",,
34445822,,Kjalarvegur,residential,False,True,154.546,"LINESTRING (-6.5825586 62.2291268, -6.5827097 62.2292133, -6.5828375 62.2293059, -6.5830476 62.2294952, -6.5830828 62.2295329, -6.5832237 62.2296839, -6.5834212 62.2298941, -6.5836179 62.230111, -6.5837606 62.230276, -6.5838657 62.2303706)",,
44704496,,Kráargøta,residential,False,False,222.18,"LINESTRING (-6.5825586 62.2291268, -6.5822755 62.2289888, -6.5820825 62.2288885, -6.5816068 62.2286503, -6.5814116 62.2285551, -6.5812101 62.2284509, -6.5808702 62.2282649, -6.5796545 62.227657)",,
34446492,,Víkavegur,residential,False,True,173.95600000000002,"LINESTRING (-6.5902443 62.226152, -6.5908035 62.226261, -6.591659 62.2264295, -6.5921215 62.2265215, -6.5923375 62.2265653, -6.5925264 62.2266453, -6.5930298 62.226952)",,
44702988,,Selheygsgøta,residential,False,False,212.066,"LINESTRING (-6.5902443 62.226152, -6.5895962 62.2260228, -6.5892314 62.2259261, -6.5879732 62.2254734, -6.5874801 62.2253068, -6.5868756 62.225085)",,
44703008,,Brekkuskákið,residential,False,True,101.40100000000001,"LINESTRING (-6.5902443 62.226152, -6.59028 62.2261093, -6.5903086 62.2260545, -6.5903099 62.2259983, -6.5898665 62.2252737)",,
44703015,,Brattabrekka,residential,False,True,47.042,"LINESTRING (-6.5863949 62.2248988, -6.5869565 62.2245664)",,
44703018,,Vágsheygsgøta,residential,False,True,32.39,"LINESTRING (-6.5863949 62.2248988, -6.5868756 62.225085)",,
44703018,,Vágsheygsgøta,residential,False,False,310.975,"LINESTRING (-6.5863949 62.2248988, -6.5854182 62.2245514, -6.5848403 62.2243368, -6.5845688 62.2242195, -6.5839534 62.2239252, -6.5832179 62.2235733, -6.5820124 62.2229967)",,
44703018,,Vágsheygsgøta,residential,False,False,32.39,"LINESTRING (-6.5868756 62.225085, -6.5863949 62.2248988)",,
34445788,,Kirkjubrekka,residential,False,False,138.926,"LINESTRING (-6.5868756 62.225085, -6.5865028 62.2251471, -6.586191 62.225127, -6.5858875 62.2251001, -6.5847729 62.2250011, -6.5844531 62.2249805, -6.58425 62.2249894)",,
44702988,,Selheygsgøta,residential,False,True,212.066,"LINESTRING (-6.5868756 62.225085, -6.5874801 62.2253068, -6.5879732 62.2254734, -6.5892314 62.2259261, -6.5895962 62.2260228, -6.5902443 62.226152)",,
34446492,,Víkavegur,residential,False,False,173.95600000000002,"LINESTRING (-6.5930298 62.226952, -6.5925264 62.2266453, -6.5923375 62.2265653, -6.5921215 62.2265215, -6.591659 62.2264295, -6.5908035 62.226261, -6.5902443 62.226152)",,
34576142,,Kommunubrekka,residential,False,False,102.827,"LINESTRING (-6.5930298 62.226952, -6.5925984 62.2271426, -6.591675 62.2275206, -6.5915541 62.2275701)",,
34576142,,Kommunubrekka,residential,False,True,102.827,"LINESTRING (-6.5915541 62.2275701, -6.591675 62.2275206, -6.5925984 62.2271426, -6.5930298 62.226952)",,
44702969,,Klaksvíksvegur,residential,False,False,442.0150000000001,"LINESTRING (-6.5915541 62.2275701, -6.5913368 62.2274652, -6.5909557 62.2272812, -6.5906616 62.2271626, -6.5906052 62.2271398, -6.5895598 62.2266766, -6.5888894 62.2265092, -6.5877292 62.2262194, -6.5871016 62.2260704, -6.5868389 62.226008, -6.5862372 62.2258864, -6.5854007 62.2257173, -6.5853673 62.2257103, -6.5852539 62.2256866, -6.5847501 62.2255814, -6.584481 62.2255303, -6.5843714 62.2255134)",,
