osmid,oneway,name,highway,reversed,length,geometry,width,maxspeed,lanes,junction
4965803,True,Doktara Jakobsens gøta,residential,False,118.56500000000001,"LINESTRING (-6.7754229 62.0103195, -6.7755699 62.0102755, -6.775672 62.0102078, -6.7759783 62.0099532, -6.7760232 62.0098806, -6.7760482 62.0098296, -6.7761141 62.0095139, -6.77614 62.009473, -6.776187 62.0094337, -6.7762851 62.0093729)",,,,
"[44437140, 4965671]",False,"['Vaglið', 'Niels Finsens gøta']",residential,"[False, True]",66.02499999999999,"LINESTRING (-6.7718427 62.010141, -6.7719617 62.0101976, -6.7723085 62.0104234, -6.7723685 62.0104711, -6.7724094 62.0105023, -6.7724554 62.010526, -6.7725933 62.0106172)",,,,
4965676,False,Mylnugøta,tertiary,False,67.815,"LINESTRING (-6.7718427 62.010141, -6.7719284 62.0101093, -6.772525 62.0098653, -6.7728281 62.0097435)",,,,
579015784,False,Vaglið,tertiary,False,17.47,"LINESTRING (-6.7718427 62.010141, -6.771639 62.0101832, -6.7715279 62.0101902)",,,,
"[44437140, 4965671]",False,"['Vaglið', 'Niels Finsens gøta']",residential,"[False, True]",66.025,"LINESTRING (-6.7725933 62.0106172, -6.7724554 62.010526, -6.7724094 62.0105023, -6.7723685 62.0104711, -6.7723085 62.0104234, -6.7719617 62.0101976, -6.7718427 62.010141)",,,,
4972586,True,Húsabrúgv,unclassified,False,64.367,"LINESTRING (-6.7715279 62.0101902, -6.7714907 62.0100883, -6.7714767 62.010056, -6.7714255 62.0099465, -6.7713795 62.0098723, -6.7713211 62.0098236, -6.771264 62.0097768, -6.7711889 62.0097277, -6.7710895 62.0096592)",2.5,,,
4972588,True,Tinghúsvegur,tertiary,False,79.476,"LINESTRING (-6.7715279 62.0101902, -6.7714968 62.0102231, -6.771651 62.0104871, -6.7718913 62.0108761)",,,,
44437142,False,Áarvegur,tertiary,False,117.57700000000001,"LINESTRING (-6.7715279 62.0101902, -6.771262 62.0101402, -6.7710353 62.010103, -6.7709244 62.0100778, -6.7707203 62.0100224, -6.7705642 62.0099642, -6.7702806 62.0098221, -6.7699353 62.0096236, -6.7698029 62.0095488)",,,,
579015784,False,Vaglið,tertiary,True,17.47,"LINESTRING (-6.7715279 62.0101902, -6.771639 62.0101832, -6.7718427 62.010141)",,,,
579015783,False,Kongabrúgvin,residential,False,7.325,"LINESTRING (-6.7692146 62.0092415, -6.7690989 62.0092788)",,,,
579015783,False,Kongabrúgvin,residential,True,22.802,"LINESTRING (-6.7692146 62.0092415, -6.7695746 62.0091253)",,,,
534065684,True,Áarvegur,tertiary,False,12.064,"LINESTRING (-6.7692146 62.0092415, -6.7690859 62.0092309, -6.7689856 62.0092279)",,,,
27397432,True,Tróndargøta,residential,False,31.995,"LINESTRING (-6.7775171 62.012452, -6.7772294 62.0121979)",,50,,
27397417,False,Sjúrðargøta,residential,False,33.037,"LINESTRING (-6.7775171 62.012452, -6.7774803 62.0124611, -6.7772866 62.0125091, -6.7769572 62.0125907)",,,,
27397432,True,Tróndargøta,residential,False,33.922,"LINESTRING (-6.7769187 62.011931, -6.7765857 62.011669)",,50,,
33189133,False,Niels Winthers gøta,secondary,True,70.434,"LINESTRING (-6.7757629 62.0109545, -6.7755997 62.0109969, -6.7752674 62.0110831, -6.7746843 62.0112345, -6.7745818 62.0112611)",,50,,
4965803,True,Doktara Jakobsens gøta,residential,False,18.405,"LINESTRING (-6.7751151 62.0104003, -6.7754229 62.0103195)",,,,
27397433,True,Tróndargøta,residential,False,70.288,"LINESTRING (-6.7751151 62.0104003, -6.7757629 62.0109545)",,,,
30703933,False,Tróndargøta,residential,False,26.414,"LINESTRING (-6.7751151 62.0104003, -6.7748923 62.010187)",,,,
33188103,False,Sverrisgøta,residential,True,28.886,"LINESTRING (-6.7751151 62.0104003, -6.7746321 62.0105272)",,,,
579015785,False,Bryggjubakki,residential,True,3.908,"LINESTRING (-6.7727679 62.0097226, -6.7728281 62.0097435)",,,,
"[4965802, 458481774]",True,Bøgøta,residential,False,131.841,"LINESTRING (-6.7744869 62.0092221, -6.7745142 62.0092637, -6.7749515 62.0098891, -6.775044 62.0099754, -6.7754229 62.0103195)",,,,
436879846,False,Bøgøta,residential,False,55.776999999999994,"LINESTRING (-6.7744869 62.0092221, -6.7744604 62.0091521, -6.7744264 62.0090132, -6.7744136 62.0089423, -6.7743923 62.0088753, -6.774354 62.0088204, -6.7742457 62.0087413)",,,,
