osmid,oneway,name,highway,reversed,length,geometry,lanes,junction,access,bridge
607027536,True,Jalan Plaza Mahkota 1,unclassified,False,11.525,"LINESTRING (102.2464455 2.1904282, 102.2465064 2.1905121)",,,,
607027536,True,Jalan Plaza Mahkota 1,unclassified,False,20.9,"LINESTRING (102.2465064 2.1905121, 102.2466618 2.190618)",,,,
104350345,False,Jalan Plaza Mahkota 2,unclassified,False,150.59699999999998,"LINESTRING (102.2465064 2.1905121, 102.2471705 2.1903614, 102.2478281 2.1902122)",,,,
"[31989036, 771349927]",True,Jalan Tun Khalil Yaakob,secondary,False,136.47199999999998,"LINESTRING (102.2466618 2.190618, 102.2468041 2.1905801, 102.2469167 2.19056, 102.247031 2.1905422, 102.247515 2.190478, 102.2476196 2.1904641, 102.2477482 2.1904421, 102.2478716 2.1904136)","['4', '5']",,,
42086842,True,Jalan Tokong,residential,False,29.127,"LINESTRING (102.2460187 2.1978654, 102.2457576 2.1978421)",,,,
42086875,True,,residential,False,27.434,"LINESTRING (102.2457576 2.1978421, 102.2456736 2.1976101)",,,,
769764741,True,Lorong Hang Jebat,secondary,False,7.753,"LINESTRING (102.2483244 2.1949617, 102.2482717 2.194916)",2,,,
"[154824619, 505422591]",True,Jalan Hang Jebat,residential,False,111.91799999999999,"LINESTRING (102.2456736 2.1976101, 102.2460138 2.1972168, 102.246165 2.197042, 102.2463503 2.1968658)",,,,
505422591,True,Jalan Hang Jebat,residential,False,89.497,"LINESTRING (102.2463503 2.1968658, 102.2465295 2.1967045, 102.2469395 2.1963171)",,,,
103942660,True,,secondary,False,21.632000000000005,"LINESTRING (102.2486172 2.194201, 102.2485967 2.1942162, 102.2485811 2.1942365, 102.2485716 2.1942603, 102.248569 2.1942857, 102.2485733 2.1943109, 102.2485826 2.1943311, 102.2485965 2.1943486, 102.248614 2.1943622)",2,roundabout,,
"[769477008, 770749224]",True,Jalan Tun Khalil Yaakob,secondary,False,30.248,"LINESTRING (102.2486172 2.194201, 102.2485105 2.1940907, 102.2484822 2.1940603, 102.2484478 2.1940286, 102.2484257 2.1940078)",2,,,
770749221,True,Jalan Tun Khalil Yaakob,secondary,False,38.454,"LINESTRING (102.2484257 2.1940078, 102.2482299 2.1938574, 102.2481603 2.1938109, 102.2481465 2.1938041)",2,,,
770749223,True,Jalan Kota,unclassified,False,38.592,"LINESTRING (102.2484257 2.1940078, 102.248404 2.193858, 102.2483872 2.1937877, 102.2483614 2.193667)",1,,,
31989043,False,Jalan Kota,unclassified,True,57.862,"LINESTRING (102.2483714 2.1926807, 102.248363 2.193201)",,,,
34594365,True,,unclassified,False,22.91,"LINESTRING (102.2478716 2.1904136, 102.2478281 2.1902122)",,,,
38559981,True,Jalan Chan Koon Cheng,residential,False,120.206,"LINESTRING (102.2524936 2.1929288, 102.2514991 2.1933543)",2,,yes,
104350321,False,,residential,False,54.363,"LINESTRING (102.2524936 2.1929288, 102.2529795 2.1928716)",,,,
104350321,False,,residential,True,54.363,"LINESTRING (102.2529795 2.1928716, 102.2524936 2.1929288)",,,,
104350321,False,,residential,False,89.79500000000002,"LINESTRING (102.2529795 2.1928716, 102.2529853 2.1930417, 102.2529886 2.1930896, 102.2529812 2.1931115, 102.2529676 2.1931293, 102.2529479 2.1931427, 102.2529262 2.1931511, 102.2528756 2.1931627, 102.2528384 2.1931755, 102.2528114 2.1931975, 102.2527931 2.1932313, 102.252787 2.193265, 102.2528135 2.1935619)",,,,
31999738,True,Jalan Hang Jebat,residential,False,73.264,"LINESTRING (102.2451476 2.1980074, 102.2456736 2.1976101)",,,,
698424029,True,Jalan Tokong,residential,False,70.32499999999999,"LINESTRING (102.2451476 2.1980074, 102.2454305 2.1979135, 102.2457576 2.1978421)",,,,
31999738,True,Jalan Hang Jebat,residential,False,75.835,"LINESTRING (102.244497 2.1982127, 102.2448615 2.198107, 102.2451476 2.1980074)",,,,
104350297,True,Jalan Hang Lekir,residential,False,122.34899999999999,"LINESTRING (102.245662 2.196007, 102.2458696 2.1962726, 102.2463503 2.1968658)",,,,
"[548119337, 104350398]",True,"['Lorong Bukit Cina', 'Lorong Chan Koon Cheng']",residential,False,93.477,"LINESTRING (102.2514991 2.1933543, 102.2519869 2.1939489, 102.251993 2.1939656, 102.251993 2.1939838, 102.2519895 2.1940012, 102.2519843 2.1940185)",2,,,
657498324,False,,residential,True,49.541000000000004,"LINESTRING (102.2514991 2.1933543, 102.2514662 2.193304, 102.2513253 2.1929452)",,,,
"[768688437, 768688438]",True,Jalan Kampung Pantai,tertiary,False,114.004,"LINESTRING (102.2479012 2.1976402, 102.2480732 2.1975777, 102.2482821 2.197536, 102.2486691 2.1973104, 102.248827 2.1972201)",1,,,
42086842,True,Jalan Tokong,residential,False,197.369,"LINESTRING (102.2474868 2.1970512, 102.2468962 2.1976711, 102.2467923 2.1977642, 102.2460187 2.1978654)",,,,
506162637,True,Jalan Hang Lekiu,residential,False,80.068,"LINESTRING (102.2474868 2.1970512, 102.2476064 2.1972234, 102.2478302 2.1975455, 102.2479012 2.1976402)",,,,
105114390,True,Jalan Hang Lekiu,residential,False,101.791,"LINESTRING (102.2469395 2.1963171, 102.2474868 2.1970512)",,,,
505422591,True,Jalan Hang Jebat,residential,False,102.224,"LINESTRING (102.2469395 2.1963171, 102.2471921 2.1960756, 102.2476042 2.1956815)",,,,
506247211,True,Jalan Tun Tan Cheng Lock,secondary,False,194.651,"LINESTRING (102.2470684 2.1949633, 102.245662 2.196007)",1,,,
43990176,False,Jalan Kota Laksamana,tertiary,False,83.351,"LINESTRING (102.2470684 2.1949633, 102.2466861 2.1943848, 102.246655 2.1943378)",2,,,
506162442,True,Jalan Hang Kasturi,residential,False,99.609,"LINESTRING (102.2476042 2.1956815, 102.2470684 2.1949633)",1,,,
506162443,True,Jalan Hang Jebat,residential,False,113.181,"LINESTRING (102.2476042 2.1956815, 102.2483244 2.1949617)",,,,
506162444,True,Jalan Hang Kasturi,residential,False,89.551,"LINESTRING (102.2476042 2.1956815, 102.2480959 2.1963196)",,,,
42403605,True,Jalan Hang Kasturi,residential,False,74.559,"LINESTRING (102.248827 2.1972201, 102.2486819 2.1970176, 102.2485471 2.1968282, 102.2484295 2.1966801)",,,,
"[118348019, 768688436]",False,Jalan Kampung Pantai,tertiary,False,163.388,"LINESTRING (102.248827 2.1972201, 102.248933 2.1971681, 102.2489628 2.1971535, 102.2490201 2.1971254, 102.2496181 2.1968324, 102.2498495 2.1966488, 102.2498917 2.1966074, 102.2499184 2.1965828, 102.2500822 2.1964709)",2,,,
768687681,True,Jalan Bunga Raya,primary,False,50.625,"LINESTRING (102.251042 2.1962562, 102.2510982 2.196708)",1,,,
43990175,True,Lorong Gereja,residential,False,76.418,"LINESTRING (102.2502772 2.1953657, 102.2506709 2.1948022)",,,,
31999733,True,Jalan Laksamana,secondary,False,189.166,"LINESTRING (102.2502772 2.1953657, 102.2497208 2.1950604, 102.2496362 2.1950061, 102.249533 2.1949224, 102.2494357 2.194852, 102.2493404 2.1947794, 102.249208 2.1946918, 102.2490992 2.1946097, 102.2489392 2.1944891, 102.2488634 2.1944259)",2,,,
104350361,True,Jalan Gereja,residential,False,60.125,"LINESTRING (102.2506709 2.1948022, 102.2509878 2.1950811, 102.251078 2.1951584)",,,,
"[548119338, 548119339, 548119340]",True,"['Jalan Chan Koon Cheng', 'Jalan Gereja']",residential,False,289.317,"LINESTRING (102.2506709 2.1948022, 102.2502347 2.1944552, 102.2500987 2.1943861, 102.2500723 2.1943728, 102.2500551 2.1943606, 102.2500416 2.1943468, 102.2500355 2.1943347, 102.2500331 2.1943217, 102.250041 2.194303, 102.2500504 2.1942895, 102.2500736 2.1942648, 102.2501013 2.1942367, 102.2501817 2.194186, 102.2504514 2.1940162, 102.2507059 2.1938456, 102.2509618 2.1935643, 102.2510274 2.1935209, 102.2510555 2.1935143, 102.2511108 2.1935143, 102.2511491 2.1935133, 102.2511854 2.1935026, 102.2514991 2.1933543)",,,,
43990176,False,Jalan Kota Laksamana,tertiary,True,83.351,"LINESTRING (102.246655 2.1943378, 102.2466861 2.1943848, 102.2470684 2.1949633)",2,,,
103769551,False,Jalan Laksamana 5,residential,True,156.43899999999996,"LINESTRING (102.246655 2.1943378, 102.2465455 2.1943726, 102.2463753 2.1944266, 102.2462567 2.1944643, 102.2461195 2.1945178, 102.2459033 2.1946266, 102.245441 2.1950098)",,,,
698424026,False,Jalan Kota Laksamana,tertiary,False,151.15999999999997,"LINESTRING (102.246655 2.1943378, 102.2466045 2.1942623, 102.2465703 2.1942113, 102.2464813 2.1941135, 102.2461814 2.1938111, 102.2461117 2.1937519, 102.2460282 2.1937034, 102.2459422 2.1936771, 102.2455741 2.193625)",2,,,
769726582,False,,residential,False,92.728,"LINESTRING (102.246655 2.1943378, 102.2472683 2.1941338, 102.2473816 2.1941136, 102.2474543 2.1941208)",,,,
103769548,False,Jalan Laksamana 2,residential,True,141.898,"LINESTRING (102.2455741 2.193625, 102.2455777 2.1943112, 102.2455692 2.1943703, 102.2455413 2.1944145, 102.2451936 2.1947427)",,,,
698424026,False,Jalan Kota Laksamana,tertiary,False,67.67599999999999,"LINESTRING (102.2455741 2.193625, 102.2451693 2.1935955, 102.2451006 2.1935979, 102.2450317 2.1936124, 102.2449716 2.1936345)",2,,,
698424026,False,Jalan Kota Laksamana,tertiary,True,151.16000000000003,"LINESTRING (102.2455741 2.193625, 102.2459422 2.1936771, 102.2460282 2.1937034, 102.2461117 2.1937519, 102.2461814 2.1938111, 102.2464813 2.1941135, 102.2465703 2.1942113, 102.2466045 2.1942623, 102.246655 2.1943378)",2,,,
286086921,True,Jalan Tukang Emas,residential,False,105.82300000000001,"LINESTRING (102.2480959 2.1963196, 102.2476749 2.1968283, 102.2474868 2.1970512)",,,,
698424028,True,Jalan Tukang Besi,residential,False,132.122,"LINESTRING (102.2480959 2.1963196, 102.2487008 2.1955664, 102.2488474 2.195399)",,,,
105602712,False,,unclassified,False,17.791,"LINESTRING (102.2448698 2.193511, 102.2449716 2.1936345)",2,,,
105602709,False,Jalan Kota Laksamana 1/3,residential,False,59.612,"LINESTRING (102.2448698 2.193511, 102.2446623 2.1932909, 102.2445019 2.1931208)",,,,
103769551,False,Jalan Laksamana 5,residential,False,149.792,"LINESTRING (102.2444178 2.1958869, 102.2450832 2.1953174, 102.245441 2.1950098)",,,,
105602712,False,,unclassified,True,17.791,"LINESTRING (102.2449716 2.1936345, 102.2448698 2.193511)",2,,,
103769533,False,Jalan Laksamana 1,residential,True,85.015,"LINESTRING (102.2449716 2.1936345, 102.2450139 2.1937177, 102.2450251 2.1937662, 102.2450124 2.1941033, 102.2449863 2.1941564, 102.2448377 2.1943254)",,,,
698424026,False,Jalan Kota Laksamana,tertiary,True,67.676,"LINESTRING (102.2449716 2.1936345, 102.2450317 2.1936124, 102.2451006 2.1935979, 102.2451693 2.1935955, 102.2455741 2.193625)",2,,,
103769534,True,,residential,False,62.935,"LINESTRING (102.2478095 2.194549, 102.2477635 2.194476, 102.2476613 2.1943215, 102.2475352 2.1941605, 102.2474543 2.1941208)",,,,
506247211,True,Jalan Tun Tan Cheng Lock,secondary,False,94.848,"LINESTRING (102.2478095 2.194549, 102.2476937 2.1945795, 102.2475766 2.1946488, 102.2470684 2.1949633)",1,,,
