osmid,highway,oneway,reversed,length,lanes,ref,name,geometry,bridge,junction
755279500,residential,False,True,7.245,,,,"LINESTRING (100.4910064 5.1256543, 100.4910481 5.1256041)",,
780365714,primary,True,False,46.469,2,A9,Jalan Abdul Raof,"LINESTRING (100.4910064 5.1256543, 100.4913319 5.125918)",,
329919613,tertiary,True,False,5.632,2,,Jalan Abdul Raof 1,"LINESTRING (100.491572 5.1261185, 100.4916048 5.1260798)",,
780365714,primary,True,False,25.934,2,A9,Jalan Abdul Raof,"LINESTRING (100.491572 5.1261185, 100.4917419 5.126279)",,
329901167,primary,False,True,6.494,2,A9,Jalan Abdul Raof,"LINESTRING (100.4928937 5.1273271, 100.4929377 5.1273657)",,
755279503,primary,True,False,91.884,2,A9,Jalan Abdul Raof,"LINESTRING (100.4928937 5.1273271, 100.4928692 5.1272555, 100.4923089 5.1267534)",,
329901167,primary,False,False,32.028,2,A9,Jalan Abdul Raof,"LINESTRING (100.493153 5.127558, 100.4929377 5.1273657)",,
758244005,residential,False,True,125.766,,,,"LINESTRING (100.493153 5.127558, 100.4932763 5.1274057, 100.4933431 5.1273712, 100.4934301 5.1273426, 100.493513 5.1272968, 100.4937445 5.1270709, 100.493778 5.1269988, 100.4938371 5.1267327)",,
263740546,secondary,False,False,20.39,2,283,Jalan Transkrian,"LINESTRING (100.4907827 5.1329219, 100.4907658 5.1327393)",,
642599135,secondary,False,False,11.516,,283,Jalan Transkrian,"LINESTRING (100.4907827 5.1329219, 100.4908145 5.1330205)",,
645270542,residential,False,True,188.20799999999997,,,,"LINESTRING (100.4907827 5.1329219, 100.4902418 5.1328495, 100.4893249 5.1327423, 100.489096 5.1327157)",,
263740546,secondary,False,True,20.39,2,283,Jalan Transkrian,"LINESTRING (100.4907658 5.1327393, 100.4907827 5.1329219)",,
449243532,secondary,True,False,131.70600000000002,1,,Jalan Dewan,"LINESTRING (100.4907658 5.1327393, 100.4908213 5.1326526, 100.4908276 5.1325732, 100.490867 5.1320751, 100.4909066 5.1315743)",,
640319576,unclassified,False,False,390.506,,,,"LINESTRING (100.4907658 5.1327393, 100.4888811 5.1324801, 100.4881971 5.1323946, 100.4878706 5.1323464, 100.4876115 5.1323082, 100.4872922 5.1322611, 100.4872731 5.1322583)",,
329919587,secondary,False,True,71.707,2,A9,Jalan Taiping,"LINESTRING (100.4899226 5.1280277, 100.4900556 5.1283257, 100.4901904 5.1286148)",,
753897158,secondary,True,False,65.37100000000001,2,A9,Jalan Taiping,"LINESTRING (100.4899226 5.1280277, 100.4898567 5.1277466, 100.4897274 5.1274765)",,
399592914,residential,False,False,11.248,,,,"LINESTRING (100.4886758 5.1255721, 100.4885845 5.1256164)",,
329919596,secondary_link,True,False,46.117000000000004,1,,,"LINESTRING (100.4886758 5.1255721, 100.4888029 5.1258318, 100.4888913 5.1259217)",,
329919581,secondary,True,False,55.05,2,A9,Jalan Taiping,"LINESTRING (100.4888913 5.1259217, 100.4891037 5.1263693)",,
329919612,tertiary,True,False,34.474,2,,Jalan Abdul Raof 1,"LINESTRING (100.4915226 5.1260725, 100.4913108 5.1262997)",,
780365714,primary,True,False,7.49,2,A9,Jalan Abdul Raof,"LINESTRING (100.4915226 5.1260725, 100.491572 5.1261185)",,
329919612,tertiary,True,False,17.274,2,,Jalan Abdul Raof 1,"LINESTRING (100.4913108 5.1262997, 100.4912331 5.1264344)",,
