osmid,lanes,ref,highway,oneway,reversed,length,geometry,name,bridge,tunnel
452075663,2,N28,primary,False,False,50.425,"LINESTRING (101.8022285 2.8066144, 101.8019238 2.8062782)",,,
452075663,2,N28,primary,False,True,45.124,"LINESTRING (101.8022285 2.8066144, 101.802501 2.8069154)",,,
306246546,,,residential,False,True,82.303,"LINESTRING (101.8022285 2.8066144, 101.8025473 2.8062862, 101.8027751 2.8061181)",,,
231197483,2,N28,primary,False,True,45.749,"LINESTRING (101.7981459 2.8022195, 101.798438 2.8025096)",,,
231197483,2,N28,primary,False,False,97.28399999999999,"LINESTRING (101.7981459 2.8022195, 101.7981174 2.8022001, 101.7979232 2.802068, 101.7976035 2.8018825, 101.7973897 2.8017809)",,,
231197483,2,N28,primary,False,False,45.749,"LINESTRING (101.798438 2.8025096, 101.7981459 2.8022195)",,,
"[445308572, 452075662]",2,,unclassified,True,False,51.924,"LINESTRING (101.798438 2.8025096, 101.7986185 2.8024095, 101.7986752 2.802378, 101.7987079 2.8023604, 101.798848 2.8022852)",Jalan Terminal Nilai,,
452075663,2,N28,primary,False,True,92.072,"LINESTRING (101.798438 2.8025096, 101.7985674 2.8026542, 101.7987281 2.802827, 101.7987501 2.80285, 101.798999 2.8031192)",,,
604125629,,,unclassified,False,False,1.399,"LINESTRING (101.798848 2.8022852, 101.7988571 2.8022765)",,,
"[1192165864, 48335405]",,,unclassified,True,False,121.309,"LINESTRING (101.798848 2.8022852, 101.798442 2.8018649, 101.7983653 2.8018507, 101.7983314 2.8019067, 101.7983056 2.80195, 101.7982885 2.8019789, 101.7982553 2.802035, 101.7981459 2.8022195)",Jalan Terminal Nilai 1,,
305856635,,,residential,False,False,216.487,"LINESTRING (101.8037769 2.8031012, 101.8023984 2.8044777)",,,
725049865,,,residential,False,True,59.525000000000006,"LINESTRING (101.8037769 2.8031012, 101.8039693 2.8033057, 101.804151 2.8034844)",,,
725049865,,,residential,False,True,16.425,"LINESTRING (101.804151 2.8034844, 101.8042497 2.8035944)",,,
725049865,,,residential,False,False,59.525000000000006,"LINESTRING (101.804151 2.8034844, 101.8039693 2.8033057, 101.8037769 2.8031012)",,,
725049865,,,residential,False,False,14.678,"LINESTRING (101.8043379 2.8036927, 101.8042497 2.8035944)",,,
725049865,,,residential,False,True,20.03,"LINESTRING (101.8043379 2.8036927, 101.8044649 2.8038206)",,,
725049865,,,residential,False,False,20.03,"LINESTRING (101.8044649 2.8038206, 101.8043379 2.8036927)",,,
305856613,,,residential,True,False,136.917,"LINESTRING (101.8033424 2.8044136, 101.803494 2.804325, 101.8037166 2.8041947, 101.8043379 2.8036927)",Jalan Nilai Perdana,,
"[305856616, 141716000, 1192165854]",,,residential,False,True,256.514,"LINESTRING (101.8033424 2.8044136, 101.803139 2.8045793, 101.8028529 2.8048672, 101.8021169 2.8057079, 101.8017264 2.8060553)",Jalan Nilai Perdana,yes,
141716075,,,residential,False,True,51.912,"LINESTRING (101.8015526 2.8058755, 101.8012132 2.8061965)",,,
452075663,2,N28,primary,False,False,43.457,"LINESTRING (101.8015526 2.8058755, 101.8012869 2.8055886)",,,
452075663,2,N28,primary,False,True,27.79,"LINESTRING (101.8015526 2.8058755, 101.8017264 2.8060553)",,,
452075663,2,N28,primary,False,False,27.79,"LINESTRING (101.8017264 2.8060553, 101.8015526 2.8058755)",,,
452075663,2,N28,primary,False,True,33.09,"LINESTRING (101.8017264 2.8060553, 101.8019238 2.8062782)",,,
"[141716000, 305856616, 1192165854]",,,residential,False,False,256.514,"LINESTRING (101.8017264 2.8060553, 101.8021169 2.8057079, 101.8028529 2.8048672, 101.803139 2.8045793, 101.8033424 2.8044136)",Jalan Nilai Perdana,yes,
141716108,,,residential,False,True,83.316,"LINESTRING (101.79988 2.8064255, 101.800393 2.8069722)",,,
141716075,,,residential,False,False,62.281,"LINESTRING (101.800393 2.8069722, 101.8008002 2.8065871)",,,
141716108,,,residential,False,False,83.316,"LINESTRING (101.800393 2.8069722, 101.79988 2.8064255)",,,
141716108,,,residential,False,True,66.19800000000001,"LINESTRING (101.800393 2.8069722, 101.8006575 2.8071679, 101.8008754 2.8073218)",,,
452075663,2,N28,primary,False,False,24.228,"LINESTRING (101.8026532 2.8070715, 101.802501 2.8069154)",,,
452075663,2,N28,primary,False,True,21.123,"LINESTRING (101.8026532 2.8070715, 101.8027801 2.807213)",,,
"[141716040, 604087230]",,,residential,False,"[False, True]",175.75900000000001,"LINESTRING (101.8008754 2.8073218, 101.8015828 2.8066167, 101.8015955 2.8065832, 101.8015837 2.8065515, 101.8014272 2.8064018, 101.8012132 2.8061965)",,,
141716108,,,residential,False,False,66.19800000000001,"LINESTRING (101.8008754 2.8073218, 101.8006575 2.8071679, 101.800393 2.8069722)",,,
452075663,2,N28,primary,False,False,21.123,"LINESTRING (101.8027801 2.807213, 101.8026532 2.8070715)",,,
604087226,,,residential,False,False,68.789,"LINESTRING (101.8027801 2.807213, 101.8032298 2.8067876)",,,
"[305856620, 306246532, 305856632, 604125629]",,,"['residential', 'unclassified']",False,"[False, True]",231.71000000000004,"LINESTRING (101.7992045 2.8014404, 101.7988599 2.8011115, 101.7987757 2.8011344, 101.798634 2.8012721, 101.7986449 2.8013128, 101.7987013 2.8013799, 101.7990169 2.8017272, 101.7990994 2.801857, 101.7991409 2.8019242, 101.7991662 2.8019891, 101.7991166 2.8020285, 101.7990875 2.8020563, 101.7988571 2.8022765)",,,yes
"[306246544, 305856635, 306246532]",,,residential,False,True,513.776,"LINESTRING (101.7992045 2.8014404, 101.7998668 2.8021631, 101.8005043 2.8028247, 101.8007436 2.803144, 101.8020243 2.8045703, 101.8021889 2.8045964, 101.8023815 2.8044937, 101.8023984 2.8044777)",,yes,
"[604125652, 604125653]",,,residential,False,False,63.345,"LINESTRING (101.7992045 2.8014404, 101.7995446 2.8012492, 101.7997101 2.8011783)",,yes,
306246550,,,residential,False,True,90.217,"LINESTRING (101.8019238 2.8062782, 101.8024655 2.8056736)",,,
