osmid,name,highway,oneway,reversed,length,geometry,ref,maxspeed,access,area,bridge,lanes,junction
171169065,Jalan Bacang 10,residential,False,False,104.8,"LINESTRING (103.9239304 1.4943015, 103.9245376 1.4935805)",,,,,,,
199441119,,residential,False,False,63.135000000000005,"LINESTRING (103.9239304 1.4943015, 103.9237237 1.4940812, 103.9235418 1.4938874)",,,,,,,
199441119,,residential,False,True,71.992,"LINESTRING (103.9239304 1.4943015, 103.9240204 1.4943974, 103.9240281 1.4944075, 103.9240336 1.494419, 103.9240367 1.4944314, 103.9240519 1.4945361, 103.9241051 1.4949042)",,,,,,,
607986163,Jalan Kong Kong,primary,False,False,65.558,"LINESTRING (103.920707 1.4949629, 103.9204123 1.4944522)",J10,80,yes,no,,,
607986164,Jalan Kong Kong,primary,False,True,15.395,"LINESTRING (103.920707 1.4949629, 103.9207801 1.4950805)",J10,80,yes,no,,,
607825085,Jalan Kong Kong,primary,False,False,476.886,"LINESTRING (103.9217919 1.4998139, 103.9217062 1.4981794, 103.9216629 1.4976597, 103.9215629 1.4970184, 103.9214513 1.4965699, 103.9213133 1.4961561, 103.9211141 1.4956981, 103.9210743 1.4956245)",J10,80,yes,no,,,
171169136,Jalan Duku 11,residential,False,False,69.684,"LINESTRING (103.9214607 1.4913986, 103.9218907 1.4909831, 103.9219111 1.4909627)",,,,,,,
171169165,Jalan Duku 9,residential,False,True,36.917,"LINESTRING (103.9214607 1.4913986, 103.9215972 1.4916563, 103.9216192 1.4916902)",,,,,,,
171169070,Jalan Duku 10,residential,False,False,87.315,"LINESTRING (103.9223156 1.4914026, 103.921753 1.4919506)",,,,,,,
"[171169177, 171169169, 171169165]","['Jalan Duku 9', 'Jalan Duku 13']",residential,False,"[False, True]",173.07099999999997,"LINESTRING (103.9223156 1.4914026, 103.9225312 1.4916143, 103.922536 1.4916191, 103.9225458 1.4916338, 103.9225492 1.4916512, 103.9225455 1.4916685, 103.9225355 1.491683, 103.9219706 1.4922321, 103.9219518 1.4922427, 103.9219302 1.4922434, 103.9219108 1.4922339, 103.9218981 1.4922164, 103.9218968 1.4922132, 103.921753 1.4919506)",,,,,,,
171169177,Jalan Duku 13,residential,False,False,66.441,"LINESTRING (103.9223156 1.4914026, 103.9221162 1.4911879, 103.9219111 1.4909627)",,,,,,,
