osmid,oneway,highway,reversed,length,lanes,name,geometry,access
"[235310545, 69725588]",True,secondary,False,258.07800000000003,2,Jalan Main Bazaar,"LINESTRING (110.3482818 1.5578354, 110.3483025 1.5578736, 110.3483105 1.5579031, 110.3483098 1.5579408, 110.3482905 1.5579697, 110.3482477 1.5580238, 110.3481219 1.5581187, 110.3479244 1.5582167, 110.3476998 1.5583132, 110.3474641 1.5584198, 110.3470952 1.558661, 110.3464607 1.5591217)",
235310690,True,secondary,False,21.364,,,"LINESTRING (110.3482818 1.5578354, 110.3483152 1.5578469, 110.348342 1.5578469, 110.3483695 1.5578388, 110.348391 1.5578227, 110.3484151 1.5578066, 110.3484473 1.5577744)",
233196790,True,secondary,False,65.644,2,Lebuh Wayang,"LINESTRING (110.3480044 1.5562313, 110.3479389 1.5560706, 110.3479169 1.556006, 110.3479041 1.5559366, 110.3478874 1.55588, 110.347841 1.5557811, 110.3477708 1.5556967)",
"[1245429912, 68994363]",True,unclassified,False,27.374,,Jalan Green Hill,"LINESTRING (110.3482349 1.556158, 110.3481069 1.5562175, 110.3480877 1.5562264, 110.3480431 1.5562336, 110.3480044 1.5562313)",
217933250,True,primary,False,171.18199999999996,3,Jalan Barrack,"LINESTRING (110.343078 1.555974, 110.342993 1.5560183, 110.34292 1.5560848, 110.3428706 1.556136, 110.3428564 1.5561943, 110.3428517 1.5562556, 110.3428972 1.5564869, 110.3429069 1.556529, 110.3429523 1.556646, 110.3430627 1.5570597, 110.3431301 1.5572287, 110.3431964 1.5573495)",
129018567,True,residential,False,155.152,3,Jalan Masjid,"LINESTRING (110.3431964 1.5573495, 110.3425964 1.5576885, 110.342491 1.5577397, 110.3422887 1.5578554, 110.3422217 1.5578871, 110.341973 1.5580205)",yes
217933250,True,primary,False,81.709,3,Jalan Barrack,"LINESTRING (110.3431964 1.5573495, 110.3432141 1.5573974, 110.3433343 1.5576015, 110.343561 1.5579867)",
"[124545073, 217933250]",True,primary,False,127.97799999999998,3,"['Jalan Barrack', 'Jalan Pearl']","LINESTRING (110.3436095 1.5580645, 110.3437145 1.5581935, 110.3437249 1.5582006, 110.3437371 1.5582033, 110.343752 1.5582029, 110.3437683 1.5581955, 110.3439714 1.5581028, 110.3445195 1.5578528, 110.3446117 1.5578107)",yes
1233221351,True,residential,False,53.278999999999996,,Jalan Khoo Hun Yeang,"LINESTRING (110.3436095 1.5580645, 110.3432802 1.5582684, 110.343202 1.5583168)",yes
217933250,True,primary,False,43.304,3,Jalan Barrack,"LINESTRING (110.3434513 1.5559562, 110.3433759 1.5559281, 110.3433027 1.5559218, 110.3431688 1.5559285, 110.343078 1.555974)",
"[1233222801, 54241636]",True,primary,False,283.224,3,Jalan Tun Abang Haji Openg,"LINESTRING (110.3434513 1.5559562, 110.3434013 1.5557593, 110.3430432 1.5552622, 110.3429189 1.555063, 110.3427273 1.5542696, 110.3425337 1.5536173)",
