osmid,oneway,highway,reversed,length,lanes,ref,name,geometry,bridge
47435230,True,trunk,False,9.85,,,,"LINESTRING (100.4200218 6.266403, 100.4199327 6.2664048)",
843994562,True,trunk,False,34.149,2,1,Jalan Jitra,"LINESTRING (100.4200218 6.266403, 100.4200238 6.2660959)",
319983639,True,trunk,False,8.063,2,1,Jalan Jitra,"LINESTRING (100.4200065 6.2629883, 100.4200078 6.2629158)",
335571839,True,secondary,False,25.108,1,K273,Jalan Tan Seri Osman Aroff,"LINESTRING (100.4200065 6.2629883, 100.4201052 6.263008, 100.4202286 6.2630356)",
279905457,True,trunk,False,4.971,2,1,Jalan Jitra,"LINESTRING (100.4200102 6.2642377, 100.4200099 6.264193)",
286564911,False,unclassified,False,26.325,1,,,"LINESTRING (100.4173045 6.2651468, 100.4170836 6.2650583)",
"[707579300, 707579301, 286564911]",False,unclassified,True,267.899,1,,,"LINESTRING (100.4173045 6.2651468, 100.4173612 6.2651666, 100.4174568 6.2652067, 100.418079 6.2654476, 100.4186295 6.2656708, 100.4193463 6.2659447, 100.4194215 6.2659775, 100.4194721 6.266017, 100.4194937 6.2660495, 100.4195071 6.2660912)",yes
"[335057177, 286564907, 335160175]",False,unclassified,"[False, True]",40.172,"['1', '2']",,,"LINESTRING (100.4173045 6.2651468, 100.4173223 6.265108, 100.4174214 6.2648643, 100.4174422 6.2648125)",yes
335057177,False,unclassified,True,89.68,1,,,"LINESTRING (100.4173045 6.2651468, 100.4172682 6.2652239, 100.4172371 6.2653069, 100.4172087 6.2654074, 100.4171984 6.2655042, 100.4172044 6.2655969, 100.4172602 6.2659305)",
272795256,True,trunk,False,8.18,2,176,Jalan Kodiang,"LINESTRING (100.4195864 6.2664131, 100.4195124 6.2664142)",
319983641,True,trunk,False,115.544,2,1,Jalan Jitra,"LINESTRING (100.4199098 6.2629813, 100.4199059 6.2640204)",
319983644,True,secondary,False,10.717,1,,Jalan Tan Seri Osman Aroff,"LINESTRING (100.4199098 6.2629813, 100.4200065 6.2629883)",
279905468,True,primary,False,11.275,2,K4,,"LINESTRING (100.4199082 6.2642391, 100.4200102 6.2642377)",
319983641,True,trunk,False,14.544,2,1,Jalan Jitra,"LINESTRING (100.4199082 6.2642391, 100.4199088 6.2643699)",
272795256,True,trunk,False,38.288,2,176,Jalan Kodiang,"LINESTRING (100.4199327 6.2664048, 100.4195864 6.2664131)",
390278248,True,trunk,False,9.763,2,1,Jalan Jitra,"LINESTRING (100.4199327 6.2664048, 100.4199324 6.2664926)",
843994563,True,trunk,False,9.696,2,1,Jalan Jitra,"LINESTRING (100.4200215 6.2664902, 100.4200218 6.266403)",
335057100,True,trunk,False,50.559,2,176,Jalan Kodiang,"LINESTRING (100.4194751 6.2665032, 100.4199324 6.2664926)",
708410712,True,trunk_link,False,56.23899999999999,,,,"LINESTRING (100.4194751 6.2665032, 100.4196775 6.2665372, 100.4197656 6.2665561, 100.4198204 6.2665724, 100.4198586 6.2665977, 100.4198991 6.2666334, 100.419936 6.2666755)",
272795262,True,trunk,False,9.852,,,,"LINESTRING (100.4199324 6.2664926, 100.4200215 6.2664902)",
390278248,True,trunk,False,20.341,2,1,Jalan Jitra,"LINESTRING (100.4199324 6.2664926, 100.419936 6.2666755)",
279905469,True,primary,False,11.374,2,K4,,"LINESTRING (100.4200099 6.264193, 100.419907 6.2641928)",
319983640,True,trunk,False,105.469,2,1,Jalan Jitra,"LINESTRING (100.4200099 6.264193, 100.4200088 6.2640311, 100.4200071 6.2632445)",
279905461,True,primary,False,30.547,2,K4,Jalan Sungai Korok,"LINESTRING (100.419907 6.2641928, 100.4196307 6.2641986)",
319983641,True,trunk,False,5.15,2,1,Jalan Jitra,"LINESTRING (100.419907 6.2641928, 100.4199082 6.2642391)",
