osmid,highway,oneway,reversed,length,ref,name,maxspeed,geometry,lanes,bridge
237097857,residential,False,False,21.109,,,,"LINESTRING (101.4990714 2.7984812, 101.4991529 2.7986527)",,
167156386,residential,False,False,62.146,,,,"LINESTRING (101.4972676 2.7985213, 101.4967511 2.7987363)",,
167156411,residential,False,False,40.166,,,,"LINESTRING (101.4995179 2.7985334, 101.499852 2.7983951)",,
167156411,residential,False,True,42.653,,,,"LINESTRING (101.4995179 2.7985334, 101.4991529 2.7986527)",,
167156685,residential,False,True,10.822,,,,"LINESTRING (101.4995179 2.7985334, 101.4995494 2.7986255)",,
167156422,residential,False,True,63.568,,,,"LINESTRING (101.4943 2.7985375, 101.4945242 2.7990635)",,
167156668,residential,False,True,32.843,,,,"LINESTRING (101.4943 2.7985375, 101.4940277 2.7986527)",,
167156685,residential,False,False,10.822,,,,"LINESTRING (101.4995494 2.7986255, 101.4995179 2.7985334)",,
167156685,residential,False,True,63.868,,,,"LINESTRING (101.4995494 2.7986255, 101.4997357 2.7991689)",,
167156411,residential,False,False,42.653,,,,"LINESTRING (101.4991529 2.7986527, 101.4995179 2.7985334)",,
167156411,residential,False,True,37.222,,,,"LINESTRING (101.4991529 2.7986527, 101.4988422 2.7987782)",,
237097857,residential,False,True,21.109,,,,"LINESTRING (101.4991529 2.7986527, 101.4990714 2.7984812)",,
237097870,residential,False,False,117.086,,,,"LINESTRING (101.4991529 2.7986527, 101.4994852 2.799652)",,
1163816256,trunk,True,False,9.671,5,Jalan Sultan Alam Shah,70,"LINESTRING (101.4922341 2.7987201, 101.4921877 2.7986465)",,
1181428716,tertiary,True,False,26.702,,Jalan Utama Sungai Lang Baru,,"LINESTRING (101.4922341 2.7987201, 101.4924518 2.7986182)",,
167156689,unclassified,False,True,47.992,,Jalan Cempaka Sari,,"LINESTRING (101.4926085 2.79879, 101.492609 2.7988595, 101.4927096 2.7991044, 101.4927466 2.7991945)",,
1161585105,tertiary,True,False,11.26,,Jalan Utama Sungai Lang Baru,,"LINESTRING (101.4921425 2.7987635, 101.4922341 2.7987201)",,
1181428718,trunk,True,False,173.14999999999998,5,Jalan Sultan Alam Shah,70,"LINESTRING (101.4921425 2.7987635, 101.4923644 2.7991429, 101.4925163 2.7994704, 101.4926212 2.7996908, 101.4928117 2.800167)",,
167156385,tertiary,False,False,48.431,,Lorong 5,,"LINESTRING (101.4977218 2.7987295, 101.4979005 2.7991268)",,
167156386,residential,False,False,239.46,,,,"LINESTRING (101.4967511 2.7987363, 101.4947542 2.7995484)",,
167156386,residential,False,True,62.146,,,,"LINESTRING (101.4967511 2.7987363, 101.4972676 2.7985213)",,
167156617,residential,False,True,68.052,,,,"LINESTRING (101.4967511 2.7987363, 101.4969854 2.7993018)",,
