osmid,oneway,name,highway,reversed,length,geometry,lanes,tunnel,junction
20588917,True,Lebuh Setia,tertiary,False,185.668,"LINESTRING (101.6808835 2.9148355, 101.681149 2.9147586, 101.6811821 2.914749, 101.6817032 2.914598, 101.6822568 2.9144206, 101.6824823 2.9143477)",,,
1172899762,True,Jalan Tunku Abdul Rahman,tertiary,False,102.916,"LINESTRING (101.6808835 2.9148355, 101.6808947 2.914925, 101.680921 2.9151623, 101.6809478 2.9153645, 101.680984 2.9154797, 101.6810947 2.9157281)",,,
499509931,True,Lebuh Setia,primary,False,47.68,"LINESTRING (101.6836159 2.9138852, 101.6840088 2.9137123)",,,
1172899764,True,Persiaran Perdana,primary,False,79.22399999999999,"LINESTRING (101.6836159 2.9138852, 101.6836889 2.9140991, 101.683846 2.9145596)",3,,
607643586,True,Jalan Tun Razak,tertiary,False,16.259,"LINESTRING (101.6850901 2.9221538, 101.6849881 2.9220489)",,,
1166295273,True,Lebuh Bestari,tertiary,False,120.792,"LINESTRING (101.6850901 2.9221538, 101.6852121 2.9220931, 101.6860636 2.9216692)",,,
816331657,True,Lebuh Bestari,secondary,False,28.859,"LINESTRING (101.6863066 2.9215494, 101.6865443 2.9214445)",,,
816331658,True,Persiaran Perdana,primary,False,12.203,"LINESTRING (101.6865443 2.9214445, 101.6865095 2.9213404)",3,,
23825661,True,Lebuh Bestari,secondary,False,163.48999999999998,"LINESTRING (101.6865443 2.9214445, 101.6866631 2.9214049, 101.6871686 2.9212366, 101.687568 2.9211207, 101.6878117 2.921047, 101.6879508 2.9210115)",,,
1096489391,False,Jalan Pembangunan,tertiary,True,29.873,"LINESTRING (101.6859772 2.9197302, 101.6857293 2.9198345)",,,
"[499353985, 1166295275]",False,Jalan Pembangunan,tertiary,False,156.064,"LINESTRING (101.6859772 2.9197302, 101.6860654 2.9196934, 101.6862287 2.9196242, 101.6872712 2.9191827)",,,
1096489388,True,Persiaran Perdana,primary,False,513.534,"LINESTRING (101.6859772 2.9197302, 101.6854473 2.9182634, 101.6854209 2.9181903, 101.6854041 2.918142, 101.685191 2.9175289, 101.6849893 2.9169528, 101.6844591 2.9153681)",3,,
23825653,True,Jalan P3 D,unclassified,False,123.91300000000001,"LINESTRING (101.6827203 2.9200074, 101.6828385 2.9200407, 101.6828921 2.9200387, 101.6829377 2.9200219, 101.6832156 2.9198498, 101.6834208 2.9197262, 101.6834859 2.9196713, 101.6835134 2.9196385, 101.6835254 2.919603, 101.6835324 2.9195663, 101.6835523 2.9194469)",,,
499192102,True,Jalan Tunku Abdul Rahman,tertiary,False,89.009,"LINESTRING (101.6827203 2.9200074, 101.6828341 2.9202351, 101.6828971 2.9203403, 101.6830105 2.9204903, 101.6831419 2.9206858)",,,
499192102,True,Jalan Tunku Abdul Rahman,tertiary,False,67.747,"LINESTRING (101.6832995 2.9209709, 101.6834202 2.9212196, 101.6834825 2.921399, 101.6835274 2.9215348)",,,
5046207,True,Jalan P2 L,unclassified,False,99.21399999999998,"LINESTRING (101.6835274 2.9215348, 101.6836305 2.9215734, 101.683772 2.9215696, 101.6839827 2.9214803, 101.6841728 2.9213998, 101.6842328 2.9213365, 101.6842724 2.9212243)",,,
607643585,True,Jalan Tun Razak,tertiary,False,66.32,"LINESTRING (101.6842724 2.9212243, 101.6841672 2.9210367, 101.6839905 2.9207033, 101.6839882 2.9206998)",,,
816331656,True,Persiaran Perdana,primary,False,95.86,"LINESTRING (101.6857293 2.9198345, 101.6860003 2.920653)",3,,
1096489391,False,Jalan Pembangunan,tertiary,False,29.873,"LINESTRING (101.6857293 2.9198345, 101.6859772 2.9197302)",,,
1262395806,False,Jalan Pembangunan,tertiary,True,101.946,"LINESTRING (101.6857293 2.9198345, 101.6856439 2.9198725, 101.6848775 2.9201762)",,,
816331660,True,Lebuh Bestari,secondary,False,29.052,"LINESTRING (101.6865095 2.9213404, 101.6862648 2.9214328)",,,
816331659,True,Persiaran Perdana,primary,False,73.33699999999999,"LINESTRING (101.6865095 2.9213404, 101.6864523 2.9211697, 101.6863001 2.9207149)",3,,
816331655,True,Persiaran Perdana,primary,False,13.771,"LINESTRING (101.6862648 2.9214328, 101.6863066 2.9215494)",3,,
607643582,True,Lebuh Bestari,tertiary,False,157.53300000000002,"LINESTRING (101.6862648 2.9214328, 101.6861871 2.9214645, 101.6853405 2.9218591, 101.6851059 2.9219855, 101.6849881 2.9220489)",,,
607643585,True,Jalan Tun Razak,tertiary,False,82.584,"LINESTRING (101.6849881 2.9220489, 101.6849149 2.9219724, 101.6847566 2.9218069, 101.6844857 2.9215015)",,,
1172899766,True,Persiaran Perdana,primary,False,16.827,"LINESTRING (101.6840088 2.9137123, 101.6839728 2.9135653)",3,,
1172899763,True,Jalan Tunku Abdul Rahman,tertiary,False,13.991,"LINESTRING (101.680866 2.9147109, 101.6808835 2.9148355)",,,
1172899853,True,Lebuh Setia,primary,False,49.434,"LINESTRING (101.6839728 2.9135653, 101.6835716 2.9137579)",3,,
1172899767,True,Persiaran Perdana,primary,False,14.986,"LINESTRING (101.6835716 2.9137579, 101.6836159 2.9138852)",3,,
608511910,True,Lebuh Setia,tertiary,False,90.876,"LINESTRING (101.6835716 2.9137579, 101.6834676 2.9138051, 101.6828184 2.9140773)",3,,
499353979,True,Jalan P2 T,unclassified,False,42.858000000000004,"LINESTRING (101.6883558 2.9209221, 101.6883301 2.9210092, 101.6883054 2.9210926, 101.6882376 2.9212889)",,,
449392346,True,Jalan P2 T,unclassified,False,12.619,"LINESTRING (101.6883638 2.9208089, 101.6883558 2.9209221)",,,
